"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.1028571428571,"Down",146674000,-120217000,26457000,-24272000,-24272000,2185000,-6499000,-6570000,71000,-4314000,-4314000,1922000,-2392000,-21231000,-21231000,-21231000,-61914901.1163279,-61914901.1163279,14363565.7268333,14363565.7268333,85856962.4418164,72150830.5813692,110456457.633691,118102328.937981,336821901.712221,47904339.8500912,86657524.8266753,26399684.2819572,460848284.732889,571304742.36658,57824111.7704986,56672456.7166774,1151655.05382116,76560956.6403674,209458645.883909,45614113.500385,1847256.55352031,31478298.6638212,255072759.384294,331633716.024661,227465840.589369,-1398582.1998924,35617915.0443237,-22014147.0918819,239671026.341918,239671026.341918,571304742.36658,-2392000,6076000,3734000,-3995000,18834000,-1512000,30100000,28302000,-991000,1082198.56364325,-991000,-50933000,-3797000,-3797000,-2154975.38830197,-3797000,8261000,0,832000,0.18038,0.0149,-0.14475,-0.754215865789577,-0.409964258975857,-0.03919,1.81519000867066,1.09208797666934,0.326322831110251,-0.7016,-0.7016,4.84696,8.0296852128793,0.02749,-0.467523933944644,-0.16116640904817,-184.629400189868,-230.31996049303
"2","2010_Q3",9.25,"Down",176924000,-142943000,33981000,-24544000,-24544000,9437000,-4292000,-4352000,60000,5145000,5145000.00000001,-2552000,2593000,3481000,3481000,3481000,26817000,26817000,103013000,103013000,94846000,23050000,247726000,168420000,487684000,78779000,391660000,17098000,656104000,903830000,112370000,74477000,37893000,117631000,206632000,71161000,52255000,18906000,277793000,395424000,230679000,-2299000,286232000,-6206000,508406000,508406000,903830000,2593000,5994000,3204999.99999999,-3220000,11958000,-2776000,-936000,-4634000,153000,270000,-117000,-306000,7018000,7018000,-1681487.69415098,7018000,15431000,207040000,11987000,0.19207,0.05334,0.01968,0.00685,0.00385,3.44355,2.10596,0.77777,0.22907,0.1149,0.11367,5.83965,16.78074,0.39565,0.00443,0.01524,11.67928,19.09749
"3","2010_Q4",10.58859375,"Up",169741000,-142243000,27498000,-23262000,-23262000,4236000,-4399000,-4429000,30000,-163000,-163000,944000,781000,1197000,1197000,1197000,48315000,48315000,96222000,96222000,85230000,22313000,252080000,165833000,489041000,78141000,393640000,17133000,654874000,906954000,108247000,65571000,42676000,113202000,206706000,72370000,52552000,19818000,279076000,392278000,231589000,-2305000,287429000,-2037000,514676000,514676000,906954000,781000,5979000,1589000,12359000,23636000,-1797000,0,-2016000,-6000,0,-6000,-122000,21498000,21498000,-919162.564716994,21498000,10215000,207114000,19833000,0.162,0.02496,0.00705,0.00232999999999998,0.00132,16.56892,2.22682,0.76218,0.22836,0.03947,0.03932,5.59703,16.97088,0.65397,0.00150999999999999,0.02497,15.54567,37.48796
"4","2011_Q1",11.3498387096774,"Up",144115000,-128183000,15932000,-27468000,-27468000,-11536000,-4447000,-4363000,-84000,-15983000,-92947000,16609000,-76338000,-74515000,-74515000,-74515000,60866000,60866000,70371000,70371000,77848000,33292000,242377000,145783000,421385000,66301000,298346000,16766000,568513000,810890000,93560000,56775000,36785000,100118000,206789000,63130000,37119000,23221000,269919000,370037000,232304000,-2305000,212914000,-2060000,440853000,440853000,810890000,-76338000,5915000,73698000,11213000,14941000,-2056000,0,-2263000,0,0,-2.91038304567337e-11,-999.999999999534,12677000,12677000,-126000,12551000,-5621000,207197000,-13073000,0.11055,-0.08005,-0.51705,-0.16902,-0.09189,0.175440000000002,2.42091,0.83937,0.25552,-2.45705,-2.49331,4.75204,14.53665,-0.43107,-0.10478,-0.01838,-26.03291,-12.68473
"5","2011_Q2",12.0163492063492,"Up",163563000,-133518000,30045000,-22823000,-22823000,7222000,-4431000,-4454000,23000,2791000,2791000,-1350000,1441000,8409000,8409000,8409000,104504000,104504000,95308000,95308000,92346000,23883000,316041000,142634000,373069000,65539000,299463000,8067000,515703000,831744000,112497000,71874000,40623000,112957000,206874000,58473000,38669000,19804000,265347000,378304000,234590000,-3035000,221323000,562000,453440000,453440000,831744000,1441000,5891000,3377000,-20133000,-12510000,-1322000,5.8e+07,56428000,-720000,10000,-730000,-720000,43198000,43198000,440000,43638000,13113000,207282000,-6992000,0.18369,0.04415,0.05141,0.01854,0.01011,-0.83149,2.79789,0.8343,0.24921,0.27638,0.27486,5.37594,14.90353,-0.22981,0.01169,-0.00972,7.83787,14.23124
"6","2011_Q3",9.365,"Down",208807000,-163379000,45428000,-28038000,-28038000,17390000,-4960000,-4998000,38000,12430000,12430000,-5184000,7246000,7805000.00000001,7805000.00000001,7805000.00000001,21093000,21093000,124753000,124753000,115742000,27247000,288835000,157529000,457241000,99308000,350363000,7570000,614770000,903605000,139461000,84181000,55280000,139900000,226590000,74538000,51661000,22877000,301128000,441028000,235446000,-3124000,229128000,1127000,462577000,462577000,903605000,7246000,6846000,2004000,-9791000,6257000,-2751000,-106576000,-109327000,-89000,0,-88999.9999999999,19511000,-83559000,-83559000,148000,-83411000,24236000,226998000,16878000,0.21756,0.08328,0.03738,0.01687,0.00864,2.16246,2.06458,0.95342,0.25121,0.256400000000001,0.254849999999999,6.8594,15.19585,0.55445,0.01021,0.02209,8.49583,11.84043
"7","2011_Q4",12.0706349206349,"Up",220096000,-177133000,42963000,-24602000,-24602000,18361000,-4884000,-4869000,-15000,13477000,13477000,-6094000,7383000,6914000,6914000,6914000,33055000,33055000,118325000,118325000,110967000,24352000,286699000,154483000,452457000,96991000,348551000,6915000,606940000,893639000,147307000,80533000,66774000,147715000,206667000,73684000,51370000,22314000,280351000,428066000,236209000,-3131000,236042000,-3547000,465573000,465573000,893639000,7383000,6778000,1640000,18528000,33972000,-2787000,0,-698000,-7000,0,-7000,-20052000,13222000,13222000,-1260000,11962000,25139000,207075000,46974000,0.1952,0.08342,0.03141,0.01485,0.00774,6.79404,1.94089,0.91944,0.23172,0.22627,0.22565,7.20304,15.23671,1.53731,0.00926,0.06294,6.92231,9.4777
"8","2012_Q1",15.2082258064516,"Up",174141000,-147462000,26679000,-33494000,-33494000,-6815000,-4998000,-5042000,44000,-11813000,-11813000,4959000,-6854000,-6605000,-6605000,-6605000,54117000,54117000,90595000,90595000,109270000,14872000,268854000,151974000,451227000,95265000,348326000,7636000,603201000,872055000,128007000,67320000,60687000,128424000,206746000,76949000,55801000,21148000,283695000,412119000,236980000,-3131000,229437000,-3350000,459936000,459936000,872055000,-6854000,6666000,8298000,10508000,18976000,-3466000,6857000,3390999.99999999,24000,24000,5.82076609134674e-11,-1514000,20853000,20853000,209000,21062000,-149000,207163000,1934000,0.1532,-0.03913,-0.03793,-0.01436,-0.00757,-0.29281,2.09349,0.89604,0.23756,-0.21581,-0.21487,5.68977,15.02764,0.0631900000000001,-0.00888,0.0026,-1027.15436,-22.45723
"9","2012_Q2",11.647619047619,"Down",192171000,-156690000,35481000,-28458000,-28458000,7023000,-4643000,-4674000,31000,2380000,2380000,-931000,1449000,1362000,1362000,1362000,35327000,35327000,105783000,105783000,119656000,12627000,273393000,150185000,450600000,94174000,349136000,7290000,600785000,874178000,122748000,79124000,43624000,123164000,206837000,80386000,55914000,24472000,287223000,410387000,238408000,-4019000,230799000,-1397000,463791000,463791000,874178000,1449000,6563000,2e+06,-23061000,-13080000,-2735000,-2705000,-5440000,-888000,0,-888000,-792000,-19312000,-19312000,522000,-18790000,13586000,207253000,-11279000,0.18463,0.03655,0.00709,0.00294,0.00156,-8.2812,2.21975,0.88485,0.23708,0.04434,0.04415,6.25597,15.09835,-0.36718,0.00181,-0.01501,12.65464,24.48042
"10","2012_Q3",11.1944444444444,"Down",219734000,-178008000,41726000,-25433000,-25433000,16293000,-4312000,-4627000,315000,11981000,11981000,-4066000,7915000,7906000,7906000,7906000,44063000,44063000,115149000,115149000,115943000,14440000,289595000,145774000,447228000,91999000,348261000,6968000,593002000,882597000,126230000,83218000,43012000,126647000,206528000,79105000,55823000,23282000,285633000,412280000,239087000,-4099000,238705000,-3376000,470317000,470317000,882597000,7915000,6729000,3633000,-7226000,11046000,-1413000,-4.65661287307739e-10,-1413000,-70000,10000,-80000,-510999.999999999,9122000,9122000,-386000,8735999.99999999,23022000,206945000,18449000,0.18989,0.07415,0.03598,0.01681,0.00896,2.33354,2.28663,0.8766,0.23447,0.25724,0.25701,7.14954,15.30282,0.60028,0.01045,0.02439,7.07506,9.99705
