"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",20.0960655737705,"Up",108508000,-24130000,84378000,-52391000,-25946000,-18097000,-8348000,31987000,-19254000,-19254000,12733000,12733000,-8474000,4259000,4259000,4259000,4259000,285221000,285221000,8211000,293432000,2149424000,166383000,81285000,2315807000,2609239000,79128000,21397000,18055000,39676000,38377000,31700000,117505000,2.35e+09,2354282000,2471787000,4538000,132914000,137452000,137452000,2609239000,4259000,18097000,6410000,38658000,67424000,-13249000,-13249000,0,259212000,-48147000,212496000,266671000,266671000,266671000,50084000,2.35e+09,83967000,0.77762,0.29479,0.03925,0.03099,0.00163,19.71519,2.49719,17.98291,0.90065,0.03847,0.03651,0.98,1.24142,0.75836,0,0.00171,0.0337,0,41.22632,64.55057
"2","2014_Q2",19.2787301587302,"Down",159698000,-25478000,134220000,-59886000,-20941000,-26522000,-12423000,74334000,-28428000,-28428000,45906000,45906000,-1594000,44312000,44312000,44312000,44312000,48278000,48278000,9594000,98872000,2295539000,167475000,82377000,2463014000,2561886000,88482000,24594000,42869000,21019000,38349000,38349000,126831000,2.5e+09,2503083000,2629914000,863706000,-931734000,-68028000,-68028000,2561886000,34296000,26522000,13234000,5675000,79727000,-24873000,-209959000,-270040000,150008000,-12505616.2138218,-106711000,-236943000,-236943000,-236943000,100856000,2.5e+09,83252000,0.84046,0.46547,0.27747,-0.65138,0.0173,1.87877,0.77956,-38.65929,0.97584,0.3985,0.376,1.43616,-0.61177,0.74868,2.42846,0.12909,0.03419,6.09406,24.30913,32.98251
"3","2014_Q3",18.86359375,"Down",162281000,-26171000,136110000,-58736000,-19531000,-26349000,-12856000,77374000,-28440000,-28440000,48934000,48934000,-1922000,47012000,47012000,47012000,47012000,41679000,41679000,6712000,84391000,2317623000,179663000,94565000,2497286000,2581677000,84428000,49074000,17490000,17864000,42103000,42103000,126531000,2.526e+09,2528068000,2654599000,870984000,-943906000,-72922000,-72922000,2581677000,36996000,26349000,14143000,-30994000,46494000,-32093000,-23737000,-59184000,25992000,-306000,-29356000,-6599000,-6599000,-6599000,103723000,2.526e+09,42558000,0.83873,0.47679,0.2897,-0.64469,0.01821,0.90526,0.66696,-36.40327,0.97843,0.42005,0.39932,1.44996,-0.65155,0.38025,0.5288,0.04325,0.01733,1.25891,23.9515,32.10796
"4","2014_Q4",17.66171875,"Down",128405000,-24506000,103899000,-57198000,-17743000,-26526000,-12929000,46701000,-28755000,-28755000,17946000,17946000,-665000,17281000,17281000,17281000,17281000,31334000,31334000,12293000,78627000,2337995000,178815000,93717000,2516810000,2595437000,77723000,18448000,42415000,16860000,47830000,47830000,125553000,2.546e+09,2547783000,2673336000,875559000,-953458000,-77899000,-77899000,2595437000,37313000,26526000,15073000,15874000,94786000,-69510000,-68510000,-59454000,2e+07,0,-36621000,-10345000,-10345000,-10345000,73227000,2.546e+09,20256000,0.80915,0.3637,0.13458,-0.22184,0.00666,1.17215,0.62625,-34.31798,0.98095,0.15378,0.1469,1.14263,-0.69319,0.18025,0.52906,0.03107,0.0082,3.44043,34.34069,53.84608
"5","2015_Q1",19.8206557377049,"Up",146457000,-22347000,124110000,-64013000,-22621000,-27446000,-13946000,60097000,-28963000,-28963000,31134000,31134000,-932000,30202000,30202000,30202000,30202000,35973000,35973000,7900000,77873000,2314152000,133429000,45637000,2447581000,2525454000,39857000,4409000,17528000,17920000,90083000,38529000,130021000,2570280000,2571723000,2701744000,889990000,-1066280000,-176290000,-176290000,2525454000,30202000,27446000,19447000,-24843000,52252000,-16113000,-15113000,-105426000,63926000,-635000,-32500000,4639000,4639000,4639000,87543000,2570361000,47519000,0.84742,0.41034,0.20622,-0.17132,0.01196,1.57337,0.59893,-15.32557,1.01778,0.2681,0.25785,1.30008,-1.56491,0.42182,0.93586,0.05662,0.01984,3.4907,28.95021,42.17162
"6","2015_Q2",21.88,"Up",150092000,-22587000,127505000,-62705000,-21539000,-27411000,-13755000,64800000,-28967000,-28967000,35833000,35833000,-2702000,33131000,33131000,33131000,33131000,45367000,45367000,9036000,87866000,2293536000,171075000,85169000,2464611000,2552477000,59447000,3301000,42431000,13715000,106879000,41369000,166425000,2576364000,2577102000,2743527000,904750000,-1095800000,-191050000,-191050000,2552477000,33131000,27411000,19985000,20232000,100759000,-6586000.00000001,-6084000.00000001,-62651000,-33024000,0,-85281000,9394000,9394000,9394000,92211000,2576463000,108559000,0.84951,0.43174,0.22074,-0.17342,0.01298,3.27666,0.52796,-14.36026,1.0094,0.29148,0.27959,1.32047,-1.6808,0.95507,0.55119,0.04014,0.0455,1.89101,27.44896,39.06012
"7","2015_Q3",19.72265625,"Down",151224000,-23805000,127419000,-64548000,-23722000,-27617000,-13209000,62871000,-2.9e+07,-2.9e+07,33871000,33871000,-1882000,31989000,31989000,31989000,31989000,31059000,31059000,5389000,69373000,2270078000,176523000,90117000,2446601000,2515974000,38430000,2441000,17514000,18475000,126052000,46586000,164582000,2566339000,2566705000,2731287000,911369000,-1126682000,-215313000,-215313000,2515974000,31989000,27617000,19001000,-17297000,61310000,-5793000,-5257000,-62871000,-10024000,0,-70361000,-14308000,-14308000,-14308000,90488000,2566439000,69280000,0.84258,0.41575,0.21153,-0.14857,0.01271,2.16574,0.42151,-12.68519,1.02006,0.2798,0.26794,1.3227,-1.88326,0.60597,0.54991,0.04034,0.02946,1.96539,28.01896,40.3267
"8","2015_Q4",17.673125,"Down",149241000,-22934000,126307000,-61016000,-19285000,-27557000,-14174000,65291000,-30645000,-30645000,34646000,34646000,-1417000,33229000,33229000,33229000,33229000,42740000,42740000,9318000,84446000,2245298000,186371000,99305000,2431669000,2516115000,65822000,2637000,42533000,20652000,145128000,51705000,211051000,2541313000,2541650000,2752701000,919815000,-1156401000,-236586000,-236586000,2516115000,33229000,27557000,21181000,22789000,104756000,-3311000,-2735999.99999999,-62948000,-25025000,-6688000,-90339000,11681000,11681000,11681000,92848000,2541414000,113743000,0.84633,0.43749,0.22265,-0.14045,0.01321,3.423,0.40012,-11.6351,1.01005,0.29011,0.27979,1.30296,-2.06553,0.99304,0.54957,0.04172,0.04934,1.89437,26.91145,38.26981
"9","2016_Q1",17.1840983606557,"Down",130091000,-22043000,108048000,-43595000,-18311000,-27198000,1914000,64453000,-33239000,-33239000,31214000,31214000,-1441000,29773000,29773000,29773000,29773000,41875000,41875000,7908000,79133000,2219806000,149216000,61671000,2369022000,2448155000,41328000,406000,17623000,23299000,149768000,42389000,191096000,2510341000,2510573000,2701669000,936376000,-1189890000,-253514000,-253514000,2448155000,29773000,27198000,25857000,-29965000,52863000,-3102000,-65000,-63262000,-25000,-2812000,-53663000,-865000,-865000,-865000,91651000,2510341000,60025000,0.83056,0.49545,0.22886,-0.11744,0.01216,2.01609,0.4141,-10.65688,1.0254,0.25846,0.25424,1.12934,-2.2008,0.52109,0.54919,0.04122,0.02659,2.12481,26.93332,38.2987
"10","2016_Q2",21.34015625,"Up",150201000,-22368000,127833000,-60196000,-20906000,-27083000,-12207000,67637000,-32884000,-32884000,34753000,34753000,-2004000,32749000,32749000,32749000,32749000,61561000,61561000,7361999.99999988,96735999.9999999,2193131000,146362000,58764000,2339493000,2436229000,60777000,490000,42848000,17439000,165076000,43741000,225957000,2468881000,2469087000,2695044000,963996000,-1222811000,-258815000,-258815000,2436229000,32749000,27083000,24016000,20010000,103858000,-394000,1143000.00000012,-65670000,-42024999.9999999,-709000,-85315000.0000001,19686000,19686000,19686000,94720000,2468985000,116340000,0.85108,0.45031,0.21803,-0.12653,0.01344,3.55247,0.42812,-10.41301,1.01345,0.2807,0.27563,1.28739,-2.21833,0.99716,0.56286,0.04453,0.05263,2.00525,25.41622,35.5933
