"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.24875,"Down",1301000,-4112000,-2811000,-9475000,-3555000,-5920000,-12286000,-10000,-10000,-12296000,-11850000,-11850000,-11850000,-11850000,-11850000,27622266.6902073,27591591.2379608,1140506.75529013,1140506.75529013,37378101.2280301,3651279.4863347,4077060.34458492,2281097.33702144,1795963.00756348,7728339.83091962,45106441.0589497,10069806.4111221,5440197.53504957,4629608.87607257,21118.704187529,10241454.0765769,1285011.95092451,1285011.84998792,1594273.3127306,11835727.3893075,397421643.319829,-364123028.778627,33270713.6696422,33270713.6696422,45106441.0589497,-11850000,387000,2150000,-3447000,-12760000,-511000,-511000,12328000,12328000,12293000,-978000,-978000,-978000,-11899000,0,-2.16065,-9.4435,-9.10838,-0.841460981260326,-0.292187414916627,3.31477422634655,0.946909992376987,0.010154371744986,-1.06069,-1.06059,0.11645,37.0736145520456,-0.685850571475439,2.39766998873668,1.95045765408109
"2","2011_Q1",14.1693548387097,"Down",683000,-7465000,-6782000,-8631000,-3992000,-4639000,-15413000,153000,149000,-15260000,-15420000,-15420000,-15420000,-15420000,-15420000,19426000,19413000,1007000,1007000,27624000,4169000,3440000,2233000,1207000,7609000,35233000,11800000,7665000,4135000,81000,12006000,1121000,1121000,1394000,13400000,400893000,-379030000,21833000,21833000,35233000,-15420000,635000,6484000,-2867000,-11168000,-227000,2245000,9712000,9712000,9678000,755000,755000,755000,-14778000,398000,-9.92972,-22.56662,-22.57687,-0.70627,-0.43766,2.30085,0.61375,0.0113,-10.84102,-10.84102,0.48018,15.34968,-0.66033,1.28759,1.23454
"3","2011_Q2",10.2479365079365,"Down",1119000,-2539000,-1420000,-7626000,-3299000,-4327000,-9046000,2000,0,-9044000,-9037000,-9037000,-9037000,-9037000,-9037000,13261994.4365976,13254302.9206797,1176997.74823662,1176997.74823662,20770549.5906566,3973240.17122177,3214479.88513836,2186050.88765952,1028428.99747884,7187720.05636013,27958269.6470168,11666731.1962926,7724934.15498348,3941797.04130914,67210.4319374904,11852848.641141,825162.683025164,825162.716670692,1065075.56242313,12917924.2035642,404418785.560057,-389346323.740458,15040345.4434526,15040345.4434526,27958269.6470168,-9037000,565000,786000,-455000,-8141000,-57000,113000,3116000,3116000,3084000,-4944000,-4944000,-4944000,-8481000,0,-1.26899,-8.084,-8.07596,-0.612649672913225,-0.444285028361124,1.75324942455115,0.588124169207671,0.012912709418338,-0.70398,-5.63185,0.08717,4.47648014931814,-0.608624809508187,0.95314500375444,0.974109948639636
"4","2011_Q3",7.88625,"Down",1155000,-3380000,-2225000,-7055000,-3577000,-3478000,-9280000,105000,107000,-9175000,-9175000,-9175000,-9175000,-9175000,-9175000,9348000,9339000,1416000,1416000,16490000,3380000,3189000,2140000,1049000,6569000,23059000,10811000,6785000,4026000,47000,10982000,497000,497000,705000,11687000,408648000,-397242000,11372000,11372000,23059000,-9175000,619000,1811000,-646000,-7391000,-131000,-131000,2426000,2426000,2392000,-5130000,-5130000,-5130000,-8661000,332000,-1.92641,-8.03463,-7.94372,-0.80681,-0.39789,1.50155,1.0277,0.0144,-0.691309999999999,-5.53044,0.08703,0.856839999999998,-0.75199,1.04099,0.97155
"5","2011_Q4",4.42793650793651,"Down",1839000,-2720000,-881000,-6947000,-3306000,-3641000,-7828000,34000,34000,-7794000,-7790000,-7790000,-7790000,-7790000,-7790000,9377000,9369000,1377000,1377000,16074000,2736000,3143000,2094000,1049000,5879000,21953000,10733000,6301000,4432000,50000,10914000,253000,253000,428000,11342000,415678000,-405032000,10611000,10611000,21953000,-7790000,896000,798000,-177000,-6273000,-293000,13000,6316000,6316000,6290000,30000,30000,30000,-6932000,306000,-0.47906,-4.25666,-4.236,-0.73414,-0.35485,1.47279,1.06889,0.01394,-0.57049,-0.57049,0.13468,0.77708,-0.6974,1.30857,1.15879
"6","2012_Q1",3.3358064516129,"Down",1504000,-4426000,-2922000,-6965000,-3132000,-3833000,-9887000,81000,81000,-9806000,-9806000,-9806000,-9806000,-9806000,-9806000,13075000,13075000,863000,863000,18655000,2347000,2868000,2048000,820000,5215000,23870000,12454000,7341000,5113000,156000,12742000,187000,187000,326000,13068000,425675000,-414838000,10802000,10802000,23870000,-9806000,511000,1173000,2040000,-6082000,-58000,175000,9648000,9648000,9613000,3706000,3706000,3706000,-9376000,271000,-1.94282,-6.5738,-6.51995,-0.90779,-0.41081,1.46406,1.20978,0.01135,-0.61626,-0.61626,0.09452,0.67886,-0.87087,1.36561,1.29503
"7","2012_Q2",2.13650793650794,"Down",1730000,-4330000,-2600000,-7228000,-3288000,-3940000,-9828000,25000,25000,-9803000,-9803000,-9803000,-9803000,-9803000,-9803000,6821000,6808000,988000,988000,9317000,1984000,2472000,2002000,470000,4456000,13773000,11437000,6406000,5031000,602000,12175000,119000,119000,221000,12396000,426048000,-424641000,1377000,1377000,13773000,-9803000,659000,1423000,1530000,-6191000,-393000,-43000,16458655.3018039,16458655.3018039,-33000,-6267000,-6267000,-6267000,-9169000,238000,-1.50289,-5.68092,-5.66647,-7.1191,-0.71175,0.76526,9.00218,0.01728,-0.57573,-0.57573,0.1016,0.08087,-5.6534,0.71796,0.66982
"8","2012_Q3",2.08063492063492,"Down",1295000,33000,1328000,-6291000,-3064000,-3227000,-4963000,-8999.99999999999,-9000.00000000001,-4972000,-4971000,-4971000,-4971000,-4971000,-4971000,14764000,14764000,513000,513000,16701000,1650000,2414000,1956000,458000,4064000,20765000,8786000,4348000,4438000,187000,9114000,48000,48000,112000,9226000,441151000,-429612000,11539000,11539000,20765000,-4971000,313000,468000,-2631000,-6821000,-6000,5000,14805000,14805000,14772000,7956000,7956000,7956000,-4650000,205000,1.02548,-3.83243,-3.83861,-0.4308,-0.23939,1.83246,0.79955,0.00987,-0.25935,-0.25935,0.06756,0.60202,-0.42156,3.13097,2.93351
"9","2012_Q4",2.27709677419355,"Up",2613000,-1138000,1475000,-5522000,-2425000,-3097000,-4047000,156000,156000,-3891000,-3845000,-3845000,-3845000,-3845000,-3845000,10743000,10743000,618000,618000,12962000,1465000,2368000,1910000,458000,3833000,16795000,7964000,3877000,4087000,86000,8187000,0,0,34000,8221000,442031000,-433457000,8574000,8574000,16795000,-3845000,308000,8e+05,-1202000,-3939000,-32000,-32000,-16000,-16000,-50000,-4021000,-4021000,-4021000,-3739000,171000,0.56449,-1.54879,-1.47149,-0.44845,-0.22894,1.58324,0.95883,0.01018,-0.15365,-0.15365,0.10442,0.34263,-0.43968,2.82749,2.61231
"10","2013_Q1",1.77083333333333,"Down",2727000,-1489000,1238000,-5062000,-2475000,-2587000,-3824000,-210000,-210000,-4034000,-4074000,-4074000,-4074000,-4074000,-4074000,6850000,6850000,1233000,1233000,9695000,1205000,2038000,1580000,458000,3243000,12938000,7042000,3035000,4007000,707000,7864000,0,0,20000,7884000,442585000,-437531000,5054000,5054000,12938000,-4074000,349000,791000,-736000,-3670000,-22000,-22000,-165000,-165000,-201000,-3893000,-3893000,-3893000,-3475000,135000,0.45398,-1.40227,-1.49395,-0.80609,-0.31489,1.23283,1.55995,0.01043,-0.16191,-0.16191,0.10838,0.20086,-0.78512,1.93237,1.75601
"11","2013_Q2",2.44015625,"Up",1801000,-801000,1e+06,-4655000,-2403000,-2252000,-3655000,-6000,-6000,-3661000,-3654000,-3654000,-3654000,-3654000,-3654000,3310000,3310000,711000,711000,5744000,1003000,1993000,1540000,453000,2996000,8740000,5815000,2314000,3501000,1055000,6963000,0,0,5000,6968000,442957000,-441185000,1772000,1772000,8740000,-3654000,279000,383000,-510000,-3502000,-2000,-1000,0,0,-37000,-3540000,-3540000,-3540000,-3376000,98000,0.55525,-2.02943,-2.02887,-2.06208,-0.41808,0.82493,3.93228,0.01121,-0.14477,-0.14477,0.07135,0.07021,-1.95401,0.95142,0.8788
"12","2013_Q3",2.16796875,"Down",1870000,-863000,1007000,-4440000,-2101000,-2339000,-3433000,-4000,-4000,-3437000,-3436000,-3436000,-3436000,-3436000,-3436000,6003000,6003000,317000,317000,7452000,1191000,1954000,1501000,453000,3145000,10597000,5359000,2106000,3253000,4646000,10065000,330000,330000,330000,10395000,444823000,-444621000,202000,202000,10597000,-3436000,286000,399000,-42999.9999999999,-2794000,-82000,-82000,5607000,5607000,5569000,2693000,2693000,2693000,-3147000,60000,0.5385,-1.83583,-1.83743,-17.0099,-0.32424,0.74039,51.4604,0.00566,-0.12966,-0.12966,0.07057,0.00762,-5.80405,1.88847,1.73114
"13","2013_Q4",1.4390625,"Down",964000,-84000,880000,-5025000,-2132000,-2893000,-4145000,401000,401000,-3744000,-3667000,-3667000,-3667000,-3667000,-3667000,8321000,8321000,432000,432000,8918000,1182000,1915000,1462000,453000,3097000,12015000,4823000,1809000,3014000,6925000,11777000,428000,428000,428000,12205000,448098000,-448288000,-190000,-190000,12015000,-3667000,280000,51000,-317000,-3653000,-154000,-154000,6156000,6156000,6125000,2318000,2318000,2318000,-3865000,29000,0.91286,-4.29979,-3.80394,19.3,-0.3052,0.75724,-64.23684,0.00241,-0.12877,-0.12877,0.03385,-0.00667,-13.73408,2.14541,2.00048
