"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.1211111111111,"Down",463808000,-325974000,-300377000,-25597000,137834000,-172315000,-11374000,-11374000,-160941000,-34481000,-34481000,-34481000,-6413000,-40894000,-40894000,7360000,-33534000,-33534000,2031473565.22296,2031473565.22296,-456863252.75822,-456863252.75822,1334436872.65125,1334436872.65125,2909047185.11599,96089840.0057126,-350433977.82107,453857231.537954,405360350.644208,48496880.7032357,199513093.722597,3108560278.83859,959918327.296315,959918327.296315,14342948.9072902,14342948.9072902,974261276.203606,1249796433.33748,33.2118781012458,1249796433.38062,2224057709.58422,820486716.895857,110466974.922195,-206659962.537149,724293729.280902,160208839.973465,884502569.254367,3108560278.83859,-40894000,5221000,155635000,-350809000,-230847000,-2305000,77035000,-10791000,-592000,-980000,-980000,-35337000,-47700000,-201512000,-201512000,-11710000,-213222000,-29260000,0,-375961000,0.29718,-0.07434,-0.0723,0.152963997833309,0.0436635687223999,11.21134,2.54150185255157,2.16278232649397,0.434579892566621,-0.3737,-0.3737,5.16858,7.40799485465385,-4.18963,0.12025,0.0729297352369783,0.174331989143658,-0.32179,-6.37681094552478,-6.92938570261919
"2","2010_Q3",17.68453125,"Down",443153000,-287139000,-263021000,-24118000,156014000,-88963000,-10996000,-10996000,-77967000,67051000,67051000,67051000,-13523000,53528000,53528000,-8956000,44572000,44572000,797432000,797432000,58940000,58940000,585118000,585118000,1441490000,143616000,677203000,546575000,306833000,239742000,1367394000,2808884000,227630000,227630000,749301000,749301000,976931000,1247015000,18.451043389581,1247015000,2223946000,512892000,35487000,-117794000,430585000,154353000,584938000,2808884000,53528000,4901000,56114000,24893999.9999999,139437000,-2906000,21977000,-12231000,-5359000,-21753000,-21753000,-16690000,-56033000,105381000,105381000,-12056000,93324999.9999999,71952000,1247015000,107463000,0.35205,0.1513,0.10058,0.0762,0.01587,2.411,1.47553,3.80202,0.44395,0.43053,0.34752,4.28055,4.15916,1.03802,0.11814,0.03101,0.05866,0.27441,6.24837,6.70509
"3","2010_Q4",20.79734375,"Up",477310000,-306601000,-282528000,-24073000,170709000,-91242000,-12037000,-12037000,-79205000,79467000,79467000,79467000,-9113000,70354000,70354000,-6263000,64091000,64091000,847431000,847431000,137818000,137818000,674108000,674108000,1659357000,154177000,712283000,597881000,318541000,279340000,1464341000,3123698000,320663000,320663000,918442000,918442000,1239105000,1248599000,7.38041735583241,1248599000,2487704000,475742000,83348000,-70519000,488571000,147423000,635994000,3123698000,70354000,6009000,51773000,9912000,138048000,-4561000,14232000,-13692000,-4537000,-83583000,-83583000,-20230000,-122042000,30238000,30238000,19761000,49999000,85476000,1248599000,99940000,0.35765,0.16649,0.13428,0.10077,0.02052,1.55935,1.33916,3.91152,0.39972,0.57709,0.3397,4.2978,4.3992,0.89988,0.12329,0.04127,0.05303,0.21363,4.69334,5.04823
"4","2011_Q1",24.096935483871,"Up",618806000,-372163000,-348242000,-23921000,246643000,-115030000,-13167000,-13167000,-101863000,131613000,131613000,131613000,-20178000,111435000,111435000,-11585000,99850000,99850000,1209695000,1209695000,63490000,63490000,954664000,954664000,2227849000,150524000,417410000,626749000,361439000,265310000,1194683000,3422532000,498880000,498880000,877782000,877782000,1376662000,1249753000,0,1249753000,2626415000,532088000,166468000,-46158000,652398000,143719000,796117000,3422532000,111435000,6581000,77971000,-73827000,122160000,-3178000,298481000,-13867000,23703000,-43665000,-43665000,-18282000,-52111000,368530000,368530000,-6266000,362264000,138194000,1249753000,81367000,0.39858,0.21269,0.16136,0.12542,0.02917,0.81489,1.6183,3.29903,0.36515,0.88111,0.67825,5.46056,5.75699,0.71801,0.12237,0.05558,0.03977,0.13888,0.28987,0.30436
"5","2011_Q2",22.0385714285714,"Down",461341000,-293317000,-269999000,-23318000,168024000,-94578000,-13251000,-13251000,-81327000,73446000,73446000,73446000,-13463000,59983000,59983000,-4976000,55007000,55007000,1015934000,1015934000,93850000,93850000,843741000,843741000,1953525000,153572000,407147000,645116000,362837000,282279000,1205835000,3159360000,134836000,134836000,933749000,933749000,1068585000,1250314000,-3.6902086779162,1250314000,2318899000,515627000,204666000,-26567000,693726000,146735000,840461000,3159360000,59983000,5916000,101587000,-237172000,-69686000,-1910000,-1910000,-14115000,-114000,-32689000,-32689000,-85018000,-131936000,-203532000,-203532000,9771000,-193761000,79362000,1250314000,-146257000,0.36421,0.1592,0.11923,0.06545,0.01741,-2.65888,1.82814,2.75908,0.39575,0.47693,0.3969,4.00002,6.01489,-1.26811,0.12238,0.03306,-0.06995,0.2566,2.9533,3.19119
"6","2011_Q3",16.69,"Down",500605000,-309793000,-286480000,-23313000,190812000,-101610000,-13507000,-13507000,-88103000,89202000,89202000,89202000,-17636000,71566000,71566000,-9562000,62004000,62004000,984012000,984012000,100513000,100513000,780734000,780734000,1865259000,153006000,435139000,627610000,365441000,262169000,1215755000,3081014000,183660000,183660000,789611000,789611000,973271000,1249951000,-3.6902086779162,1249951000,2223222000,483710000,244633000,-17827000,710516000,147276000,857792000,3081014000,71566000,5904000,66306000,-59223000,84553000,-3567000,-3567000,-18740000,-434999.999999993,-93548000,-93548000,-9823000,-122546000,-41560000,-41560000,9638000,-31922000,95106000,1249951000,49952000,0.38116,0.17819,0.12386,0.07228,0.02012,0.80563,1.91648,2.5918,0.40569,0.52057,0.44496,4.20297,5.96534,0.41939,0.15734,0.03831,0.0237,0.30224,2.79624,2.98131
"7","2011_Q4",14.0293650793651,"Down",484583000,-295696000,-273532000,-22164000,188887000,-101149000,-14019000,-14019000,-87130000,87738000,87738000,87738000,-20605000,67133000,67133000,-4434000,62699000,62699000,989894000,989894000,141246000,141246000,788230000,788230000,1919370000,150708000,346912000,719479000,394382000,325097000,1217099000,3136469000,250252000,250252000,869809000,869809000,1120061000,1098426000,0,1098426000,2218487000,545436000,285575000,-57712000,773299000,144683000,917982000,3136469000,67133000,6356000,47045000,146219000,266753000,-11447000,-11447000,-18554000,-167060000,-32380000,-32380000,-12258000,-230252000,25054000,25054000,-19172000,5882000,94094000,1098426000,249471000,0.38979,0.18106,0.12939,0.0683,0.01999,3.97887,1.71363,2.4167,0.35021,0.52993,0.45813,4.09567,6.53588,2.10852,0.15682,0.0403,0.12372,0.29592,1.15344,1.237
"8","2012_Q1",16.4998387096774,"Up",473109000,-360265000,-338934000,-21331000,112844000,-127731000,-12016000,-12016000,-115715000,-14887000,-14887000,-14887000,6764000,-8123000,-8123000,3330000,-4793000,-4793000,1003791000,1003791000,83111000,83111000,782887000,782887000,1869789000,168429000,378521000,665197000,393099000,272098000,1212147000,3081936000,383513000,383513000,734633000,734633000,1118146000,1096934000,0,1096934000,2215080000,555861000,258646000,-88364000,726143000,140713000,866856000,3081936000,-8123000,6404000,86306000,31595000,116182000,-28353000,-28353000,-19163000,-750000,-46218000,-46218000,-1493999.99999999,-67625000,20204000,20204000,-6307000,13897000,-8483000.00000001,1096934000,-12005000,0.23852,-0.03147,-0.01013,-0.00553,-0.00156,2.50469,1.67222,2.5553,0.35592,-0.0401500000000001,-0.03531,3.96338,6.08313,-0.10057,0.16053,0.00732,-0.00611,-3.99812,-10.97996,-6.25667
"9","2012_Q2",14.46,"Down",506461000,-358739000,-338317000,-20422000,147722000,-109899000,-13451000,-13451000,-96448000,37823000,37823000,37823000,-8767000,29056000,29056000,-3504000,25552000,25552000,765686000,765686000,71152000,71152000,783620000,783620000,1620458000,190080000,378273000,719187000,395962000,323225000,1287540000,2907998000,210439000,210439000,740040000,740040000,950479000,1096741000,0,1096741000,2047220000,548137000,262100000,-71903000,738334000,122444000,860778000,2907998000,29056000,6975000,95055000,-213293000,-82207000,-25239000,-25239000,-19164000,-768000,-70540000,-70540000,-48182000,-138654000,-246100000,-246100000,7995000,-238105000,44798000,1096741000,-184967000,0.29167,0.07468,0.05045,0.02968,0.00879,-7.23885,1.70489,2.37834,0.37715,0.21431,0.18707,4.24778,6.19254,-1.55135,0.16073,0.02284,-0.09449,0.75,7.38995,8.75274
"10","2012_Q3",16.1455555555556,"Up",457231000,-303713000,-283392000,-20321000,153518000,-108985000,-12670000,-12670000,-96315000,44533000,44533000,44533000,-10371000,34162000,34162000,-3341000,30821000,30821000,751238000,751238000,80790000,80790000,805819000,805819000,1637847000,198289000,439683000,702035000,394168000,307867000,1340007000,2977854000,251120000,251120000,805183000,805183000,1056303000,1095143000,0,1095143000,2151446000,533914000,264682000,-94171000,704425000,121983000,826408000,2977854000,34162000,7825000,81706000,-6996999.99999997,116696000,-21649000,-21649000,-23847000,-617000,-81873000,-81873000,6083000.00000001,-100254000,-5206999.99999994,-5206999.99999994,-9241000,-14448000,52358000,1095143000,34083000,0.33576,0.0974,0.06741,0.0373,0.01035,1.10584,1.55055,2.60337,0.36776,0.26068,0.22892,3.86713,5.95782,0.28826,0.20169,0.02845,0.01774,0.773730000000001,6.56834,7.72248
