"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",9.50936507936508,"Up",40936000,-4116000,36820000,-40751000,-31460000,-9291000,-3931000,-186000,-4117000,-4117000,-272000,-4389000,-4389000,-4389000,-4389000,112041000,41688000,70353000,30125000,30125000,3932000,3932000,146098000,9231000,545000,545000,9776000,155874000,23141000,944000,22197000,46434000,46434000,69575000,9976000,9976000,9976000,79551000,185610000,-109666000,379000,76323000,76323000,155874000,-4389000,544000,3456000,2584000,2195000,-1127000,-18034000,-19161000,2552000,2552000,-14414000,-14414000,-14414000,-3387000,0,-1658000,0.89945,-0.09603,-0.10722,-0.05751,-0.02816,0.37776,2.09986,1.04229,0,-0.05522,-0.05522,0.51507,0.96032,-0.02086,-0.05086,-0.01921,33.07972,28.50191
"12","2017_Q1",9.57290322580645,"Up",55816000,-4404000,51412000,-43102000,-33475000,-9627000,8310000,-739000,7571000,7571000,-532000,7039000,7039000,7039000,7039000,113808000,48315000,65493000,53861000,53861000,3650000,3650000,171319000,9910000,609000,609000,10519000,181838000,29767000,1288000,28479000,58478000,58478000,88245000,10854000,10854000,10854000,99099000,189362000,-106144000,-479000,82739000,82739000,181838000,7039000,570000,13008000,-17806000,2811000,-1249000,4817000,3568000,269000,269000,6648000,6648000,6648000,8880000,-2.22044604925031e-16,-9643000,0.9211,0.14888,0.12611,0.08507,0.03871,-1.36994,1.9414,1.19773,4.13590306276514e-25,0.08774,0.08774,0.69572,1.03131,-0.1202,0.07521,-0.10303,-12.81622,-13.69531
"13","2017_Q2",11.457619047619,"Up",39593000,-4693000,34900000,-46832000,-36423000,-10409000,-11932000,469000,-11463000,-11463000,-2e+05,-11663000,-11663000,-11663000,-11663000,121320000,51070000,70250000,27466000,27466000,7792000,7792000,156578000,10786000,778000,778000,11564000,168142000,23161000,1582000,21579000,54576000,54576000,77737000,11135000,11135000,11135000,88872000,197264000,-119639000,1645000,79270000,79270000,168142000,-11663000,622000,7431000,11907000,8297000,-1498000,-4897000,-6395000,882000,882000,2784000,2784000,2784000,-11310000,0,-701000,0.88147,-0.30137,-0.29457,-0.14713,-0.06936,0.0601,2.0142,1.12113,0,-0.14425,-0.14425,0.48969,0.98041,-0.00867,-0.12901,-0.00775,10.72679,10.16762
"14","2017_Q3",12.9103174603175,"Up",49431000,-4881000,44550000,-50657000,-39159000,-11498000,-6107000,950000,-5157000,-5157000,-580000,-5737000,-5737000,-5737000,-5737000,121578000,53539000,68039000,41313000,41313000,7571000,7571000,170462000,11160000,818000,818000,11978000,182440000,32117000,1348000,30769000,57457000,57457000,89574000,10634000,10634000,10634000,100208000,204778000,-124674000,2128000,82232000,82232000,182440000,-5737000,662000,8271000,-4109000,-913000,-1034000,2181000,1147000,2255000,2255000,2489000,2489000,2489000,-5445000,0,-10008000,0.90126,-0.12355,-0.11606,-0.06977,-0.03145,1.74447,1.90303,1.2186,-1.32348898008484e-23,-0.06999,-0.06999,0.60307,1.00325,-0.1221,-0.06178,-0.10777,22.32837,19.90797
"15","2017_Q4",15.6850793650794,"Up",53365000,-5423000,47942000,-51069000,-39166000,-11903000,-3127000,622000,-2505000,-2505000,-759000,-3264000,-3264000,-3264000,-3264000,128441000,53478000,74963000,44680000,44680000,5500000,5500000,178621000,11512000,861000,861000,12373000,190994000,33532000,1366000,32166000,58383000,58383000,91915000,12035000,12035000,12035000,103950000,214023000,-127988000,1009000,87044000,87044000,190994000,-3264000,686000,8021000,-1981000,3462000,-1026000,-6966000,-7992000,4463000,4463000,-67000,-67000,-67000,-2441000,0,-4689000,0.89838,-0.0586,-0.06116,-0.0375,-0.01709,1.43658,1.94333,1.19422,0,-0.03943,-0.03943,0.64461,1.05143,-0.05664,-0.03294,-0.04733,52.61819,41.07483
"16","2018_Q1",18.5149180327869,"Up",73001000,-5717000,67284000,-59537000,-45978000,-13559000,7747000,321000,8068000,8068000,-1248000,6820000,6820000,6820000,6820000,136557000,56689000,79868000,75596000,75596000,14346000,14346000,226499000,11896000,7243000,7243000,19139000,245638000,43088000,635000,42453000,73493000,73493000,116581000,14415000,14415000,14415000,130996000,223896000,-109390000,136000,114642000,114642000,245638000,6820000,1358000,8683000,-11356000,5505000,-1736000,34706000,-6761000,4483000,4483000,3227000,3227000,3227000,9105000,0,-2739000,0.92169,0.10612,0.09342,0.05949,0.02776,-0.40161,1.94285,1.14265,0,0.08119,0.08119,0.86902,1.36472,-0.03261,0.05284,-0.02122,-14.99802,-17.62708
"17","2018_Q2",23.974375,"Up",53528000,-6442000,47086000,-62583000,-47041000,-15542000,-15497000,978000,-14519000,-14519000,-527000,-15046000,-15046000,-15046000,-15046000,153670000,70778000,82892000,32468000,32468000,18933000,18933000,205071000,12180000,7674000,7674000,19854000,224925000,36673000,483000,36190000,68481000,68481000,105154000,14292000,14292000,14292000,119446000,231889000,-124437000,-1973000,105479000,105479000,224925000,-15046000,797000,10252000,21441000,17444000,-1081000,-3341000,-4422000,1066000,1066000,14088000,14088000,14088000,-14700000,0,6187000,0.87965,-0.28951,-0.28109,-0.14264,-0.06689,-0.41121,1.9502,1.13241,0,-0.17683,-0.17683,0.62909,1.23965,0.07271,-0.12562,0.05166,10.45374,9.91611
"18","2018_Q3",24.2773015873016,"Up",62190000,-6440000,55750000,-67055000,-49338000,-17717000,-11305000,-811000,-12116000,-12116000,-567000,-12683000,-12683000,-12683000,-12683000,158681000,73636000,85045000,41393000,41393000,16927000,16927000,217001000,12342000,7724000,7724000,20066000,237067000,47392000,1899000,45493000,71663000,71663000,119055000,14207000,14207000,14207000,133262000,243762000,-137119000,-2838000,103805000,103805000,237067000,-12683000,829000,11962000,2831000,2939000,-989000,-2143000,-3132000,3025000,3025000,2832000,2832000,2832000,-10476000,-9.09494701772928e-13,-8067000,0.89645,-0.18178,-0.20394,-0.12218,-0.0535,0.63605,1.8227,1.28377,-1.6940658945086e-21,-0.14618,-0.14618,0.7168,1.19645,-0.09298,-0.10747,-0.06836,15.1471,14.03636
"19","2018_Q4",19.7344444444444,"Down",67052000,-7052000,6e+07,-66833000,-49566000,-17267000,-6833000,99000,-6734000,-6734000,-583000,-7317000,-7317000,-7317000,-7317000,158082000,67868000,90214000,52938000,52938000,14665000,14665000,225685000,12593000,7601000,7601000,20194000,245879000,49249000,3145000,46104000,72544000,72544000,121793000,14025000,14025000,14025000,135818000,256239000,-144436000,-1742000,110061000,110061000,245879000,-7317000,854000,11651000,-9306000,-4118000,-1080000,-5168000,-6248000,4078000,4078000,-6288000,-6288000,-6288000,-5979000,0,-15782000,0.89483,-0.10191,-0.10912,-0.06648,-0.02976,2.15689,1.85302,1.23402,0,-0.08329,-0.08329,0.7633,1.2529,-0.17966,-0.05897,-0.12719,26.43954,23.13508
"20","2019_Q1",18.9731147540984,"Down",87518000,-7749000,79769000,-75269000,-55824000,-19445000,4500000,704000,5204000,5204000,1264000,6468000,6468000,6468000,6468000,158915000,48707000,110208000,83223000,83223000,16952000,16952000,259090000,17323000,8565000,8565000,25888000,284978000,58611000,2620000,55991000,87729000,87729000,146340000,13268000,13268000,13268000,159608000,266971000,-137968000,-3633000,125370000,125370000,284978000,6468000,1676000,14254000,-15118000,7280000,-6406000,-19941000,-26386000,-55000,-55000,-19161000,-19161000,-19161000,6176000,7.27595761418343e-12,-16612000,0.91146,0.05142,0.0739,0.05159,0.0227,-2.56834,1.77047,1.2731,-1.35525271560688e-20,0.07304,0.07304,0.9883,1.41574,-0.18759,0.04665,-0.11982,-25.73106,-35.31444
"21","2019_Q2",21.4838095238095,"Up",56360000,-8326000,48034000,-70035000,-51267000,-18768000,-22001000,-128000,-22129000,-22129000,-510000,-22639000,-22639000,-22639000,-22639000,163631000,64461000,99170000,41796000,41796000,14899000,14899000,220326000,21065000,64055000,64055000,85120000,305446000,50925000,624000,50301000,81844000,81844000,132769000,62682000,62682000,62682000,195451000,271290000,-160607000,-688000,109995000,109995000,305446000,-22639000,1337000,14010000,21347000,14055000,-5103000,11036000,5933000,-4234000,-4234000,15754000,15754000,15754000,-20664000,0,-3910000,0.85227,-0.39037,-0.40169,-0.20582,-0.07412,0.17271,1.65947,1.77691,0,-0.253,-0.253,0.62983,1.22922,-0.0437,-0.13111,-0.02264,7.91865,7.43743
"22","2019_Q3",22.23515625,"Up",59621000,-8398000,51223000,-75229000,-55507000,-19722000,-24006000,65000.0000000002,-23941000,-23941000,-547000,-24488000,-24488000,-24488000,-24488000,146332000,69159000,77173000,45563000,45563000,15235000,15235000,207130000,24351000,72539000,72539000,96890000,304020000,56093000,2299000,53794000,79078000,79078000,135171000,68655000,68655000,68655000,203826000,285031000,-185095000,258000,100194000,100194000,304020000,-24488000,1479000,19744000,-7837000.00000001,-11102000,-4765000,22028000,17263000,-1463000,-1463000,4698000.00000001,4698000.00000001,4698000.00000001,-22527000,-1.16415321826935e-10,-34582000,0.85914,-0.40264,-0.41073,-0.24441,-0.08055,1.4122,1.53236,2.03431,0,-0.26949,-0.26949,0.65613,1.10264,-0.38057,-0.14503,-0.20481,6.49585,6.09564000000001
"23","2019_Q4",23.75078125,"Up",65649000,-8768000,56881000,-72856000,-52456000,-20400000,-15975000,-482000,-16457000,-16457000,-530000,-16987000,-16987000,-16987000,-16987000,131381000,52984000,78397000,51866000,51866000,15050000,15050000,198297000,27188000,72667000,72667000,99855000,298152000,56693000,2999000,53694000,76978000,76978000,133671000,66711000,66711000,66711000,200382000,299081000,-202082000,771000,97770000,97770000,298152000,-16987000,1504000,18588000,-16734000,-13629000,-4341000,-1233000,-5574000,3028000,3028000,-16175000,-16175000,-16175000,-14471000,0,-35016000,0.86644,-0.24334,-0.25875,-0.17374,-0.05697,2.06134,1.48347,2.04952,0,-0.18636,-0.18636,0.72021,1.07259,-0.38415,-0.10328,-0.21289,9.07892,8.22416
"24","2020_Q1",26.1948387096774,"Up",72560000,-9652000,62908000,-76913000,-55039000,-21874000,-14005000,156000,-13849000,-13849000,-801000,-14650000,-14650000,-14650000,-14650000,120460000,68929000,51531000,75050000,75050000,19366000,19366000,214876000,36338000,67098000,67098000,103436000,318312000,63604000,997000,62607000,95975000,95975000,159579000,65201000,65201000,65201000,224780000,310713000,-216732000,-449000,93532000,93532000,318312000,-14650000,2001000,16495000,-3853000,-7000.00000000186,-11172000,28614000,15681000,2669000,271000.000000002,15945000,15945000,15945000,-12004000,1.86264514923096e-09,-26228000,0.86698,-0.19301,-0.2019,-0.15663,-0.04602,1.79031,1.34652,2.40324,6.93889390390723e-18,-0.15996,-0.15996,0.79227,1.02126,-0.28638,-0.09229,-0.16523,10.03499,8.60121
"25","2020_Q2",25.0134920634921,"Down",54176000,-10180000,43996000,-76666000,-53978000,-22688000,-32670000,1453000,-31217000,-31217000,-213000,-31430000,-31430000,-31430000,-31430000,126270000,77533000,48737000,38265000,38265000,12764000,12764000,177299000,36849000,72834000,72834000,109683000,286982000,60817000,823000,59994000,84331000,84331000,145148000,61793000,61793000,61793000,206941000,327912000,-248162000,291000,80041000,80041000,286982000,-31430000,2098000,18092000,15114000,3874000,-2609000,-4771000,414000,-20902364.2212758,4316000,8604000,8604000,8604000,-30572000,0,-17854000,0.81209,-0.60303,-0.58015,-0.39267,-0.10952,0.56806,1.2215,2.58544,0,-0.33913,-0.33913,0.58456,0.86364,-0.19264,-0.2216,-0.12588,4.13025,3.86501
"26","2020_Q3",37.28078125,"Up",66565000,-10335000,56230000,-78324000,-54257000,-24067000,-22094000,-1845000,-23939000,-23939000,-384000,-24323000,-24323000,-24323000,-24323000,326095000,239979000,86116000,48766000,48766000,15568000,15568000,390429000,36566000,71301000,71301000,107867000,498296000,65772000,678000,65094000,79129000,79129000,144901000,59721000,59721000,274865000,419766000,347479000,-272485000,3536000,78530000,78530000,498296000,-24323000,2110000,23967000,-16432000,-14678000,-1827000,-45128000,-39334000,-29348000,216458000,162446000,162446000,162446000,-19984000,215144000,-37859000,0.84474,-0.33192,-0.3654,-0.30973,-0.04881,1.55651,2.69445,5.34529,0.43176,-0.25741,-0.25741,0.70445,0.83108,-0.40066,-0.06883,-0.10713,5.55199,5.02177
"27","2020_Q4",43.39703125,"Up",76751000,-11284000,65467000,-81919000,-57249000,-24670000,-16452000,-2553000,-19005000,-19005000,-220000,-19225000,-19225000,-19225000,-19225000,325570000,231458000,94112000,60111000,60111000,15450000,15450000,401131000,36019000,65369000,65369000,101388000,502519000,67250000,767000,66483000,81192000,81192000,148442000,54366000,54366000,271157000,419599000,370965000,-291710000,3665000,82920000,82920000,502519000,-19225000,3111000,26330000,-12908000,-2692000,-2565000,-76000,-10637000,0,4808000,-8521000,-8521000,-8521000,-13341000,216791000,-28594000,0.85298,-0.21436,-0.25049,-0.23185,-0.03826,1.48733,2.70227,5.06029,0.43141,-0.20268,-0.20268,0.80915,0.87418,-0.30145,-0.0543,-0.08076,8.15374,6.6119
"28","2021_Q1",59.2883606557377,"Up",95197000,-12462000,82735000,-89934000,-61996000,-27938000,-7199000,-4538000,-11737000,-11737000,-7295000,-19032000,-19032000,-19032000,-19032000,298262000,234092000,64170000,94229000,94229000,27357000,27357000,419848000,37163000,98471000,69490000,135634000,555482000,84048000,850000,83198000,98588000,98588000,182636000,60315000,60315000,278775000,461411000,395442000,-310742000,9371000,94071000,94071000,555482000,-19032000,2848000,26135000,-2297000,7654000,-3115000,27297000,-5191000,-502000,171000,2634000,2634000,2634000,-4351000,218460000,-2468000,0.86909,-0.07562,-0.19992,-0.20232,-0.03426,0.12968,2.29882,4.90492,0.39328,-0.19966,-0.19966,0.99868,0.98687,-0.02589,-0.05105,-0.00662,18.34107,11.08515
"29","2021_Q2",52.0607936507936,"Down",74785000,-13482000,61303000,-95378000,-65316000,-30062000,-34075000,-1022000,-35097000,-35097000,-559000,-35656000,-35656000,-35656000,-35656000,823970000,753606000,70364000,51302000,51302000,24564000,24564000,899836000,35930000,102041000,73444000,137971000,1037807000,87663000,637000,87026000,91596000,91596000,179259000,59809000,59809000,279958000,459217000,920691000,-346398000,4191000,578590000,578590000,1037807000,-35656000,2349000,29467000,24223000,20383000,-1116000,-9765000,-4845000,-731000,503976000,519514000,519514000,519514000,-31726000,220149000,-8060000,0.81972,-0.45564,-0.47678,-0.06163,-0.03436,0.22605,5.01975,0.79368,0.21213,-0.35568,-0.35568,0.74601,5.77059,-0.0804,-0.04153,-0.00939,19.03237,17.72035
