"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.428253968254,"Up",789579000,-530895000,258684000,-181894000,76790000,-4358000,-4159000,-199000,72432000,72432000,-27375000,45057000,45057000,45057000,45057000,1300218281.50178,1300218295.75763,-227959277.086294,-227959277.086294,-1618998944.92765,5133903650.5603,432436190.69392,4587163710.04814,75372612.3461183,612959874.461441,692137334.168682,-220051067.680662,140873607.973421,688332486.807559,5275496196.8557,-423013354.003906,-51541531.9313675,282223489.726537,4280140481.40951,520223621.925537,33070913.8139928,-1503803702.76672,553294535.73953,4833435017.14904,-1054086387.65135,1322196849.81886,173950717.539147,442061179.706665,442061179.706665,5275496196.8557,8857000,2125000,-9203000,46836000,-8008000,-36121000,0,-8e+06,-4775000,5940000,5940000,11372000,17312000,85647000,0,95811000,0.32762,0.09725,0.05706,0.152992415759222,0.0516636990137807,2.12644,-21.8045677156356,3.68901133407285,-0.0207419842783458,0.38145,0.37977,6.68461,4.55087420347624,0.81114,0,0.109553903707627,1.76304262842541,0,-14.2243050322729,-14.0020757297535
"2","2010_Q3",19.21953125,"Down",814951000,-548414000,266537000,-182051000,84486000,-3760000,-4449000,689000,80726000,80726000,-31383000,49343000,49343000,49343000,49343000,797983640.750891,797983647.878815,162322861.456853,162322861.456853,-565299472.463824,2202957825.28015,219268095.34696,2597964855.02407,121570806.173059,891536437.23072,425977167.084341,335173466.159669,130385803.98671,1013107243.40378,3611072098.42785,44244322.9980468,104610234.034316,232833744.863269,2028777240.70475,522611810.962769,76599956.9069964,-691837351.383358,599211767.869765,2627989008.57452,-432641693.825673,1389604924.90943,26119858.7695736,983083089.853332,983083089.853332,3611072098.42785,9812000,2017000,-52556000,8615999.99999999,-5125000,-5163000,0,-1.4e+07,-11350000,-7897000,-7897000,2671000,-5226000,94298000,0,6.8e+07,0.32706,0.10367,0.06055,0.0963012078796111,0.0402768495068903,1.37811,-7.50946885781779,1.98148566703642,0.117839007860827,0.41697,0.4139,6.8867,8.66210210173812,0.57463,0,0.0715469518538134,0.840736314212707,0,-5.81825251613647,-5.69183786487675
"3","2010_Q4",20.55765625,"Up",820084000,-544015000,276069000,-182302000,93767000,-4294000,-4284000,-10000,89473000,89473000,-33424000,56049000,56049000,56049000,56049000,492608880.250297,492608882.626272,372215620.485618,372215620.485618,29386509.1787254,640001941.76005,101120031.78232,1534212951.67469,151763602.057686,1049476145.74357,281023389.028114,647388488.71989,121064267.99557,1201239747.80126,2735452699.47595,277347440.999349,177335744.678105,189080914.954423,816510413.568251,524203936.98759,99665985.6356655,-204589117.127786,623869922.623255,1440380336.19151,-92637231.2752244,1445997308.30314,-58287713.7434755,1295072363.28444,1295072363.28444,2735452699.47595,9565000,2095000,29966000,97675000,-4373000,-4373000,0,0,4501000,97803000,97803000,-172000,97631000,103332000,0,162349000,0.33664,0.11434,0.06835,0.061240402626537,0.0315756165022968,2.89655,0.223387047394071,1.05214188901214,0.190726335953609,0.47292,0.46929,6.91961,11.0248607005794,1.36985,0,0.0479389839512711,0.315655438070902,0,-0.788594172045491,-0.658705954958916
"4","2011_Q1",22.971935483871,"Up",812762000,-524651000,288111000,-187863000,100248000,-3838000,-12802000,8964000,96410000,96410000,-34605000,61805000,61805000,61805000,61805000,340591000,340591000,452746000,452746000,288725000,51696000,51696000,1133758000,169598000,1119613000,223594000,782083000,113936000,1289211000,2422969000,348351000,193626000,154725000,348351000,5.25e+08,108107000,35943000,633107000,981458000,42937000,1493885000,-95311000,1441511000,1441511000,2422969000,11240000,4179000,37861000,115085000,-12298000,-40546000,-11886000,1360000,-8331000,66208000,66208000,6601000,72809000,111488000,5.25e+08,171656000,0.35448,0.12334,0.07604,0.04288,0.02551,2.77738,3.25464,0.68085,0.21668,0.52024,0.51712,6.84143,12.13393,1.44492,0.10005,0.03552,0.08274,0.19231,1.65407,1.83953
"5","2011_Q2",24.0009523809524,"Up",849787000,-569587000,280200000,-191176000,89024000,-3257000,-4247000,990000,85767000,85767000,-31842000,53925000,53925000,53925000,53925000,298427000,298427000,454941000,454941000,336382000,44700000,44700000,1134450000,178721000,1134781000,220007000,804746000,110028000,1313502000,2447952000,329310000,180472000,133526000,329310000,5.25e+08,107761000,107761000,632761000,962071000,51091000,1535779000,-100989000,1485881000,1485881000,2447952000,9523000,2319000,-43009000,22758000,-9130000,-55812000,-11916000,1611000,-3928000,-36982000,-36982000,-5182000,-42164000,98547000,5.25e+08,78250000,0.32973,0.10476,0.06346,0.03629,0.02203,1.45109,3.44493,0.64748,0.21446,0.45307,0.45019,7.13975,12.48409,0.65744,0.10012,0.03108,0.03693,0.22097,2.29914,2.54508
"6","2011_Q3",21.21859375,"Down",857414000,-578213000,279201000,-189049000,90152000,-4798000,-3331000,-1467000,85354000,85354000,-31997000,53357000,53357000,53357000,53357000,328744000,328744000,427276000,427276000,306675000,173203000,50855000,1235898000,182830000,1131319000,233370000,786718000,111231000,1314149000,2550047000,298078000,164342000,131743000,420426000,5.25e+08,103219000,103219000,628219000,1048645000,18633000,1577208000,-94439000,1501402000,1501402000,2550047000,11530000,-119359000,17271000,-37201000,-10916000,-10916000,-11818000,-365000,75607000,27490000,27490000,2827000,30317000,101682000,5.25e+08,140034000,0.32563,0.10514,0.06223,0.03554,0.02092,2.62447,2.93963,0.69844,0.20588,0.44983,0.44697,7.22849,12.65767,1.18057,0.09963,0.0306,0.06576,0.22149,1.9301,2.17695
"7","2011_Q4",21.141746031746,"Down",824650000,-543775000,280875000,-188168000,92707000,-6423000,-4803000,-1620000,86284000,86284000,-30888000,55396000,55396000,55396000,55396000,388039000,388039000,420778000,420778000,323270000,43865000,43865000,1175952000,185572000,1142061000,230001000,793488000,118572000,1327633000,2503585000,326710000,172227000,153136000,326710000,5.25e+08,100319000,100319000,625319000,952029000,22573000,1620683000,-91700000,1551556000,1551556000,2503585000,9782000,125250000,15470000,205898000,-9153000,-14814000,-11809000,-365000,-132595000,58489000,58489000,806000,59295000,102489000,5.25e+08,139694000,0.3406,0.11242,0.06718,0.0357,0.02213,2.52173,3.59938,0.6136,0.2097,0.46948,0.46616,6.98891,13.14945,1.18391,0.10008,0.03087,0.06417,0.21317,1.33635,1.47735
"8","2012_Q1",22.7974193548387,"Up",883819000,-579870000,303949000,-199824000,104125000,-5643000,-13459000,7816000,98482000,98482000,-35775000,62707000,62707000,62707000,62707000,388665000,388665000,465170000,465170000,336094000,40780000,40780000,1230709000,189583000,1144676000,227216000,795616000,121844000,1334259000,2564968000,367431000,210033000,157398000,367431000,5.25e+08,111997000,33758000,636997000,1004428000,1211000,1632497000,-73168000,1560540000,1560540000,2564968000,10504000,20278000,-20480000,73009000,-7623000,-9319000,-14449000,-173999.999999998,-72306000,-8615999.99999999,-8615999.99999999,9242000,626000.000000007,114629000,5.25e+08,122301000,0.3439,0.11781,0.07095,0.04018,0.02445,1.95036,3.3495,0.64364,0.20468,0.53355,0.5302,7.52007,13.27803,1.04061,0.12294,0.03511,0.05565,0.23042,1.18936,1.30934
"9","2012_Q2",24.0377777777778,"Up",847422000,-569146000,278276000,-196283000,81993000,-5135000,-4524000,-611000,76858000,76858000,-28248000,48610000,48610000,48610000,48610000,373776000,373776000,423285000,423285000,346476000,35195000,35195000,1178732000,196243000,1142538000,223101000,795882000,123555000,1338781000,2517513000,349710000,201801000,135737000,349710000,5.25e+08,108652000,108652000,633652000,983362000,1195000,1608134000,-75178000,1534151000,1534151000,2517513000,9082000,8492000,532000,66716000,-10247000,-10247000,-13801000,-436000,-69515000,-13046000,-13046000,-1843000,-14889000,91075000,5.25e+08,109608000,0.32838,0.09676,0.05736,0.03169,0.01931,2.25484,3.3706,0.64098,0.20854,0.42059,0.41802,7.33216,13.27396,0.94836,0.11941,0.02879,0.05056,0.28391,1.66043,1.84435
"10","2012_Q3",25.1449206349206,"Up",856875000,-575892000,280983000,-197724000,83259000,-6215000,-5272000,-943000.000000001,77044000,77044000,-28090000,48954000,48954000,48954000,48954000,250068000,250068000,416809000,416809000,347348000,44857000,44857000,1059082000,201170000,1137511000,220569000,798551000,118391000,1338681000,2397763000,343228000,186019000,153556000,363228000,5.25e+08,105390000,105390000,630390000,993618000,1140000,1487220000,-84215000,1404145000,1404145000,2397763000,10457000,-2368000,-4675000,52368000,-12132000,-20858000,-13412000,-434999.999999985,-150216000,-118706000,-118706000,-5002000,-123708000,93716000,5.45e+08,104999000,0.32792,0.09717,0.05713,0.03486,0.02042,2.14485,2.91575,0.70763,0.2273,0.435,0.4325,7.61409,12.47707,0.93301,0.11918,0.03036,0.05111,0.27397,3.14708,3.54234
