"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",139.983548387097,"Down",40975000,0,-32571253.6315547,-28795000,-19641000,-9156000,12180000,-2839000,-2839000,9341000,-1738000,7603000,-207000,7396000,7396000,7396000,7396000,129516611.668575,129516611.668575,31958223.8681844,31958223.8681844,-12637094.7579067,-12637094.7579067,148837740.778852,1710868009.11987,987744573.819418,761770626.140464,30016071.0450471,2698614871.37384,2847452612.15269,26784195.0090608,33770969.1500742,54593475.1319896,54593475.1319896,81377670.1410503,1270136092.64346,60416635.2018093,18022806.4608117,42393828.7409976,1330552727.84527,1411930397.98632,1435522223.49813,1435522223.52193,1435522214.16637,2847452612.15269,7396000,9156000,992000,24093000,41637000,-36284000,-36284000,-36284000,-36284000,-7e+06,-1201000,-8201000,-2848000,-2848000,-2848000,21336000,0,9352000,2.00958422318272,0.29725,0.1805,-0.099603017671054,-0.0804113112826083,1.26447,1.20442060082261,1.2664150462743,0.611096850724753,4.54262,4.51779,25.1668,881.696173356972,5.74399,-0.0821024554025664,0.0909050754240426,36.0465414483094,75.6541130931108
"2","2013_Q1",160.700666666667,"Up",57558000,-3224000,28766915.4561484,-33448000,-22910000,-10539000,20886000,-1767000,-1767000,19119000,-53000,19066000,-181000,18885000,18885000,-6498000,-6850000.00000001,7895000,7895000,33504000,33504000,2964000,2964000,44363000,681993000,337155000,285540000,6137000,1019148000,1063511000,15833000,15817000,10628000,10628000,26461000,199230000,18573000,10899000,7674000,217803000,244264000,819247000,819247000,819247000,1063511000,18885000,10731000,548000,-8680000,21484000,-16649000,-16649000,-16649000,-16649000,-1.45e+08,-116373000,1752000.00000003,6587000,6587000,6587000,31617000,199230000,6469000,1.21144140772757,0.36287,-0.11901,-0.00836,-0.00644,-0.94438,1.67654,0.29816,0.18733,-4.20726,-4.18427,35.35206,503.18063,3.97325,-0.00661,0.00624,6.05165,9.16092
"3","2013_Q2",215.48703125,"Up",61984000,-7965000,54019000,-38057000,-24146000,-13912000,15962000,-1879000,-1879000,14083000,-38000,14045000,-181000,13864000,13864000,12480000,12230000,2817000,2817000,34317000,34317000,4328000,4328000,41462000,691718000,333662000,282448000,5736000,1025380000,1066842000,14149000,14149000,5863000,5863000,20012000,214230000,20958000,13585000,7373000,235188000,255200000,811642000,811642000,811642000,1066842000,13864000,14192000,897000,-3340000,25613000,-28297000,-28297000,-28297000,-28297000,1.5e+07,-9153000,5847000,3163000,3163000,3163000,30154000,214230000,-1302000,0.8715,0.25752,0.19731,0.01507,0.01146,-0.10646,2.07186,0.31442,0.20081,7.51165,7.4976,38.07051,498.50965,-0.79969,0.01168,-0.00124,7.01111,13.24477
"4","2013_Q3",245.49234375,"Up",71462000,-13438000,58024000,-43578000,-26777000,-16802000,14446000,-3024000,-3024000,11422000,-2435000,8987000,-221000,8766000,8766000,8068000,7907000,30123000,30123000,33664000,33664000,1114000,1114000,64901000,1000488000,550242000,437895000,12670000,1550730000,1615631000,16064000,16064000,14895000,14895000,30959000,565050000,26525000,19384000,7141000,591575000,622534000,993097000,993097000,993097000,1615631000,8766000,17052000,1387000,16654000,43859000,-21345000,-21345000,-21345000,-431345000,350820000,53621000,404441000,16955000,16955000,16955000,31498000,565050000,27028000,0.81196,0.20215,0.11065,0.00796,0.00489,3.41824,2.09635,0.62686,0.34974,4.85647,4.6891,43.89188,609.95911,16.60057,0.00499,0.01706,16.98289,37.02942
"5","2013_Q4",249.13390625,"Up",76019000,-13814000,62205000,-45264000,-26665000,-18487000,16941000,-6937000,-6937000,10004000,-147000,9857000,-177000,9680000,9680000,6691000,6557000,15283000,15283000,34911000,34911000,2354000,2354000,52548000,957555000,594992000,464809000,12417000,1552547000,1605095000,18434000,11909000,15209000,15209000,33643000,565050000,29525000,22560000,6965000,594575000,628218000,976877000,976877000,976877000,1605095000,9680000,18751000,1774000,2983000,33188000,-24969000,-25554000,-25554000,-24969000,0,-24151000,-24151000,-15932000,-15932000,-15932000,35692000,565050000,13883000,0.81828,0.22285,0.08625,0.00671,0.00409,2.11728,1.56193,0.64309,0.35204,4.0273,3.36352,46.69079,599.99681,8.52692,0.00417,0.00883,15.40309,32.45186
"6","2014_Q1",294.129344262295,"Up",114221000,-32820000,81401000,-53057000,-31799000,-21373000,28344000,-7333000,-7333000,21011000,-334000,20677000,-150000,20527000,20527000,16345000,15855000,20357000,20357000,67877000,67877000,4741000,4741000,92975000,1158081000,632683000,502177000,14618000,1790764000,1883739000,37261000,25117000,22312000,22312000,59573000,5.86e+08,269023000,29683000,239340000,855023000,914596000,969143000,969143000,969143000,1883739000,20527000,21611000,2147000,-6476000,37809000,-107782000,-107782000,-107782000,-107782000,20950000.0000001,53860000,74809999.9999999,4836999.99999999,4836999.99999999,4836999.99999999,49955000,5.86e+08,-64153000,0.71266,0.24815,0.13881,0.01636,0.00842,-4.04623,1.56069,0.94372,0.31108,9.73812,8.07366,70.15442,595.24659,-39.4027,0.00869,-0.03517,11.32305,19.95636
"7","2014_Q2",343.298253968254,"Up",76202000,-15281000,60921000,-46708000,-27067000,-19642000,14213000,-7144000,-7144000,7069000,-537000,6532000,-159000,6373000,6373000,3545000,3114000,10404000,10404000,47104000,47104000,3015000,3015000,60523000,1177156000,624713000,494825000,1.4e+07,1801869000,1862392000,28506000,22766000,17063000,17063000,45569000,6.91e+08,39946999.9999999,33410000,6537000,730947000,776516000,1085876000,1085876000,1085876000,1862392000,6373000,19868000,1667000,20601000,48509000,-40100000,-40100000,-40100000,-345100000,1.05e+08,-16457000,286638000,-9953000,-9953000,-9953000,34081000,6.91e+08,14741000,0.79947,0.18652,0.04087,0.00287,0.00167,4.73378,1.32816,0.71511,0.37103,1.91262,1.55272,46.80319,666.94388,9.05391,0.00171,0.00811000000000001,19.96995,47.88546
"8","2014_Q3",392.2234375,"Up",89163000,-14192000,74971000,-58444000,-36273000,-22172000,16527000,-10803000,-10803000,5724000,-80999.9999999995,5643000,-469000,5174000,5174000,4036000,3235000,23430000,23430000,53345000,53345000,2044000,2044000,78819000,1198727000,615588000,486079000,13621000,1814315000,1893134000,40920000,29670000,21013000,21013000,61933000,7.26e+08,44645000,37093000,7552000,770645000,832578000,1060556000,1060556000,1060556000,1893134000,5174000,22397000,2153000,3806000,33530000,-47909000,-47933000,-47933000,-47909000,3.5e+07,-7491999.99999999,27402000,13023000,13023000,13023000,38924000,7.26e+08,-4709999.99999999,0.84083,0.18536,0.03628,0.00305,0.00171,-1.45595,1.27265,0.78504,0.38349,1.98693,1.61305,54.76382,651.39236,-2.89287999999999,0.00177,-0.00257,18.04979,42.51044
"9","2014_Q4",339.56671875,"Down",84784000,-12842000,71942000,-53458000,-31255000,-22204000,18484000,-10557000,-10557000,7927000,-63000,7864000,-27000,7837000,7837000,6113000,4909000,14133000,14133000,49337000,49337000,3771000,3771000,67241000,1235100000,610314000,476334000,18092000,1845414000,1912655000,26284000,17176000,22838000,22838000,49122000,7.75e+08,48619000,41134000,7485000.00000003,823619000,872741000,1039914000,1039914000,1039914000,1912655000,7837000,22446000,1910000,821000,33014000,-66672000,-66672000,-66672000,-77544000,4.9e+07,-13654000,35236000,-9294000,-9294000,-9294000,40930000,7.75e+08,-24894000,0.84853,0.21801,0.0579,0.00472,0.00257,-5.07109,1.36886,0.83924,0.4052,3.0151,2.44775,52.07424,638.71407,-15.28987,0.00263,-0.01336,18.58947,41.16355
"10","2015_Q1",278.810491803279,"Down",137020000,-30100000,106920000,-74229000,-43555000,-26860000,32691000,-20082000,-20082000,12609000,-62450000,-49841000,-199000,-66752000,-66752000,-37686000,-38375000,26504000,26504000,89201000,89201000,3517000,3517000,119222000,1414350000,760149000,477734000,17353000,2174499000,2293721000,43713000,24855000,27756000,27756000,71469000,8.08e+08,447363000,55239000,392124000,1255363000,1326832000,966889000,966889000,966889000,2293721000,-66752000,27111000,84166000,-6625000,37900000,-188699000,-188675000,-188675000,-914250000,2.75e+08,609674000,884601000,8251000,8251000,8251000,59802000,8.08e+08,-135323000,0.78032,0.23859,-0.28007,-0.03969,-0.01673,3.52632999999999,1.66816,1.37227,0.35227,-23.56988,-19.13476,84.15754,593.86219,-83.11524,-0.01727,-0.06089,13.06806,23.90554
