"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.88625,"Up",190911000,-50191000,140720000,-78293000,-78293000,62427000,334000,334000,62761000,62761000,-26623000,36138000,36138000,36138000,36138000,60375274.283221,27285228.5691628,33090045.7140582,106818570.268553,106818570.268553,22730901.1621486,11642694.1703188,-74326.8299527933,189924745.713923,65847914.9219256,19398709.5317305,3512935.5210343,454130.410482548,87280302.9209066,277205048.634829,46487961.9608473,70723414.8900724,70723414.8900724,117211376.85092,16927033.2044217,16927033.2044217,16927033.2044217,134138410.055341,94046820.3172732,-88807376.4395042,140763690.18557,143066638.579488,143066638.579488,277205048.634829,36138000,2211000,9667000,21787000,69803000,-6474000,-46179000,-325000,-52978000,-41958000,235000,3143000,-38811000,-21986000,-21986000,-21986000,64638000,0,106574000,0.7371,0.327,0.18929,0.0252985322115329,0.0163049514866147,2.94908,1.63447950424133,0.961105649169137,-1.55369276041671e-18,0.6757,0.60967,3.56963,2.07677290551088,1.99271,0.0214617065828318,0.190187527709182,-2.29061841991306,-1.6785419919796
"2","2011_Q1",18.1756451612903,"Up",192415000,-85713000,106702000,-62025000,-62025000,44677000,407000,407000,45084000,45084000,-18735000,26349000,26349000,26349000,26349000,279129000,188518000,90611000,58415000,58415000,19714000,12650000,25000,357258000,66542000,27425000,4123000,7457000,113967000,471225000,39971000,173576000,173576000,213547000,19437000,19437000,19437000,232984000,102021000,-42193000,178413000,238241000,238241000,471225000,26349000,2578000,7146000,38660000,74733000,-8034000,-45502000,-630000,-54166000,1e+06,1e+06,3066000,4067000.00000001,24634000,24634000,24634000,47255000,0,96616000,0.55454,0.23219,0.13694,0.1106,0.05592,3.66678,1.67297,0.97793,0,0.45411,0.45411,3.31618,4.10598,1.66513,0.10226,0.37495,-5.90687,-6.24771
"3","2011_Q2",20.6044444444444,"Up",229432000,-55809000,173623000,-87511000,-87511000,86112000,673000,673000,86785000,86785000,-32866000,53919000,53919000,53919000,53919000,328341825.238926,234348007.143612,93993818.0953139,57483559.9104823,57483559.9104823,19292116.2792838,12988351.9432271,58108.9433175978,405117501.428692,70057111.6926915,29959263.4894232,4642188.15965523,9201706.52983915,143364899.026364,548482400.455057,43051929.3463842,197895695.036643,197895695.036643,240947624.383027,21267572.2651928,21267572.2651928,21267572.2651928,262215196.64822,111537226.560909,-55908041.1868319,230013103.271477,286267203.806837,286267203.806837,548482400.455057,53919000,2722000,10242000,14577000,81460000,-5170000,-43930000,-529000,-49629000,-12289000,422000,3737000,-8533000,23298000,23298000,23298000,88834000,0,131107000,0.75675,0.37533,0.23501,0.158472155929489,0.0826225161711284,2.43155,1.68411349858622,0.918253950276954,5.1789758680557e-19,1.0178,0.92039,4.33087,5.22944653149637,2.47484,0.147433597805723,0.357199157430273,-5.38398886002898,-5.7948493360068
"4","2011_Q3",23.1171875,"Up",239881000,-62012000,177869000,-95320000,-95320000,82549000,657000,657000,83206000,83206000,-31057000,52149000,52149000,52149000,52149000,288527000,210495000,78032000,78685000,78685000,20331000,13267000,25000,387543000,75500000,29620000,5209000,8566000,173957000,561500000,50699000,180730000,180730000,231429000,22729000,22729000,22729000,254158000,121480000,-98619000,284481000,307342000,307342000,561500000,52149000,2850000,9194000,-29488000,34705000,-7307000,5315000.00000001,-804000,-2796000,-39918000,3797000,6628000,-33230000,-1321000,-1321000,-1321000,85399000,1.29246970711411e-26,79661000,0.74149,0.34412,0.2174,0.16968,0.09287,1.52757,1.67457,0.82695,0,0.98562,0.90032,4.53376,5.80877,1.50559,0.15799,0.24135,-3.37858,-3.49522
"5","2011_Q4",21.5093650793651,"Down",242771000,-69611000,173160000,-103386000,-103386000,69774000,607000,607000,70381000,70381000,-26570000,43811000,43811000,43811000,43811000,249135000,161667000,87468000,87690000,87690000,21846000,14514000,25000,358671000,82379000,29460000,5961000,9197000,207403000,566074000,53981000,164869000,164869000,218850000,23978000,23978000,23978000,242828000,130679000,-134971000,328292000,323246000,323246000,566074000,43811000,3122000,17687000,-32096000,32524000,-11961000,-38327000,-904000,-51192000,-35545000,807000,5385000,-30160000,-48828000,-48828000,-48828000,72896000,0,55409000,0.71326,0.28741,0.18046,0.13553,0.07739,1.26473,1.63889,0.75122,0,0.84563,0.77726,4.68588,6.23919,1.06949,0.12618,0.15958,-3.41768,-3.5706
"6","2012_Q1",25.0387096774194,"Up",203163000,-101450000,101713000,-69195000,-69195000,32518000,934000,934000,33452000,33452000,-12253000,21199000,21199000,21199000,21199000,287700000,133921000,153779000,62156000,62156000,22653000,17199000,25000.0000000001,372509000,89667000,31953000,7037000,13716000,241127000,613636000,49166000,185446000,185446000,234612000,25376000,25376000,25376000,259988000,138037000,-134971000,351177000,353648000,353648000,613636000,21199000,4049000,2307000,39710000,67265000,-10054000,-93093000,-1284000,-104431000,1193000,1193000,3346000,4566000,-32600000,-32600000,-32600000,36567000,1.03397576569128e-25,78476000,0.50065,0.16006,0.10434,0.05994,0.03455,3.70187,1.58777,0.73516,-7.70371977754894e-34,0.41188,0.38087,3.94729,6.87109,1.52472,0.05593,0.20705,-7.86775,-8.84741
"7","2012_Q2",20.4287301587302,"Down",241433000,-81202000,160231000,-115356000,-115356000,44875000,740000,740000,45615000,45615000,-17181000,28434000,28434000,28434000,28434000,326710000,162148000,164562000,92853000,92853000,23330000,17864000,25000,442893000,92082000,33765000,8378000,14582000,241278000,684171000,72060000,189169000,189169000,261229000,28721000,28721000,28721000,289950000,144935000,-134971000,384218000,394221000,394221000,684171000,28434000,4095000,9424000,-6632000,35321000,-7236000,-7650000,-1638000,-16524000,813000,813000,3588000,4401000,23198000,23198000,23198000,48970000,0,52283000,0.66367,0.18587,0.11777,0.07213,0.04156,1.83875,1.69542,0.7355,0,0.54672,0.50592,4.64223,7.58001,1.00529,0.06723,0.12362,-6.67164,-7.28045
"8","2012_Q3",11.034126984127,"Down",249534000,-79719000,169815000,-101941000,-101941000,67874000,883000,883000,68757000,68757000,-26049000,42708000,42708000,42708000,42708000,340217000,180425000,159792000,99617000,99617000,28408000,22966000,4.65661287307739e-10,468242000,95395000,37562000,9364000,17388000,263355000,731597000,63787000,187433000,187433000,251220000,31321000,31321000,31321000,282541000,152308000,-134971000,431676000,449056000,449056000,731597000,42708000,4289000,17440000,-25762000,38675000,-7721000,-12515000,-1272000,-21508000,1290000,1290000,2037000,3329000,20496000,20496000,20496000,72163000,-1.65436122510606e-24,64729000,0.68053,0.272,0.17115,0.09511,0.05838,1.51562,1.86387,0.62919,6.16297582203915e-33,0.81301,0.75948,4.75022,8.5484,1.23221,0.08891,0.13475,-4.71456,-5.01248
"9","2012_Q4",9.90096774193548,"Down",245917000,-84666000,161251000,-113604000,-113604000,47647000,996000,996000,48643000,48643000,-18464000,30179000,30179000,30179000,30179000,324561000,181577000,142984000,111010000,111010000,28035000,22722000,0,463606000,98281000,38416000,10182000,17482000,283584000,747190000,63866000,172255000,172255000,236121000,33640000,33640000,33640000,269761000,148929000,-134971000,463121000,477429000,477429000,747190000,30179000,4377000,21776000,-33102000,23230000,-5846000,-1836000,-1195000,-8877000,844000,844000,-7597000,-6753000,7600000,7600000,7600000,52024000,0,31540000,0.65571,0.19375,0.12272,0.06321,0.04039,1.0451,1.96343,0.56503,0,0.56739,0.54054,4.62346,8.97609,0.59298,0.05905,0.06171,-6.23868,-6.81178
"10","2013_Q1",10.3935,"Up",206521000,-97485000,109036000,-77805000,-77805000,31231000,912000,912000,32143000,32143000,-12318000,19825000,19825000,19825000,19825000,345938000,208971000,136967000,54487000,54487000,83093000,20053000,47550000,483518000,95966000,41191000,10739000,16746000,258895000,742413000,49228000,175057000,175057000,224285000,34932000,34932000,34932000,259217000,152323000,-135573000,466224000,483196000,483196000,742413000,19825000,4663000,13291000,14900000,52679000,-4493000,29525000,-1132000,23900000,48000,650000,355000.000000002,890999.999999998,77470000,77470000,77470000,35894000,-2.64697796016969e-23,58619000,0.52797,0.15122,0.096,0.04103,0.0267,2.95682,2.15582,0.53646,-9.86076131526265e-32,0.36672,0.3571,3.82022,8.93814,1.08433,0.03826,0.11314,-9.63777,-11.07675
