"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",56.8559375,"Up",156259000,-73430000,82829000,-68368000,-47678000,-20166000,-524000,14461000,-3147000,-1873000,-1274000,11314000,11314000,-4272000,7042000,7042000,7042000,7042000,13227000,13227000,87462000,87462000,114650000,41628000,61055000,215339000,48960000,591061000,212596000,345873000,32592000,640021000,855360000,63457000,18100000,45357000,286131000,225076000,61055000,353963000,53012000,8796000,6747000,306142000,660105000,258053000,-192665000,131793000,-1926000,195255000,195255000,855360000,7042000,13594000,9343000,13354000,43333000,-4493000,-3853000,-8866999.99999997,-28394000,7000,370000.000000002,-33646000,820000,820000,-879000,-59000,28055000,257505000,41188000,0.53008,0.09255,0.04507,0.03607,0.00823,5.84891,0.60837,3.38073,0.30105,0.1545,0.15176,3.42829,4.28385,0.90365,0.02505,0.08144,8.70711,16.89219
"23","2015_Q4",60.84625,"Up",158811000,-74173000,84638000,-70670000,-49585000,-20561000,-524000,13968000,-1624000,-1816000,192000,12344000,12344000,-4433000,7911000,7911000,7911000,7911000,17555000,17555000,78152000,78152000,113625000,39557000,63460000,209332000,49024000,585808000,204738000,345770000,35300000,634832000,844164000,58713000,13137000,45576000,290621000,227161000,63460000,353709000,49194000,7369000,7025000,286487000,640196000,265081000,-193168000,134075000,-2020000,203968000,203968000,844164000,7911000,14068000,7158000,12808000,41945000,-7546000,-3886000,-11952000,-15693000,5000,-4111000,-25427000,4566000,4566000,-238000,4328000,28036000,241668000,37731000,0.53295,0.08795,0.04981,0.03879,0.00937,4.76943,0.59182,3.13871,0.28628,0.17342,0.16978,3.48141,4.47133,0.82713,0.02736,0.07625,7.99376,16.04475
"24","2016_Q1",57.0173770491803,"Down",175877000,-85216000,90661000,-80390000,-57062000,-22633000,-695000,10271000,-3016000,-2698000,-318000,7255000,7255000,-844000,6411000,6411000,6411000,6411000,15362000,15362000,80046000,80046000,303704000,48666000,255038000,399112000,52651000,771573000,314223000,436449000,20901000,824224000,1223336000,76669000,19208000,57461000,485254000,230216000,255038000,566298000,42738000,7119000,7623000,446450000,1012748000,276397000,-199861000,134877000,-825000,210588000,210588000,1223336000,6411000,14657000,15239000,3411000,39718000,-4073000,-4613000,-196238000,166806000,9000,-6693000,154497000,-2023000,-2023000,-170000,-2193000,24928000,408087000,25110000,0.51548,0.0584,0.03645,0.03044,0.00524,3.91671,0.70477,4.80914,0.33359,0.14007,0.13691,3.84266,4.60105,0.54862,0.0182,0.03796,15.75437,38.2363
"25","2016_Q2",61.72796875,"Up",169256000,-79889000,89367000,-78755000,-55288000,-22715000,-752000,10612000,-2780000,-2675000,-105000,7832000,7832000,-1595000,6237000,6237000,6237000,6237000,12084000,12084000,78456000,78456000,163435000,48435000,1.15e+08,253975000,54543000,763410000,307209000,435994000,20207000,817953000,1071928000,55863000,18286000,37577000,337415000,222415000,1.15e+08,397653000,43129000,6583000,8e+06,461118000,858771000,285433000,-205377000,134192000,-1091000,213157000,213157000,1071928000,6237000,17609000,9169000,-26258000,6757000,-7837000,-5798000,-13635000,14106000,3000,-5516000,2893000,-3985000,-3985000,707000,-3278000,28221000,422364000,-4279000,0.528,0.0627,0.03685,0.02926,0.00582,-0.68607,0.63868,4.02882,0.39402,0.13568,0.13252,3.68205,4.63709,-0.09309,0.01759,-0.00631,14.53811,38.66189
"26","2016_Q3",66.20640625,"Up",180191000,-83612000,96579000,-82955000,-59499000,-22748000,-708000,13624000,-2786000,-2721000,-65000,10838000,10838000,-1778000,9060000,9060000,9060000,9060000,15263000,15263000,107749000,107749000,248831000,53797000,195034000,371843000,54144000,759097000,301238000,436012000,21847000,813241000,1185084000,72556000,27817000,44739000,445483000,250449000,195034000,522414000,42137000,6212000,8102000,441002000,963416000,294868000,-207898000,136338000,-1640000,221668000,221668000,1185084000,9060000,17940000,8566000,6430000,41996000,-4732000,-6370000,-10572000,-19294000,2000,-2521000,-27511000,3913000,3913000,-734000,3179000,31564000,403240000,35040000,0.53598,0.07561,0.05028,0.04087,0.00765,3.86755,0.71178,4.34621,0.34026,0.1966,0.19169,3.91014,4.81018,0.76037,0.02212,0.05253,12.29176,28.47747
"27","2016_Q4",62.7374603174603,"Down",183063000,-83317000,99746000,-86206000,-63009000,-22510000,-687000,13540000,-2656000,-2641000,-15000,10884000,10884000,-1950000,8934000,8934000,8934000,8934000,16462000,16462000,86111000,86111000,190251000,52145000,138106000,292824000,52466000,753496000,296944000,438450000,18102000,805962000,1098786000,64042000,19601000,44441000,386258000,248152000,138106000,454675000,40749000,6594000,7467000,411391000,866066000,302895000,-210357000,141124000,-942000,232720000,232720000,1098786000,8934000,17560000,9550000,15347000,51391000,-2890000,-6910000,-13707000,-28393000,5000,-2460000,-36558000,1126000,1126000,73000,1199000,31100000,375017000,45507000,0.54487,0.07396,0.0488,0.03839,0.00813,5.09369,0.64403,3.72149,0.3413,0.19354,0.1885,3.96584,5.0416,0.98585,0.02258,0.07017,11.5291,26.48117
"28","2017_Q1",69.6635483870968,"Up",198305000,-92402000,105903000,-81879000,-59289000,-21897000,-693000,24024000,-2652000,-2546000,-106000,21372000,21372000,-4088000,17284000,17284000,17284000,17284000,16902000,16902000,88932000,88932000,402085000,48314000,353771000,507919000,50269000,752022000,291258000,438240000,22524000,802291000,1310210000,77470000,23274000,54196000,598271000,244500000,353771000,680116000,44531000,6440000,8533000,382549000,1062665000,310510000,-215237000,152729000,-457000,247545000,247545000,1310210000,17284000,17382000,11252000,7566000,53484000,-2235000,-7281000,-9516000,-32794000,6000,-4879000,-43370000,598000,598000,-158000,440000,41406000,342393000,50825000,0.53404,0.12115,0.08716,0.06982,0.01319,2.94058,0.74681,4.29282,0.26133,0.37315,0.36354,4.28132,5.34439,1.09729,0.03623,0.08011,7.86096,13.54858
"29","2017_Q2",80.7295238095238,"Up",183621000,-85482000,98139000,-87560000,-64163000,-22706000,-691000,10579000,-2091000,-2377000,286000,8488000,8488000,3023000,11511000,11511000,11511000,11511000,13872000,13872000,90510000,90510000,213920000,49172000,164748000,318302000,47200000,745623000,284402000,438307000,22914000,792823000,1111125000,59738000,20666000,39072000,401849000,237101000,164748000,465962000,45118000,7681000,7801000,397113000,863075000,319789000,-230065000,158501000,-175000,248050000,248050000,1111125000,11511000,18091000,11739000,-28577000,12764000,-2719000,-6583000,-9243000,13806000,11000,-14828000,-6776000,-3255000,-3255000,225000,-3030000,28670000,356370000,-5649000,0.53447,0.05761,0.06269,0.04641,0.01036,-0.49075,0.68311,3.47944,0.32073,0.24754,0.24242,3.94869,5.33421,-0.12148,0.0266,-0.0087,11.94622,32.37527
"30","2017_Q3",85.0350793650794,"Up",193040000,-86995000,106045000,-86828000,-63219000,-22870000,-739000,19217000,-2389000,-3216000,827000,16828000,16828000,-4168000,12660000,12660000,12660000,12660000,17268000,17268000,129890000,129890000,340517000,51285000,289232000,487675000,45679000,805032000,308309000,472643000,24080000,850711000,1338386000,64168000,17660000,46508000,570048000,280816000,289232000,641716000,54419000,6067000,7572000,434581000,1076297000,330617000,-231881000,163911000,-558000,262089000,262089000,1338386000,12660000,18390000,11795000,-1058000,41787000,-2947000,-7547000,-60282000,32725000,3000,-90482000,-63519000,-82014000,-82014000,-421000,-82435000,37607000,387662000,37770000,0.54934,0.09955,0.06558,0.0483,0.00946,2.98341,0.75995,4.10661,0.28965,0.27131,0.26546,4.13694,5.6167,0.80943,0.02617,0.05364,9.84907,19.27429
"31","2017_Q4",94.9255555555556,"Up",194424000,-87005000,107419000,-88996000,-66191000,-22071000,-734000,18423000,-2624000,-3092000,468000,15799000,15799000,-2975000,12824000,12824000,12824000,12824000,17050000,17050000,100868000,100868000,189177000,50082000,139095000,307095000,43903000,795996000,301331000,472776000,21889000,839899000,1146994000,63480000,17830000,45650000,416103000,277008000,139095000,488159000,52563000,5412000,7799000,381943000,870102000,341535000,-234329000,170699000,-1013000,276892000,276892000,1146994000,12824000,18284000,14771000,22955000,68834000,-2751000,-5961000,-8712000,-52375000,0,-131111000,-189255000,-129133000,-129133000,70000,-129063000,36707000,337956000,59886000,0.5525,0.09476,0.06596,0.04631,0.01118,4.66984,0.62909,3.14239,0.29464,0.27454,0.26802,4.16221,5.92768,1.28203,0.02786,0.08973,8.74237,17.41877
