"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",98.5014754098361,"Up",217402000,-102422000,114980000,-94227000,-70856000,-22264000,-1107000,20753000,-2733000,-3412000,679000,18020000,17226000,19412000,36638000,36638000,36638000,36638000,29830000,29830000,95679000,95679000,673858000,61978000,611880000,799367000,42243000,956236000,368749000,530249000,57238000,998479000,1797846000,79092000,24693000,54399000,886943000,275063000,611880000,974611000,57298000,3643000,5632000,486946000,1461557000,351101000,-239199000,225029000,-642000,336289000,336289000,1797846000,36638000,19183000,-3298000,382000,52905000,-1791000,-7792000,-106643000,101225000,1000,442735000,538191000,484453000,484453000,-424000,484029000,39936000,438224000,19115000,0.52888,0.09546,0.16853,0.10895,0.02038,0.52173,0.82019,4.34613,0.24375,0.78283,0.762,4.64516,7.18538,0.40842,0.05098,0.02298,10.22621,19.67879
"33","2018_Q2",101.9884375,"Up",204184000,-88037000,116147000,-97755000,-70528000,-25958000,-1269000,18392000,-3357000,-3517000,160000,15035000,14224000,3527000,17751000,17751000,17751000,17751000,25013000,25013000,88911000,88911000,245639000,68474000,177165000,359563000,44647000,963724000,363838000,537433000,62453000,1008371000,1367934000,63732000,23619000,40113000,432042000,254877000,177165000,504350000,60671000,5075000,7516000,519263000,1023613000,362172000,-261710000,236818000,7041000,344321000,344321000,1367934000,17751000,19820000,13571000,-39389000,11753000,-5771000,-7103000,-17910000,28825000,9000,-461934000,-438925000,-445082000,-445082000,713000,-444369000,38212000,467168000,-10475000,0.56883,0.09008,0.08694,0.05155,0.01298,-0.59011,0.71292,2.97285,0.34151,0.37752,0.36974,4.34253,7.32292,-0.22278,0.02703,-0.01201,11.5711,24.04062
"34","2018_Q3",103.35746031746,"Up",213672000,-95172000,118500000,-103438000,-76940000,-25297000,-1201000,15062000,-3957000,-4303000,346000,11105000,7417000,-825000,6592000,6592000,6592000,6592000,29194000,29194000,130509000,130509000,376807000,75816000,300991000,536510000,44531000,990644000,379243000,547312000,64089000,1035175000,1571685000,77323000,31141000,46182000,607356000,306365000,300991000,693255000,58971000,3442000,7474000,530207000,1223462000,376008000,-264383000,237609000,-1011000,348223000,348223000,1571685000,6592000,20027000,15781000,12241000,54641000,-3804000,-9256000,-53339000,12525000,2000,123170000,129869000,131171000,131171000,-2319000,128852000,35089000,479812000,44351000,0.55459,0.07049,0.03085,0.01893,0.00419,6.728,0.7739,3.51344,0.30529,0.13959,0.13718,4.52478,7.37407,0.93919,0.014,0.05,12.84214,29.91754
"35","2018_Q4",71.3668253968254,"Down",209532000,-95237000,114295000,-99426000,-73971000,-24218000,-1237000,14869000,-4287000,-4140000,-147000,10582000,11496000,-332000,11164000,11164000,11164000,11164000,25352000,25352000,95858000,95858000,254072000,68842000,185230000,375282000,42901000,986533000,373683000,547338000,65512000,1029434000,1404716000,69844000,25453000,44391000,488070000,302840000,185230000,566490000,57861000,3429000,7027000,474541000,1041031000,386716000,-266597000,242964000,602000,363685000,363685000,1404716000,11164000,20146000,10436000,29691000,71437000,-3335000,-10270000,-13605000,-54675000,0,-118223000,-178729000,-120897000,-120897000,1321000,-119576000,35015000,425256000,61703000,0.54548,0.07096,0.05328,0.0307,0.00795,5.52696,0.66247,2.86245,0.30273,0.23613,0.23181,4.43176,7.69222,1.30507,0.02007,0.07287,11.42093,26.89515
"36","2019_Q1",72.8362295081967,"Up",221218000,-103296000,117922000,-102238000,-77763000,-23338000,-1137000,15684000,-3194000,-3938000,744000,12490000,11485000,-2151000,9334000,9334000,9334000,9334000,30866000,30866000,86595000,86595000,480521000,59788000,420733000,597982000,40031000,977292000,366716000,545213000,65363000,1017323000,1615305000,81431000,34538000,46893000,716724000,295991000,420733000,805655000,56243000,2564000,9388000,435867000,1241522000,399300000,-266884000,246477000,-5110000,373783000,373783000,1615305000,9334000,19573000,13597000,21050000,63554000,-1809000,-11500000,-12937000,-38251000,-2.27373675443232e-13,239956000,195877000,246494000,246494000,-1729000,244765000,35257000,387124000,56649000,0.53306,0.0709,0.04219,0.02497,0.00578,6.0691,0.74223,3.3215,0.23966,0.19732,0.19463,4.67644,7.90158,1.19753,0.01855,0.06933,10.1046,22.71474
"37","2019_Q2",78.8511111111111,"Up",215830000,-99283000,116547000,-112409000,-82572000,-28461000,-1376000,4138000,-5141000,-5323000,182000,-1003000,-2956000,1834000,-1122000,-1122000,-1122000,-1122000,25187000,25187000,90727000,90727000,297969000,73099000,224870000,413883000,38757000,1249773000,436982000,634845000,177946000,1288530000,1702413000,87623000,32640000,54983000,505952000,281082000,224870000,601075000,159522000,4290000,107182000,735590000,1336665000,412997000,-285284000,239487000,-1452000,365748000,365748000,1702413000,-1122000,21724000,16423000,-47036000,-10011000,-1152000,-11319000,-121857000,196325000,3000,-264858000,-74431000,-206299000,-206299000,1036000,-205263000,25862000,583568000,-24160000,0.53999,0.01917,-0.0052,-0.00307,-0.00066,21.53298,0.68857,3.65461,0.34279,-0.02361,-0.02361,4.54217,7.69722,-0.50845,0.00431,-0.02179,21.59079,134.93983
"38","2019_Q3",88.57765625,"Up",225634000,-100807000,124827000,-110606000,-83552000,-25902000,-1152000,14221000,-3618000,-5799000,2181000,10603000,9873000,-2733000,7140000,7140000,7140000,7140000,32654000,32654000,131277000,131277000,436210000,76728000,359482000,600141000,39569000,1234248000,428495000,632269000,173484000,1273817000,1873958000,96263000,35749000,60514000,686781000,327299000,359482000,790544000,156900000,2324000,105918000,710712000,1501256000,428010000,-286644000,240745000,-9409000,372702000,372702000,1873958000,7140000,21389000,19425000,7146000.00000001,55100000,-5223000,-11387000,-16610000,-22375000,3000,133549000,105276000,143766000,143766000,-1562000,142204000,35610000,561312000,40266000,0.55323,0.06303,0.03164,0.01916,0.00381,5.6395,0.75915,4.02803,0.29953,0.1496,0.14666,4.72744,7.80878,0.84365,0.01195,0.03691,14.84577,37.17446
"39","2019_Q4",83.48734375,"Down",221120000,-101797000,119323000,-111040000,-84396000,-25941000,-703000,8283000,-2953000,-5111000,2158000,5330000,4930000,-364000,4566000,4566000,4566000,4566000,29084000,29084000,90700000,90700000,326161000,75321000,250840000,445945000,37285000,1226782000,421144000,630644000,174994000,1264067000,1710012000,98116000,34169000,63947000,571822000,320982000,250840000,677438000,155561000,2014000,106310000,651117000,1328555000,442863000,-287163000,239422000,-13665000,381457000,381457000,1710012000,4566000,20885000,15937000,35647000,77035000,-3222000,-11307000,-14496000,-58375000,1000,-111195000,-175472000,-112933000,-112933000,-1714000,-114647000,29168000,503056000,61957000,0.53963,0.03746,0.02065,0.01197,0.00267,13.56921,0.65828,3.48284,0.29418,0.0956,0.09421,4.62989,7.98709,1.29728,0.01007,0.05957,16.24973,57.22226
"40","2020_Q1",70.6414516129032,"Down",237839000,-116537000,121302000,-114991000,-87046000,-25860000,-2085000,6311000,-4848000,-4385000,-463000,1463000,-1262000,2586000,1324000,1324000,1324000,1324000,31810000,31810000,88868000,88868000,613861000,67852000,546009000,734539000,35546000,1222878000,317895000,634088000,270895000,1258424000,1992963000,120993000,47676000,73317000,860344000,314335000,546009000,988837000,147762000,1802000,101366000,607362000,1596199000,457864000,-290665000,234855000,-5290000,396764000,396764000,1992963000,1324000,21695000,17631000,19703000,60353000,-1895000,-12361000,-14256000,-36075000,2.91038304567337e-11,297817000,255840000,301937000,301937000,3218000,305155000,28006000,467100000,43228000,0.51002,0.02653,0.00557,0.00334,0.00066,32.64955,0.74283,4.02304,0.23437,0.02771,0.02726,4.97812,8.30453,0.90479,0.00714,0.04273,15.54274,68.97322
"41","2020_Q2",54.9709523809524,"Down",223621000,-104865000,118756000,-110308000,-84590000,-24977000,-741000,8448000,-3089000,-4159000,1070000,5359000,5335000,-696000,4639000,4639000,4639000,4639000,24972000,24972000,89191000,89191000,314459000,81004000,233455000,428622000,35661000,1206638000,408691000,631033000,166914000,1242299000,1670921000,90291000,44510000,45781000,522137000,288682000,233455000,622779000,147173000,1715000,102172000,667749000,1290528000,471405000,-310447000,233575000,-14140000,380393000,380393000,1670921000,4639000,21804000,17312000,-68258000,-24503000,-2867000,-10937000,-13804000,58625000,1000,-331610000,-278944000,-317251000,-317251000,-2822000,-320073000,30252000,530927000,-40177000,0.53106,0.03778,0.02074,0.0122,0.00278,-8.6607,0.68824,3.39262,0.31775,0.09657,0.09574,4.65525,7.91887,-0.83639,0.01001,-0.03796,16.72468,59.89051
"42","2020_Q3",59.91890625,"Up",231991000,-104939000,127052000,-107420000,-81796000,-24895000,-729000,19632000,-3263000,-3893000,630000,16369000,16319000,-4496000,11823000,11823000,11823000,11823000,30531000,30531000,129675000,129675000,506898000,83699000,423199000,667104000,36539000,1193166000,398231000,630687000,164248000,1229705000,1896809000,93922000,41029000,52893000,755769000,332570000,423199000,858885000,148203000,4626000,98469000,627122000,1486007000,491511000,-311661000,245428000,-14476000,410802000,410802000,1896809000,11823000,24284000,25876000,8000,61991000,-3020000,-10742000,-13762000,-41775000,2999.99999999953,188174000,146402000,194631000,194631000,593000,195224000,43916000,488113000,45400000,0.54766,0.08462,0.05096,0.02878,0.00623,3.83996999999999,0.77671,3.61733,0.25733,0.24509,0.2439,4.80911,8.5158,0.94113,0.01129,0.04336,10.41948,23.30797
"43","2020_Q4",55.623125,"Down",215001000,-98685000,116316000,-106124000,-82592000,-22783000,-749000,10192000,-3455000,-3997000,542000,6737000,6632000,-1756000,4876000,4876000,4876000,4876000,30563000,30563000,96830000,96830000,285322000,76761000,208561000,412715000,109469000,1128980000,393305000,632840000,102835000,1238449000,1651164000,80155000,31775000,48380000,529808000,322452000,207356000,620268000,91108000,5803000,38316000,589061000,1209329000,512330000,-311951000,250328000,-8872000,441835000,441835000,1651164000,4876000,22667000,26175000,17959000,71677000,-19949000,-10349000,-30298000,-40449000,0,-220759000,-261208000,-219829000,-219829000,1606000,-218223000,32859000,508258000,32625000,0.541,0.0474,0.02268,0.01104,0.00295,6.69094,0.66538,2.73706,0.30782,0.10101,0.09989,4.45393,9.153,0.67586,0.00468,0.03133,14.53772,46.8696
"44","2021_Q1",69.0006557377049,"Up",242606000,-119576000,123030000,-123823000,-95636000,-27491000,-696000,-793000,-5822000,-5238000,-584000,-6615000,-6672000,-6949000,-13621000,-13621000,-13621000,-13621000,35750000,35750000,95404000,95404000,687906000,78366000,609540000,819060000,105177000,1120497000,277506000,635854000,207137000,1225674000,2044734000,80064000,27836000,52228000,920500000,312236000,608264000,1013404000,86987000,4678000,28223000,605180000,1618584000,545024000,-353091000,236714000,-2497000,426150000,426150000,2044734000,-13621000,23980000,43700000,-15269000,38790000,-3854000,-10129000,-13983000,24536000,-41001000,399536000,383071000,407878000,407878000,2868000,410746000,23187000,531033000,11013000,0.50712,-0.00327000000000001,-0.05614,-0.03196,-0.00666,-0.80853,0.80823,3.79816,0.25971,-0.28265,-0.27776,5.03432,8.84304,0.22853,-0.01304,0.01055,21.36037,-624.56873
"45","2021_Q2",72.0898412698413,"Up",219191000,-103385000,115806000,-109108000,-79380000,-29179000,-549000,6698000,-6124000,-5114000,-1010000,574000,520000,-684000,-164000,-164000,-164000,-164000,27753000,27753000,83333000,83333000,354198000,98095000,256103000,465284000,105124000,1113932000,269118000,637113000,207701000,1219056000,1684340000,88287000,35274000,53013000,544972000,290025000,254947000,646134000,84122000,4495000,25183000,622046000,1268180000,575020000,-399583000,236560000,4163000,416160000,416160000,1684340000,-164000,20461000,31478000,-21672000,30103000,-3470000,-9302000,-12772000,21033000,-28066000,-372586000,-379619000,-362288000,-362288000,230000,-362058000,27159000,550799000,2701000,0.52833,0.03056,-0.00075,-0.000390000000000008,-9.99999999999985e-05,-16.46951,0.7201,3.04734,0.32701,-0.00346,-0.00346,4.62788,8.78657,0.05703,-0.000159999999999997,0.00257,19.25866,78.0898800000001
"46","2021_Q3",70.35515625,"Down",229440000,-108070000,121370000,-108249000,-77460000,-30222000,-567000,13121000,-4567000,-5054000,487000,8554000,8476000,-1745000,6731000,6731000,6731000,6731000,28288000,28288000,119270000,119270000,543450000,103493000,439957000,691008000,104914000,1107440000,260072000,637510000,209858000,1212354000,1903362000,86413000,30605000,55808000,778303000,339670000,438633000,877627000,88488000,5749000,26512000,620461000,1498088000,605548000,-449877000,243312000,6291000,405274000,405274000,1903362000,6731000,20281000,34804000,8003000,69819000,-2658000,-10560000,-13218000,-6210000,-30008000,158799000,122581000,179182000,179182000,762000,179944000,33402000,544884000,40492000,0.52898,0.05719,0.02934,0.01661,0.00354,6.01575,0.78736,3.69648,0.28627,0.14211,0.14211,4.84427,8.55673,0.85493,0.00648,0.03899,15.46602,39.37169
"47","2021_Q4",77.2303125,"Up",231218000,-107681000,123537000,-111560000,-79436000,-31566000,-558000,11977000,-3141000,-4003000,862000,8836000,8705000,-2517000,6188000,6188000,6188000,6188000,27591000,27591000,105873000,105873000,324517000,102319000,222198000,457981000,103346000,1093617000,249494000,635912000,208211000,1196963000,1654944000,96967000,38388000,58579000,550211000,329426000,220785000,660126000,83563000,4528000,22891000,597981000,1258107000,634468000,-490456000,249506000,3319000,396837000,396837000,1654944000,6188000,19742000,32297000,11639000,69866000,-2204000,-9799000,-12003000,-17795000,-40279000,-218036000,-276110000,-218247000,-218247000,-895000,-219142000,31719000,527366000,43671000,0.53429,0.0518,0.02676,0.01559,0.00374,7.05737,0.69378,3.17034,0.31866,0.13012,0.12822,4.86214,8.34485,0.91833,0.00614,0.04333,15.75633,41.7279
"48","2022_Q1",65.2266129032258,"Down",247891000,-124059000,123832000,-130459000,-96300000,-33606000,-553000,-6627000,-3991000,-3832000,-159000,-10618000,-10618000,3561000,-7057000,-7057000,-7057000,-7057000,55146000,55146000,102726000,102726000,693099000,95506000,597593000,850971000,111428000,2009218000,698052000,1058640000,252526000,2120646000,2971617000,122163000,22067000,100096000,968772000,374499000,594273000,1109632000,207442000,4247000,54730000,1144925000,2254557000,968993000,-500911000,242456000,6522000,717060000,717060000,2971617000,-7057000,21926000,42881000,-13877000,43873000,-3332000,-10828000,-433280000,432201000,-10063000,375118000,797256000,407849000,407849000,2e+05,408049000,15299000,956180000,-5471000,0.49954,-0.02673,-0.02847,-0.00984,-0.00237,0.77526,0.76689,3.14417,0.32177,-0.14855,-0.14606,5.21802,15.09386,-0.11516,-0.00375,-0.00291,58.89496,-135.96409
"49","2022_Q2",58.0951612903226,"Down",257124000,-123362000,133762000,-139741000,-98978000,-39952000,-811000,-5979000,-6478000,-7599000,1121000,-12457000,-12457000,2050000,-10407000,-10407000,-10407000,-10407000,33786000,33786000,91770000,91770000,381556000,99913000,281643000,507112000,112675000,2008910000,683348000,1056794000,268768000,2121585000,2628697000,111685000,39490000,72195000,629131000,350952000,278179000,758932000,201606000,4725000,52291000,1164715000,1923647000,993291000,-535585000,232049000,15295000,705050000,705050000,2628697000,-10407000,25545000,22799000,-13433000,24504000,-4266000,-12683000,-36934000,25635000,109880249.537107,-351083000,-325448000,-337878000,-337878000,-504000,-338382000,19566000,981225000,-183000,0.52022,-0.02325,-0.04047,-0.01476,-0.00396,0.01758,0.66819,2.72838,0.37327,-0.22147,-0.22147,5.47193,15.00438,-0.00389,-0.00551,-9.99999999999998e-05,48.42272,-158.46111
"50","2022_Q3",53.90921875,"Down",264927000,-125607000,139320000,-139266000,-100128000,-38333000,-805000,54000,-5843000,-8976000,3133000,-5789000,-5789000,2367000,-3422000,-3422000,-3422000,-3422000,29029000,29029000,149237000,149237000,548726000,98041000,450685000,726992000,111865000,1986665000,664400000,1051230000,271035000,2098530000,2825522000,114051000,36640000,77411000,862114000,412712000,449402000,994319000,189110000,3547000,50170000,1110729000,2105048000,1020903000,-536511000,228627000,7455000,720474000,720474000,2825522000,-3422000,25738000,25391000,9568000,57275000,-3252000,-14500000,-16782999.9999999,-41983000,368366748.61132,173379000,131396000,171888000,171888000,-6748000,165140000,25792000,939773000,29741000,0.52588,0.000199999999999999,-0.01292,-0.00475,-0.00121,-8.69112,0.73115,2.92175,0.3326,-0.06624,-0.06624,5.12821,13.94626,0.5757,-0.00185,0.01608,35.3111,16865.62963
