"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",3.31412698412698,"Up",1626100,-810700,815400,-610200,-509400,-188600,-320800,-100800,205200,5200,4600,600,210400,210400,-60300,150100,150100,150100,150100,1675900,946400,729500,731700,731700,2245200,136200,63600,4789000,161600,1522900,589900,114700,24100,1684500,6473500,598500,139600,458900,522200,522200,1120700,62500,62500,109000,1229700,2044100,-52400,3247900,5243800,5243800,6473500,150100,43400,10200,126700,330400,-2900,-6600,-9500,-44900,276000,276000,276000,248600,46500,432700,0.50145,0.12619,0.09231,0.02862,0.02319,2.88274,4.27322,0.23451,0.00718,0.11221,0.11182,1.21564,3.92018,0.32348,0.02804,0.08084,-6.5543,-7.94055000000001
"12","2014_Q1",3.72426229508197,"Up",2279800,-1431100,848700,-649300,-554800,-187100,-367700,-94500,199400,4100,-5800,9900,203500,203500,-33400,170100,170100,170100,170100,1835700,927300,908400,815900,815900,1705600,145600,59000,4502800,156500,1493700,589900,106200,24100,1650200,6153000,642800,156800,486000,34900,34899.9999999999,677700,51600,51600,78300,756000,2045000,-52400,3418000,5397000,5397000,6153000,170100,46400,2500,16200,235200,-20600,-203600,-224200,-30100,-19100,-19100,-19100,245800,26700,274800,0.37227,0.08746,0.07461,0.03152,0.02765,1.61552000000001,6.64424,0.14008,0.00434,0.12716,0.1265,1.70432,4.03466,0.20543,0.03107,0.05019,-7.35964,-9.07222
"13","2014_Q2",3.57634920634921,"Down",1436100,-841900,594200,-597200,-5e+05,-197000,-303000,-97200,-3000,6000,2300,3700,3000,3000,-900,2100,2100,2100,2100,1644200,732700,911500,815800,815800,1783400,193900,105900,4437300,148900,1462900,589900,101600,24100,1611800,6049100,637800,161800,368600,62300,62300,700100,51600,51600,58300,758400,2045800,-52400,3312700,5290700,5290700,6049100,2100,44200,4800,-210200,-159100,-10400,-5700,-16100,-19400,-194600,-194600,-194600,41200,6700,-178500,0.41376,-0.00209,0.00146,0.000400000000000001,0.000350000000000003,-85,6.33809,0.14335,0.00111,0.00157,0.00156,1.07359,3.95518,-0.13344,0.000390000000000001,-0.03337,-39.74515,545.83333
"14","2014_Q3",3.29949152542373,"Down",1747800,-929700,818100,-641600,-550800,-207900,-342900,-90800,176500,6600,4400,2200,183100,183100,-48000,135100,135100,135100,135100,1752800,1109000,643800,926800,926800,1871200,173100,84300,4723900,148800,1430500,589900,97200,24100,1579300,6303200,530900,151100,379800,279700,279700,810600,51600,51600,51600,862200,2061800,-52400,3447800,5441000,5441000,6303200,135100,44300,23100,3400.00000000003,205900,-16100,-18600,240600,-70200,376300,376300,376300,220800,0,256100,0.46807,0.10098,0.0773,0.02483,0.02143,1.89562999999998,5.82766,0.15846,0,0.10062,0.10015,1.30174,4.05239,0.19074,0.04415,0.04663,-7.93841,-9.93088
"15","2014_Q4",3.13984375,"Down",1786300,-1088900,697400,-774000,-660100,-197900,-462200,-113900,-76600,-3200,10400,-13600,-79800,-79800,20100,-59700,-59700,-59700,-59700,817000,343000,474000,1135300,1135300,2249300,214900,125900,4416500,272400,2724200,705300,111800,24100,2996600,7413100,708800,234700,474100,471900,471900,1180700,408700,408700,408700,1589400,2494100,-52400,3388100,5823700,5823700,7413100,-59700,65500,-7100,-225400,-226700,-23500,-700,-548600,9300,-766000,-766000,-766000,-11100,0,-280100,0.39042,-0.04288,-0.03342,-0.01025,-0.00805,4.69179,3.74058,0.27292,0,-0.04069,-0.04026,1.21746,3.96918,-0.1909,-0.00957999999999999,-0.04494,73.6036,10.6658
"16","2015_Q1",2.83606557377049,"Down",1823000,-1318400,504600,-720200,-595400,-190100,-405300,-124800,-215600,2300,-20200,22500,-213300,-213300,60500,-152800,-152800,-152800,-152800,909100,493700,415400,756700,756700,2309200,209100,123100,4184100,252100,2675600,705300,146200,28200,2927700,7111800,843200,373700,469500,198500,198500,1041700,391000,391000,391000,1432700,2495100,-52400,3235300,5679100,5679100,7111800,-152800,108800,-17400,276300,214900,-2800,0,65100,-129300,150700,150700,150700,-106800,-5.6843418860808e-14,106200,0.2768,-0.11827,-0.08382,-0.02691,-0.02149,-0.69503,4.01661,0.25228,0,-0.10972,-0.11207,1.30901,4.07788,0.07626,-0.02517,0.0175,8.51217,4.2166
"17","2015_Q2",2.81725806451613,"Down",1662100,-1161900,500200,-728900,-621800,-295300,-326500,-107100,-228700,5800,-400,6200,-222900,-222900,61600,-161300,-161300,-161300,-161300,726100,388100,338000,795300,795300,2282900,271500,184800,4075800,249800,2618100,705300,150300,53600,2867900,6943700,707900,342100,365800,412800,412800,1120700,281100,281100,281100,1401800,2519900,-52400,3074000,5541900,5541900,6943700,-161300,110100,2800,-211300,-259700,-20800,-5523.49556967633,54200,99900,-105600,-105600,-105600,-118600,0,-412300,0.30094,-0.1376,-0.09705,-0.02911,-0.02323,2.55611,3.63683,0.25295,-3.3881317890172e-21,-0.10979,-0.10979,1.13136,3.77228,-0.28065,-0.0277,-0.07081,6.12226,3.17489999999999
"18","2015_Q3",2.7628125,"Down",1691100,-1002000,689100,-871600,-755500,-229400,-526100,-116100,-182500,0,7300,-7300,-182500,-182500,44500,-138000,-138000,-138000,-138000,582200,244000,338200,731000,731000,2416100,248300,160500,3977600,261100,2541800,705300,159800,53600,2802900,6780500,716300,422400,293900,382000,382000,1098300,281100,281100,281100,1379400,2520900,-52400,2936000,5401100,5401100,6780500,-138000,110000,-9600,-110500,-148100,-35500,-3800,-39300,43300,-144100,-144100,-144100,-72500,0,-263000,0.40749,-0.10792,-0.0816,-0.02555,-0.02035,1.9058,3.6216,0.25539,0,-0.09307,-0.09307,1.14047,3.64248,-0.17737,-0.02429,-0.04628,8.03034,3.19014
"19","2015_Q4",2.89460317460317,"Up",1729200,-961900,767300,-730600,-636100,-202200,-433900,-94500,36700,-5100,-500,-4600,31600,31600,-12600,19000,19000,19000,19000,640300,354300,286000,829600,829600,2621300,211900,111200,4303100,244500,2464000,705300,169100,52400,2708500,7011600,754400,325100,429300,561000,561000,1315400,265000,265000,265000,1580400,2529100,-52400,2955000,5431200,5431200,7011600,19000,107100,-11000,97800,212900,-4600,0,47400,-150000,110300,110300,110300,143800,0,249600,0.44373,0.02122,0.01099,0.0035,0.00271,13.13684,3.27132,0.29099,0,0.01284,0.01284,1.16822,3.66922,0.16863,0.00334,0.04382,-4.45271,-17.44687
"20","2016_Q1",2.72852459016393,"Down",2766000,-1601000,1165000,-807300,-732800,-318400,-414400,-74500,357700,8800,-6300,15100,366500,366500,-77500,289000,289000,289000,289000,763800,482000,281800,1081700,1081700,2213700,482800,68600,4542000,235200,2364200,705300,154500,52500,2599400,7141400,947500,227600,719900,183200,183200,1130700,260300,260300,260300,1391000,2562100,-52400,3244000,5750400,5750400,7141400,289000,107600,3100,-57400,342300,-13000,0,-313000,98400,127700,127700,127700,465300,0,472400,0.42119,0.12932,0.10448,0.05026,0.04047,1.6346,4.01698,0.2419,0,0.19522,0.1943,1.86844,3.88441,0.31911,0.04808,0.07859,-1.64152,-2.13531
