"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",3.7285,"Up",2099300,-1331400,767900,-851900,-734200,-263900,-470300,-117700,-84000,0,-500,500,-84000,-84000,46100,-37900,-37900,-37900,-37900,987700,678600,309100,1406700,1406700,2701600,92300,92300,5188300,223100,1701500,705300,544500,52500,2170000,7358300,799500,394400,405100,611000,611000,1410500,445000,445000,445600,1856100,2618200,-52400,2940800,5502200,5502200,7358300,-37900,76000,396000,-450600,-16500,-4500,500,-4000,-1600,-22100,-22100,-22100,-8000,600,-509200,0.36579,-0.04001,-0.01805,-0.00689,-0.00515,13.43536,3.67834,0.33734,8e-05,-0.02537,-0.02537,1.40505,3.68259,-0.3408,-0.00637,-0.08561,123.3875,11.75119
"32","2019_Q1",4.28298245614035,"Up",3208800,-1972400,1236400,-861400,-720200,-278000,-442200,-141200,375000,500,-99.9999999999991,600,375500,375500,-184500,191000,191000,191000,191000,1367800,1053100,314700,1444100,1444100,2267900,311700,33500,5391500,199500,1489100,705300,392600,52500,1934000,7325500,1091500,428000,663500,181800,181800,1273300,350000,350000,350000,1623300,2621600,-52400,3131800,5702200,5702200,7325500,191000,75000,-36700.0000000001,177800,407100,9100,-3.63797880709171e-12,9100,-41700,374500,374500,374500,450000,0,821400,0.38532,0.11687,0.05952,0.0335,0.02607,4.30052,4.23427,0.28468,0,0.12784,0.12784,2.14763,3.81645,0.54976,0.03156,0.13572,-3.03956,-3.64747
"33","2019_Q2",4.49741379310345,"Up",2038600,-1092900,945700,-770000,-652600,-236100,-416500,-117400,175700,1800,-400,2200,177500,177500,-35500,142000,142000,142000,142000,1830000,1507300,322700,1190000,1190000,2301000,134100,67000,5455100,185600,1423300,705300,386600,52500,1854300,7309400,983400,362600,546100,193900,193900,1177300,350000,350000,350000,1527300,2630300,-52400,3221100,5782100,5782100,7309400,142000,75900,13300,229500,460700,-2200,-75200,-4900,-1600.00000000001,454200,454200,454200,251600,0,514400,0.4639,0.08619,0.06966,0.02456,0.01943,3.62254,4.63357,0.26414,0,0.09504,0.09479,1.36442,3.86992,0.34428,0.02316,0.08389,-7.27345,-10.41548
"34","2019_Q3",5.63174603174603,"Up",2163200,-1187500,975700,-819600,-710300,-248200,-462100,-109300,156100,-7200,2400,-9600,148900,148900,-30400,118500,118500,118500,118500,1665900,1358100,307800,1216500,1216500,2723900,408600,101400,6014900,177900,1365900,705300,385500,52500,1543800,7558700,1129300,570700,558600,232300,232300,1361600,290000,290000,290000,1651600,2639800,-52400,3339500,5907100,5907100,7558700,118500,76000,20300,-278200,-63400,-12000,72400,-9399.99999999999,-76400,-149200,-149200,-149200,232100,2.8421709430404e-14,-27700,0.45104,0.07216,0.05478,0.02006,0.01568,-0.23376,4.41752,0.2796,0,0.07931,0.07832,1.44782,3.95359,-0.01854,0.03118,-0.00447,-7.17751,-10.67201
"35","2019_Q4",7.855625,"Up",3053500,-1972300,1081200,-895400,-774500,-282100,-492400,-120900,185800,7700,-300,8000,193500,193500,-99900,93600,93600,93600,93600,1679300,1354200,325100,2000400,2000400,2671300,488100,65800,6839100,281200,1411000,705300,463400,52500,1692200,8531300,1258600,451400,807200,588800,588800,1847400,664000,664000,664000,2511400,2651500,-52400,3433100,6019900,6019900,8531300,93600,66300,493300,-565800,87400,-136800,0,-139500,48200,-3900,-3900,-3900,252100,0,-350600,0.35409,0.06085,0.03065,0.01555,0.01097,-3.74573,3.70201,0.41718,6.7762635780344e-21,0.06265,0.0617,2.04369,4.02908,-0.23465,0.014,-0.05245,-6.66125,-9.03821
"36","2020_Q1",9.61116666666667,"Up",2944500,-1580000,1364500,-1106000,-923100,-369700,-553400,-182900,258500,-8200,200,-8400,250300,250300,41200,291500,291500,291500,291500,1933400,1602500,330900,1974200,1974200,2592300,91200,91200,6591100,318800,1366100,705300,431100,54700,1684900,8276000,1177300,569000,608300,408000,408000,1585300,350000,350000,350000,1935300,2668400,-52400,3724700,6340700,6340700,8276000,291500,39100,12800.0000000001,331400,674800,-61400,-155100,-64600,-361900,248300,248300,248300,297600,4.54747350886464e-13,526400,0.46341,0.08779,0.099,0.04597,0.03522,1.80583,4.15764,0.30522,0,0.1951,0.1917,1.97074,4.24379,0.35232,0.04357,0.07868,-6.49664,-7.4793
"37","2020_Q2",9.38777777777778,"Down",2004200,-1023800,980400,-1055900,-819300,-309100,-510200,-236600,-75500,-200,7344.89664199421,-199.999999999996,-75700,-75700,19500,-56200,-56200,-56200,-56200,1593300,1259700,333600,1867800,1867800,2713100,93500,93500,6267700,314400,2280500,705300,450600,961700,2594900,8862600,894900,457200,437700,570500,570500,1465400,1088000,1088000,1088000,2553400,2693100,-52400,3668500,6309200,6309200,8862600,-56200,41000,-3300,-305600,-324100,-24500,-1200,-25700,7000.00000000006,-342800,-342800,-342800,-34500,0,-384100,0.48917,-0.03767,-0.02804,-0.00890999999999999,-0.00634,6.83452,4.27713,0.40471,1.0842021724855e-19,-0.03761,-0.03761,1.34131,4.22243,-0.25706,-0.0076,-0.05193,46.18261,21.10331
"38","2020_Q3",8.2175,"Down",2094100,-918200,1175900,-924300,-664500,-226300,-438200,-259800,251600,12100,9700,2400,263700,263700,-71500,192200,3599.99999999997,3599.99999999997,3599.99999999997,1389200,1044000,345200,1812500,1812500,3003800,62500,62500,6268000,309400,2286400,705300,451200,986700,2595800,8863800,813200,474700,338500,514700,514700,1327900,1205400,1205400,1205400,2533300,2710800,-52400,3672100,6330500,6330500,8863800,3599.99999999997,41400,14300,-249300,-190000,-17000,-8700.00000000003,-25700,0,-215700,-215700,-215700,293000,0,98199.9999999998,0.56153,0.12015,0.00171999999999998,0.00057,0.00041,27.27778,4.72023,0.40017,0,0.00239999999999999,0.00239999999999999,1.39679,4.22252,0.0655,0.00048,0.01303,-4.7413,-5.52146
"39","2020_Q4",8.00609375,"Down",2136200,-1036900,1099300,-1153500,-854600,-344900,-509700,-298900,-54200,-42000,300,-42300,-96200,-276900,67000,-209900,-314600,-314600,-314600,1040700,739400,301300,2184200,2184200,3044800,80400,80400,6350100,290500,2279300,705300,513200,923400,2569800,8919900,1162000,451900,710100,540200,540200,1702200,1187200,1187200,1187200,2889400,2725400,-52400,3357500,6030500,6030500,8919900,-314600,40900,55300,-71300,-289700,-15600,700,-14900,2.3283064365387e-10,-304600,-304600,-304600,-13300,0,-167200,0.51461,-0.02537,-0.14727,-0.05217,-0.03527,0.53147,3.73053,0.47913,-1.73472347597681e-18,-0.20984,-0.20984,1.42483,4.0223,-0.11152,-0.04359,-0.02317,78.24812,19.20111
"40","2021_Q1",9.00475409836066,"Up",1549900,-868100,681800,-1467200,-1122800,-305500,-817300,-344400,-785400,26200,2600,23600,-759200,-578500,199000,-379500,-336100,-336100,-336100,7891500,7559700,331800,1064000,1064000,2541000,1240200,112400,12736700,278300,1782400,257300,537100,859300,2060700,14797400,1013600,334600,679000,857800,616900,1871400,640800,640800,1204600,3076000,8752400,-52400,3021400,11721400,11721400,14797400,-336100,37600,17200,917000,635700,-18600,-54200,-17800.0000000002,6202400,6820300,6820300,6820300,-747800,563800,-48400,0.4399,-0.50674,-0.21685,-0.02867,-0.02271,0.144000000000003,6.80597,0.26243,0.0381,-0.21439,-0.21439,0.98864,7.47676,-0.03087,-0.026,-0.00374,9.79901,9.3299
"41","2021_Q2",10.6646031746032,"Up",2019200,-962500,1056700,-1257400,-1013100,-493900,-519200,-244300,-200700,11500,32604.8768574552,11500,-189200,-189200,35600,-153600,-263300,-263300,-263300,7373200,3355500,4017700,1171300,1171300,2941200,466200,134700,11951900,325200,2317000,705300,598200,884500,2642200,14594100,1069900,531900,538000,1014800,1014800,2084700,990000,990000,990000,3074700,8813700,-52400,2758100,11519400,11519400,14594100,-263300,40600,4300,-196000,-414400,-86700,-3723500,-3776400,-13399.9999999981,-4204200,-4204200,-4204200,-160100,0,-478400,0.52333,-0.0994,-0.1304,-0.02286,-0.01804,1.81694,5.73315,0.26691,6.93889390390723e-18,-0.09202,-0.09202,0.7057,4.02598,-0.1672,-0.02105,-0.03824,46.05372,36.73742
"42","2021_Q3",8.68765625,"Down",2717300,-1311200,1406100,-1645500,-1315800,-778900,-536900,-329700,-239400,53600,48900,4700,-185800,-185800,58500,-127300,-612500,-612500,-612500,6896100,1111300,5784800,1554500,1554500,2639200,649600,316000,11739400,310700,2019500,257300,811100,823000,2330200,14069600,962400,584000,378400,1068300,916800,2128300,958300,958300,958300,3086600,8889800,-52400,2145600,10983000,10983000,14069600,-612500,42400,256900,-490200,-803400,-27500,-1721900,-1440800,0,-2244200,-2244200,-2244200,-197000,97600,-773200,0.51746,-0.0881,-0.22541,-0.05577,-0.04353,1.26237,5.51586,0.28103,0.00694,-0.21407,-0.21407,0.94969,3.83851,-0.27023,-0.05088,-0.06423,34.51015,28.39808
"43","2021_Q4",6.21296875,"Down",2508600,-1145700,1362900,-3221700,-2771700,-1386100,-1385600,-450000,-1858800,28600,22500,6100.00000000003,-1830200,-1830200,378200,-1452000,-1435600,-1435600,-1435600,5953200,627500,5325700,1822500,1822500,2885200,523500,62600,11184400,383700,2332200,257300,1189400,764000,2715900,13900300,933600,477200,456400,729100,664700,1858500,1199400,1199400,1199400,3057900,10184800,-52400,710000,10842400,10842400,13900300,-1435600,43700,787100,-769900,-1374700,-110700,467200,454100,436800.000000001,-483800,-483800,-483800,-1815100,195800,-3073900,0.54329,-0.74097,-0.57227,-0.13241,-0.10328,2.1412,6.01797,0.28203,0.01409,-0.50168,-0.50168,0.87664,3.78893,-1.07419,-0.11731,-0.25118,3.17195,3.09737
"44","2022_Q1",6.06451612903226,"Down",2530100,-1380400,1149700,-3559600,-2959800,-2572809.68532914,-3527035.15246272,-599800,-2409900,560100,10800,549300,-1849800,-1849800,472700,-1377100,-1361100,-1361100,-1361100,13419800,9675200,3744600,1294700,1294700,2977100,739500,350900,18431100,412600,10162700,4395400,2489900,719600,10575300,29006400,1087000,453500,633500,766000,728800,1853000,494800,494800,928600,2781600,26937500,-52400,-651100,26224800,26224800,29006400,-1361100,124800,-269700,797000,-709000,407500,1590600,-6120900,15886800,9056900,9056900,9047700,-2285100,433800,-1553300,0.45441,-0.95249,-0.53796,-0.0519,-0.04692,1.14121,9.94663,0.10607,0.01496,-0.47568,-0.47568,0.88422,9.1651,-0.54285,-0.05013,-0.0572,5.6829,5.38861
"45","2022_Q2",5.56741935483871,"Down",2854500,-1340900,1513600,-3038000,-2401500,-4564629.05598741,-7476405.45738815,-636500,-1524400,-7900,19559.745625605,-7900,-1532300,-1532300,322600,-1209700,-1208800,-1208800,-1208800,12254500,5268700,6985800,1493200,1493200,3094700,624300,502100,17466700,435300,10312300,4395400,2812500,685500,10747600,28214300,1163200,620500,542700,830800,804400,1994000,492600,492600,492600,2486600,27612900,-52400,-1859900,25727700,25727700,28214300,-1208800,165100,385800,-128300,-786200,-48900,-3274200,-3323100,-321700,-4431000,-4431000,-4406500,-1359300,0,-1859100,0.53025,-0.53403,-0.42347,-0.04698,-0.04284,1.53797,8.75963,0.09665,-1.73472347597681e-18,-0.42101,-0.42101,0.99418,8.96061,-0.6475,-0.0461,-0.0709,9.0153,8.0389
"46","2022_Q3",5.7421875,"Up",2904100,-1495400,1408700,-3253500,-2373200,-7587158.11197483,-13748910.9147763,-880300,-1844800,523500,49400,474100,-1321300,-1321300,414700,-906600,-896500,-896500,-896500,11170500,4297000,6873500,1344800,1344800,3615000,657100,580600,16787400,522600,11542500,4395400,3223200,1573500,12065100,28852500,1516400,914800,601600,434000,434000,1950400,1412600,1412600,1412600,3363000,28203900,-52400,-2756400,25489500,25489500,28852500,-896500,162200,-317900,-276800,-1308200,-181000,117300,-63700,321700,-1050200,-1050200,-971700,-1682600,0,-2555100,0.48507,-0.63524,-0.3087,-0.03517,-0.03107,2.85008,8.60716,0.13194,0,-0.31224,-0.31224,1.01146,8.87765,-0.88991,-0.03332,-0.09498,6.63883,6.05513
