"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.6462903225806,"Up",303800000,-149691000,154109000,-67596000,-19914000,-47682000,86513000,-4006000,-4006000,82507000,-858000,81649000,-32145000,49504000,49504000,49504000,49504000,252813000,244637000,8176000,532695000,513903000,785508000,73191000,2276030000,567489000,1686460000,22081000,2349221000,3134729000,575708000,57046000,518662000,93000.0000000001,47798000,47798000,623599000,4.5e+08,292316000,229458000,62858000,742316000,1365915000,341435000,1427379000,1768814000,1768814000,3134729000,49504000,19914000,7366000,-557000,76227000,-5503000,-444000,-14863000,-20810000,-12228000,-603000,9302000,9302000,-963000,-4492000,50925000,50925000,50925000,106427000,450093000,132512000,0.50727,0.28477,0.16295,0.02799,0.01579,2.67679,1.25964,0.77222,0.14358,0.17748,0.17434,1.08915,6.34134,0.47507,0.04384,0.02458,0.05277,0.24701,1.85366,2.28035
"12","2013_Q1",12.9865,"Up",302830000,-158467000,144363000,-69580000,-20113000,-49467000,74783000,-4004000,-4004000,70779000,-1552000,69227000,-26590000,42637000,42637000,42637000,42637000,228004000,219821000,8183000,531508000,507100000,759512000,74337000,2294209000,566538000,1711514000,16157000,2368546000,3128058000,534821000,48524000,486297000,93000,32867000,32867000,567781000,4.5e+08,302944000,237630000,65314000,752944000,1320725000,350260000,1457073000,1807333000,1807333000,3128058000,42637000,20113000,-3672000,-27739000,31339000,3743000,-6000,-40458000,-36721000,-12943000,-7.45058059692383e-09,3715000,3715000,-10206000,-19434000,-24816000,-24816000,-24816000,94896000,450093000,97490000,0.47671,0.24695,0.1408,0.02359,0.01363,2.28651,1.33768,0.73076,0.14389,0.15238,0.14936,1.0823,6.45933,0.34842,0.04626,0.02171,0.03808,0.30356,2.34034,2.96978
"13","2013_Q2",14.2334375,"Up",335012000,-159498000,175514000,-70517000,-20328000,-50189000,104997000,-3984000,-3984000,101013000,-1522000,99491000,-39360000,60131000,60131000,60131000,60131000,347434000,340206000,7228000,534179000,518138000,881613000,73067000,2275680000,550689000,1709279000,15712000,2348747000,3230360000,591878000,63303000,528575000,93000,25343000,25343000,617314000,4.5e+08,303790000,244883000,58907000,753790000,1371104000,355005000,1504251000,1859256000,1859256000,3230360000,60131000,20328000,18739000,37823000,137021000,-2704000,956000,-61000,-1809000,-12953000,-9517070.27235009,625000,625000,-2499000,-14827000,120385000,120385000,120385000,125325000,450093000,199804000,0.5239,0.31341,0.17949,0.03234,0.01861,3.32281,1.42814,0.73745,0.13933,0.21354,0.21033,1.18971,6.60266,0.70955,0.046,0.02797,0.07646,0.21541,0.81914,0.97773
"14","2013_Q3",14.73078125,"Up",325792000,-163514000,162278000,-71404000,-20384000,-51020000,90874000,-3997000,-3997000,86877000,-656000,86221000,-34214000,52007000,52007000,52007000,52007000,397730000,385525000,12205000,574842000,559791000,972572000,72929000,2280819000,538767000,1722828000,19224000,2353748000,3326320000,630566000,46884000,583682000,33000,31216000,31216000,661815000,4.5e+08,312447000,249195000,63252000,762447000,1424262000,358759000,1543299000,1902058000,1902058000,3326320000,52007000,20384000,8627000,3846000,84864000,-3906000,-4977000,-14323000,-23206000,-12959000,-60000,99999.9999999995,1e+05,-3420000,-16339000,45319000,45319000,45319000,111258000,450033000,145412000,0.4981,0.27893,0.15963,0.02734,0.01563,2.79601,1.46955,0.7488,0.13529,0.18464,0.18193,1.15664,6.75274,0.51625,0.04601,0.02438,0.05457,0.24918,0.47011,0.57556
"15","2013_Q4",14.34078125,"Down",359310000,-180528000,178782000,-79857000,-22324000,-57533000,98925000,-4135000,-4135000,94790000,665000,95455000,-37706000,57749000,57749000,57749000,57749000,182658000,170965000,11693000,661090000,639822000,843748000,74482000,2636558000,625298000,1990940000,20320000,2711040000,3554788000,668374000,42460000,625914000,1e+08,93415000,93415000,861789000,3.8e+08,348215000,284257000,63958000,728215000,1590004000,376837000,1587947000,1964784000,1964784000,3554788000,57749000,22324000,15284000,-7338000,88019000,-3976000,512000,-324968000,-328432000,-13101000,29967000,10561000,10561000,-1574000,25853000,-214560000,-214560000,-214560000,121249000,4.8e+08,147641000,0.49757,0.27532,0.16072,0.02939,0.01625,2.5566,0.97907,0.80925,0.13503,0.20458,0.20399,1.27286,6.96026,0.52302,0.04641,0.02537,0.05286,0.22686,2.45233,3.00573
"16","2014_Q1",13.9373770491803,"Down",343165000,-179460000,163705000,-81919000,-22381000,-59538000,81786000,-4324000,-4324000,77462000,-1020000,76442000,-29217000,47225000,47225000,47225000,47225000,213576000,202952000,10624000,714460000,685184000,928036000,74733000,2646723000,618888000,2006173000,21662000,2721472000,3649508000,725918000,34158000,691760000,1e+08,80959000,80959000,906877000,3.8e+08,355490000,291704000,63786000,735490000,1642367000,386502000,1620639000,2007141000,2007141000,3649508000,47225000,22381000,6781000,3083000,79470000,106000,1069000,-28360000.0000001,-27185000.0000001,-14533000,1.49011611938477e-08,1159000,1159000,-6924000,-20298000,31987000,31987000,31987000,104167000,4.8e+08,136573000,0.47704,0.23833,0.13762,0.02353,0.01294,2.89196,1.02333,0.81826,0.13152,0.16704,0.16504,1.21382,7.09955,0.48308,0.05141,0.02173,0.04804,0.30774,2.55766,3.25757
"17","2014_Q2",13.6866666666667,"Down",363594000,-184110000,179484000,-82492000,-22516000,-59976000,96992000,-4072000,-4072000,92920000,-6083000,86837000,-34422000,52415000,52415000,52415000,52415000,260984000,250017000,10967000,703371000,690991000,964355000,74576000,2635358000,601574000,2006491000,27293000,2709934000,3674289000,701097000,62416000,638681000,39615968.0230988,91395000,91395000,792492000,4.8e+08,348937000,285514000,63423000,828937000,1621429000,394352000,1658508000,2052860000,2052860000,3674289000,52415000,22516000,21390000,-29176000,67145000,-3898000,-343000,-1013000,-5254000,-14546000,0,720000,720000,-999999.999999999,-14826000,47065000,47065000,47065000,119508000,4.8e+08,120856000,0.49364,0.26676,0.14416,0.02553,0.01427,2.30575,1.21686,0.78984,0.13064,0.18507,0.18287,1.28379,7.24829,0.42672,0.05136,0.02324,0.04194,0.27752,1.83265,2.25808
"18","2014_Q3",14.46140625,"Up",397764000,-196397000,201367000,-92405000,-25865000,-66540000,108962000,-7004000,-7004000,101958000,-177000,101781000,-40026000,61755000,61755000,61755000,61755000,321407000,309107000,12300000,1137828000,1121516000,1459235000,86370000,3365673000,828961000,2509280000,27432000,3471237000,4930472000,1137368000,55856000,1081512000,6609000,126641000,126641000,1270618000,1168125000,410215000,337520000,72695000,1578340000,2848958000,400772000,1705767000,2081514000,2081514000,4930472000,61755000,25865000,4994000,17843000,110457000,-5472000,199000,-693724000,-698997000,-14496000,6.95e+08,-24803000,222000.000000001,-8071000,647630000,59090000,59090000,59090000,134827000,1174734000,187224000,0.50625,0.27394,0.15526,0.02967,0.01253,3.03172,1.14845,1.3687,0.23826,0.2186,0.21588,1.40801,7.36819,0.66274,0.05131,0.0208,0.05106,0.23473,6.32905,7.83142
"19","2014_Q4",14.72453125,"Up",421418000,-203126000,218292000,-97995000,-27439000,-70556000,120297000,-7298000,-7298000,112999000,-314000,112685000,-44354000,68331000,68331000,68331000,68331000,393544000,382092000,11452000,1092351000,1072975000,1485895000,88176000,3351688000,805699000,2512508000,33481000,3459853000,4945748000,1101596000,47647000,1053949000,38750000,122680000,122680000,1263026000,1159682000,417745000,345558000,72187000,1577427000,2840453000,413236000,1759593000,2105295000,2105295000,4945748000,68331000,27439000,8363000,3615000,107748000,-7427000,55000,-79000,-7451000,-14505000,15932000,-28689000,13811000,-49999.9999999981,-27312000,72985000,72985000,72985000,147736000,1198432000,188278000,0.51799,0.28546,0.16215,0.03246,0.01382,2.75538,1.17646,1.34919,0.24232,0.24245,0.23898,1.49529,7.47009,0.66806,0.05147,0.02226,0.05059,0.21228,5.44815,6.69084
"20","2015_Q1",14.8529508196721,"Up",393020000,-227479000,165541000,-66272000,-28016000,-38256000,99269000,-10034000,-10034000,89235000,-50789000,38446000,-14051000,24395000,24395000,24395000,24395000,481205000,470048000,11157000,1088903000,1063472000,1570108000,84668000,3281820000,784642000,2460611000,36567000,3386350000,4956458000,1127187000,57261000,1069926000,45625000,96341000,96341000,1269153000,1152846000,420714000,341497000,79217000,1573560000,2842713000,420569000,1768201000,2113745000,2113745000,4956458000,24395000,28016000,38597000,8661000,99669000,5505000,554000,-1670000,4389000.00000012,-15787000,7492999.99999994,-7445000.00000001,55000,-363000,-16102000,87956000,87956000,87956000,127285000,1198471000,155502000,0.4212,0.25258,0.06207,0.01154,0.00492,6.37434,1.23713,1.34487,0.2418,0.08712,0.08574,1.40363,7.54904,0.55536,0.05638,0.01076,0.04166,0.64714,5.63512,7.22548
