"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",0.97265625,"Up",18869000,-15230000,3639000,-3310000,-3310000,329000,-4000,-5000,1000,325000,325000,-138000,187000,187000,187000,187000,8359447.01208287,8359447.01208287,214261.929060129,214261.929060129,15258018.0373997,5893266.40639219,9857207.51596725,23831726.9785427,29460.5637037366,2476129.22981413,-2446668.66611039,227275.334707346,-18102952.2603869,256735.898411082,24088462.8769538,11674641.906617,2253131.43909251,9421510.46785695,250111.401264822,250111.401264807,11919213.6321349,4.6314230881197e-07,4.63130879879621e-07,-0.0430544958187332,11919213.5890804,9575149.65433965,25023333.9383475,2930369.45161342,12169249.2878734,12169249.2878734,24088462.8769538,187000,41000,128000,-5e+05,-144000,-35000,-35000,5000,8000,-171000,-171000,-171000,370000,0,-27000,0.19286,0.01744,0.00991,0.056932081265079,0.031288247195637,-0.14439,1.25024698383617,0.95331542659195,-0.00034197232645028,0.02027,0.01996,2.04487,1.2937969688666,-0.00293,0.0551769820850459,-0.0868749841539475,-17.3492934791145,-21.3469535753238
"2","2011_Q1",1.28145161290323,"Up",20282000,-16290000,3992000,-3559000,-3559000,433000,-8000,-6000,-2000,425000,425000,-121000,304000,304000,304000,304000,6334000,6334000,8057000,8057000,3236000,1395000,1664000,17627000,185000,2684000,-2499000,585000,-9691171.35623214,770000,18397000,5908000,2695000,3213000,141000,141000,6049000,0,0,0,6049000,9999000,10355166.9691737,2349000,12348000,12348000,18397000,304000,60000,16000,175000,555000,-64000,-133000,0,-18000,404000,404000,404000,493000,0,725000,0.19682,0.02135,0.01499,0.02462,0.01652,2.38486999999999,2.91404,0.48988,0,0.03295,0.03236,2.198,1.33817,0.0785699999999999,0.02462,0.05871,-12.84787,-14.62818
"3","2011_Q2",1.12206349206349,"Down",19901000,-16057000,3844000,-3778000,-3778000,66000,-7000,-6000,-1000,59000,59000,-22000,37000,37000,37000,37000,5490434.32930571,5490434.32930571,10203496.0236466,10203496.0236466,713243.987533432,88077.8645359366,288180.828010915,16407174.3404858,214513.145432088,2752040.25672862,-2537527.11129654,654908.221764218,-4276585.67811607,869421.367196306,17276595.7076821,4577202.69779435,2566289.5203025,2010913.17738102,96379.5329117259,96379.5329117311,4675428.78928838,-1.5438076960399e-07,-1.54376959959874e-07,0.0143514986062444,4675428.80363987,10158116.7818868,2699388.98972458,2380460.18279553,12601166.9040422,12601166.9040422,17276595.7076821,37000,45000,-12000,-1522000,-1452000,-22000,-22000,-17000,-17000,-1491000,-1491000,-1491000,111000,0,-1411000,0.19316,0.00332,0.00186,0.020465139578307,0.0154464176014543,-38.13514,3.34640350538794,0.373045691136017,0.000113990775483427,0.00401,0.0039,2.15729,1.37240934371113,-0.15295,0.021050172638318,0.0979408280513158,-9.84138134029515,-10.6517871415587
"4","2011_Q3",1.065,"Down",22115000,-17677000,4438000,-3817000,-3817000,621000,-7000,-6000,-1000,614000,614000,-232000,382000,382000,382000,382000,5333000,5333000,9244000,9244000,3242000,563999.999999999,2458000,17819000,187000,2756000,-2569000,596000,-1229195.22603869,783000,18602000,5713000,2202000,3511000,91000,91000,5804000,0,0,0,5804000,10160000,-130000,2768000,12798000,12798000,18602000,382000,45000,14000,177000,618000,-50000,-50000,-91000,-78000,490000,490000,490000,666000,-2.27373675443232e-13,1025000,0.20068,0.02808,0.01727,0.02985,0.02054,2.68325,3.07012,0.45351,0,0.04159,0.04069,2.40773,1.39336,0.11159,0.02985,0.08009,-8.00751,-8.58776
"5","2011_Q4",1.02349206349206,"Down",23489000,-18840000,4649000,-3921000,-3921000,728000,-18000,-9000,-9000,710000,710000,-269000,441000,441000,441000,441000,5614000,5614000,8542000,8542000,5158000,1233000,3832000,19314000,185000,2786000,-2601000,636000,81000,821000,20135000,7019000,2013000,5006000,103000,103000,7122000,0,0,0,7122000,10123000,-319000,3209000,13013000,13013000,20135000,441000,44000,214000,-23000,676000,-30000,-30000,-239000,-365000,281000,281000,281000,772000,0,988000,0.19792,0.03099,0.01877,0.03389,0.0219,2.24036,2.71188,0.5473,0,0.04826,0.04637,2.57062,1.42413,0.10813,0.03389,0.07592,-7.27202,-7.71154
"6","2012_Q1",1.41032258064516,"Up",14971000,-12027000,2944000,-2140000,-2140000,804000,-37000,-17000,-20000,767000,767000,-272000,495000,253000,253000,253000,5755000,5755000,10430000,10430000,2419000,747000,1495000,18604000,273000,2913000,-2640000,911000,284000,1184000,19788000,6635000,2309000,4326000,106000,106000,6741000,-1.05879118406788e-22,1.05879118406788e-22,-1.38777878078145e-17,6741000,10151000,-566000,3462000,13047000,13047000,19788000,495000,-8000,-135000,699000,628000,-103000,-221000,-245000,-266000,141000,141000,141000,796000,0,1664000,0.19665,0.0537,0.0169,0.01939,0.01279,6.57708,2.75983,0.51667,1.0842021724855e-19,0.02817,0.02761,1.66706,1.45281,0.18529,0.01939,0.12754,-7.2299,-7.15796
"7","2012_Q2",1.61809523809524,"Up",24454000,-19994000,4460000,-3864000,-3864000,596000,-23000,-16000,-7000,573000,573000,-221000,352000,352000,352000,352000,2748000,2748000,8671000,8671000,5658000,722000,4783000,17077000,304000,2984000,-2680000,699000,67000,1003000,18080000,7072000,2234000,4838000,58000,58000,7130000,0,0,0,7130000,10193000,-3057000,3814000,10950000,10950000,18080000,352000,47000,-32000,-853000,-486000,-71000,-34000,-2482000,-2487000,-3007000,-3007000,-3007000,643000,0,-60000,0.18238,0.02437,0.01439,0.03215,0.01947,-0.17045,2.39509,0.65114,0,0.04045,0.03931,2.81,1.25826,-0.00689,0.03215,-0.00548,-4.27372,-4.61074
"8","2012_Q3",1.53190476190476,"Down",25312000,-20483000,4829000,-4058000,-4058000,771000,-33000,-17000,-16000,738000,738000,-280000,458000,458000,458000,458000,1687000,1687000,12116000,12116000,3069000,1043000,1938000,16872000,295000,3021000,-2726000,680000,60000,975000,17847000,6281000,1995000,4286000,58000,58000,6339000,3.3881317890172e-21,-1.6940658945086e-21,-2.22044604925031e-16,6339000,10291000,-3057000,4272000,11508000,11508000,17847000,458000,54000,114000,-1702000,-1076000,-37000,-44000,33999.9999999995,59000,-1061000,-1061000,-1061000,825000,-2.91038304567337e-11,-634000,0.19078,0.03046,0.01809,0.0398,0.02566,-1.38428,2.66162,0.55083,1.73472347597681e-18,0.05799,0.05599,3.20506,1.45717,-0.08028,0.0398,-0.05509,-2.04485,-2.18807
"9","2012_Q4",1.63225806451613,"Up",17529000,-14146000,3383000,-2622000,-2622000,761000,35000,-17000,52000,796000,796000,-292000,504000,601000,601000,601000,3253000,3253000,9301000,9301000,6435000,1324000,5090000,18989000,265000,3039000,-2774000,695000,54000,960000,19949000,7604000,1907000,5697000,94000,94000,7698000,0,0,0,7698000,10421000,-3088000,4873000,12251000,12251000,19949000,504000,24000,91000,1068000,1575000,-8000,-24000,-7000,15000,1566000,1566000,1566000,785000,0,2137000,0.19299,0.04341,0.03429,0.04906,0.03013,3.55574,2.46674,0.62836,0,0.07576,0.07343,2.20977,1.54441,0.2694,0.04906,0.17443,-4.14395,-4.27464
"10","2013_Q1",2.7925,"Up",23475000,-18982000,4493000,-3250000,-3250000,1243000,-11000,-18000,7000,1232000,1232000,-488000,744000,728000,728000,728000,659000,659000,10864000,10864000,3868000,788000,2927000,15391000,249000,3063000,-2814000,780000,260000,1029000,16420000,6750000,1984000,4766000,173000,173000,9533000,5.42101086242752e-20,2.71050543121376e-20,1.77635683940025e-15,9533000,11075000,-3115000,-1081000,6887000,6887000,16420000,744000,33000,2e+05,-180000,984000,-20000,-52000,530000,-3526000,-2594000,-2594000,-2594000,1276000,2610000,1564000,0.1914,0.05295,0.03101,0.10571,0.04434,2.14835,1.6145,1.3842,0.15895,0.09024,0.08784,2.90982,0.85367,0.19386,0.78025,0.16468,1.529,1.56959
