"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebit"
"1","2013_Q2",78.8490625,"Down",919803,-239213,680590,-932299,-876875,-55424,-251709,-149912,5225,-401621,-286079,-195737,-481816,-481816,-481816,-481816,20767847,20513060,766232,766232,216963,216963,21751042,54104,1193643,534261,635671,23711,1247747,22998789,426838,301574,125264,857146,552586,1283984,195737,195737,1479721,21995943,-481816,21519068,21519068,22998789,-481816,55424,218451,1108981,901040,-110902,-762564.427974991,-110902,18854628,19644766,19644766,19644766,-196285,0,997531,0.73993,-0.27366,-0.52383,-0.02239,-0.02095,-2.07036,16.94027,0.06876,0,-1.78956,-1.78956,3.41633,79.92608,3.70503,-0.02219,82.50737
"2","2013_Q3",74.646875,"Down",976920,-247005,729915,-1163629,-1103066,-60563,-433714,9132.00000000003,9132,-424582,-224087,90925,-133162,-133162,-133162,-133162,20385681,20139693,447086,447086,173810,173810,21006577,57590,1409927,750545,635671,23711,1467517,22474094,371442,254729,116713,669901,565836,1041343,104812,104812,1146155,21946775,-614978,21327939,21327939,22474094,-133162,60563,-291421,330406,-33614,-80334,-2e+05,-280334,-59419,-373367,-373367,-373367,-373151,0,-214004,0.74716,-0.44396,-0.13631,-0.00624,-0.00593,1.6071,20.17258,0.05374,0,-0.33721,-0.33721,2.47391,54.00993,-0.54193,-0.00621,47.00259
"3","2013_Q4",79.49421875,"Up",979289,-235304,743985,-1202824,-1136412,-66412,-458839,5717,5716,-453122,-456882,185382,-271500,-271500,-271500,-271500,19807906,19807906,594149,594149,143452,143452,20545507,52458,1606749,767140,735328,23711,1659207,22204714,392671,206816,185855,751746,652137,1144417,0,0,1144417,21946775,-886478,21060297,21060297,22204714,-271500,66412,-181622,27112,-359598,-78450,0,27811,0,-331787,-331787,-331787,-392427,0,-629147,0.75972,-0.46854,-0.27724,-0.01289,-0.01223,2.3173,17.95282,0.05434,0,-0.52157,-0.52157,1.88129,40.45846,-1.20864,-0.01289,43.16962
"4","2014_Q1",52.207868852459,"Down",1158632,-431022,727610,-1597861,-1498612,-99249,-870251,5692,5692,-864559,-850171,300262,-549909,-549909,-549909,-549909,18736495,18736495,1218112,1218112,99094,99094,20053701,54781,1911715,782911,735328,12644,1966496,22020197,411423,222961,188462,1109641,1024420,1521064,0,0,1521064,21946775,-1436387,20499133,20499133,22020197,-549909,99249,-314650,-158003,-923313,-117343,11067,-106276,-41822,-1071411,-1071411,-1071411,-771002,0,-1346610,0.62799,-0.7511,-0.47462,-0.02683,-0.02497,2.44879,13.184,0.0742,3.3881317890172e-21,-1.39269,-1.39269,2.93433,51.91577,-3.4104,-0.02683,21.52999
"5","2014_Q2",58.4334920634921,"Up",1237653,-366471,871182,-1423047,-1332140,-90907,-551865,66246,66246,-485619,-441810,179267,-262543,-262543,-262543,-262543,18329450,10829109,959957,959957,351641,351641,19641048,60498,2054269,746198,735328,12644,2114767,21755815,663092,399554,263538,856133,814721,1519225,0,0,1519225,21946775,-1698930,20236590,20236590,21755815,-262543,90906,-223076,47578,-347135,-59910,-1.81898940354586e-12,-7560251,0,-7907386,-7907386,-7907386,-460959,0,-652558,0.7039,-0.4459,-0.21213,-0.01297,-0.01207,2.48553,12.92833,0.07507,0,-0.66506,-0.66506,3.13518,51.26264,-1.65304,-0.01297,33.21365
"6","2014_Q3",80.49875,"Up",1032288,-395754,636534,-1428750,-1335102,-93648,-792216,1009.99999999999,1010,-791206,-821483,333322,-488161,-488161,-488161,-488161,17485216,5609138,1542643,1542643,331882,331882,19359741,55957,2798089,706696,735328.000000002,12644.0000000001,2854046,22213787,1016820,306581,710239,1448704,1377015,2465524,-2.3283064365387e-10,1.16415321826935e-10,2465524,21972471,-2187091,19748263,19748263,22213787,-488161,93648,-277349,-96905,-768767,-49605,0,-4425342,-25862,-5219971,-5219971,-5219971,-698568,-3.63797880709171e-12,-1178400,0.61662,-0.76744,-0.47289,-0.02472,-0.02198,2.41396,7.85218,0.12485,2.71050543121376e-20,-1.23712,-1.23712,2.61607,50.04688,-2.98635,-0.02472,22.07127
"7","2014_Q4",75.71234375,"Down",1575380,-388084,1187296,-1770067,-1640003,-130064,-582771,27414,27791,-555357,-1558743,617717,-941026,-941026,-941026,-941026,11059331,1821818,1203323,1203323,1973806,613759,14236460,844485,62289338,14987797,45353016,1896951,63133823,77370283,7248708,5658458,1590250,10199742,9699756,17900125,4376686,4376686,22276811,58258706,-3128117,55093472,55093472,77370283,-941026,130065,-374786,-1400044,-2585791,-29076,2.27373675443232e-13,-985333,-216196,-3787320,-3787320,-3787320,-452706,451675,-2499543,0.75366,-0.36992,-0.59733,-0.01708,-0.01216,2.65619,0.79533,0.40435,0.00584,-2.2386,-2.2386,3.74766,131.06135,-5.94614,-0.0157,18.2021
"8","2015_Q1",76.7339344262295,"Up",7798410,-1003591,6794819,-10895493,-10125661,-769832,-4100674,-13521,-10528,-4114195,-3898148,1931802,-1966346,-1966346,-1966346,-1966346,6718345,1519467,3448748,3448748,1677625,381057,11844718,874769,61872985,15460295,45180531,1232159,62747754,74592472,5490862,4941135,549727,10510227,10078938,17842893,3107557,3107557,20950450,58773602,-5094463,53642022,53642022,74592472,-1966346,769832,-1815070,-2076719,-5088303,-79573,0,4356583,429369,-302351,-302351,-302351,-3330842,1841804,-7418936,0.87131,-0.52583,-0.25215,-0.03666,-0.02636,3.77296,0.66383,0.39056,0.02469,-2.47558,-2.47558,9.81801,67.53402,-9.34026,-0.03356,1.1892
"9","2015_Q2",47.7242857142857,"Down",10702440,-1711546,8990894,-11494115,-10559192,-934923,-2503221,-29573,16058,-2532794,-2512504,969626,-1542878,-1542878,-1542878,-1542878,5812031,3534791,2981181,2981181,1694340,316318,10487552,788274,61423507,14700857,45180531,1542119,62211781,72699333,5765935,4561370,1204565,10741882,10387133,18320421,2157698,2157698,20478119,58895672,-6637341,52221214,52221214,72699333,-1542878,934923,-822604,965833,-464726,-88990,-4850,2785160,-305110,2015324,2015324,2015324,-1568298,1812604,-1661081,0.84008,-0.23389,-0.14416,-0.02955,-0.02122,1.07661,0.57245,0.39214,0.02493,-1.94077,-1.94077,13.46252,65.68867,-2.08946,-0.02746,1.59771
"10","2015_Q3",24.12125,"Down",10398829,-1471760,8927069,-10251461,-9381188,-870273,-1324392,-22353,7126,-1346745,-1275475,497196,-778278.999999999,-778279.000000001,-778279.000000001,-778279.000000001,6425675,5329441,2779769,2779769,1766611,404540,10972055,763514,60879485,14061945,45180531,1637009,61642999,72615054,4294194,3591092,703102,9993391,9766162,14815078,1660869,1660869,16475947,63591844,-7415620,56139107,56139107,72615054,-778279.000000002,870273,-423557,-2019931,-2351494,-206601,0,946399,3199745,1794650,1794650,1794650,-454119,527493,-3177847,0.85847,-0.12736,-0.0748399999999999,-0.01386,-0.01072,4.08317,0.7406,0.29348,0.00726,-0.887489999999999,-0.887489999999999,11.85802,64.01667,-3.62377,-0.01334,4.4535
"11","2015_Q4",10.156875,"Down",8910687,-1464214,7446473,-9805899,-8880215,-925684,-2359426,-6847,2382,-2366273,-29140947,-2976217,-32117164,-32117164,-32117164,-32117164,4631217,3881217,2529657,2529657,2356436,1063598,9517310,665707,35596987,13352809,20597067,1647111,36262694,45780004,5504035,3310342,2193693,8725266,8556511,14736653,4660819,4660819,19397472,63492716,-37073067,26382532,26382532,45780004,-32117164,925684,29874029,-73108,-1390559,-151390,-10102,178508,-236173,-1448224,-1448224,-1448224,-1433742,507352,1317977,0.83568,-0.26479,-3.60434,-1.21736,-0.70155,-0.04104,0.64583,0.73524,0.01108,-35.49649,-35.49649,9.84826,29.15847,1.45665,-1.01795,1.74783
"12","2016_Q1",6.64245901639344,"Down",8169645,-928664,7240981,-10271197,-9351330,-919867,-3030216,576.999999999999,966,-3029639,-3406847.99999999,-410102,-3816950,-3816950,-3816950.00000001,-3816950.00000001,2570693,2070693,2510530,2510530,1548008,411592,6629231,444398,34354187,12508362,20201190,1644635,34798585,41427816,5303653,4465941,837712,10079393,9966893,15828046,5414330,5414330,21242376,63572291,-43349734,20185440,20185440,41427816,-3816950,919867,1144697,-205003,-1957389,-47555,2476,204921,-58056,-1810524,-1810524,-1810524,-2110349,445000,-1952805,0.88633,-0.37091,-0.46721,-0.18909,-0.09213,0.511609999999999,0.41883,1.05236,0.01074,-4.22732,-4.22732,9.04799,22.35564,-2.16276,-0.14655,0.7015
"13","2016_Q2",8.1028125,"Up",7343143,-884745,6458398,-7857003,-6989993,-867010,-1398605,743,1132,-1397862,-1897862,458224,-1439638,-1439638,-1439638,-1439638,1950526,1700526,1767422,1767422,1406670,468876,5124618,402817,33704038,11682933,20201190,1819915,34106855,39231473,5940626,4313275,1627351,6681315,6625065,13066941,4901829,4901829,17968770,63629475,-42329655,21262703,21262703,39231473,-1439638,867010,-401040,528781,-444887,0,-9439,240561,-165841,-370167,-370167,-370167,-531595,445000,-461038,0.87951,-0.19046,-0.19605,-0.06771,-0.0367,0.32025,0.39218,0.84508,0.01134,-1.59224,-1.59224,8.12154,23.5166,-0.50991,-0.0541,1.07645
"14","2016_Q3",10.665625,"Up",6851028,-803646,6047382,-6988561,-6177329,-811232,-941179,-1259.00000000001,-481,-942438,-942438,136169,-806268.999999999,-806269.000000001,-806269.000000001,-806269.000000001,1292244,1292244,1772860,1772860,1025499,305752,4090603,353921,32925784,10920597,20201190,1803997,33279705,37370308,5727109,4301997,1425112,5502268,5122268,11674377,4462830,4793393,16467770,64075579,-43135924,20902538,20902538,37370308,-806269,811232,-517521.000000001,-1275663,-1788221,0,16155,266155,1113784,-408282,-408282,-408282,-129947,775563,-1541779,0.8827,-0.13738,-0.11769,-0.03857,-0.02158,1.91224,0.35039,0.78784,0.02075,-0.891740000000001,-0.891740000000001,7.57725,23.11826,-1.70521,-0.03084,0.54897
"15","2016_Q4",15.8044444444444,"Up",6360167,-745159,5615008,-6895210,-6075316,-819894,-1280202,-215631,150,-1495833,-1896833,623699,-1273134,-1273134,-1273134,-1273134,515963,515963,1839474,1839474,777305,229689,3132742,313622,33007520,10141002,20201190,2665328,33321142,36453884,6878642,5359151,1519491,6406542,6406542,13730184,3827617,4655296,18385480,64974296,-46868775,18068404,18068404,36453884,-1273134,819894,51612,146156,-255472,0,187695,187695,-708504,-776281,-776281,-776281,-460308,1272679,-937851,0.88284,-0.20128,-0.20017,-0.07046,-0.03492,0.73665,0.22816,1.01755,0.03491,-1.40703,-1.40703,7.02907,19.96866,-1.03648,-0.05495,-0.59109
"16","2017_Q1",20.428064516129,"Up",5672728,-648917,5023811,-6230585,-5405010,-825575,-1206774,-1342638,7731,-2549412,-661003,71542,-589461,-589461,-589461,-589461,6068973,6068973,2170529,2170529,1380163,957140,9619665,277534,31240678,9356807,20201190,1682681,31518212,41137877,3134504,2172332,962172,5485599,5485599,8620103,3742151,3742151,12362254,76270976,-47458236,28775623,28775623,41137877,-589461,825575,-42089,-4369509,-4175484,-5292,-31379,-36671,9765165,5553010,5553010,5553010,-381199,0,-4827542,0.88561,-0.21273,-0.10391,-0.02048,-0.01433,8.18976,1.11596,0.42961,-6.93889390390723e-18,-0.40926,-0.40926,3.93858,19.97896,-3.35177,-0.01813,5.02909
"17","2017_Q2",16.5715873015873,"Down",5634481,-700646,4933835,-8625229,-7789399,-835830,-3691394,-10149,2250,-3701543,-3703867,602286,-3101581,-3101581,-3101581,-3101581,5562237,5562237,2661755,2661755,1085838,667043,9309830,276019,30378239,8574747,20201190,1602302,30654258,39964088,2450585,1190956,1259629,5431317,5431317,7881902,3071745,3071745,10953647,79607487,-50559817,29010441,29010441,39964088,-3101581,835830,6647,-1096644,-3355748,-52255,45379,-6876,2856000,-506624,-506624,-506736,-2855564,0,-4606749,0.87565,-0.65514,-0.55046,-0.10691,-0.07761,1.48529,1.18117,0.37758,0,-1.60272,-1.60272,2.91159,14.99098,-2.38051,-0.09668,1.50681
"18","2017_Q3",10.3790476190476,"Down",1935123,-155542,1779581,-3925746,-3224708,-701038,-2146165,2851,2851,-2143314,-12059531,322811,-11736720,-12074944,-12074944,-12074944,4951849,4951849,2130885,2130885,1045207,712427,8127941,242270,19155657,7879992,10280885,994780,19397927,27525868,2766101,1520274,1245827,5034798,4849619,7800899,2717988,2717988,10518887,79677238,-62634761,17006981,17006981,27525868,-11736720,701038,9559324,578480,-994984,-71524,-52078,-123602,646078,-472508,-472508,-467439.999999999,-1445127,0,-1260982,0.91962,-1.10906,-6.23988,-0.71,-0.43868,0.10443,1.04192,0.6185,-8.67361737988404e-19,-13.35492,-13.35492,2.14025,18.80977,-1.39465,-0.61217,2.3073
"19","2017_Q4",7.41936507936508,"Down",3051726,-357481,2694245,-5067314,-4310170,-757144,-2373069,4117,4117,-2368952,-2518850,201123,-2317727,-2488085,-2488085,-2488085,2821729,2821729,1799013,1799013,731816,490581,5352558,291774,18477505,7176712,10280885,1019908,18769279,24121837,2404945,1232510,1172435,4422715,4422715,6827660,2632277,2632277,9459937,79823298,-65122846,14661900,14661900,24121837,-2317727,757144,15435,-589516,-2128731,-155522,-11606,-167128,0,-2295859,-2295859,-2301646,-1615925,0,-2562086,0.88286,-0.77762,-0.8153,-0.1697,-0.10315,1.02974,0.78395,0.64521,0,-0.61281,-0.61281,0.75164,3.61121,-0.63104,-0.14387,1.18906
"20","2018_Q1",7.64639344262295,"Up",11432889,-2754212,8678677,-9739043,-8835864,-903179,-1060366,-1053,-1053,-1061419,-5750815,619294,-5131521,-4622939,-4622939,-4622939,2926088,2926088,905723,905723,1803770,478379,5635581,221184,13322300,6418087,5590150,986806,13543484,19179065,2286658,1120444,1166214,4488539,4004015,6775197,2102065,2102065,8877262,80055857,-69745785,10301803,10301803,19179065,-5131521,903179,4406771,-121285,148316.999999999,-59441,13746,-45695,83518,186140,186140,220776,-157187,3.63797880709171e-12,-957207,0.7591,-0.09275,-0.40435,-0.44875,-0.24104,0.20706,0.8318,0.86172,0,-2.34277,-2.34277,5.79387,5.22066,-0.48509,-0.3727,2.75951
