"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",22.6108064516129,"Up",268745000,-264699000,4046000,-46931000,-241000,-3411000,-43279000,-42885000,-15634000,12000,-15646000,-58519000,-58519000,1400000,-57119000,-2411000,-2411000,-59530000,-59530000,-59530000,537121000,537121000,32647000,32647000,1203661000,1153703000,46884000,39200000,1820313000,23995000,58594000,7779000,8721000,42094000,82589000,1902902000,53418000,53418000,240836000,240836000,294254000,1211547000,1211547000,1505801000,618688000,-221587000,397101000,397101000,1902902000,-59530000,3610000,34632000,92253000,70965000,-4191000,-1263000,-17211000,12539000,-4539000,65163000,65163000,65163000,-39275000,1211547000,47387000,0.01506,-0.15958,-0.22151,-0.14991,-0.03128,-0.79602,6.1862,3.79198,0.63668,-4.97742,-4.97742,22.47032,33.20242,3.96212,-0.03701,0.02946,-17.17189,-15.72638
"2","2011_Q2",17.5728571428571,"Down",108952000,-97690000,11262000,-39398000,-32503000,-1905000,-4990000,-28136000,-17827000,238000,-18065000,-45963000,-48865000,593000,-48272000,-536000,-536000,-48808000,-48808000,-48808000,171910500.382495,171910500.382495,38146963.3721528,38146963.3721528,1420473306.65137,1369302907.04894,198255969.931473,197564204.857994,1828786740.33749,36800344.4016662,67577580.3007527,17624613.055061,17845392.5434462,32107574.7022456,104377924.702419,1933164665.03991,39644596.8758107,39644596.8758107,147288449.655009,147288449.655009,186933046.53082,1381586352.04459,1381586352.04459,1568519398.57541,618639002.342588,-253993735.999883,364645266.464499,364645266.464499,1933164665.03991,-48808000,1967000,3843000.00000001,-95602000,-138600000,-2405000,-34935000,93282000,-5060000,88157999.9999999,-85377000,-85377000,-85377000,-26169000,0,-124769000,0.10337,-0.25824,-0.44798,-0.0863664826848529,-0.0249055847797287,2.55632,9.46572930566318,3.17233315475201,0.715669127246213,-3.30328,-3.30328,7.37378,27.1772552510795,-8.44426,-0.0285780753079338,-0.251292062196764,-25.7344096936887,-29.2580167529144
"3","2011_Q3",10.09640625,"Down",125716000,-127060000,-1344000,-43363000,-36068000,-2062000,-5233000,-44707000,-11395000,71000,-11466000,-56102000,-56204000,2426000,-53778000,23000,23000,-53755000,-53755000,-53755000,141470900.382494,141470900.382494,36910963.3721528,36910963.3721528,1422869106.65137,1383734607.04894,269066869.931473,268885004.857994,1870317840.33749,36390544.4016662,69552780.3007527,15484513.055061,15664792.5434462,38403474.7022456,105943324.702419,1976261165.03991,50687696.8758107,50687696.8758107,156166849.655009,156166849.655009,206854546.53082,1464778252.04459,1464778252.04459,1671632798.57541,620227602.342588,-315599235.999883,304628366.464499,304628366.464499,1976261165.03991,-53755000,2124000,24216000,-24281000,-51696000,-2596000,-3315000,-14467000,-70000,-14537000,-69548000,-69548000,-69548000,-42583000,0,-71886000,-0.01069,-0.35562,-0.42759,-0.150951482684853,-0.0265145847797287,1.33729,8.93563830566318,4.84852815475201,0.742210127246213,-3.63809,-3.63809,8.50835,21.2180602510795,-4.86518,-0.0303580753079338,-0.218990062196764,-30.8369936936887,-33.1165307529144
"4","2011_Q4",9.20952380952381,"Down",172829000,-158994000,13835000,-49074000,-38571000,-2660000,-7843000,-35239000,-17022000,63000,-17085000,-52261000,-52166000,-3589000,-55755000,-3365000,-3365000,-59120000,-59120000,-59120000,274645000,274645000,32185000,32185000,1313357000,1290786000,287159000,284324000,1907346000,29239000,68484000,7964000,9535000,50985000,97723000,2005069000,69221000,69221000,205875000,205875000,275096000,1488965000,1488965000,1764061000,624278000,-383270000,241008000,241008000,2005069000,-59120000,2942000,10838000,-42526000,-87866000,-7133000,-220771000,201185000,9.31322574615479e-10,201086000,-107551000,-107551000,-107551000,-32297000,1488965000,-78367000,0.08005,-0.2039,-0.34207,-0.2453,-0.02949,1.32556,6.93338,7.31951,0.7426,-3.99557,-3.99557,11.68048,16.28829,-5.29636,-0.03417,-0.0453,-37.59854,-34.45955
"5","2012_Q1",14.5753225806452,"Up",334908000,-310566000,24342000,-48505000,-30234000,-3626000,-14645000,-24163000,-15420000,188000,-15608000,-39583000,-39583000,-2796000,-42379000,-797000,-797000,-43176000,-43176000,-43176000,370403000,370403000,28303000,28303000,1204133000,1192380000,281881000,277058000,1884720000,22613000,70144000,2760000,9467000,57917000,92757000,1977477000,72695000,72695000,217576000,217576000,290271000,1488826000,1488826000,1779097000,624826000,-426446000,198380000,198380000,1977477000,-43176000,3675000,14489000,124238000,99226000,-8380000,-1275000,-1621000,-735000,-2193000,95758000,95758000,95758000,-20488000,1488826000,98166000,0.07268,-0.07215,-0.12892,-0.21764,-0.02183,-2.27362,6.49297,8.96813,0.75289,-2.91789,-2.91789,22.63351,13.40677,6.63418,-0.02559,0.05818,-54.58917,-46.2866
"6","2012_Q2",12.2669841269841,"Down",188548000,-166279000,22269000,-38968000,-28194000,-2403000,-8371000,-16699000,-18350000,-77000,-18273000,-35049000,-35049000,35747000,698000,41000,41000,738999.999999993,738999.999999993,738999.999999993,272524000,272524000,27967000,27967000,1192862000,1178237000,280322000,277241000,1773675000,22589000,77593000,5932000,21489000,50172000,100182000,1873857000,46395000,46395000,138294000,138294000,184689000,1488785000,1488785000,1673474000,626090000,-425707000,200383000,200383000,1873857000,738999.999999993,2424000,-31142000,-43108000,-71087000,-8636000,-9296000.00000003,-17384000,-112000,-17496000,-97879000,-97879000,-97879000,-14275000,1488785000,-101766000,0.11811,-0.08857,0.00392000000000001,0.00369,0.000390000000000001,-137.70771,9.60358,8.35138,0.7945,0.0498199999999995,0.0424199999999999,12.71139,13.50927,-6.86078,0.000439999999999996,-0.06025,-85.20217,-72.83436
"7","2012_Q3",13.2493650793651,"Up",191643000,-171453000,20190000,-37884000,-26319000,-3190000,-8375000,-17694000,-18261000,4000,-18265000,-35955000,-38702000,836000,-37866000,-2082000,-2082000,-39948000,-39948000,-39948000,257028000,257028000,21701000,21701000,1205977000,1191572000,279794000,277395000,1764500000,21895000,71549000,6145000,21391000,44013000,93444000,1857944000,54947000,54947000,151049000,151049000,205996000,1433582000,1433582000,1639578000,684021000,-465655000,218366000,218366000,1857944000,-39948000,3194000,2415000,25400000,-8939000,-3852000,-3911000,-2589000,-57000,-2646000,-15496000,-15496000,-15496000,-14500000,1433582000,6212000,0.10535,-0.09233,-0.20845,-0.18294,-0.0215,-0.1555,8.5657,7.50839,0.7716,-2.54365,-3.04551,12.20267,13.90423,0.39554,-0.02418,0.00376,-81.14166,-66.49452
"8","2012_Q4",15.965,"Up",254555000,-233324000,21231000,-42386000,-27867000,-3743000,-10776000,-21155000,-16756000,48000,-16804000,-37911000,-37911000,-145000,-38056000,-1828000,-1828000,-39884000,-39884000,-39884000,231616000,231616000,25010000,25010000,1200895000,1186817000,274180000,271782000,1731701000,20849000,74198000,6245000,41587000,26366000,95047000,1826748000,73473000,73473000,131793000,131793000,205266000,1442407000,1442407000,1647673000,684614000,-505539000,179075000,179075000,1826748000,-39884000,3753000,5015000,4729999.99999999,-26386000,-2629000,1731000,-554000,-203000.000000004,-756999.999999993,-25412000,-25412000,-25412000,-17402000,1442407000,-15156000,0.0834,-0.08311,-0.15668,-0.22272,-0.02183,0.379999999999985,8.43638,9.20102,0.7896,-2.01506,-2.01506,12.86086,9.04739,-0.765730000000001,-0.0246,-0.00935000000000002,-69.57769,-57.23427
"9","2013_Q1",17.0748333333333,"Up",370931000,-329533000,41398000,-47908000,-27671000,-4174000,-16063000,-6510000,-15448000,329000,-15777000,-21958000,-64308000,3909000,-60399000,-5834000,-5834000,-66233000,-66233000,-66233000,487795000,487795000,24599000,24599000,1111552000,1099132000,259632000,253260000,1883578000,18974000,79666000,6848000,42078000,30740000,98640000,1982218000,69268000,69268000,152505000,152505000,221773000,1498198000,1498198000,1719971000,834019000,-571772000,262247000,262247000,1982218000,-66233000,4174000,-157000,147783000,85567000,-2246000,16114000,-5722000,99880000,154498000,256179000,256179000,256179000,-2336000,1498198000,139292000,0.11161,-0.01755,-0.17856,-0.25256,-0.03341,-2.10306,8.49327,6.55859,0.75582,-2.81065,-2.81065,15.74076,11.12867,5.91097,-0.03762,0.07912,-432.53553,-155.20783
"10","2013_Q2",18.22140625,"Up",246902000,-210818000,36084000,-39685000,-26328000,-2715000,-10642000,-3601000,-15591000,36000,-15627000,-19192000,-19192000,253000,-18939000,-1449000,-1449000,-20388000,-20388000,-20388000,396696000,396696000,23484000,23484000,1150896000,1141691000,253968000,251455000,1825044000,18054000,78426000,6924000,42029000,29473000,96480000,1921524000,56062000,56062000,125894000,125894000,181956000,1496951000,1496951000,1678907000,834777000,-592160000,242617000,242617000,1921524000,-20388000,2715000,816000,-70596000,-87453000,-1772000,-82000.0000000019,-2402000.00000001,-1161999.99999999,-3564000,-91099000,-91099000,-91099000,-886000,1496951000,-73507000,0.14615,-0.01458,-0.08258,-0.08403,-0.01061,3.60541,10.03014,6.91999,0.77904,-0.83922,-0.83922,10.16309,9.9867,-3.02573,-0.01172,-0.04226,-1241.8228,-305.54152
