"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",10.8301639344262,"Down",374360000,-265267000,109093000,-143741000,-84171000,-38448000,-45723000,-59186000,-34648000,772000,995000,-33876000,-13169000,-47045000,-1244000,-48289000,-48289000,-48289000,-80489000,461329000,461329000,0,243630000,243630000,705563000,87222000,0,101987000,26776000,56699000,18512000,189209000,894772000,295811000,276942000,38391000,38391000,334202000,52522000,52522000,52522000,386724000,1116882000,-607649000,-1185000,508048000,508048000,894772000,-48289000,9100000,48550000,8632000,17993000,-7884000,0,0,-7632000,0,31583000,31583000,250971000,282554000,292915000,292915000,-805000,292110000,-25548000,0,-23556000,0.29141,-0.09255,-0.215,-0.15843,-0.08995,0.29266,2.11119,0.7612,0,-0.34202,-0.34202,1.59075,2.15882,-0.1001,-0.14358,-0.04202,18.05734,13.31474
"2","2016_Q2",11.3059375,"Up",379269000,-269029000,110240000,-199512000,-134603000,-38496000,-96107000,-64592000,-89272000,717000,717000,-88555000,-7861000,-96416000,-339000,-96755000,-96755000,-96755000,-96755000,414093000,370646000,43447000,305959000,305959000,720052000,89039000,29715000,106263000,24463000,56699000,25101000,225017000,945069000,132334000,112754000,317598000,317598000,449932000,50253000,50253000,50253000,500185000,1149634000,-704404000,-346000,444884000,444884000,945069000,-96755000,9118000,-34148000,108036000,-13749000,-7927000,-73086000,0,-81013000,0,556000.000000007,556000.000000007,-5406000,-4850000,-99611999.9999999,-99611999.9999999,1558000,-98054000,-80154000,0,20294000,0.29066,-0.23538,-0.25511,-0.21748,-0.10238,-0.209749999999999,1.60036,1.1243,0,-0.29203,-0.29203,1.14471,1.34275,0.06125,-0.19541,0.04099,5.16622,4.63855
"3","2016_Q3",10.92375,"Down",438533000,-289574000,148959000,-158864000,-90004000,-39220000,-50784000,-68638000,-9905000,327000,327000,-9578000,-17455000,-27033000,-312000,-27345000,-27345000,-27345000,-27345000,403427000,342436000,60991000,287827000,287827000,721028000,86325000,19602000,106337000,22329000,56699000,27309000,212264000,933292000,58437000,42226000,353032000,353032000,411469000,50364000,50364000,50364000,461833000,1203136000,-731749000,72000,471459000,471459000,933292000,-27345000,9018000,-145902000,145440000,-18789000,-8313000,-7427000,0,-15740000,0,14940000,14940000,-124000,14816000,-19713000,-19713000,1114000,-18599000,-887000,0,136552000,0.33968,-0.02259,-0.06236,-0.058,-0.0293,-4.99367,1.75233,0.97958,0,-0.08175,-0.08175,1.31106,1.40949,0.40824,-0.0524,0.26168,454.82187,40.72963
"4","2016_Q4",12.4479365079365,"Up",439002000,-288688000,150314000,-169411000,-98829000,-46754000,-52075000,-70418000,-19097000,-111000,-111000,-19208000,-12885000,-32093000,-230000,-32323000,-32323000,-32323000,-32323000,514327000,437900000,76427000,299883000,299883000,843027000,89957000,15478000,103746000,20252000,56699000,26795000,209181000,1052208000,77090000,63371000,408934000,408934000,486024000,55795000,55795000,55795000,541819000,1274248000,-764072000,213000,510389000,510389000,1052208000,-32323000,9681000,-209492000,287907000,55773000,-3834000,-11360000,2.91038304567337e-11,-15194000,-3.72529029846191e-09,32808000,32808000,-3.72529029846191e-09,32808000,73387000,73387000,-136000,73251000,-9416000,3.72529029846191e-09,274887000,0.3424,-0.0435,-0.07363,-0.06333,-0.03072,-8.50438,1.73454,1.06158,0,-0.09399,-0.09399,1.27657,1.48415,0.79934,-0.05709,0.48551,54.62266,26.93235
"5","2017_Q1",15.6411290322581,"Up",451917000,-285392000,166525000,-167469000,-102433000,-49406000,-53027000,-64889000,-944000,-153000,-933000,-1097000,-13034000,-14131000,-1036000,-15167000,-15167000,-15167000,-15167000,511931000,452030000,59901000,447350000,447350000,1001425000,88328000,27366000,94243000,19292000,57173000,17778000,209937000,1211362000,503841000,491239000,73623000,73623000,577464000,57745000,57745000,57745000,635209000,1357381000,-779239000,-1989000,576153000,576153000,1211362000,-15167000,9928000,-301194000,306329000,-104000,-5463000,4529000,-1360000,-2294000,-168000,48135000,48135000,0,47967000,45569000,45569000,-2974000,42595000,8984000,0,310886000,0.36849,-0.00209,-0.03356,-0.02632,-0.01252,-20.49753,1.73418,1.1025,0,-0.04254,-0.04254,1.2676,1.61607,0.87201,-0.02393,0.49044,-56.98252,542.29979
"6","2017_Q2",20.6688888888889,"Up",461554000,-288123000,173431000,-175622000,-106835000,-49900000,-56935000,-68582000,-2191000,-499000,-499000,-2690000,-11891000,-14581000,-509000,-15090000,-15090000,-15090000,-15090000,891250000,704494000,186756000,400222000,400222000,1343355000,91013000,62711000,94034000,18395000,58103000,17536000,247758000,1591113000,438784000,428958000,116112000,116112000,554896000,62545000,62545000,408284000,963180000,1424187000,-795012000,-1242000,627933000,627933000,1591113000,-15090000,9437000,-166343000,215994000,43998000,-6508000,-162286000,-1600000,-170394000,338303000,39280000,39280000,-4.65661287307739e-10,377583000,251187000,251187000,1058000,252245000,7246000,345739000,217241000,0.37575,-0.00475,-0.03269,-0.02403,-0.00948,-14.39636,2.42091,1.53389,0.21729,-0.04115,-0.04115,1.25854,1.71222,0.59236,-0.01456,0.20965,-75.28443,248.97809
"7","2017_Q3",26.1753968253968,"Up",551505000,-344076000,207429000,-201252000,-122904000,-59916000,-62988000,-78126000,6177000,-3266000,-3266000,2911000,-18401000,-15490000,-472000,-15962000,-15962000,-15962000,-15962000,920276000,716989000,203287000,467562000,467562000,1437917000,87442000,124099000,92256000,16452000,57961000,17843000,303797000,1741714000,556455000,545080000,68473000,68473000,624928000,63082000,63082000,413042000,1037970000,1515237000,-810974000,-519000,703744000,703744000,1741714000,-15962000,9125000,-318230000,371659000,46592000,-7375000,-77975000,0,-85350000,-387000,50583000,50583000,0,50196000,11438000,11438000,1273000,12711000,15302000,349960000,380058000,0.37611,0.0112,-0.02894,-0.02268,-0.00916,-23.81017,2.30093,1.47493,0.20093,-0.04241,-0.04241,1.46538,1.86988,1.00983,-0.01429,0.34031,-37.27068,-92.32896
"8","2017_Q4",36.614126984127,"Up",585159000,-366543000,218616000,-213614000,-130845000,-66533000,-64312000,-82547000,5002000,-1854000,-3805000,3148000,-19893000,-16745000,647000,-16098000,-16098000,-16098000,-16098000,868371000,658412000,209959000,760175000,760175000,1686877000,88666000,191335000,116974000,14648000,57961000,44365000,396975000,2083852000,828216000,814687000,102463000,102463000,930679000,66027000,66027000,420264000,1350943000,1560374000,-827072000,-393000,732909000,732909000,2083852000,-16098000,9085000,-531461000,578201000,39727000,-5742000,-74023000,-2.5e+07,-104765000,-386000,22026000,22026000,-18298000,3342000,-61696000,-61696000,1505000,-60191000,14087000,354237000,585899000,0.3736,0.00855,-0.02751,-0.02196,-0.00773,-36.39576,1.81252,1.84326,0.16999,-0.04193,-0.04193,1.52405,1.90886,1.52597,-0.01396,0.50808,-36.49705,-102.78569
"9","2018_Q1",45.8983606557377,"Up",616035000,-376205000,239830000,-236006000,-143139000,-76821000,-66318000,-92633000,3824000,-2839000,7570000,985000,-16833000,-15848000,185000,-15663000,-15663000,-15663000,-15663000,866050000,696474000,169576000,838824000,838824000,1778294000,91496000,203667000,113813000,14334000,58327000,41152000,408976000,2187270000,829672000,812909000,143155000,143155000,972827000,69538000,69538000,428110000,1400937000,1630386000,-842735000,-1318000,786333000,786333000,2187270000,-15663000,9632000,-298005000,301430000,-2606000,-6472000,26685000,-315000,19898000,-419000,50615000,50615000,-26384000,23812000,41104000,41104000,467000,41571000,13456000,358572000,308229000,0.38931,0.00621,-0.02543,-0.01992,-0.00716,-19.6788,1.82797,1.78161,0.16394,-0.04013,-0.04013,1.57824,2.01453,0.78966,-0.0129,0.2538,-37.71388,-132.70868
"10","2018_Q2",55.0003125,"Up",668603000,-413433000,255170000,-258131000,-152767000,-77266000,-75501000,-105095000,-2961000,-2819000,-2819000,-5780000,-18031000,-23811000,-175000,-23986000,-23986000,-23986000,-23986000,938634000,738586000,200048000,972928000,972928000,1990383000,98170000,176672000,114387000,14138000,58327000,41922000,389229000,2379612000,987616000,968060000,144116000,144116000,1131732000,74935000,74935000,437900000,1569632000,1682581000,-871307000,-1294000,809980000,809980000,2379612000,-23986000,10160000,-406999000,472878000,52053000,-9667000,-4771000.00000003,-1055000,-15493000,-665000.00000003,31354000,31354000,-27651000,3038000,39598000,39598000,1397000,40995000,7199000,362965000,470585000,0.38165,-0.00443,-0.03587,-0.02961,-0.01008,-19.61915,1.75871,1.93787,0.15253,-0.06058,-0.06058,1.68861,2.04567,1.1885,-0.01922,0.37711,-79.96513,194.41709
