"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.4593650793651,"Up",1.281e+09,-8.88e+08,3.93e+08,-3.06e+08,-2.8e+08,-2.6e+07,8.7e+07,-3e+06,-3e+06,8278671.56349618,8.4e+07,8.4e+07,-3e+07,5.4e+07,5.4e+07,5.4e+07,5.4e+07,6.16e+08,6.09e+08,1.146e+09,1.69e+08,1.69e+08,1.931e+09,3.78e+08,6.51e+08,1.44e+08,3.58e+08,1.49e+08,1.029e+09,2.96e+09,5.72e+08,3.59e+08,2.13e+08,5.72e+08,1.37e+08,3.01e+08,3.01e+08,4.38e+08,1.01e+09,1.95e+09,1.95e+09,2.96e+09,5.4e+07,2.6e+07,-1.15e+08,1.31e+08,9.6e+07,-2.5e+07,-2.5e+07,-2.5e+07,-2.4e+07,-7e+06,1e+06,-8e+06,14292345.4178092,-3.1e+07,4e+07,4e+07,-1.3e+07,2.7e+07,1.13e+08,1.37e+08,2.49e+08,0.30679,0.06792,0.04215,0.02769,0.01824,4.61111,3.37587,0.51795,0.04628,0.34505,0.34329,8.1853,12.46006,1.59105,0.15335,-234.242775908028,0.03266,0.10427,0.44444,-4.23894,-5.50575
"2","2010_Q3",9.58421875,"Down",1.096e+09,-7.91e+08,3.05e+08,-2.94e+08,-2.68e+08,-2.6e+07,1.1e+07,-1e+06,-2e+06,1e+06,1e+07,1e+07,-4e+06,6e+06,6e+06,6e+06,6e+06,5.19e+08,5.12e+08,1.219e+09,1.61e+08,1.61e+08,1.899e+09,3.76e+08,6.38e+08,1.44e+08,3.51e+08,1.43e+08,1.014e+09,2.913e+09,5.81e+08,3.45e+08,2.36e+08,5.81e+08,1.37e+08,2.79e+08,2.79e+08,4.16e+08,9.97e+08,1.916e+09,1.916e+09,2.913e+09,5999999.99999999,2.6e+07,-7.3e+07,8e+06,-3.3e+07,-2.6e+07,-2.6e+07,-2.6e+07,-2.3e+07,-1.2e+07,9.31322574615479e-10,-1.2e+07,3e+06,-3.2e+07,-9.1e+07,-9.1e+07,-6e+06,-9.7e+07,3.7e+07,1.37e+08,2.3e+07,0.27828,0.01004,0.00547000000000002,0.00313000000000001,0.00206,3.83333,3.2685,0.52035,0.04703,0.03844,0.0382399999999999,7.02114,12.27418,0.14734,0.14734,-138.495183938685,0.01244,0.00986000000000001,3.83333,-10.32432,-34.72727
"3","2010_Q4",12.63921875,"Up",1.28e+09,-8.92e+08,3.88e+08,-3.14e+08,-2.87e+08,-2.7e+07,7.4e+07,-1e+06,-2e+06,1e+06,7.3e+07,7.3e+07,-2.1e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.41e+08,5.34e+08,1.202e+09,1.62e+08,1.62e+08,1.905e+09,3.87e+08,6.2e+08,1.45e+08,3.24e+08,1.51e+08,1.007e+09,2.912e+09,5.49e+08,2.86e+08,2.63e+08,5.49e+08,1.37e+08,2.48e+08,2.48e+08,3.85e+08,9.34e+08,1.978e+09,1.978e+09,2.912e+09,5.2e+07,2.7e+07,3e+06,0,8.2e+07,-2.2e+07,-2.2e+07,-4.5e+07,-2.3e+07,-1.2e+07,4e+06,-1.6e+07,1e+06,-3.4e+07,3e+06,3e+06,1.9e+07,2.2e+07,1.01e+08,1.37e+08,1e+08,0.30312,0.05781,0.04062,0.02629,0.01786,1.92308,3.46995,0.47219,0.04705,0.33462,0.33291,8.23681,12.72844,0.6435,0.14801,-71.4971103632111,0.03174,0.04232,0.44231,-4,-5.45946
"4","2011_Q1",13.8904838709677,"Up",1.392e+09,-9.62e+08,4.3e+08,-3.4e+08,-3.03e+08,-2.7e+07,9e+07,0,-2e+06,2e+06,9e+07,9e+07,-3.3e+07,5.7e+07,5.7e+07,5.7e+07,5.7e+07,6.96e+08,6.96e+08,1.059e+09,1.79e+08,1.79e+08,1.934e+09,3.86e+08,5.76e+08,1.45e+08,2.96e+08,6.3e+07,9.62e+08,2.896e+09,4.89e+08,2.23e+08,2.66e+08,4.89e+08,1.37e+08,2.45e+08,2.45e+08,3.82e+08,8.71e+08,2.025e+09,2.025e+09,2.896e+09,5.7e+07,2.7e+07,2.09e+08,-8.8e+07,2.05e+08,-2.4e+07,-2.4e+07,-1.5e+07,-2.3e+07,-9e+06,5e+06,-1.4e+07,2e+06,-3e+07,1.6e+08,1.6e+08,2e+06,1.62e+08,1.17e+08,1.37e+08,3.8e+07,0.30891,0.06466,0.04095,0.02815,0.01968,0.66667,3.95501,0.43012,0.04731,0.36822,0.36445,8.99225,13.0814,0.24548,0.14858,-28.2485551816055,0.03324,0.01579,0.40351,-4.77778,-6.21111
"5","2011_Q2",16.585873015873,"Up",1.452e+09,-9.77e+08,4.75e+08,-3.25e+08,-2.98e+08,-2.7e+07,1.5e+08,1e+06,2e+06,-1e+06,1.51e+08,1.51e+08,-5.5e+07,9.6e+07,9.6e+07,9.6e+07,9.6e+07,7.99e+08,7.99e+08,1.159e+09,1.82e+08,1.82e+08,2.14e+09,4e+08,5.8e+08,1.46e+08,2.97e+08,1.37e+08,9.8e+08,3.12e+09,6.06e+08,3.46e+08,2.6e+08,6.06e+08,1.36e+08,2.44e+08,2.44e+08,3.8e+08,9.86e+08,2.134e+09,2.134e+09,3.12e+09,9.4e+07,2.7e+07,-7.8e+07,1.11e+08,1.54e+08,-2.9e+07,-2.9e+07,-2.9e+07,-2.5e+07,-2.7e+07,3e+06,-3e+07,1e+06,-5.1e+07,7.4e+07,7.4e+07,2.9e+07,1.03e+08,1.77e+08,1.36e+08,3.14e+08,0.32713,0.10331,0.06612,0.04499,0.03077,3.27083,3.53135,0.46204,0.04359,0.62176,0.61657,9.40415,13.82124,2.03368,0.16192,-3.74951839386851,0.04813,0.1249,0.26042,-3.74576,-4.42
"6","2011_Q3",15.6165625,"Down",1.275e+09,-8.87e+08,3.88e+08,-3.29e+08,-3.01e+08,-2.8e+07,5.9e+07,-3e+06,-5e+06,2e+06,5.6e+07,5.6e+07,-2.1e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,6.81e+08,6.81e+08,1.269e+09,1.89e+08,1.89e+08,2.139e+09,4.08e+08,5.72e+08,1.46e+08,2.98e+08,1.28e+08,9.8e+08,3.119e+09,6.2e+08,3.65e+08,2.55e+08,6.2e+08,1.36e+08,2.48e+08,2.48e+08,3.84e+08,1.004e+09,2.115e+09,2.115e+09,3.119e+09,3.7e+07,2.8e+07,-1.13e+08,2.1e+07,-2.7e+07,-3.7e+07,-3.7e+07,-3.7e+07,-2.6e+07,-2.4e+07,5e+06,-2.9e+07,6e+06,-4.4e+07,-1.08e+08,-1.08e+08,-1e+07,-1.18e+08,8.7e+07,1.36e+08,91999999.9999999,0.30431,0.04627,0.02745,0.01655,0.01122,2.62857,3.45,0.4747,0.0436,0.22786,0.22566,8.30078,13.76953,0.59896,0.16927,7,0.02441,0.03681,0.74286,-6.26437,-9.23729
"7","2011_Q4",16.9546031746032,"Up",1.394e+09,-9.41e+08,4.53e+08,-3.47e+08,-3.2e+08,-2.7e+07,1.06e+08,-1e+06,-1e+06,-4.65661287307739e-10,1.05e+08,1.05e+08,-3.9e+07,6.6e+07,6.6e+07,6.6e+07,6.6e+07,6.98e+08,6.98e+08,1.204e+09,1.57e+08,1.57e+08,2.059e+09,4.21e+08,5.65e+08,1.45e+08,2.95e+08,1.25e+08,9.86e+08,3.045e+09,5.68e+08,2.84e+08,2.84e+08,5.68e+08,1.36e+08,2.48e+08,2.48e+08,3.84e+08,9.52e+08,2.093e+09,2.093e+09,3.045e+09,6.6e+07,2.7e+07,5.8e+07,-1.3e+07,1.38e+08,-4.5e+07,-4.5e+07,-4.5e+07,-2.5e+07,-3.7e+07,1e+06,-3.8e+07,0,-6.2e+07,3.1e+07,3.1e+07,-1.4e+07,1.7e+07,1.33e+08,1.36e+08,1.14e+08,0.32496,0.07604,0.04735,0.03153,0.02167,1.72727,3.625,0.45485,0.04466,0.43364,0.42969,9.159,13.75164,0.74901,0.16426,9,0.03674,0.04602,0.37879,-4.22556,-5.30189
"8","2012_Q1",21.0927419354839,"Up",1.502e+09,-1.022e+09,4.8e+08,-3.58e+08,-3.25e+08,-2.8e+07,1.22e+08,1e+06,-2e+06,3e+06,1.23e+08,1.23e+08,-4.2e+07,8.1e+07,8.1e+07,8.1e+07,8.1e+07,8.51e+08,8.51e+08,1.069e+09,1.59e+08,1.59e+08,2.079e+09,4.27e+08,5.44e+08,1.44e+08,2.84e+08,6.2e+07,9.71e+08,3.05e+09,5.48e+08,2.4e+08,3.08e+08,5.48e+08,1.35e+08,2.57e+08,2.57e+08,3.92e+08,9.4e+08,2.11e+09,2.11e+09,3.05e+09,8.1e+07,2.8e+07,1.59e+08,-3.6e+07,2.32e+08,-4.1e+07,-4.1e+07,-3.8e+07,-2.5e+07,2e+06,9e+06,-7e+06,2e+06,-2.1e+07,1.73e+08,1.73e+08,-2e+07,1.53e+08,1.5e+08,1.35e+08,1.15e+08,0.31957,0.08123,0.05393,0.03839,0.02656,1.41975,3.7938,0.4455,0.04426,0.5336,0.52872,9.8946,13.89987,0.75758,0.16469,8,0.04237,0.04596,0.30864,-4.77333,-5.86885
"9","2012_Q2",23.1104761904762,"Up",1.578e+09,-1.041e+09,5.37e+08,-3.35e+08,-3.06e+08,-2.9e+07,2.02e+08,1e+06,1e+06,1177907.39194864,2.03e+08,2.03e+08,-7.3e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,9.09e+08,8.59e+08,1.146e+09,1.96e+08,1.96e+08,2.251e+09,4.38e+08,5.49e+08,1.44e+08,2.88e+08,1.17e+08,9.87e+08,3.238e+09,6.35e+08,3.57e+08,2.78e+08,6.35e+08,1.35e+08,2.55e+08,2.55e+08,3.9e+08,1.025e+09,2.213e+09,2.213e+09,3.238e+09,1.28e+08,2.9e+07,-7.3e+07,4.9e+07,1.33e+08,-3.9e+07,-3.9e+07,-8.9e+07,-2.8e+07,-1.3e+07,1.4e+07,-2.7e+07,5e+06,-3.6e+07,8e+06,8e+06,-24544939.5977803,8e+06,2.31e+08,1.35e+08,3.14e+08,0.3403,0.12801,0.08238,0.05874,0.04015,2.41538,3.54488,0.46317,0.04169,0.85639,0.84251,10.39526,14.57839,2.06851,0.18445,9,0.0607,0.12063,0.21538,-3.35065,-3.83168
"10","2012_Q3",26.1873015873016,"Up",1.367e+09,-9.39e+08,4.28e+08,-3.35e+08,-3.06e+08,-2.9e+07,9.3e+07,1.16415321826935e-10,1e+06,-999999.999999998,9.3e+07,9.3e+07,-3.4e+07,5.9e+07,5.9e+07,5.9e+07,5.9e+07,8.2e+08,7.7e+08,1.231e+09,1.99e+08,1.99e+08,2.25e+09,4.47e+08,5.37e+08,1.43e+08,2.84e+08,1.1e+08,9.84e+08,3.234e+09,6.69e+08,3.91e+08,2.78e+08,6.69e+08,1.33e+08,2.53e+08,2.53e+08,3.86e+08,1.055e+09,2.179e+09,2.179e+09,3.234e+09,5.9e+07,2.9e+07,-1e+08,4e+07,2.8e+07,-4.8e+07,-4.8e+07,-4.8e+07,-2.7e+07,-3.2e+07,6e+06,-3.8e+07,7e+06,-5.4e+07,-7.4e+07,-7.4e+07,-1.5e+07,-8.9e+07,1.22e+08,1.33e+08,1.48e+08,0.31309,0.06803,0.04316,0.02708,0.01824,2.50847,3.36323,0.48417,0.04113,0.3897,0.38337,9.02906,14.39234,0.97754,0.17834,7,0.03353,0.0577,0.45763,-5.63115,-7.3871
