"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.6965079365079,"Down",3.896e+09,3.615e+09,2.81e+08,-3.639e+09,2.57e+08,-3.12e+08,-1.48e+08,-1.65e+08,-5.5e+07,-1.13e+08,-1.08e+08,-1.11e+08,3e+06,-5e+06,-1.68e+08,3e+06,-1.65e+08,7e+06,-1.58e+08,-1.58e+08,-1.57e+08,-1.57e+08,1.386e+09,1.386e+09,1.811e+09,1.811e+09,1.647e+09,5.56e+08,2.38e+08,5.4e+09,6.409e+09,6.58e+08,2.86e+09,2.81e+08,4.82e+08,3.43e+08,9.927e+09,1.5327e+10,2.348e+09,1.585e+09,5.2e+07,7.11e+08,2.1e+07,2.15e+08,6.8e+07,1.33e+08,2.584e+09,3.651e+09,4.535e+09,4.104e+09,4.31e+08,8.186e+09,1.077e+10,3.804e+09,-6.06e+08,4.044e+09,-2.686e+09,4.556e+09,1e+06,4.557e+09,1.5327e+10,-1.58e+08,1.65e+08,-6.1e+07,-5e+06,-5.9e+07,-6e+07,-4e+06,-6.4e+07,3.08e+08,3.02e+08,1.79e+08,1.79e+08,-1.1e+07,1.68e+08,1.1e+08,3.672e+09,3.8e+07,0.06597,-0.01412,-0.0403,-0.03445,-0.01024,-0.24204,2.08978,2.3634,0.23958,-1.09492,-1.09492,27.17065,31.77348,0.26501,46.0202858531174,-0.01175,0.00298,20.78182,-41.56364
"2","2010_Q3",40.46765625,"Down",4.681e+09,4.283e+09,3.98e+08,-4.184e+09,4.97e+08,-3.1e+08,-1.52e+08,-1.62e+08,1.87e+08,-1.41e+08,-1.5e+08,-1.51e+08,1e+06,9e+06,4.6e+07,2e+06,4.8e+07,-7.2e+07,-2.4e+07,-2.4e+07,-2.5e+07,-2.5e+07,9.47e+08,9.47e+08,2.171e+09,2.171e+09,2.012e+09,6.79e+08,3.6e+08,5.809e+09,6.203e+09,6.47e+08,2.759e+09,2.76e+08,4.25e+08,3.28e+08,9.609e+09,1.5418e+10,2.634e+09,1.836e+09,4.4e+07,7.54e+08,2.1e+07,2.37e+08,6.5e+07,1.59e+08,2.892e+09,3.639e+09,4.437e+09,3.986e+09,4.51e+08,8.076e+09,1.0968e+10,3.788e+09,-5.88e+08,4.012e+09,-2.763e+09,4.449e+09,1e+06,4.45e+09,1.5418e+10,-2.4e+07,1.62e+08,1.21e+08,-5.48e+08,-2.89e+08,-1.02e+08,-1.9e+07,-1.21e+08,-1.2e+07,-18000000.0000001,-4.28e+08,-4.28e+08,-1.1e+07,-4.39e+08,3.49e+08,3.66e+09,-2.29e+08,0.10617,0.03995,-0.00534,-0.00562,-0.00162,9.16,2.00864,2.46472,0.23738,-0.17421,-0.17421,32.6193,31.00262,-1.59577,23.3441524549959,-0.00143,-0.01825,7.77364000000002,14.50802
"3","2010_Q4",44.011875,"Up",4.497e+09,4.221e+09,2.76e+08,-4.321e+09,1.76e+08,-3.09e+08,-1.48e+08,-1.63e+08,-1.33e+08,8.7e+07,7.8e+07,7.7e+07,1e+06,9e+06,-4.6e+07,-1.4e+07,-6e+07,9e+06,-5.1e+07,-5.1e+07,-5.1e+07,-5.1e+07,6.43e+08,6.43e+08,2.2e+09,2.2e+09,2.375e+09,6.49e+08,3.01e+08,5.867e+09,6.39e+09,6.74e+08,2.722e+09,2.75e+08,4.01e+08,3.13e+08,9.786e+09,1.5653e+10,2.821e+09,2.014e+09,7.6e+07,7.31e+08,2e+07,2.34e+08,3.8e+07,1.12e+08,3.075e+09,3.639e+09,4.42e+09,3.937e+09,4.83e+08,8.059e+09,1.1134e+10,3.796e+09,-5.84e+08,3.953e+09,-2.647e+09,4.518e+09,1e+06,4.519e+09,1.5653e+10,-5.1e+07,1.63e+08,-2.05e+08,-3.7e+07,-1.3e+08,-1.61e+08,-1.2e+07,-1.73e+08,-4e+06,-1.1e+07,-3.14e+08,-3.14e+08,1e+07,-3.04e+08,3e+07,3.659e+09,-1.77e+08,0.03914,-0.02958,-0.01134,-0.01129,-0.00326,3.47059,1.90797,2.46382,0.23376,-0.35498,-0.35498,31.30112,31.44729,-1.232,10.5040571706235,-0.00341,-0.01405,100.53333,-22.67669
"4","2011_Q1",51.421935483871,"Up",4.3e+09,4.037e+09,2.63e+08,-4.115e+09,1.85e+08,-3.22e+08,-1.62e+08,-1.68e+08,-1.37e+08,-8.7e+07,-9.4e+07,-96000000.0000001,2e+06,7e+06,-2.24e+08,1.6e+07,-2.08e+08,-4.1e+07,-2.49e+08,-2.49e+08,-2.49e+08,-2.49e+08,5.78e+08,5.78e+08,1.921e+09,1.921e+09,2.352e+09,4.53e+08,1.53e+08,5.304e+09,6.486e+09,6.7e+08,2.89e+09,2.75e+08,5.15e+08,3.4e+08,1.0046e+10,1.535e+10,2.719e+09,1.738e+09,4.3e+07,9.38e+08,2.16e+08,2.12e+08,6.6e+07,1.16e+08,3.147e+09,3.517e+09,4.834e+09,4.365e+09,4.69e+08,8.351e+09,1.1498e+10,3.801e+09,-5.8e+08,3.698e+09,-3.068e+09,3.851e+09,1e+06,3.852e+09,1.535e+10,-2.49e+08,1.68e+08,2.82e+08,-1.02e+08,9.9e+07,-1.84e+08,-4.1e+07,-2.25e+08,6.7e+07,6.2e+07,-6.4e+07,-6.4e+07,-1e+06,-6.5e+07,3.1e+07,3.733e+09,-2.14e+08,0.04302,-0.03186,-0.05791,-0.06464,-0.01622,0.85944,1.68541,2.98494,0.24319,-1.73252,-1.73252,29.91908,26.79497,-1.489,5,-0.01949,-0.01723,101.77419,-23.0292
"5","2011_Q2",42.1880952380952,"Down",4.864e+09,4.557e+09,3.07e+08,-4.621e+09,2.43e+08,-3.48e+08,-1.8e+08,-1.69e+08,-1.05e+08,2.9e+07,2.1e+07,1.9e+07,2e+06,8e+06,-7.6e+07,6e+06,-7e+07,-1.6e+07,-8.6e+07,-8.6e+07,-8.6e+07,-8.6e+07,4.21e+08,4.21e+08,2.451e+09,2.451e+09,2.255e+09,4.1e+08,2.17e+08,5.537e+09,6.627e+09,6.94e+08,2.91e+09,2.74e+08,5.13e+08,3.36e+08,1.0231e+10,1.5768e+10,3.071e+09,2.044e+09,7.5e+07,9.52e+08,2.17e+08,2.35e+08,8.3e+07,1.33e+08,3.523e+09,3.518e+09,4.818e+09,4.352e+09,4.66e+08,8.336e+09,1.1859e+10,3.805e+09,-5.72e+08,3.604e+09,-2.929e+09,3.908e+09,1e+06,3.909e+09,1.5768e+10,-8.6e+07,1.69e+08,-6.8e+07,2e+06,1.7e+07,-1.68e+08,-4e+06,-1.72e+08,-4e+06,-7e+06,-1.62e+08,-1.62e+08,5e+06,-1.57e+08,6.4e+07,3.735e+09,-8.6e+07,0.04996,-0.02159,-0.01768,-0.022,-0.00545,1,1.57167,3.03377,0.23687,-0.59805,-0.59805,33.82452,27.17645,-0.59805,4.33198094312551,-0.00634,-0.0069,51.78125,-31.5619
"6","2011_Q3",30.01546875,"Down",5.12e+09,4.784e+09,3.36e+08,-4.498e+09,6.22e+08,-3.57e+08,-1.89e+08,-1.71e+08,2.65e+08,1.8e+07,-1.3e+07,-1.4e+07,1e+06,3.1e+07,2.83e+08,4e+06,2.87e+08,-6.5e+07,2.22e+08,2.22e+08,2.22e+08,2.22e+08,3.93e+08,3.93e+08,2.544e+09,2.544e+09,2.698e+09,3.86e+08,2.42e+08,6.021e+09,6.736e+09,6.87e+08,2.801e+09,2.72e+08,4.35e+08,3e+08,1.0224e+10,1.6245e+10,3.121e+09,2.077e+09,4.3e+07,1.001e+09,2.17e+08,2.61e+08,7.6e+07,1.51e+08,3.599e+09,3.684e+09,4.746e+09,4.283e+09,4.63e+08,8.43e+09,1.2029e+10,3.786e+09,-5.5e+08,3.819e+09,-2.84e+09,4.215e+09,1e+06,4.216e+09,1.6245e+10,2.22e+08,1.71e+08,-1e+07,-3.62e+08,2.1e+07,-2.17e+08,1e+07,-2.07e+08,1.63e+08,1.56e+08,-3e+07,-3e+07,2e+06,-2.8e+07,4.36e+08,3.901e+09,-7.8e+07,0.12148,0.05176,0.04336,0.05266,0.01367,-0.35135,1.67296,2.85318,0.24014,1.11354,1.11354,25.68154,21.14213,-0.39124,6,0.0178,-0.00606,8.04587,13.23774
"7","2011_Q4",22.8068253968254,"Down",5.081e+09,4.769e+09,3.12e+08,-4.56e+09,5.21e+08,-3.49e+08,-1.81e+08,-1.72e+08,1.72e+08,-1.17e+08,-1.44e+08,-1.45e+08,1e+06,2.7e+07,5.5e+07,0,5.5e+07,-3.3e+07,2.2e+07,2.2e+07,2.2e+07,2.2e+07,2.7e+08,2.7e+08,2.398e+09,2.398e+09,2.843e+09,4.23e+08,2.84e+08,5.934e+09,6.588e+09,6.85e+08,2.724e+09,2.64e+08,4e+08,3.11e+08,9.997e+09,1.5931e+10,3.15e+09,2.07e+09,7.5e+07,1.005e+09,2.17e+08,3.46e+08,9.1e+07,1.28e+08,3.713e+09,3.641e+09,4.407e+09,3.942e+09,4.65e+08,8.048e+09,1.1761e+10,3.794e+09,-5.5e+08,3.834e+09,-2.909e+09,4.169e+09,1e+06,4.17e+09,1.5931e+10,2.2e+07,1.72e+08,-6.7e+07,-5.7e+07,7e+07,-2.25e+08,-7e+06,-2.32e+08,-2.4e+07,4.4e+07,-1.18e+08,-1.18e+08,-5e+06,-1.23e+08,3.44e+08,3.858e+09,9.5e+07,0.10254,0.03385,0.00433,0.00528,0.00138,4.31818,1.59817,2.82038,0.24217,0.12833,0.12833,29.63788,24.31811,0.55414,7,0.00241,0.00764,10.43023,20.86047
"8","2012_Q1",26.1979032258065,"Up",4.819e+09,4.516e+09,3.03e+08,-4.647e+09,1.72e+08,-3.49e+08,-1.83e+08,-1.69e+08,-1.77e+08,-8.3e+07,-1.02e+08,-1.04e+08,2e+06,1.9e+07,-2.6e+08,1.5e+07,-2.45e+08,3.4e+07,-2.11e+08,-2.11e+08,-2.11e+08,-2.11e+08,4.08e+08,4.08e+08,1.921e+09,1.921e+09,2.775e+09,6.7e+08,5.56e+08,5.774e+09,6.579e+09,6.83e+08,3.037e+09,2.62e+08,6.49e+08,3.43e+08,1.0299e+10,1.6073e+10,3.021e+09,1.977e+09,4.1e+07,1.003e+09,2e+07,6.08e+08,8.6e+07,1.18e+08,3.649e+09,3.828e+09,5.095e+09,4.6e+09,4.95e+08,8.923e+09,1.2572e+10,3.801e+09,-5.5e+08,3.616e+09,-3.367e+09,3.5e+09,1e+06,3.501e+09,1.6073e+10,-2.11e+08,1.69e+08,1.9e+07,8.3e+07,6e+07,-1.97e+08,-5e+06,-2.02e+08,-1.3e+07,2.84e+08,1.42e+08,1.42e+08,-4e+06,1.38e+08,-8e+06,3.848e+09,-1.56e+08,0.03569,-0.03673,-0.04379,-0.06027,-0.01313,0.73934,1.58235,3.59097,0.23941,-3.444,-3.444,78.657,57.12793,-2.54627,5,-0.01639,-0.01254,-430,-19.43503
"9","2012_Q2",21.7998412698413,"Down",5.172e+09,4.833e+09,3.39e+08,-4.626e+09,5.46e+08,-3.34e+08,-1.73e+08,-1.63e+08,2.12e+08,-2.6e+07,-5e+07,-5.4e+07,4e+06,2.4e+07,1.86e+08,-3.09e+08,-1.23e+08,-9.6e+07,-2.19e+08,-2.19e+08,-2.19e+08,-2.19e+08,6.52e+08,6.52e+08,2.362e+09,2.362e+09,2.437e+09,3.4e+08,2.25e+08,5.791e+09,6.401e+09,6.68e+08,2.944e+09,2.61e+08,5.72e+08,3.12e+08,1.0013e+10,1.5804e+10,2.978e+09,1.906e+09,7.8e+07,9.94e+08,3.15e+08,3.59e+08,1.07e+08,1.95e+08,3.652e+09,3.802e+09,4.889e+09,4.403e+09,4.86e+08,8.691e+09,1.2343e+10,3.809e+09,-5.49e+08,3.39e+09,-3.19e+09,3.46e+09,1e+06,3.461e+09,1.5804e+10,-2.19e+08,1.63e+08,2.13e+08,2.69e+08,4.26e+08,-5.8e+07,2e+06,-5.6e+07,2.58e+08,-1.29e+08,2.41e+08,2.41e+08,3e+06,2.44e+08,3.75e+08,4.117e+09,6.82e+08,0.10557,0.04099,-0.04234,-0.06328,-0.01386,-3.11416,1.58571,3.56631,0.2605,-1.52004,-1.52004,35.89797,24.01527,4.73365,5,-0.017,0.0547,9.24,16.34434
"10","2012_Q3",18.932380952381,"Down",5.017e+09,4.695e+09,3.22e+08,-4.492e+09,5.25e+08,-3.16e+08,-1.58e+08,-1.64e+08,2.09e+08,-3.8e+07,-8.2e+07,-8.3e+07,1e+06,4.4e+07,1.71e+08,0,1.71e+08,-7e+07,1.01e+08,1.01e+08,1.01e+08,1.01e+08,5.65e+08,5.65e+08,2.296e+09,2.296e+09,2.412e+09,3.52e+08,2.36e+08,5.625e+09,6.316e+09,6.43e+08,2.82e+09,2.57e+08,4.72e+08,3.1e+08,9.779e+09,1.5404e+10,2.987e+09,1.92e+09,4.8e+07,1.019e+09,5e+06,3.18e+08,1.1e+08,1.52e+08,3.31e+09,3.801e+09,4.76e+09,4.287e+09,4.73e+08,8.561e+09,1.1871e+10,3.784e+09,-5.21e+08,3.484e+09,-3.215e+09,3.532e+09,1e+06,3.533e+09,1.5404e+10,1.01e+08,1.64e+08,8.8e+07,8.2e+07,4.35e+08,-2.06e+08,7e+06,-1.99e+08,-3.11e+08,-3.18e+08,-8.2e+07,-8.2e+07,-5e+06,-8.7e+07,3.73e+08,3.806e+09,3.19e+08,0.10464,0.04166,0.02013,0.02859,0.00656,3.15842,1.6994,3.36003,0.24708,0.70056,0.70056,34.79895,24.49869,2.21265,5,0.00893,0.02637,8.68901000000004,15.50718
