"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",11.992131147541,"Up",198949000,-180868000,18081000,-10360000,-10360000,7721000,-378000,9000,-387000,7343000,7343000,-1984000,5359000,5359000,5359000,5359000,26260000,26260000,128425000,128425000,116159000,20490000,20490000,291334000,97934000,19462000,2564000,1830000,15068000,117396000,408730000,146455000,119853000,26602000,146455000,260656000,260656000,260656000,407111000,0,0,1619000,1619000,1619000,408730000,5359000,4630000,3417000,-6986000,6420000,-6743000,-145000,-6888000,0,-10778000,-10778000,-11246000,-11246000,-130000,-11376000,12351000,0,606000,0.09088,0.03881,0.02694,3.31007,0.01311,0.11308,1.98924,251.45831,0,0.18389,0.18389,6.82665,0.05555,0.02079,0.02043,0.00231,-2.12614,-3.40111
"2","2015_Q2",14.4414285714286,"Up",203803000,-185900000,17903000,-10116000,-10116000,7787000,-497000,-1.81898940354586e-12,-497000,7290000,7290000,-1899000,5391000,5391000,5391000,5391000,20701000,20701000,135989000,135989000,120604000,23089000,23089000,300383000,97898000,19104000,2564000,1844000,14696000,117002000,417385000,145071000,123522000,21549000,145071000,9922000,9922000,9922000,154993000,260104000,5391000,-3103000,262392000,262392000,417385000,5391000,4794000,835000,-15525000,-4505000,-7582000,-137000,-7719000,-81753.8915829512,7827000.00000001,7827000,-4397000,-4397000,-1162000,-5558999.99999999,12581000,0,-8627000,0.08784,0.03821,0.02645,0.0205500000000005,0.01292,-1.60026,2.07059,0.590690000000023,0,0.18498,0.18498,6.99321,9.0036,-0.29602,0.0198,-0.03168,-1.64542,-2.65841
"3","2015_Q3",12.35625,"Down",207563000,-189705000,17858000,-9161000,-9161000,8697000,154000,7000,147000,8851000,8851000,-2622000,6229000,6229000,6229000,6229000,61664000,61664000,135787000,135787000,124500000,20345000,20345000,342296000,98656000,22811000,2564000,3839000,16408000,121467000,463763000,152255000,126136000,26119000,152255000,9584000,9584000,9584000,161839000,296984000,11620000,-6680000,301924000,301924000,463763000,6229000,5023000,589000,-3795000,8046000,-6142000,-2728000,-8870000,0,42345000,42345000,41521000,41521000,-558000,40963000,13720000,0,6405000,0.08604,0.0419,0.03001,0.02063,0.01343,1.02825,2.24818,0.53603,0,0.2136,0.21264,7.11758,10.35334,0.21964,0.02,0.02056,-4.49446,-7.09026
"4","2015_Q4",11.42296875,"Down",206858000,-187905000,18953000,-8132000,-8132000,10821000,-886000,10000,-896000,9935000,9935000,-2744000,7191000,7191000,7191000,7191000,61670000,61670000,139196000,139196000,122799000,23488000,23488000,347153000,94770000,22612000,2564000,4271000,15777000,117382000,464535000,150763000,123537000,27226000,150763000,10117000,10117000,10117000,160880000,297443000,18811000,-12599000,303655000,303655000,464535000,7191000,4832000,-425000,-3889000,7709000,-5444000,-635000,-6079000,0,-1.49011611938477e-08,0,1629999.99999999,1629999.99999999,-1624000,6000,15653000,6.93889390390723e-18,9064000,0.09162,0.05231,0.03476,0.02368,0.01548,1.26046,2.30264,0.529809999999997,1.29246970711411e-26,0.2465,0.24528,7.09098,10.40913,0.31071,0.02292,0.02889,-3.93982,-5.6991
"5","2016_Q1",10.72,"Down",201126000,-183417000,17709000,-8659000,-8659000,9050000,-355000,8000,-363000,8695000,8695000,-1301000,7394000,7394000,7394000,7394000,65180000,65180000,139892000,139892000,125198000,23922000,23922000,354192000,106779000,22286000,2564000,4509000,15213000,129065000,483257000,159954000,133409000,26545000,159954000,10854000,10854000,10854000,170808000,298491000,26205000,-12247000,312449000,312449000,483257000,7394000,4958000,3758000,704000,16814000,-13564000,-284000,-13848000,0,0,0,2966000,2966000,544000,3510000,14008000,0,2449000,0.08805,0.045,0.03676,0.02366,0.0153,0.33121,2.21434,0.54667,0,0.25347,0.24815,6.89472,10.71095,0.08395,0.02287,0.00757,-4.65306,-7.20221
"6","2016_Q2",11.31703125,"Up",200418000,-185138000,15280000,-8359000,-8359000,6921000,-666000,11000,-677000,6255000,6255000,-1780000,4475000,4475000,4475000,4475000,52683000,52683000,132363000,132363000,132566000,24126000,24126000,341738000,112940000,21682000,2564000,5033000,14085000,134622000,476360000,149308000,127450000,21858000,149308000,10827000,10827000,10827000,160135000,299761000,30680000,-13319000,316225000,316225000,476360000,4475000,4885000,4095000,-13984000,-529000,-10403000,-711000,-11114000,2745862.85590558,-694000.000000002,-694000,-12337000,-12337000,-160000,-12497000,11806000,-1.11022302462516e-16,-10801000,0.07624,0.03453,0.02233,0.01415,0.00939,-2.41363,2.28881,0.5064,-1.03397576569128e-25,0.15277,0.15248,6.84207,10.79561,-0.36874,0.01368,-0.03303,-4.46239,-7.61205
"7","2016_Q3",12.46765625,"Up",207129000,-191014000,16115000,-9182000,-9182000,6933000,-588000,8000,-596000,6345000,6345000,-1781000,4564000,4564000,4564000,4564000,60499000,60499000,134451000,134451000,127876000,23716000,23716000,346542000,115148000,22273000,2564000,4985000,14724000,137421000,483963000,152722000,130958000,21764000,155722000,11199000,11199000,11199000,166921000,300351000,35244000,-14354000,317042000,317042000,483963000,4564000,4894000,875000,6515000,16848000,-8001000,-147000,-8148000,3e+06,0,-499000,8201000,8201000,-385000,7816000,11827000,0,12122000,0.0778,0.03347,0.02203,0.0144,0.00943,2.656,2.22539,0.52649,0,0.15615,0.15588,7.08666,10.8472,0.41474,0.0139,0.03693,-5.11533,-8.72624
"8","2016_Q4",16.0639682539683,"Up",214111000,-197926000,16185000,-9107000,-9107000,7078000,233000,-1000,234000,7311000,7311000,166000,7477000,7477000,7477000,7477000,59826000,59826000,147879000,147879000,132077000,26532000,26532000,366314000,118518000,23929000,2564000,4841000,16524000,142447000,508761000,169682000,145210000,24472000,172682000,11381000,11381000,11381000,184063000,300966000,42721000,-10436000,324698000,324698000,508761000,7477000,4557000,1120000,-1444000,11710000,-8513000,-30999.9999999999,-8544000,0,0,-4483000,-1317000,-1317000,644000,-673000,11635000,1.77635683940025e-15,1512000,0.07559,0.03306,0.03492,0.02303,0.0147,0.20222,2.12132,0.56687,0,0.25988,0.25908,7.4419,11.2856,0.05255,0.02225,0.00449999999999998,-5.1419,-8.45239
"9","2017_Q1",16.6766129032258,"Up",220402000,-203444000,16958000,-8168000,-8168000,8790000,-725000,-19000,-706000,8065000,8065000,-2294000,5771000,5771000,5771000,5771000,54738000,54738000,149652000,149652000,132877000,24944000,24944000,362211000,120701000,27653000,6191000,4593000,16869000,148354000,510565000,165803000,142152000,23651000,174803000,11393000,11393000,11393000,186196000,301581000,48492000,-12190000,324369000,324369000,510565000,5771000,5533000,-1446000,-1055000,8803000,-6538000,21000,-14784000,6e+06,0,1376000,-4605000,-4605000,-483000,-5088000,14323000,0,9024000,0.07694,0.03988,0.02618,0.01779,0.0113,1.56368,2.07211,0.57403,0,0.2034,0.19752,7.76802,11.43231,0.31805,0.01719,0.02688,-3.82169,-6.2273
"10","2017_Q2",17.2349206349206,"Up",226451000,-208129000,18322000,-5500000,-9505000,12822000,763000,-16000,779000,13585000,13585000,-3463000,10122000,10122000,10122000,10122000,50019000,50019000,159680000,159680000,139230000,21866000,21866000,370795000,131457000,27761000,6191000,4868000,16702000,159218000,530013000,179411000,156941000,22470000,188411000,12235000,12235000,12235000,200646000,300265000,58614000,-11086000,329367000,329367000,530013000,10122000,5713000,497000,-2293000,14039000,-10131000,-15000,-12284000,0,-709000,-6664000,-4909000,-4909000,190000,-4719000,18535000,0,9574000,0.08091,0.05662,0.0447,0.03073,0.0191,0.94586,1.96801,0.60919,-2.64697796016969e-23,0.3605,0.36028,8.06507,11.73043,0.34098,0.02963,0.02803,-2.69862,-3.90103
