"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.39650793650794,"Up",329695000,-194993000,134702000,-48395000,-23242000,-26342000,1189000,86307000,-20922000,-21770000,848000,65385000,-328000,65057000,-523000,64534000,64534000,64534000,64534000,-347398632.23038,-347398632.23038,52531248.0527576,265602660.973635,56204826.9973175,56204826.9973175,26940103.7933304,1771958276.52122,-244247.13069441,453895561.707387,26100019.4453149,153177281.961744,17461359.6532486,257156900.647079,2225609591.09792,2252549694.89125,140206783.731403,-37394947.870372,50658350.2921274,126943381.309648,78922704.1630744,26771291.5050267,52151412.6580478,219130250.518514,1409393867.95651,40874079.8047881,18195672.7800955,22678407.0246926,1450267947.7613,1669398198.27982,557693264.116471,-184546.329864934,557508717.786606,583151496.61143,2252549694.89125,64534000,26342000,5337000,-22876000,73337000,-38516000,3037000,-41553000,1524854587.00951,-40054000,-75779000,-5356000,-30535000,2748000,2748000,2748000,112649000,0,51780000,0.40857,0.26178,0.19574,0.284700444175078,0.105631944920164,0.80237,0.299767600314035,2.15093887764401,0.59524015463313,0.28358,0.28358,1.44876,2.4498323949196,0.22753,0.33299,0.142072646713824,0.098571993522592,1.17425,-14.569650416382,-28.6917232042442
"2","2010_Q3",5.9084375,"Up",423060000,-253926000,169134000,-44413000,-20178000,-25715000,1480000,124721000,-21711000,-22514000,803000,103010000,-329000,102681000,-229000,102452000,102452000,102452000,102452000,35094000,35094000,80094000,208800000,26695000,26695000,350683000,2853583000,1018000,71674000,13981000,14766000,22853000,20074000,2926275000,3276958000,159104000,46332000,30861000,81911000,58322000,28889000,29433000,217426000,1779658000,53144000,24902000,28242000,1832802000,2050228000,1222006000,-6358000,1215648000,1226730000,3276958000,102452000,25715000,-2213000,14011000,139965000,-54239000,2091000,-56330000,-29300000,-78113000,-76847000,10373000,-33674000,28178000,28178000,28178000,150436000,1779658000,110437000,0.39979,0.29481,0.24217,0.08352,0.03126,1.07794,1.61288,1.6713,0.54308,0.4502,0.4502,1.85902,5.34184,0.48529,0.33768,0.0586,0.0361,0.75008,11.59672,13.98773
"3","2010_Q4",6.65125,"Up",406201000,-274577000,131624000,-49373000,-23624000,-27403000,1654000,82251000,-25108000,-25242000,134000,57143000,-358000,56785000,-148000,56637000,56637000,56637000,56637000,77017000,77017000,91747000,203275000,28978000,28978000,401017000,3178401000,1300000,70207000,13483000,14766000,23921000,18037000,3249908000,3650925000,170597000,56184000,31160000,83253000,66371000,31959000,34412000,236968000,1892349000,60414000,27453000,32961000,1952763000,2189731000,1457747000,-9712000,1448035000,1461194000,3650925000,56637000,27403000,11109000,7438000,102587000,-62639000,169000,-62808000,-290991000,-353630000,-82393000,3060000,292966000,41923000,41923000,41923000,109654000,1892349000,54601000,0.32404,0.20249,0.13943,0.03876,0.01551,0.96405,1.69228,1.49859,0.51832,0.24888,0.24888,1.78494,6.363,0.23993,0.36205,0.04072,0.01599,1.45476,16.55509,22.07064
"4","2011_Q1",7.09612903225806,"Up",398491000,-227301000,171190000,-56071000,-28272000,-29208000,1409000,115119000,-26305000,-26713000,408000,88814000,-386000,88428000,-471000,87957000,87957000,87957000,87957000,7483000,7483000,98367000,216408000,47946000,47946000,370204000,3165221000,1167000,181308000,16924000,53260000,23728000,87396000,3347696000,3717900000,183894000,41425000,35799000,106670000,91153000,34733000,56420000,275047000,1906148000,67134000,28965000,38169000,1973282000,2248329000,1466404000,-11096000,1455308000,1469571000,3717900000,87957000,29208000,6356000,-14754000,108767000,-57725000,3003000,-60728000,-53318000,-118363000,-83798000,8853000,-59938000,-69534000,-69534000,-69534000,144327000,1906148000,72319000,0.4296,0.28889,0.22073,0.05985,0.02366,0.82221,1.34597,1.52992,0.51269,0.3865,0.3865,1.75106,6.39496,0.31779,0.36823,0.04989,0.02101,0.95272,13.1553,16.49306
"5","2011_Q2",7.38031746031746,"Up",442897000,-273591000,169306000,-52586000,-24590000,-29363000,1367000,116720000,-25805000,-26476000,671000,90915000,-385000,90530000,-465000,90065000,90065000,90065000,90065000,28532000,28532000,107025000,224559000,68162000,68162000,428278000,3205608000,1138000,161813000,17172000,39961000,25099000,79581000,3368559000,3796837000,202548000,46604000,31514000,124430000,116766000,35402000,81364000,319314000,1967599000,76654000,31875000,44779000,2044253000,2363567000,1444329000,-11059000,1433270000,1433270000,3796837000,90065000,29363000,19018000,8939000,147385000,-50192000,27000,-50219000,-47863000,-97921000,-85398000,-5017000,-28415000,21049000,21049000,21049000,146083000,1967599000,105295000,0.38227,0.26354,0.20335,0.06284,0.02372,1.1691,1.34124,1.64907,0.51822,0.39577,0.39577,1.94619,6.29812,0.46269,0.37526,0.05046,0.03028,0.94818,13.27373,16.61298
"6","2011_Q3",7.50703125,"Up",383327000,-200159000,183168000,-54502000,-25281000,-30664000,1443000,128666000,-24797000,-25987000,1190000,103869000,-385000,103484000,-485000,102999000,102999000,102999000,102999000,12992000,12992000,88537000,285996000,71042000,71042000,458567000,3225262000,1710000,163621000,16506000,39961000,27395000,79759000,3390593000,3849160000,180104000,48958000,36171000,94975000,92910000,30442000,62468000,273014000,2042246000,76450000,31704000,44746000,2118696000,2391710000,1463860000,-6410000,1457450000,1457450000,3849160000,102999000,30664000,12175000,-75168000,70670000,-44328000,726000,-45054000,-10435000,-58965000,-86807000,-13438000,-27245000,-15540000,-15540000,-15540000,159330000,2042246000,40319000,0.47784,0.33566,0.2687,0.07067,0.02676,0.39145,1.67965,1.64102,0.53057,0.4526,0.4526,1.68443,6.40437,0.17717,0.38145,0.05308,0.01127,0.84279,12.73617,15.77149
"7","2011_Q4",8.22031746031746,"Up",435510000,-249008000,186502000,-48749000,-20470000,-30234000,1955000,137753000,-26656000,-27321000,665000,111097000,-410000,110687000,-447000,110240000,110240000,110240000,110240000,198065000,198065000,96250000,257120000,56086000,56086000,607521000,3225931000,3862000,169384000,15840000,53262000,31726000,68556000,3399177000,4006698000,211635000,68131000,33250000,110254000,85058000,36923000,48135000,296693000,2153437000,80240000,42944000,37296000,2233677000,2530370000,1487286000,-10958000,1476328000,1476328000,4006698000,110240000,30234000,-10824000,78437000,208087000,-44088000,3802000,-47890000,-3.72529029846191e-09,-49164000,-88498000,3734000,26150000,185073000,185073000,185073000,167987000,2153437000,202783000,0.42824,0.3163,0.25313,0.07467,0.02751,1.83947,2.04764,1.71396,0.53746,0.48442,0.48442,1.91373,6.48733,0.89108,0.38888,0.05357,0.05466,0.80278,11.64002,14.19477
"8","2012_Q1",9.07387096774194,"Up",486933000,-289927000,197006000,-57248000,-28328000,-30918000,1998000,139758000,-28376000,-29024000,648000,111382000,-651000,110731000,-469000,110262000,110262000,110262000,110262000,209620000,209620000,92576000,258860000,51134000,51134000,612190000,3249722000,2534000,180555000,15176000,53260000,35594000,76525000,3432811000,4045001000,224485000,66384000,40547000,117554000,86570000,39983000,46587000,311055000,2151775000,118768000,67080000,51688000,2270543000,2581598000,1510604000,-47201000,1463403000,1463403000,4045001000,110262000,30918000,7723000,2278000,151181000,-54758000,1744000,-56502000,-8103000,-52691000,-90189000,3254000,-86935000,11555000,11555000,11555000,170676000,2151775000,118665000,0.40459,0.28702,0.22644,0.07535,0.02726,1.07621,1.96811,1.76411,0.53196,0.48452,0.48452,2.1397,6.43053,0.52144,0.39631,0.05368,0.03178,0.81795,11.37919,13.89656
"9","2012_Q2",9.15920634920635,"Up",493483000,-317064000,176419000,-53606000,-23744000,-31510000,1648000,122813000,-28224000,-29088000,864000,94589000,-519000,94070000,-546000,93524000,93524000,93524000,93524000,151642000,151642000,115390000,240167000,59249000,59249000,566448000,3252291000,2852000,188203000,14510000,53260000,39379000,81054000,3443346000,4009794000,187369000,48542000,33259000,105568000,84890000,41993000,42897000,272259000,2150107000,125623000,71319000,54304000,2275730000,2547989000,1508195000,-46390000,1461805000,1461805000,4009794000,93524000,31510000,1263000,-36556000,89741000,-37099000,40000,-37139000,-3655000,-41863000,-92177000,-13679000,-105856000,-57978000,-57978000,-57978000,154323000,2150107000,81214000,0.3575,0.24887,0.18952,0.06398,0.02332,0.86838,2.08055,1.74304,0.53621,0.41097,0.41097,2.16848,6.42351,0.35687,0.40505,0.04969,0.02173,0.9856,12.94988,16.27242
"10","2012_Q3",10.658253968254,"Up",449527000,-226824000,222703000,-55422000,-25414000,-31486000,1478000,167281000,-28061000,-29089000,1028000,139220000,-518000,138702000,-881000,137821000,137821000,137821000,137821000,233716000,233716000,93601000,215667000,48866000,48866000,591850000,3289683000,3097000,190359000,14035000,53260000,51439000,71625000,3483139000,4074989000,209476000,67235000,40547000,101694000,89797000,41035000,48762000,299273000,2148432000,116201000,69771000,46430000,2264633000,2563906000,1553986000,-42903000,1511083000,1511083000,4074989000,137821000,31486000,41511000,37927000,248745000,-70762000,197000,-70959000,-12217000,-71110000,-95004000,-556999.999999998,-95561000,82074000,82074000,82074000,198767000,2148432000,166813000,0.49542,0.37213,0.30659,0.09121,0.03382,1.21036,1.97763,1.69673,0.52722,0.60562,0.60562,1.97533,6.64005,0.73302,0.41747,0.06166,0.04418,0.68933,9.63297,11.44611
