"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",0.97765625,"Down",24039000,-21104000,2935000,-9384000,-6549000,-1444000,-5105000,-2835000,-6449000,-667000,-682000,-7116000,-7116000,-296000,-7412000,-7412000,-7412000,-7412000,9412000,9412000,15648000,15648000,641000,25701000,2043000,87731000,76621000,90773000,116474000,26453000,15131000,11322000,12995000,12995000,39448000,835000,40283000,1e+05,296736000,-220399000,-175000,76191000,76191000,116474000,-7412000,2094000,1537000,2685000,-1096000,-472000,-472000,-472000,-472000,-278000,-1846000,-1846000,27000,-1819000,-4355000,0,-1846000,0.12209,-0.26827,-0.30833,-0.09728,-0.06364,0.24906,0.65152,0.52871,0,-0.11182,-0.11182,0.36266,1.14792,-0.02785,-0.09623,-0.02397,2.16119,1.45945
"26","2016_Q3",1.16078125,"Up",22832000,-19679000,3153000,-9460000,-6343000,-1528000,-4815000,-3117000,-6307000,-608000,-622000,-6915000,-7778000,437000,-7341000,-7341000,-7341000,-7341000,9416000,9416000,17477000,17477000,988000,27881000,2462000,85751000,76621000,89212000,117093000,29757000,20071000,9686000,1660000,1660000,31417000,15705000,47122000,1e+05,297937000,-227740000,-255000,69971000,69971000,117093000,-7341000,2105000,2078000,686999.999999998,-2471000,-643000,-643000,-643000,-643000,3198000,84000,84000,-80000,4000,-4202000,9384000,-4595000,0.1381,-0.27624,-0.32152,-0.10491,-0.06269,0.62594,0.88745,0.67345,0.08014,-0.11046,-0.11046,0.34356,1.05137,-0.06914,-0.08568,-0.05363,0.00762,0.00507
"27","2016_Q4",0.781428571428571,"Down",22285000,-18917000,3368000,-8778000,-5665000,-1683000,-3982000,-3113000,-5410000,-666000,-725000,-6076000,-2286000,-3e+05,-2586000,-2586000,-2586000,-2586000,5705000,5705000,19266000,19266000,1006000,25977000,2480000,83759000,76621000,86239000,112216000,29831000,19809000,10022000,1626000,1626000,31457000,12253000,43710000,1e+05,299053000,-230326000,-250000,68506000,68506000,112216000,-2586000,2126000,-1858000,-1903000,-4221000,-266000,-266000,-266000,733000,-228000,-3716000,-3716000,5000,-3711000,-3284000,9460000,-5153000,0.15113,-0.24276,-0.11604,-0.03775,-0.02304,1.99265,0.82579,0.63805,0.0843,-0.03881,-0.03881,0.33444,1.02659,-0.07733,-0.03202,-0.06381,-1.14342,-0.69409
"28","2017_Q1",0.784354838709677,"Up",-28949000,30751000,1802000,-607000.000000001,-389000,475000,-864000,-218000,1195000,-699000,-596000,495999.999999999,-2102000,303000,-1799000,-6925000,-6925000,-6925000,6149000,6149000,10663000,10663000,6853000,23665000,2006000,81909000,42268000,83915000,107580000,15318000,11787000,3531000,15456000,15456000,30774000,14761000,45535000,1e+05,299588000,-237251000,-321000,62045000,62045000,107580000,-1799000,-3719000,3735000,-1687000,1124000,-37000,-37000,-37000,-214000,-64000,846000,846000,-71000,774999.999999999,-2524000,9685000,-4551000,-0.06225,-0.04128,0.23921,-0.11161,-0.06437,0.65718,0.76899,0.7339,0.09003,-0.10387,-0.10387,-0.43423,0.92917,-0.06826,-0.09016,-0.05925,-1.40095,2.959
"29","2017_Q2",1.05761904761905,"Up",15153000,-10001000,5152000,-6669000,-4495000,-1137000,-3358000,-2174000,-1517000,-767000,-707000,-2284000,-4056000,-31000,-4087000,-4175000,-4175000,-4175000,6302000,6302000,20136000,20136000,1034000,27472000,2453000,80948000,76621000,83401000,110873000,31482000,20263000,11219000,3716000,3716000,35198000,16940000,52138000,1e+05,300461000,-241426000,-329000,58735000,58735000,110873000,-4087000,628000,3406000,-1555000,-1404000,-365000,-365000,-365000,-374000,1939000,161000,161000,-8000,153000,-889000,10025000,-2778000,0.34,-0.10011,-0.27552,-0.07108,-0.03766,0.66539,0.7805,0.88768,0.09042,-0.06269,-0.06269,0.22753,0.88042,-0.04171,-0.05517,-0.03671,-4.18785,-2.45419
"30","2017_Q3",1.18253968253968,"Up",15905000,-10295000,5610000,-7076000,-4835000,-1284000,-3551000,-2241000,-1466000,-631000,-662000,-2097000,-7487000,884000,-6603000,-6458000,-6458000,-6458000,5867000,5867000,23787000,23787000,892000,30546000,2565000,80702000,76621000,83267000,113813000,35595000,23277000,12318000,3404000,3404000,38999000,14570000,53569000,1e+05,308425000,-247884000,-326000,60244000,60244000,113813000,-6603000,661000,6126000,1383000,24000.0000000005,-383000,-383000,-383000,-449000,-13000.0000000002,-438000,-438000,3000,-435000,-805000,6509000,-689000,0.35272,-0.09217,-0.40604,-0.1072,-0.05674,0.10669,0.78325,0.8892,0.05719,-0.09661,-0.09661,0.23793,0.89974,-0.01031,-0.08632,-0.00921,-0.79752,-0.43793
"31","2017_Q4",1.64444444444444,"Up",22732000,-15324000,7408000,-8895000,-5775000,-1623000,-4152000,-3120000,-1487000,-551000,-446000,-2038000,-4879000,84000,-4795000,-3799000,-3799000,-3799000,6883000,6883000,32494000,32494000,1037000,40414000,2693000,80058000,76621000,82751000,123165000,44717000,28404000,16313000,3497000,3497000,48214000,15300000,63514000,1e+05,311631000,-251683000,-326000,59651000,59651000,123165000,-4795000,669000,4101000,-299000,1866000,-472000,-472000,-472000,-489000,-361000,1016000,1016000,0,1016000,-818000,5751000,-1673000,0.32588,-0.06541,-0.16712,-0.06369,-0.03084,0.44038,0.83822,1.06476,0.04669,-0.05266,-0.05266,0.31507,0.8254,-0.02319,-0.0506899999999999,-0.02232,1.38386,0.76126
"32","2018_Q1",2.17311475409836,"Up",20961000,-14076000,6885000,-8224000,-6106000,-2043000,-4063000,-2118000,-1339000,-338000,-252000,-1677000,-4226000,13999.9999999999,-4212000,-38425000,-38425000,-38425000,12720000,12720000,17050000,17050000,9985000,39755000,2757000,44095000,42268000,46852000,86607000,31093000,19895000,11198000,15313000,15313000,46406000,12529000,58935000,1e+05,318076000,-290108000,-325000,27672000,27672000,86607000,-4212000,702000,3214000,7951000,6480000,-772000,-772000,-772000,-822000,178000,5836000,5836000,1000,5837000,-637000,3873000,6528000,0.32847,-0.06388,-1.83317,-1.38859,-0.44367,-0.16989,0.85668,2.12977,0.04472,-0.50922,-0.50922,0.27778,0.36539,0.08651,-0.95582,0.16238,13.88854,6.60717
"33","2018_Q2",1.71421875,"Down",22112000,-15723000,6389000,-7649000,-4540000,-1836000,-2704000,-3109000,-1260000,-438000,-319000,-1698000,1492000,36000,1528000,484000,484000,484000,8638000,8638000,19346000,19346000,5677000,33661000,2711000,43796000,42268000,46507000,80168000,30960000,18292000,12668000,10971000,10971000,41931000,9457000,51388000,1e+05,318700000,-289624000,-325000,28780000,28780000,80168000,1528000,729000,-2203000,-2449000,-3619000,-411000,-411000,-411000,-452000,-11000,-4082000,-4082000,25396.5677912079,-4082000,-531000,3991000,-3427000,0.28894,-0.05698,0.02189,0.0168200000000001,0.00603999999999988,-7.08058,0.80277,1.78555,0.04978,0.00635,0.00608,0.29017,0.37636,-0.04497,0.01266,-0.08963,8.75141,3.6881
"34","2018_Q3",1.3868253968254,"Down",23854000,-16310000,7544000,-7229000,-4592000,-1913000,-2679000,-2637000,315000,-148000,-135000,167000,2045000,23000,2068000,1712000,1712000,1712000,8349000,8349000,20862000,20862000,4971000,34182000,3053000,43482000,42266000,46535000,80717000,33050000,26752000,6298000,8872000,8872000,41922000,6630000,48552000,1e+05,320371000,-287912000,-323000,32165000,32165000,80717000,2068000,707000,-1158000,620999.999999998,364000,-674000,-674000,-674000,-674000,121000,-189000.000000002,-189000.000000002,40039.24925938,-188999.999999998,1022000,3418000,946000.000000002,0.31626,0.01321,0.0717699999999999,0.05323,0.02121,0.552569999999999,0.81537,1.50947,0.04235,0.02218,0.02173,0.30902,0.41539,0.01225,0.04413,0.02438,-4.82485,-15.65397
