"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","other_adjustments_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",22.88890625,"Down",2510100000,-2124400000,385700000,-316200000,-217100000,-60100000,-3.9e+07,69500000,-75200000,-63100000,-12100000,-5700000,-1.3e+07,6e+05,-12400000,-12400000,-12400000,-12400000,1.97e+08,1.97e+08,902800000,1614100000,154100000,1407600000,2713900000,1032400000,2335400000,526600000,1737100000,1e+07,61700000,3367800000,6081700000,1503500000,1.185e+09,318500000,69400000,38600000,38600000,1611500000,3006200000,540300000,273900000,129500000,136900000,3546500000,5.158e+09,2222400000,-994200000,-304500000,923700000,923700000,6081700000,68997966.7445261,68997966.7445767,57324335.6029592,-18902294.9685183,-577178905.030483,-469758897.651516,4122059.02948713,279003279.395959,277943524.402529,247285037.245971,-13609021.4536329,-13609021.4536278,-103903305.02109,122041146.98369,-69774226.2652971,-69774226.2652971,177053667.537783,107279441.272486,488070450.999586,3075600000,-13038528.0628043,0.15366,0.02769,-0.00494,-0.01342,-0.00204,401.262852554422,1.68408,5.58406,0.50571,-0.12051,-0.11969,24.39359,8.97668,-0.100526770914136,-0.00273,-0.00803818665339175,-70.0914027537983,41.41871
"2","2015_Q4",18.16484375,"Down",2206300000,-1837200000,369100000,-279400000,-212900000,-56300000,-10200000,89700000,-65200000,-39600000,-25600000,24500000,19700000,-7600000,12100000,12100000,12100000,12100000,187400000,187400000,859800000,1424100000,147600000,1243400000,2471300000,1035800000,2.313e+09,505700000,1723500000,7400000,76400000,3348800000,5820100000,1316400000,978900000,337500000,40800000,32700000,32700000,1389900000,3080900000,496200000,259200000,101500000,135500000,3577100000,4.967e+09,2.224e+09,-982100000,-388800000,853100000,853100000,5820100000,12100000,12100000,56300000,4e+05,13800000,82600000,-39600000,-3.2e+07,-71600000,27100000,-5e+05,-5e+05,-30400000,-3800000,7200000,7200000,-16800000,-9600000,1.46e+08,3121700000,127800000,0.16729,0.04066,0.00548,0.01418,0.00208,10.56198,1.77804,5.8223,0.53637,0.08772,0.0872299999999999,15.99473,6.18461,0.9265,0.00271,0.02858,20.09795,32.71237
"3","2016_Q1",14.6237704918033,"Down",1966300000,-1623700000,342600000,-316500000,-2.13e+08,-54700000,-48800000,26100000,-33400000,-41100000,7700000,-7300000,-7300000,4400000,-2900000,-2900000,-2900000,-2900000,188100000,188100000,803400000,1204800000,178600000,1026200000,2196300000,1082500000,2333599999,518900000,1745100000,3500000,66099999,3416099999,5612399999,1200100000,8.36e+08,364100000,59900000,33500000,33500000,1293500000,3057400000,444800000,251800000,5.8e+07,1.35e+08,3502200000,4795700000,2226100000,-9.85e+08,-424400000,816700000,816700000,5612400000,-2900000,-2900000,54700000,-2e+05,113200000,164800000,-38500000,-102800000,-141300000,-5499999.99999999,3e+06,3e+06,-3100000,-5600000,17900000,17900000,-17200000,699999.999999993,80800000,3117300000,151100000,0.17424,0.01327,-0.00147,-0.00355,-0.00052,-52.10345,1.69795,5.87205,0.55543,-0.02107,-0.02106,14.28366,5.9327,1.09763,-0.00066,0.03451,36.25248,112.22989
"4","2016_Q2",18.168125,"Up",1.999e+09,-1.64e+09,3.59e+08,-285900000,-224900000,-55500000,-5500000,73100000,-5.4e+07,-40600000,-13400000,19100000,19100000,-5100000,1.4e+07,1.4e+07,1.4e+07,1.4e+07,222100000,222100000,922300000,1302400000,162200000,1140200000,2446800000,1.093e+09,2395599999,523799999,1796700000,4700000,70400000,3488599999,5935399999,1407900000,1043700000,364200000,59700000,29400000,29400000,1.497e+09,3101800000,436300000,252400000,5.2e+07,131900000,3538100000,5035100000,2228400000,-9.71e+08,-357100000,900300000,900300000,5935400000,1.4e+07,1.4e+07,55500000,-6e+06,1200000,64700000,-22600000,-53300000,-77200000,17700000,1606861.59147944,1606861.5914826,1e+05,17800000,5300000,5300000,28700000,3.4e+07,128600000,3161500000,112300000,0.17959,0.03657,0.007,0.01555,0.00236,8.02143,1.63447,5.59269,0.53265,0.10174,0.1016,14.52762,6.54288,0.81613,0.00311,0.02497,22.85692,40.21067
"5","2016_Q3",19.62609375,"Up",2262500000,-1890400000,372100000,-296700000,-223900000,-61300000,-11500000,75400000,-34700000,-40400000,5700000,40700000,40700000,-9e+05,39800000,39800000,39800000,39800000,223800000,223800000,801700000,1478200000,153200000,1.325e+09,2503700000,1069700000,2.381e+09,5e+08,1803300000,3300000,74400000,3450700000,5954400000,1417900000,1100800000,317100000,91600000,30500000,30500000,1.54e+09,3039400000,436300000,249500000,53800000,1.33e+08,3475700000,5015700000,2230600000,-931200000,-360700000,938700000,938700000,5954400000,39800000,39800000,61300000,5e+06,-55700000,50400000,-19700000,-1500000.00000001,-21600000,-19900000,7e+05,699999.999999999,2e+05,-1.9e+07,9800000,9800000,-8099999.99999999,1700000,136700000,3.131e+09,62200000,0.16446,0.03333,0.01759,0.0424,0.00668,1.56280999999999,1.62578,5.34324,0.52583,0.28924,0.28799,16.44259,6.82195,0.45203,0.00883,0.0138,21.26701,38.55703
"6","2016_Q4",24.1526984126984,"Up",1999700000,-1637800000,361900000,-2.93e+08,-2.16e+08,-64900000,-12100000,68900000,-42600000,-39500000,-3100000,26300000,-107600000,44600000,-6.3e+07,-6.3e+07,-6.3e+07,-6.3e+07,267100000,267100000,753600000,1279900000,152300000,1127600000,2300600000,1030599999,2265700000,361800000,1795900000,28100000,79900000,3296299999,5596899999,1201899999,890300000,311599999,1.08e+08,26100000,26100000,1335999999,2993600000,404499999,246500000,24800000,133199999,3398099999,4734099998,2.238e+09,-994200000,-3.81e+08,862800000,862800000,5596899998,-6.3e+07,-6.3e+07,64900000,85300000,21900000,109100000,-19500001,0,-19400001,-49400000,4e+06,4e+06,0,-45400000,44299999,44299999,-1e+06,43299999,133800000,3101600000,91599999,0.18098,0.03446,-0.0315,-0.07302,-0.01126,-1.45397,1.72201,5.4869,0.55416,-0.45752,-0.45752,14.52215,6.2658,0.66521,-0.01442,0.02097,21.1846,41.13933
"7","2017_Q1",30.0322580645161,"Up",1812500000,-1.465e+09,347500000,-292600000,-228300000,-56200000,-8100000,54900000,-86700000,-39400000,-47300000,-31800000,-31800000,-27400000,-59200000,-59200000,-59200000,-59200000,336400000,336400000,756600000,1085100000,134800000,950300000,2178100000,1019500000,2192300000,339200000,1784400000,18200000,50500000,3211800000,5389900000,1205199999,852300000,352899999,1.09e+08,25300000,25300000,1339499999,2.845e+09,395500000,268600000,17200000,109700000,3240500000,4579999999,2253200000,-1053400000,-389900000,809900000,809900000,5389899999,-59200000,-59200000,56200000,30900000,197900000,225800000,-18899999,1200000,-17799999,-131200000,12200000,12200000,-9e+05,-119900000,88100001,88100001,-18800000,69300001,111100000,2.954e+09,317500001,0.19172,0.03029,-0.03266,-0.0731,-0.01098,-5.36318,1.62605,5.65502,0.54806,-0.42805,-0.43055,13.10557,5.85611,2.29573,-0.01423,0.07633,23.56076,47.67942
"8","2017_Q2",30.3003174603175,"Up",1998800000,-1630400000,368400000,-300900000,-228500000,-52600000,-19800000,67500000,-42500000,-35800000,-6700000.00000001,2.5e+07,24200000,-1600000.00000001,22600000,22600000,22600000,22600000,300600000,300600000,829900000,1257900000,155800000,1102100000,2388400000,1011200000,2196400000,3.25e+08,1789400000,29100000,52900000,3207600000,5.596e+09,1283500000,931600000,351900000,116100000,21300000,21300000,1420900000,2905700000,394300000,266800000,24900000,102600000,3.3e+09,4720900000,2278100000,-1031300000,-371700000,875100000,875100000,5.596e+09,22600000,22600000,52600000,6400000,-158700000,-77100000,-20900000,-5e+05,-21700000,47300000,23800000,23800000,-13600000,57500000,-41300000,-41300000,5500000,-35800000,120100000,3021800000,-57900000,0.18431,0.03377,0.01131,0.02583,0.00404,-2.56195,1.68091,5.3947,0.53999,0.16212,0.16051,14.33859,6.27762,-0.41535,0.00527,-0.01349,22.65779,40.31407
"9","2017_Q3",28.7098412698413,"Down",2.247e+09,-1852500000,394500000,-310800000,-2.36e+08,-50600000,-24200000,83700000,-45100000,-35800000,-9300000,38600000,38600000,-7300000,31300000,31300000,31300000,31300000,321800000,321800000,817300000,1465100000,151600000,1313500000,2604200000,1008800000,2193900000,312700000,1800500000,2.4e+07,56700000,3202700000,5806900000,1442300000,1.13e+09,312300000,99300000,19400000,19400000,1.561e+09,2895500000,390700000,266100000,17700000,106900000,3286200000,4847200000,2286500000,-1e+09,-326800000,959700000,959700000,5806900000,31300000,31300000,50600000,5100000,-22400000.0000001,64600000,-17700000,1.86264514923096e-09,-16400000,-43200000,4300000,4300000,-1e+06,-39900000,8300000,8300000,12900000,21200000,134300000,2994800000,101500000,0.17557,0.03725,0.01393,0.03261,0.00539,3.24281,1.66829,5.05075,0.51573,0.22325,0.22105,16.0271,6.84522,0.72397,0.0072,0.02336,19.9032,31.93548
"10","2017_Q4",29.767619047619,"Up",2048700000,-1668700000,3.8e+08,-291800000,-230700000,-49300000,-11800000,88200000,-42800000,-38400000,-4400000,45400000,45400000,-6500000,38900000,38900000,38900000,38900000,293900000,293900000,792300000,1361200000,155900000,1205300000,2447400000,1019100000,2223600000,308200000,1825900000,22800000,66700000,3242700000,5690100000,1267800000,945400000,322400000,82800000,15400000,15400000,1.366e+09,2872600000,387200000,260200000,19600000,107400000,3259800000,4625800000,2294500000,-961100000,-269100000,1064300000,1064300000,5690100000,38900000,38900000,49300000,6800000,-46700000,48300000,-16200000,-23900000,-42300000,-56600000,4e+06,4e+06,-5e+05,-53100000,-47100000,-47100000,19200000,-27900000,137500000,2955400000,81100000,0.18548,0.04305,0.01899,0.03655,0.00684,2.08483,1.79165,4.34633,0.51939,0.27707,0.27491,14.59188,7.58048,0.57764,0.00883,0.0184,19.35636,30.17574
