"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",37.0838709677419,"Down",60734000,-28430000,32304000,-27281000,-21420000,-4065000,5023000,64000,18000,46000,5087000,5087000,-1414000,3673000,3673000,3673000,3673000,145494000,80505000,51014000,51014000,53348000,16473000,10383000,266329000,15837000,47049000,6727000,18517000,2270000,19535000,62886000,329215000,25848000,7995000,16242000,19510000,17163000,2347000,45376000,10907000,1259000,9648000,10973000,56349000,179993000,-9075000,96519000,5429000,272866000,272866000,329215000,3673000,1796000,1072000,46000,6587000,-935000,-935000,-21000,506000,506000,21000,506000,6158000,6158000,-401000,5757000,6819000,84000,7344000,0.53189,0.0827,0.06048,0.01346,0.01116,1.99946,5.86938,0.20651,0.00026,0.21664,0.2144,3.58216,16.09395,0.43316,0.01294,0.02587,-21.32424,-28.94884
"12","2013_Q1",37.8066666666667,"Up",80670000,-37601000,43069000,-31842000,-25450000,-4580000,11227000,-516000,13000,-529000,10711000,10711000,-2870000,7841000,7841000,7841000,7841000,158223000,93233000,62559000,62559000,48894000,18402000,11186000,288078000,15344000,47385000,7048000,18816000,2396000,19125000,62729000,350807000,33515000,10413000,18216000,22122000,19460000,2662000,55682000,12370000,1149000,11221000,12389000,68071000,181112000,-9075000,104358000,6341000,282736000,282736000,350807000,7841000,1812000,1826000,3110000,14589000,-1293000,-1293000,-13000,55000,55000.0000000002,0,42000,13338000,13338000,-610000,12728000,13039000,64000,17726000,0.53389,0.13917,0.0972,0.02773,0.02235,2.26068,5.17363,0.24076,0.00018,0.46215,0.45932,4.75472,16.66456,1.04478,0.02656,0.06005,-12.12969,-14.08738
"13","2013_Q2",36.475,"Down",65370000,-28545000,36825000,-31123000,-24165000,-5125000,5702000,-1e+05,15000,-115000,5602000,5602000,-1028000,4574000,4574000,4574000,4574000,169589000,104598000,53721000,53721000,50024000,19131000,13106000,292465000,14461000,46332000,7186000,18485000,2345000,18316000,60793000,353258000,30099000,9460000,18260000,21927000,19235000,2692000,52054000,12430000,1118000,11312000,12447000,64501000,185987000,-9075000,108933000,2912000,288757000,288757000,353258000,4574000,1833000,1646000,2220000,10273000,-750000,-750000,-63000,3049000,3049000,808000,3794000,13317000,13317000,-1952000,11365000,7535000,45000,10033000,0.56333,0.08723,0.06997,0.01584,0.01295,2.19348,5.61849,0.22337,0.00013,0.2689,0.26629,3.84308,16.97595,0.58984,0.01518,0.03331,-22.50086,-29.73413
"14","2013_Q3",38.35859375,"Up",68329000,-31403000,36926000,-31440000,-24542000,-5162000,5486000,-485000,19000,-504000,5001000,5001000,-1370000,3631000,3631000,3631000,3631000,176301000,111308000,51717000,51717000,47781000,17748000,11823000,293547000,14297000,46062000,7252000,18656000,2370000,17784000,60359000,353906000,24917000,7386000,16443000,22478000,19431000,3047000,47410000,12496000,1152000,11344000,12512000,59922000,187116000,-9075000,112563000,3380000,293984000,293984000,353906000,3631000,1736000,1241000,1379000,7987000,-973000,-973000,-13000,35000,35000,6000,28000,7042000,7042000,-332000,6710000,7222000,31000,8998000,0.54041,0.08029,0.05314,0.01235,0.01026,2.47811,6.19167,0.20383,9e-05,0.21235,0.21137,3.9961,17.19312,0.52623,0.01185,0.02936,-24.40737,-32.13088
"15","2013_Q4",49.666875,"Up",68190000,-29369000,38821000,-31224000,-23641000,-5884000,7597000,-792000,17000,-809000,6805000,6805000,-1763000,5042000,5042000,5042000,5042000,181900000,116905000,52939000,52939000,48973000,20821000,14614000,304633000,14335000,47686000,7972000,19125000,2452000,18137000,62021000,366654000,28012000,8902000,18786000,21850000,19526000,2324000,49866000,12872000,1171000,11701000,12889000,62755000,188431000,-9075000,117607000,6936000,303899000,303899000,366654000,5042000,1699000,958000,-1764000,5935000,-1947000,-1947000,0,183000,183000,0,183000,4171000,4171000,1426000,5597000,9296000,21000,7348000,0.56931,0.11141,0.07394,0.01659,0.01375,1.45736,6.10903,0.2065,6e-05,0.2957,0.29282,3.99919,17.82298,0.43094,0.01592,0.0232,-19.5653,-23.9409
"16","2014_Q1",54.09,"Up",89895000,-40574000,49321000,-37952000,-29941000,-6241000,11369000,85000,14000,71000.0000000002,11454000,11454000,-3192000,8262000,8262000,8262000,8262000,189624000,124630000,66309000,66309000,48940000,19246000,14645000,324119000,16451000,50926000,8112000,19358000,4423000,19033000,67377000,391496000,36712000,14881000,20141000,24241000,21331000,2910000,60953000,14593000,1171000,13422000,14593000,75546000,191892000,-9075000,125867000,7266000,315950000,315950000,391496000,8262000,1770000,2366000,-2315000,10083000,-2884000,-2884000,-17000,2177000,2177000,155000,2315000,9514000,9514000,-1789000,7725000,13139000,0,11132000,0.54865,0.12647,0.09191,0.02615,0.0211,1.34737,5.31752,0.23911,0,0.48066,0.47509,5.22988,18.38121,0.64763,0.025,0.03368,-14.43215,-16.67904
"17","2014_Q2",45.7822222222222,"Down",73374000,-33291000,40083000,-33123000,-25846000,-5430000,6960000,-143000,17000,-160000,6817000,6817000,-1841000,4976000,4976000,4976000,4976000,187710000,122716000,64739000,64739000,50238000,20265000,15183000,322952000,16942000,52369000,8273000,19336000,4415000,20345000,69311000,392263000,28945000,10381000,18533000,24693000,22404000,2289000,53644000,14841000,1233000,13608000,14849000,68493000,194815000,-9075000,130845000,7185000,323770000,323770000,392263000,4976000,1847000,2319000,-9965000,-823000,-2543000,-2543000,-50000,1619000,1619000,58000,1627000,-1739000,-1739000,-175000,-1914000,8807000,14000,-1860000,0.54628,0.09486,0.06782,0.01537,0.01269,-0.37379,6.02028,0.21155,4e-05,0.2892,0.28656,4.26447,18.81739,-0.1081,0.01469,-0.00549,-21.31214,-26.96782
"18","2014_Q3",51.935625,"Up",82060000,-36543000,45517000,-37108000,-28582000,-6658000,8409000,170000,21000,149000,8579000,8579000,-2251000,6328000,6328000,6328000,6328000,194831000,129835000,65979000,65979000,53302000,20875000,14945000,334987000,17884000,54014000,8466000,19241000,4401000,21906000,71898000,406885000,34281000,13866000,20382000,25774000,23215000,2559000,60063000,15388000,1235000,14153000,15392000,75455000,196050000,-9075000,137171000,7284000,331430000,331430000,406885000,6328000,1868000,1263000,869999.999999998,10329000,-2939000,-2939000,46000,36000,36000,1000,83000,7473000,7473000,-354000,7119000,10277000,12000,10459000,0.55468,0.10247,0.07711,0.01909,0.01555,1.65281,5.57726,0.22766,3e-05,0.36717,0.36442,4.76141,19.23072,0.60687,0.01825,0.03016,-18.9568,-23.16792
"19","2014_Q4",54.995625,"Up",82239000,-36198000,46041000,-37048000,-27891000,-7352000,8993000,112000,23000,89000,9105000,9105000,2118000,11223000,11223000,11223000,11223000,181906000,116910000,68939000,68939000,56482000,21784000,15901000,329111000,21769000,58847000,8834000,19579000,8845000,21589000,80616000,409727000,33705000,9853000,23434000,23687000,22464000,1223000,57400000,15319000,1203000,14116000,15321000,72721000,198220000,-9075000,148394000,-533000.000000001,337006000,337006000,409727000,11223000,1805000,-2538000,-15519000,-5029000,-5904000,-6904000,-2000,867000,867000,78000,943000,-10990000,-10990000,-1935000,-12925000,10798000,10000,-12743000,0.55984,0.10935,0.13647,0.0333,0.02739,-1.13544,5.73364,0.21579,2e-05,0.65018,0.64273,4.76434,19.52374,-0.73824,0.03185,-0.03617,-16.84534,-20.2264
"20","2015_Q1",57.1427868852459,"Up",104153000,-47284000,56869000,-43891000,-33816000,-8167000,12978000,43000,27000,16000.0000000001,13021000,13021000,-1899000,11122000,11122000,11122000,11122000,174284000,109289000,83959000,83959000,43094000,22015000,16079000,323352000,29345000,72766000,9109000,19205000,6624000,37828000,102111000,425463000,41564000,15437000,26127000,25618000,23572000,2046000,67182000,14427000,1619240.87927362,14427000,14427000,81609000,200108000,-9075000,159516000,-6695000,343854000,343854000,425463000,11122000,1908000,1724000,-13573000,1181000,-8557000,-8707000,-2000,847000,847000,32000,877000,-6649000,-6649000,-972000,-7621000,14886000,0,-5345000,0.54601,0.12461,0.10679,0.03235,0.02614,-0.48058,4.81307,0.23734,0,0.64329,0.63644,6.02414,19.88829,-0.30915,0.03104,-0.01492,-11.70791,-13.42919
"21","2015_Q2",47.0120634920635,"Down",69939000,-30328000,39611000,-37755000,-28906000,-6356000,1856000,-1288000,19000,-1307000,568000,568000,96000,664000,664000,664000,664000,161059000,96066000,62339000,62339000,66652000,23669000,17809000,313719000,30101000,70641000,16933000,25761000,6453000,21494000,100742000,414461000,30967000,11196000,19771000,24596000,23040000,1556000,55563000,17649000,2025000,15624000,17649000,73212000,203617000,-9075000,160180000,-13473000,341249000,341249000,414461000,664000,2493000,4525000,-6911000,771000,-2569000,-14580000,-2000,2019000,2019000,292000,2309000,-11500000,-11500000,-1723000,-13223000,4349000,0,-5227000,0.56636,0.02654,0.00949,0.00195,0.0016,-7.87199,5.64619,0.21454,0,0.0383,0.03792,4.03445,19.68502,-0.30152,0.00185,-0.01456,-37.03357,-86.77748
"22","2015_Q3",39.518125,"Down",83775000,-39229000,44546000,-39122000,-29129000,-7254000,5424000,-59000,24000,-82999.9999999998,5365000,5365000,-1217000,4148000,4148000,4148000,4148000,155569000,90576000,70002000,70002000,68901000,24328000,18818000,318800000,31239000,71787000,16399000,26885000,6489000,22014000,103026000,421826000,28931000,9302000,19226000,25313000,23882000,1431000,54244000,18574000,2043000,16531000,18574000,72818000,205037000,-9075000,164328000,-11282000,349008000,349008000,421826000,4148000,2739000,777000,-10035000,-2371000,-4689000,-4689000,-3000,156000,156000,-6000,147000,-6913000,-6913000,1423000,-5490000,8163000,0,-5344000,0.53173,0.06474,0.04951,0.01189,0.00983,-1.28833,5.87715,0.20864,0,0.23858,0.23717,4.81852,20.07404,-0.30737,0.01128,-0.01454,-19.05782,-28.6816
"23","2015_Q4",31.47421875,"Down",72507000,-37636000,34871000,-35793000,-27183000,-5820000,-922000,-138000,-7000,-131000,-1060000,-1060000,176000,-884000,-884000,-884000,-884000,160959000,95975000,63811000,63811000,55110000,27505000,21997000,307385000,33736000,81935000,16171000,26600000,6498000,32666000,115671000,423056000,33703000,12473000,21230000,25288000,23771000,1517000,58991000,17976000,1942000,16034000,17976000,76967000,206477000,-9075000,163444000,-14757000,346089000,346089000,423056000,-884000,2790000,9652000,-2067000,9491000,-2955000,-3010000,-1000,111000,111000,6000,116000,6597000,6597000,-1198000,5399000,1868000,0,-3330000,0.48093,-0.01272,-0.01219,-0.00255,-0.00209,3.76697,5.21071,0.22239,1.05879118406788e-22,-0.05082,-0.05082,4.16807,19.89495,-0.19143,-0.00243,-0.00915,-86.16649,174.57592
"24","2016_Q1",27.9465573770492,"Down",91327000,-43119000,48208000,-41444000,-30989000,-7260000,6764000,1169000,19000,1150000,7933000,7933000,952000,8885000,8885000,8885000,8885000,150350000,107356000,69918000,69918000,45571000,26319000,18527000,292158000,35946000,81082000,15985000,26371000,4050000,34676000,117028000,409186000,33919000,11345000,22574000,29112000,26114000,2998000,63031000,18511000,686000,17825000,18511000,81542000,207014000,-31838000,172329000,-19861000,327644000,327644000,409186000,8885000,3195000,555000,7506000,20141000,-6096000,15905000,-2000,-22762000,1000,21000,-22743000,13303000,13303000,-1922000,11381000,9959000,0,10417000,0.52786,0.07406,0.09729,0.02712,0.02171,1.17243,4.63515,0.24887,0,0.5215,0.51775,5.3604,19.23094,0.61142,0.02567,0.03009,-15.0969,-22.22797
"25","2016_Q2",33.05984375,"Up",75748000,-33077000,42671000,-38341000,-28053000,-7202000,4330000,-707000,44000,-751000,3623000,3623000,-543000,3080000,3080000,3080000,3080000,163230000,120278000,60122000,60122000,48614000,27327000,19573000,299293000,35638000,83323000,16030000,27365000,4124000,35804000,118961000,418254000,29592000,10171000,18845000,28839000,26471000,2368000,58431000,20479000,887000,19592000,20479000,78910000,209013000,-31838000,175409000,-13240000,339344000,339344000,418254000,3080000,3086000,2369000,4585000,13120000,-2379000,-2379000,-2000,452000,452000,65000,515000,11256000,11256000,1666000,12922000,7416000,0,10165000,0.56333,0.05716,0.04066,0.00908,0.00736,3.30032,5.12216,0.23254,0,0.18544,0.18511,4.56064,20.43123,0.61201,0.00856,0.02825,-22.01052,-37.69746
"26","2016_Q3",33.91859375,"Up",78538000,-34604000,43934000,-39437000,-28957000,-7214000,4497000,-186000,54000,-240000,4311000,4311000,-919000,3392000,3392000,3392000,3392000,176516000,133541000,56825000,56825000,51809000,24139000,16592000,309289000,33392000,80667000,15573000,26963000,4087000,34044000,114059000,423348000,33037000,10848000,21737000,29025000,26940000,2085000,62062000,19690000,872000,18818000,19690000,81752000,209668000,-31838000,178801000,-15035000,341596000,341596000,423348000,3392000,3266000,2350000,5600000,14608000,-913000,-913000.000000002,-2000,61000.0000000037,61000,5000,64000,13759000,13759000,-495999.999999999,13263000,7763000,0,13369000,0.5594,0.05726,0.04319,0.00993,0.00801,3.94133,4.98355,0.23932,0,0.20361,0.20345,4.71442,20.50505,0.8025,0.00939,0.037,-22.73812,-39.25195
"27","2016_Q4",35.6053968253968,"Up",79600000,-36922000,42678000,-41837000,-30528000,-7928000,841000,188000,21000,167000,1029000,1029000,61000,1090000,1090000,1090000,1090000,153306000,121349000,57431000,57431000,55206000,29045000,20426000,294988000,32759000,102855000,21967000,41721000,4535000,34632000,135614000,430602000,35832000,11507000,24325000,29975000,27212000,2763000,65807000,19193000,1163000,18030000,19193000,8.5e+07,211245000,-31838000,179891000,-13696000,345602000,345602000,430602000,1090000,3381000,2739000,-6487000,723000,-3420000,-13331000,-2000,6000,6000,-150000,-146000,-12754000,-12754000,562000,-12192000,4222000,0,-5746000,0.53616,0.01057,0.01369,0.00315,0.00253,-5.27156,4.48262,0.24595,3.30872245021211e-24,0.06537,0.06526,4.77385,20.72678,-0.3446,0.00299,-0.01575,-36.31123,-182.29013
"28","2017_Q1",36.4238709677419,"Up",91698000,-43021000,48677000,-45061000,-33145000,-7781000,3616000,47000,45000,2000,3663000,3663000,-118000,3545000,3545000,3545000,3545000,149111000,106169000,61364000,61364000,51886000,16304000,16304000,278665000,31678000,113371000,22279000,46744000,14307000,30041000,145049000,423714000,36316000,11126000,24572000,30294000,27422000,2872000,66610000,17447000,1409000,16038000,17447000,84057000,212620000,-31838000,183436000,-24561000,339657000,339657000,423714000,3545000,4135000,1449000,3000,9132000,-2665000,-20462000,-2000,155000,155000,-337000,-184000,-11514000,-11514000,-3666000,-15180000,7751000,0,5207000,0.53084,0.03943,0.03866,0.01044,0.00837,1.46883,4.18353,0.24748,0,0.21257,0.2121,5.49855,20.36707,0.31223,0.00993,0.01458,-19.23765,-41.23645
"29","2017_Q2",35.5201587301587,"Down",81562000,-37813000,43749000,-45755000,-33571000,-8466000,-2006000,74000,82000,-8000,-1932000,-1932000,471000,-1461000,-1461000,-1461000,-1461000,148770000,105858000,60633000,60633000,52537000,17829000,17829000,279769000,31425000,115982000,21386000,47433000,14478000,32685000,147407000,427176000,33873000,11953000,21920000,31664000,28865000,2799000,65537000,17457000,1445000,16012000,17457000,82994000,214733000,-31828000,181679000,-20402000,344182000,344182000,427176000,-1461000,3718000,2156000,-4692000,-279000,-2077000,-2077000,-2000,268000,268000,-600263.526872025,266000,-2090000,-2090000,1779000,-311000,1712000,0,-5528000,0.53639,-0.02459,-0.01791,-0.00424,-0.00342,3.78371,4.26887,0.24113,-2.64697796016969e-23,-0.08757,-0.08757,4.88859,20.62926,-0.33133,-0.00404,-0.01529,-86.89836,74.16251
"30","2017_Q3",36.2055555555556,"Up",82682000,-35922000,46760000,-50933000,-37899000,-9045000,-4173000,-370000,89000,-459000,-4543000,-4543000,918000,-3625000,-3625000,-3625000,-3625000,139564000,117594000,58805000,58805000,57866000,22989000,22989000,279224000,32355000,125489000,23313000,51417000,14442000,36317000,157844000,437068000,38270000,12651000,25619000,32241000,29358000,2883000,70511000,17066000,1570000,15496000,17066000,87577000,216529000,-31829000,178053000,-13262000,349491000,349491000,437068000,-3625000,3989000,2295000,-6748000,-4089000,-2237000,13267000,-2000,16000,16000,-748778.747878196,14000,9192000,9192000,2544000,11736000,-184000,2.8421709430404e-14,-10087000,0.56554,-0.05047,-0.04384,-0.01037,-0.00829,2.78262,3.96001,0.25058,0,-0.21706,-0.21706,4.95081,20.92671,-0.60399,-0.00989,-0.02752,758.5,33.44452
"31","2017_Q4",46.8369841269841,"Up",90250000,-38216000,52034000,-49684000,-36297000,-9019000,2350000,225000,78000,147000,2575000,2575000,-947000,1628000,1628000,1628000,1628000,140811000,129841000,60449000,60449000,59044000,20919000,20919000,281223000,32311000,126347000,22983000,52567000,14498000,36299000,158658000,439881000,34471000,11964000,22507000,32145000,29080000,3065000,66616000,16539000,1683000,14856000,16539000,83155000,218260000,-31829000,179682000,-9387000,356726000,356726000,439881000,1628000,4368000,2451000,-4847000,3600000,-3112000,7888000,-2000,103000,103000,-521000,-420000,11068000,11068000,1179000,12247000,6718000,0,-294000,0.57655,0.02604,0.01804,0.00456,0.0037,-0.18059,4.22155,0.23311,-2.11758236813575e-22,0.09744,0.09692,5.40146,21.35004,-0.0176,0.00436,-0.000789999999999999,-20.9602599999999,-59.91957
"32","2018_Q1",55.4770491803279,"Up",106423000,-44329000,62094000,-52943000,-39584000,-8846000,9151000,576000,66000,510000,9727000,9727000,-20785000,-11058000,-11058000,-11058000,-11058000,151957000,140960000,72105000,72105000,53786000,16311000,16311000,294159000,31879000,132540000,22540000,52750000,15606000,41644000,164419000,458578000,43607000,11569000,27362000,32278000,29674000,2604000,75885000,30627000,16647000,13980000,30627000,106512000,223073000,-31809000,168624000,-7822000,352066000,352066000,458578000,-11058000,4513000,363000,17305000,11123000,-3921000,-4021000,-102000,3207000,3207000,0,3105000,10207000,10207000,912000,11119000,13664000,-4.54747350886464e-13,47833000,0.58346,0.08599,-0.10391,-0.03141,-0.02411,-4.32565,3.87638,0.30253,0,-0.66007,-0.66356,6.35255,21.01534,2.85522,-0.0289,0.12499,-11.12097,-16.60551
"33","2018_Q2",55.829375,"Up",92834000,-39048000,53786000,-53093000,-39344000,-9406000,693000,-111000,73000,-184000,582000,582000,-127000,455000,455000,455000,455000,149783000,138826000,71631000,71631000,58376000,19119000,19119000,298909000,31531000,140212000,25399000,54511000,15738000,44564000,171743000,470652000,37616000,11145000,24367000,33432000,30976000,2456000,71048000,31275000,16652000,14623000,31275000,102323000,231227000,-31734000,171444000,-2608000,368329000,368329000,470652000,455000,4343000,1888000,-10735000,-4049000,-2893000,-6859000,-46000,6785000,6785000,-201635.785051653,6739000,-4169000,-4169000,2035000,-2134000,5036000,0,-8465000,0.57938,0.00746,0.0049,0.00123999999999999,0.000969999999999999,-18.6044,4.20714,0.2778,3.3881317890172e-21,0.02702,0.02654,5.51344,21.87519,-0.50274,0.00114,-0.02118,-29.74245,-216.13709
"34","2018_Q3",63.7269841269841,"Up",98244000,-40553000,57691000,-55764000,-41404000,-9983000,1927000,-422000,87000,-509000,1505000,1505000,-3e+05,1205000,1205000,1205000,1205000,144552000,133554000,71641000,71641000,60349000,21086000,21086000,297628000,30700000,136141000,23842000,53584000,15691000,43024000,166841000,464469000,38386000,11764000,24950000,33123000,30179000,2944000,71509000,30257000,15168000,15089000,30257000,101766000,233773000,-31734000,172649000,-11985000,362703000,362703000,464469000,1205000,4377000,2202000,-3728000,4056000,-3457000,-5242000,0,348000,348000,-703625.977255834,348000,-838000,-838000,-4434000,-5272000,6304000,0,-581000.000000007,0.58722,0.01961,0.01227,0.00332,0.00259,-0.48216,4.16211,0.28058,0,0.07102,0.0698000000000001,5.79032,21.37706,-0.0342399999999998,0.00307,-0.00148,-22.9302,-75.01401
