"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.88047619047619,"Up",459219000,-373314000,85905000,-75788000,-71039000,-4749000,10117000,-6271000,-6339000,68000,3846000,2355000,-912000,1443000,1267000,1267000,1267000,11421000,11421000,34635000,34635000,360025000,38553000,33684000,444634000,380169000,96697000,-50323423.0232933,8584000,476866000,921500000,81377000,26345000,55032000,260760000,344823000,234048000,34151000,19067000,15084000,268199000,613022000,292500000,20306000,308478000,308478000,921500000,1267000,4753000,-3615000,-12814000,-10409000,1355000,2144000,2144000,-789000,-789000,421000,1776000,-1352347.63879851,-13875000,538000,554000,-16000,7278000,-1355000,-1355000,-1355000,14870000,494808000,4323000,0.18707,0.02203,0.00276,0.00411,0.00137,3.412,1.28946,1.98725,0.53696,0.05749,0.05713,20.83854,13.99818,0.19617,0.0527834749442881,4,0.00151,0.00516,-2.76840754681456,32.50753,47.77968
"2","2010_Q3",7.0825,"Up",526315000,-432076000,94239000,-77915000,-73533000,-4382000,16324000,-5815000,-6028000,213000,10509000,-2750999.99999999,1154000,-1597000,-1719000,-1719000,-1719000,15379000,15379000,36187000,36187000,361063000,36756000,33313000,449385000,363257000,96650000,-8616474.34109777,8484000,459907000,909292000,76977000,26437000,50540000,258126000,335225000,232672000,35922000,19043000,16879000,268594000,603819000,293590000,17287000,305473000,305473000,909292000,-1719000,4406000,14623000,-13180000,4130000,-675000,418000.000000002,418000.000000002,-1093000,-1093000,558000,-608000,-1300000,-2087000.00000001,584000,584000,2.3283064365387e-10,436000.000000007,3958000,3958000,3958000,20730000,490798000,5721000,0.17905,0.03102,-0.00327,-0.00563,-0.00189,-3.3281,1.34055,1.97667,0.53976,-0.0662299999999998,-0.0662299999999999,20.27798,11.76933,0.22042,0.05009,4,-0.000500000000000001,0.00687,-0.75625,22.93386,29.12393
"3","2010_Q4",10.864375,"Up",565198000,-463474000,101724000,-79140000,-75050000,-4090000,22584000,-6668000,-6741000,73000,15916000,15916000,-6470000,9446000,9792000,9792000,9792000,15301000,15301000,41235000,41235000,392906000,39961000,36902000,489403000,362990000,102696000,6186000,8817000,465686000,955089000,84750000,24957000,59793000,238847000,323597000,279789000,37220000,19963000,17257000,317009000,640606000,294387000,25772000,314483000,314483000,955089000,9792000,4238000,2729000,-26467000,-9708000,5510000,7317000,7317000,-1807000,-1807000,24000,-17666000,-1307000,52154000,214000,1017000,-803000,27296000,-78000,-78000,-78000,26822000,518636000,12335000,0.17998,0.03996,0.01732,0.03114,0.01025,1.2597,1.51238,2.03701,0.54302,0.37484,0.36725,21.63603,12.03855,0.47219,0.05003,4,0.01275,0.01417,0.13348,18.76575,22.28724
"4","2011_Q1",12.9804838709677,"Up",485890000,-404812000,81078000,-68332000,-64541000,-3791000,12746000,-5504000,-5570000,66000,7242000,6692000,-2397000,4295000,4379000,4379000,4379000,9306000,9306000,75011000,75011000,415228000,8999000,6062000,508544000,362433000,100699000,6186000,54989000,463132000,971676000,82531000,23747000,58784000,263338000,345869000,268693000,36897000,20158000,16739000,305590000,651459000,296247000,28839000,320217000,320217000,971676000,4379000,4189000,1782000,-15693000,-5343000,-3491000,409000,409000,-3900000,-3900000,23000,-3468000,-1312000,2723000,1230000,2037000,-807000,2816000,-5995000,-5995000,-5995000,16935000,532031000,148000,0.16686,0.02623,0.00901,0.01368,0.00451,0.0337999999999994,1.47034,2.03443,0.54754,0.16704,0.16498,18.53481,12.21503,0.00564999999999988,0.05005,4,0.0064,0.00017,0.29961,30.86655,41.01091
"5","2011_Q2",15.1190476190476,"Up",582857000,-481261000,101596000,-81226000,-77134000,-4092000,20370000,-5677000,-5754000,77000,14693000,14311000,-5923000,8388000,8705000,8705000,8705000,13118000,13118000,79659000,79659000,456945000,11695000,8880000,561417000,357303000,102070000,6186000,56405000,459373000,1020790000,95545000,27043000,68502000,314403000,409948000,245864000,36111000,21064000,15047000,281975000,691923000,296946000,36228000,328867000,328867000,1020790000,8705000,4193000,563000,-24701000,-11240000,751000,3084000,3084000,-2333000,-2333000,-1012000,-261000,-1316000,16159000,449000,590000,-141000,15313000,3812000,3812000,3812000,24563000,560267000,6536000,0.17431,0.03495,0.01494,0.02647,0.00853,0.75083,1.36948,2.10396,0.54886,0.33047,0.3261,22.12737,12.48499,0.24813,0.04996,5,0.01083,0.00706,0.15118,22.27533,26.86053
"6","2011_Q3",16.1984375,"Up",672487000,-555350000,117137000,-86985000,-82768000,-4217000,30152000,-6199000,-6370000,171000,23953000,23463000,-8777000,14686000,14826000,14826000,14826000,11738000,11738000,88793000,88793000,497530000,9114000,5473000,607175000,366414000,127612000,18288000,72823000,494026000,1101201000,97236000,29110000,68126000,347472000,444708000,275183000,37474000,22441000,15033000,312657000,757365000,298996000,49203000,343836000,343836000,1101201000,14826000,4313000,2988000,-28123000,-5996000,2752000,8274000,8274000,-5522000,-5522000,495000,-50055000,-1852000,55024000,1242000,1243000,-1000.00000000047,54671000,-1380000,-1380000,-1380000,34465000,622655000,17871000,0.17418,0.04484,0.02205,0.04312,0.01346,1.20538,1.36533,2.20269,0.56543,0.5608,0.55189,25.43734,13.00586,0.67598,0.07005,5,0.01661,0.0178,0.12492,17.72572,20.26124
"7","2011_Q4",18.7295238095238,"Up",694873000,-578651000,116222000,-84698000,-80635000,-4063000,31524000,-4738000,-4952000,214000,26786000,26786000,-10544000,16242000,16563000,16563000,16563000,15936000,15936000,84247000,84247000,489217000,14764000,5298000,604164000,379515000,131536000,18191000,78569000,511051000,1115215000,99677000,28575000,71102000,335940000,436483000,285954000,44395000,23774000,20621000,330349000,766832000,289442000,63927000,348383000,348383000,1115215000,16563000,4247000,1722000,-1869000,20663000,-15282000,-141000,-141000,-15141000,-15141000,6231000,-14169000,-1838000,13039000,-10279000,1015000,-11294000,-2296000,4198000,4198000,4198000,35771000,621894000,29164000,0.16726,0.04537,0.02384,0.04754,0.01485,1.76079,1.38416,2.20112,0.55764,0.63232,0.62136,26.52795,13.30011,1.11338,0.07017,7,0.01813,0.02874,0.11097,16.93992,19.22212
"8","2012_Q1",21.8683870967742,"Up",682529000,-572200000,110329000,-80181000,-76126000,-4055000,30148000,-5934000,-6166000,232000,24214000,23710000,-7816000,15894000,18766000,18766000,18766000,20851000,20851000,99407000,99407000,506484000,21449000,16719000,648191000,373779000,124163000,18958000,75935000,497942000,1146133000,104423000,31712000,72711000,352161000,456584000,278653000,43775000,25146000,18629000,322428000,779012000,290752000,80877000,367121000,367121000,1146133000,18766000,4195000,-5219000,-21935000,-4193000,9783000,18460000,18460000,-8677000,-8677000,17345000,25063000,-1816000,-14978000,674000.000000002,2806000,-2132000,-15955000,4915000,4915000,4915000,34343000,630814000,30007000,0.16165,0.04417,0.02749,0.05112,0.01637,1.59901,1.41965,2.12195,0.55038,0.72322,0.7097,26.30372,14.14834,1.15643,0.06999,5,0.01976,0.02881,0.09677,17.76091,20.23229
"9","2012_Q2",22.5601587301587,"Up",738246000,-613912000,124334000,-92577000,-88439000,-4138000,31757000,-5131000,-5629000,498000,26626000,26511000,-9877000,16634000,16796000,16796000,16796000,8965000,8965000,111040000,111040000,559216000,15045000,10618000,694266000,379351000,125110000,18727000,75847000,504461000,1198727000,112808000,34934000,77874000,395699000,508507000,262934000,45607000,26820000,18787000,308541000,817048000,289902000,95859000,381679000,381679000,1198727000,16796000,4199000,-1916000,-60066000,-40987000,-7450000,1009000,1009000,-8459000,-8459000,958000,-6492000,-1814000,38442000,-1784000,869000,-2653000,35593000,-11886000,-11886000,-11886000,35956000,658633000,-21683000,0.16842,0.04302,0.02275,0.04401,0.01401,-1.29096,1.3653,2.14067,0.54944,0.64635,0.63434,28.40937,14.68787,-0.83441,0.06981,5,0.01714,-0.01997,0.108,18.06842,20.45747
"10","2012_Q3",26.1073015873016,"Up",822342000,-688246000,134096000,-97188000,-92990000,-4198000,36908000,-4765000,-5584000,819000,32143000,32143000,-12138000,20005000,20491000,20491000,20491000,16247000,16247000,117747000,117747000,617568000,14564000,10588000,766126000,387652000,129797000,22608000,77340000,517449000,1283575000,119954000,40196000,79758000,503851000,623805000,224746000,50031000,30110000,19921000,274777000,898582000,274945000,113766000,384993000,384993000,1283575000,20491000,4261000,1836000,-137644000,-111056000,-10303000,3931000,3931000,-14234000,-14234000,59000.0000000019,-23026000,-2584000,156522000,-16151000,1802000,-17953000,141364000,7282000,7282000,7282000,41169000,728597000,-94640000,0.16307,0.04488,0.02492,0.05322,0.01596,-4.61861,1.22815,2.33402,0.56763,0.79626,0.78258,31.95547,14.96048,-3.67762,0.10041,5,0.01983,-0.08133,0.1261,17.30307,19.30069
