"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",10.3646031746032,"Down",1.852e+09,-1.36e+09,4.92e+08,-4.14e+08,-4.14e+08,7.8e+07,-5.6e+07,-5.8e+07,2e+06,2.2e+07,2.2e+07,-1.8e+07,4e+06,4e+06,-1.1e+07,-7e+06,-7e+06,1.378e+09,1.378e+09,1.147e+09,8.05e+08,3.1e+08,3.1e+08,3.64e+09,1.92e+09,3.726e+09,3.095e+09,2.86e+08,3.45e+08,5.646e+09,9.286e+09,1.45e+09,6.73e+08,7.77e+08,1.516e+09,4.1e+09,9.67e+08,5.067e+09,6.583e+09,3.56e+08,1.837e+09,3.25e+08,2.518e+09,1.85e+08,2.703e+09,9.286e+09,9.2e+07,-2.12e+08,-1.2e+08,-2.3e+07,1e+06,-6e+06,-2.8e+07,-2.7e+07,-4.5e+07,1.23e+08,-2.5e+07,-2.5e+07,-1e+07,-3.5e+07,4.1e+09,0.26566,0.04212,-0.00378,-0.00259,-0.00075,2.40106,2.43544,0.44152,-0.02011,-0.02,5.32184,7.23563,0.07759,-12.1256920882797,0.00257,-3.85714,34.89744
"2","2010_Q3",7.84390625,"Down",2.048e+09,-1.502e+09,5.46e+08,-4.27e+08,-4.27e+08,1.19e+08,-7e+07,-6.7e+07,-3e+06,4.9e+07,15999999.9999999,-4e+06,1.2e+07,12000000.0000001,-9e+06,3000000.00000006,3000000.00000006,1.384e+09,1.384e+09,1.157e+09,8.4e+08,2.97e+08,2.97e+08,3.678e+09,1.851e+09,3.662e+09,3.077e+09,2.83e+08,3.02e+08,5.513e+09,9.191e+09,1.552e+09,7.29e+08,8.23e+08,1.618e+09,4.038e+09,9.27e+08,4.965e+09,6.583e+09,3.71e+08,1.814e+09,2.62e+08,2.447e+09,1.61e+08,2.608e+09,9.191e+09,1.2e+08,6.7e+07,1.87e+08,-3.3e+07,1e+06,-7e+06,-3.9e+07,-4.2e+07,0,-1.11e+08,3.7e+07,3.7e+07,-3.1e+07,6000000.00000001,4.038e+09,0.2666,0.05811,0.00146000000000002,0.00115000000000002,0.000329999999999984,2.27318,2.52416,0.43934,0.00857000000000004,0.00862000000000009,5.85143,6.99143,0.12,-4.33370244708252,0.00593999999999998,14,22.30252
"3","2010_Q4",8.535625,"Up",1.957e+09,-1.463e+09,4.94e+08,-3.92e+08,-3.92e+08,1.02e+08,-6.4e+07,-6.3e+07,-1e+06,3.8e+07,3.8e+07,-3.1e+07,7e+06,7e+06,-1.2e+07,-5e+06,-5e+06,1.537e+09,1.537e+09,1.106e+09,8.02e+08,2.88e+08,2.88e+08,3.733e+09,1.838e+09,3.682e+09,3.098e+09,2.82e+08,3.02e+08,5.52e+09,9.253e+09,1.492e+09,6.5e+08,8.42e+08,1.558e+09,4.036e+09,9.59e+08,4.995e+09,6.553e+09,3.84e+08,1.782e+09,3.39e+08,2.505e+09,1.95e+08,2.7e+09,9.253e+09,1.21e+08,4.8e+07,1.69e+08,-1.6e+07,9e+06,-1.3e+07,-2e+07,-2.7e+07,0,-2.8e+07,1.21e+08,1.21e+08,3.2e+07,1.53e+08,4.036e+09,0.25243,0.05212,-0.00255,-0.00185,-0.00054,2.39602,2.42704,0.43618,-0.01433,-0.01433,5.60745,7.17765,0.07736,0.874861582344056,0.00286,-5.4,24.5
"4","2011_Q1",9.99661290322581,"Up",1.629e+09,-1.328e+09,3.01e+08,-3.65e+08,-3.65e+08,-6.4e+07,-5.4e+07,-6.3e+07,9e+06,-1.18e+08,-8.17e+08,-1.87e+08,-1.004e+09,-1.025e+09,-9e+06,-1.034e+09,-1.034e+09,1.715e+09,1.715e+09,8.88e+08,7.32e+08,1.29e+08,1.29e+08,3.464e+09,1.737e+09,2.939e+09,2.383e+09,2.69e+08,2.87e+08,4.676e+09,8.14e+09,1.421e+09,6.02e+08,8.19e+08,1.487e+09,4.032e+09,1.039e+09,5.071e+09,6.558e+09,3.91e+08,7.2e+08,2.73e+08,1.384e+09,1.98e+08,1.582e+09,8.14e+09,-1.335e+09,2.12e+08,2.29e+08,-4.7e+07,3.1e+07,-6e+06,-2.2e+07,-2.7e+07,1.86264514923096e-09,-2.4e+07,1.83e+08,1.83e+08,-5e+06,1.78e+08,4.032e+09,0.18478,-0.03929,-0.63475,-0.6536,-0.12703,2.32952,4.14539,0.49533,-2.96275,-2.96275,4.66762,3.96562,0.07736,4,-0.15136,-0.0261100000000027,-36.20312
"5","2011_Q2",9.70142857142857,"Down",1.753e+09,-1.328e+09,4.25e+08,-3.99e+08,-3.99e+08,2.6e+07,-4.2e+07,-6.3e+07,2.1e+07,-1.6e+07,-1.6e+07,-1.3e+07,-2.9e+07,-3.4e+07,-1.2e+07,-4.6e+07,-4.6e+07,1.505e+09,1.505e+09,1.113e+09,8.39e+08,1.38e+08,1.38e+08,3.595e+09,1.719e+09,2.932e+09,2.395e+09,2.68e+08,2.69e+08,4.651e+09,8.246e+09,1.56e+09,7.87e+08,7.73e+08,1.626e+09,4.03e+09,1.04e+09,5.07e+09,6.696e+09,3.69e+08,6.47e+08,3.1e+08,1.326e+09,2.24e+08,1.55e+09,8.246e+09,4.1e+07,-2.01e+08,-1.6e+08,-2.7e+07,1.9e+07,-6e+06,-1.4e+07,-2.7e+07,-3e+07,-5.8e+07,-2.32e+08,-2.32e+08,2.2e+07,-2.1e+08,4.03e+09,0.24244,0.01483,-0.02624,-0.02968,-0.00558,2.21095,4.32,0.48872,-0.13181,-0.13181,5.02292,3.79943,0.07736,5.54171280588531,-0.00287,-0.58696,97.11538
"6","2011_Q3",6.8240625,"Down",1.998e+09,-1.466e+09,5.32e+08,-4.31e+08,-4.31e+08,1.01e+08,-3.2e+07,-6.4e+07,3.2e+07,6.9e+07,64000000.0000001,-3.8e+07,25999999.9999999,19999999.9999999,-1.2e+07,8e+06,8e+06,1.611e+09,1.611e+09,1.188e+09,9.01e+08,1.31e+08,1.31e+08,3.831e+09,1.698e+09,2.889e+09,2.399e+09,2.66e+08,2.24e+08,4.587e+09,8.418e+09,1.735e+09,9.21e+08,8.14e+08,1.8e+09,4.027e+09,1.054e+09,5.081e+09,6.881e+09,3.85e+08,6.28e+08,3.02e+08,1.315e+09,2.22e+08,1.537e+09,8.418e+09,8.2e+07,46999999.9999999,1.29e+08,-3e+07,4.5e+07,3e+06,1.8e+07,-4.5e+07,0,-4.7e+07,1e+08,1e+08,6e+06,1.06e+08,4.027e+09,0.26627,0.05055,0.00399999999999988,0.00519999999999997,0.000949999999999994,2.12833,4.4769,0.47838,0.0230499999999998,0.0230500000000002,5.75793,3.78963,0.12968,6,0.00801000000000001,5.625,23.92079
"7","2011_Q4",6.79571428571429,"Down",1.978e+09,-1.483e+09,4.95e+08,-3.8e+08,-3.8e+08,1.15e+08,-4.1e+07,-6.3e+07,2.2e+07,7.4e+07,7.3e+07,-4e+06,6.9e+07,4.9e+07,-1.3e+07,3.6e+07,3.6e+07,1.61e+09,1.61e+09,1.133e+09,8.5e+08,1.18e+08,1.18e+08,3.711e+09,1.656e+09,2.845e+09,2.387e+09,2.56e+08,2.02e+08,4.501e+09,8.212e+09,1.679e+09,8.66e+08,8.13e+08,2.485e+09,3.224e+09,1.016e+09,4.24e+09,6.725e+09,3.98e+08,6.38e+08,2.31e+08,1.267e+09,2.2e+08,1.487e+09,8.212e+09,8.7e+07,3.9e+07,1.26e+08,-3e+07,2.8e+07,-1.1e+07,-1.3e+07,-2.6e+07,0,-8.5e+07,2.8e+07,2.8e+07,-2.9e+07,-1e+06,3.224e+09,0.25025,0.05814,0.0182,0.02421,0.00438,1.49336,4.52253,0.3926,0.10345,0.10256,5.68391,3.6408,0.07471,6,0.01083,0.72222,14.03478
"8","2012_Q1",9.34596774193548,"Up",1.441e+09,-1.106e+09,3.35e+08,-3.33e+08,-3.33e+08,2e+06,-6.2e+07,-6.4e+07,2e+06,-6e+07,-5.13e+08,9.5e+07,-4.18e+08,-5.68e+08,-5e+06,-5.73e+08,-5.73e+08,1.656e+09,1.656e+09,9.14e+08,7.69e+08,9e+07,7e+07,3.429e+09,1.567e+09,2.301e+09,1.891e+09,1.96e+08,2.14e+08,3.868e+09,7.297e+09,1.552e+09,7.7e+08,7.82e+08,2.363e+09,3.222e+09,9.7e+08,4.192e+09,6.555e+09,4.13e+08,3.8e+07,7.6e+07,5.27e+08,2.15e+08,7.42e+08,7.297e+09,-7.43e+08,1.13e+08,1.44e+08,-4e+07,9e+06,-3.4e+07,-7.5e+07,-2.7e+07,9.31322574615479e-10,-2.9e+07,4e+07,4e+07,-7e+06,3.3e+07,3.222e+09,0.23248,0.00139000000000001,-0.39764,-0.77224,-0.07853,1.45112,8.83423,0.44155,-1.64655,-1.66087,4.1408,1.51437,0.07759,6,-0.11066,-0.0471199999999997,783
"9","2012_Q2",9.83126984126984,"Up",1.806e+09,-1.322e+09,4.84e+08,-3.77e+08,-3.77e+08,1.07e+08,-4.9e+07,-6.4e+07,1.5e+07,5.8e+07,6e+07,-7e+06,5.3e+07,4.4e+07,-1.1e+07,3.3e+07,3.3e+07,1.788e+09,1.788e+09,1.19e+09,8.28e+08,9.5e+07,7.8e+07,3.901e+09,1.545e+09,2.304e+09,1.895e+09,1.95e+08,2.14e+08,3.849e+09,7.75e+09,1.616e+09,9.04e+08,7.12e+08,2.378e+09,3.622e+09,9.58e+08,4.58e+09,6.958e+09,4.11e+08,4.5e+07,1.03e+08,5.59e+08,2.33e+08,7.92e+08,7.75e+09,9e+07,-2.57e+08,-1.67e+08,-1.6e+07,2.3e+07,-9e+06,-2e+06,-2.6e+07,-8e+06,2.9e+08,1.21e+08,1.21e+08,1.1e+07,1.32e+08,3.622e+09,0.268,0.05925,0.01827,0.04167,0.00426,1.64045,8.78535,0.46735,0.09456,0.09429,5.17479,1.60172,0.0745,5,0.01098,0.78788,17.14019
"10","2012_Q3",10.6488888888889,"Up",1.945e+09,-1.424e+09,5.21e+08,-3.92e+08,-3.92e+08,1.29e+08,-6.6e+07,-6.8e+07,2e+06,6.3e+07,-1.2e+07,-3.1e+07,-4.3e+07,-6.7e+07,-8e+06,-74999999.9999999,-74999999.9999999,1.853e+09,1.853e+09,1.206e+09,8.44e+08,8.7e+07,6.8e+07,3.99e+09,1.489e+09,2.28e+09,1.885e+09,1.94e+08,2.01e+08,3.769e+09,7.759e+09,1.791e+09,9.41e+08,8.5e+08,2.551e+09,3.622e+09,9.67e+08,4.589e+09,7.14e+09,3.98e+08,-3e+07,6.1e+07,4.29e+08,1.9e+08,6.19e+08,7.759e+09,1.9e+07,1.44e+08,1.63e+08,-1.2e+07,7e+06,-8e+06,-1.3e+07,-6.7e+07,-1.86264514923096e-09,-66999999.9999999,8.3e+07,8.3e+07,-1.8e+07,6.5e+07,3.622e+09,0.26787,0.06632,-0.03856,-0.12116,-0.00966999999999998,1.56409,11.53473,0.46681,-0.2149,-0.21552,5.57307,1.22923,0.19198,5,-0.00154,-0.89333,13.7131799999999
