"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.6019047619048,"Up",51353000,-39584000,11769000,-10063000,-10063000,1706000,12000,12000,1718000,1718000,-644000,1074000,1074000,1074000,1074000,46261868.7216134,46261868.7216134,64791179.4443523,64791179.4443523,-18298864.5269661,26536696.8590954,26656539.6205529,119290880.498095,28307162.6630736,14503546.4223279,7267677.38772028,7839602.29197774,42810709.0854014,162101589.583496,22506422.1231132,30320553.8704619,-7814131.7473487,22506420.3244452,11943913.1986373,11943913.2437315,11943913.1994549,34450333.5239,16989109.8928531,113197468.846477,-2535322.6797336,127651256.059596,127651256.059596,162101589.583496,1074000,748000,-473000,928000,1835000,-2365000,279000,1179000,2277000,-193000,-198000,-255000,-448000,-1077000,-1077000,752000,752000,752000,2454000,0,3833000,0.22918,0.03322,0.02091,0.132474089677032,0.110385246868227,3.5689,5.97644706058384,0.268272818662891,3.24755001511918e-12,0.09984,0.09975,4.77391,11.8150567998092,0.35633,0.10012,0.13367773531468,0.176710084976059,1.00279,-48.0508751133289,-127.675461637092
"2","2010_Q3",7.754375,"Down",53377000,-41421000,11956000,-10387000,-10387000,1569000,44000,44000,1613000,1613000,-435000,1178000,1178000,1178000,1178000,30291956.2405378,30291956.2405378,38653726.4814508,38653726.4814508,33868711.8243446,11479232.2863651,11519179.8735176,114293626.832698,23419387.5543579,20321515.4741093,4734559.12924009,15788200.7639926,43740903.0284671,158034529.861165,21382807.3743711,19972517.9568206,1410289.41755043,21382806.7748151,8375971.06621245,8375971.08124383,8375971.06648495,29758777.8413,17081703.2976177,111800156.282159,-606107.559911201,128275752.019865,128275752.019865,158034529.861165,1178000,752000,-180000,-9606000,-3386000,-8414000,2970000,-776000,-7856000,-189000,-184000,180000,-9000,-1078000,-1078000,-8943000,-8943000,-8943000,2321000,0,-7039000,0.22399,0.02939,0.02207,0.0494946965590107,0.0412284156227424,-5.97538,5.48708902019461,0.23175427288763,1.08251667170639e-12,0.10951,0.10941,4.96207,11.9105055999364,-0.65436,0.10021,0.0549325784382268,-0.0046699716746469,0.91511,-17.7310183711096,-40.098637212364
"3","2010_Q4",8.64203125,"Up",55735000,-43460000,12275000,-10610000,-10610000,1665000,27000,27000,1692000,1692000,-522000,1170000,1170000,1170000,1170000,20460000,20460000,28409000,28409000,55622000,5457000,5457000,109948000,21173000,22719000,3468000,19251000,43892000,153840000,19430000,14264000,5166000,19430000,6682000,6682000,6682000,26112000,17134000,110261000,333000,127728000,127728000,153840000,1170000,754000,370000,-10135000,-1360000,-8668000,590000,-697000,-7841000,-304000,-306000,-121000,-425000,-1078000,-1078000,-9344000,-9344000,-9344000,2419000,0,-7498000,0.22024,0.02987,0.02099,0.00916,0.00761,-6.40855,5.65867,0.20443,0,0.10877,0.10864,5.18128,11.87394,-0.69703,0.10021,0.01672,-0.05578,0.92137,-8.45804,-12.28829
"4","2011_Q1",9.53903225806452,"Up",54964000,-44082000,10882000,-9962000,-9962000,920000,25000,25000,945000,-854000,672000,-182000,-182000,-182000,-182000,16623000,16623000,27670000,27670000,57438000,4965000,4965000,106696000,20663000,23052000,3072000,19980000,43715000,150411000,17399000,11785000,5614000,17399000,6242000,6242000,6242000,23641000,17161000,1.09e+08,609000,126770000,126770000,150411000,-182000,594000,650000,-3101000,460000,-1815000,-2479000,733000,-2039000,-1324000,-1322000,605000,-719000,-1079000,-1079000,-3837000,-3837000,-3837000,1514000,0,-3583000,0.19798,0.01674,-0.00331,-0.00144,-0.00121,19.68681,6.13231,0.18649,0,-0.01692,-0.01689,5.1096,11.78488,-0.33309,0.10031,0.00674,-0.02694,-5.92857,-10.97952,-18.06848
"5","2011_Q2",8.07539682539683,"Down",58393000,-47360000,11033000,-10286000,-10286000,747000,54000,54000,801000,801000,-278000,523000,523000,523000,523000,19993000,19993000,29134000,29134000,49441000,5987000,5987000,104555000,2.1e+07,22884000,3072000,19812000,43884000,148439000,15860000,10629000,5231000,15860000,6399000,6399000,6399000,22259000,17178000,108444000,558000,126180000,126180000,148439000,523000,632000,-380000,4820000,-1651000,7997000,-1156000,-370000,5595000,-966000,-969000,-181000,-1147000,-1078000,-1078000,3370000,3370000,3370000,1379000,0,5511000,0.18894,0.01279,0.00896,0.00414,0.00352,10.53728,6.59237,0.17641,0,0.0486,0.04852,5.42635,11.72568,0.51213,0.10018,0.01208,0.04157,2.06119,-14.49819,-26.76439
"6","2011_Q3",6.660625,"Down",55574000,-43411000,12163000,-9669000,-9669000,2494000,27000,27000,2521000,2521000,-875000,1646000,1646000,1646000,1646000,30427000,30427000,26414000,26414000,42108000,5018000,5018000,103967000,21279000,23571000,3072000,20499000,44850000,148817000,15564000,9386000,6178000,15564000,6533000,6533000,6533000,22097000,17200000,109013000,507000,126720000,126720000,148817000,1646000,623000,247000,10160000,2202000,7333000,-1243000,1868000,12676000,-902000,-902000,-262000,-1164000,-1078000,-1078000,10434000,10434000,10434000,3117000,-1.0842021724855e-19,13250000,0.21886,0.04488,0.02962,0.01299,0.01106,8.04982,6.67997,0.17438,4.03896783473158e-28,0.15296,0.15252,5.16439,11.77586,1.2313,0.10018,0.02044,0.09943,0.65492,-9.76163,-12.20008
"7","2011_Q4",7.65634920634921,"Up",54180000,-41443000,12737000,-10031000,-10031000,2706000,117000,117000,2823000,2823000,-563000,2260000,2260000,2260000,2260000,32698000,32698000,26404000,26404000,42937000,5450000,5450000,107489000,20947000,23366000,3072000,20294000,44313000,151802000,17184000,11153000,6031000,17184000,6738000,6738000,6738000,23922000,17231000,110193000,456000,127880000,127880000,151802000,2260000,671000,-104000,1056000,545000,-829000,1767000,-427000,3883000,-450000,-572000,-83000,-533000,-1079000,-1079000,2271000,2271000,2271000,3377000,0,4546000,0.23509,0.04994,0.04171,0.01767,0.01489,2.0115,6.25518,0.18707,0,0.20996,0.20938,5.03344,11.88034,0.42233,0.10024,0.0248,0.03377,0.47743,-9.68256,-12.08352
"8","2012_Q1",9.53967741935484,"Up",54358000,-41428000,12930000,-10389000,-10389000,2541000,74000,74000,2615000,8e+05,-172000,628000,628000,628000,628000,40355000,40355000,25807000,25807000,34136000,4194000,3182000,104492000,21669000,23010000,1257000,16639000,44679000,149171000,14958000,9233000,5725000,14958000,7100000,7100000,7100000,22058000,17262000,109742000,109000,127113000,127113000,149171000,628000,640000,1883000,6971000,406000,8801000,-1920000,-316000,10122000,-1362000,-1362000,-23000,-1385000,-1080000,-1080000,7657000,7657000,7657000,3181000,-8.67361737988404e-19,8962000,0.23787,0.04675,0.01155,0.00494,0.00421,14.2707,6.98569,0.17353,-3.23117426778526e-27,0.05835,0.05817,5.05092,11.81128,0.83274,0.10035,0.01273,0.06677,1.71975,-12.68626,-15.88154
"9","2012_Q2",9.03968253968254,"Down",51730000,-40808000,10922000,-9394000,-9394000,1528000,44000,44000,1572000,1572000,-552000,1020000,1020000,1020000,1020000,47978000,47978000,23957000,23957000,30524000,3389000,3389000,105848000,23268000,23670000,1257000,22413000,46938000,152786000,18574000,13415000,5159000,18574000,7127000,7127000,7127000,25701000,17302000,109683000,1e+05,127085000,127085000,152786000,1020000,595000,84000,9362000,1690000,3612000,4182000,-122000,11061000,-2181000,-2211000,-178000,-2359000,-1079000,-1079000,7623000,7623000,7623000,2123000,0,9856000,0.21113,0.02954,0.01972,0.00803,0.00668,9.66275,5.69872,0.20223,0,0.09469,0.0945,4.80227,11.79772,0.91496,0.10017,0.01564,0.07344,1.05784,-22.59915,-31.39921
"10","2012_Q3",9.30142857142857,"Up",50185000,-38920000,11265000,-8943000,-8943000,2322000,20000,20000,2342000,2342000,-868000,1474000,1474000,1474000,1474000,43325000,43325000,23711000,23711000,35820000,3749000,3749000,106605000,22570000,23530000,1257000,22273000,46100000,152705000,18149000,12660000,5489000,18149000,7299000,7299000,7299000,25448000,17313000,109853000,91000,127257000,127257000,152705000,1474000,880000,-49000.0000000002,-4993000,419000,-5296000,-755000.000000001,639000,-2688000,-156000,-724000,-587000,-743000,-1080000,-1222000,-4653000,-4653000,-4653000,3202000,-1.38777878078145e-17,-1079000,0.22447,0.04627,0.02937,0.01158,0.00965,-0.73202,5.87388,0.19997,5.16987882845642e-26,0.13686,0.13641,4.6597,11.81588,-0.10019,0.10028,0.01898,-0.00802,0.7327,-13.53061,-18.65848
