"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.3552380952381,"Down",2.094e+09,-1.813e+09,2.81e+08,-2.56e+08,-2.18e+08,-3.6e+07,-2e+06,2.5e+07,-6e+07,-6.1e+07,1e+06,-10259023.0803359,-3.5e+07,-1.58e+08,-1.93e+08,3.4e+07,-1.59e+08,-1.3e+07,-1.3e+07,-1.72e+08,-1.72e+08,-1.72e+08,345066395.622587,345066395.622587,-13096292.2104161,992759695.724374,-87020004.9170056,82095470.4459943,1237709794.21954,2180415088.20758,1377915239.91934,78139520.4294823,96038797.1713699,249733822.199637,359838780.597592,594164319.521261,3558330328.12692,4796040122.34646,1019062673.75475,642148600.308515,376914073.446237,338726534.380159,1412659174.45177,1607613493.0819,1052065302.09697,187092347.145564,864972954.951407,2659678795.17887,4072337969.63065,3136978696.10322,-1226586256.23684,-1105184610.69466,806754262.014102,-83052109.2982871,723702152.715815,4796040122.34646,-1.72e+08,-1.72e+08,9.8e+07,1.5e+08,-4.84e+08,-4.08e+08,-3.7e+07,-3e+06,-4.3e+07,-2.4e+07,1e+07,2e+06,2e+06,-1.72e+08,-1.84e+08,-6.35e+08,-6.35e+08,-142747353.272331,-6.35e+08,1.23e+08,0,-4.32e+08,0.13419,0.01194,-0.08214,0.137435152045974,0.0272871196863772,2.51163,1.40638967189445,4.49587905101451,0.438956440229217,-0.73254,-0.73254,8.91823,3.45343481680783,-1.83986,0.10221,0.0383885468214315,0.0356068160210931,-0.13953,26.3284444649736,81.9322112163056
"2","2010_Q3",6.96578125,"Down",2.343e+09,-1.958e+09,3.85e+08,-2.41e+08,-2.08e+08,-3.6e+07,3e+06,1.44e+08,-2.6e+07,-4.3e+07,1.6e+07,1e+06,1.18e+08,-2.5e+07,9.3e+07,-3.9e+07,5.4e+07,6.2e+07,6.2e+07,1.16e+08,1.16e+08,1.16e+08,7.66e+08,7.66e+08,1.468e+09,1.324e+09,2.15e+08,1.51e+08,3.773e+09,3.241e+09,1.051e+09,1.07e+08,9.4e+07,1.02e+08,2.67e+08,4.81e+08,4.292e+09,8.065e+09,1.415e+09,8.22e+08,5.93e+08,1.68e+08,1.585e+09,3.699e+09,1.111e+09,3.12e+08,7.99e+08,4.81e+09,6.395e+09,3.184e+09,-1.127e+09,-4.1e+08,1.647e+09,2.3e+07,1.67e+09,8.065e+09,1.16e+08,1.16e+08,9.8e+07,15999999.9999999,-2.64e+08,-33999999.9999999,-4.1e+07,3.6e+07,-6e+06,-2.4e+07,-2.72e+08,0,0,0,-2.96e+08,-3.36e+08,-3.36e+08,-8e+06,-3.44e+08,2.42e+08,3.867e+09,-24000000.0000001,0.16432,0.06146,0.04951,0.06946,0.01438,-0.2069,2.38044,3.82934,0.47948,0.49069,0.48173,9.91117,6.96701,-0.10152,0.10152,0.02106,-0.00361,0.2069,12.81405,21.53472
"3","2010_Q4",10.1009375,"Up",2.401e+09,-1.986e+09,4.15e+08,-2.44e+08,-2.02e+08,-3.9e+07,-3e+06,1.71e+08,-5.9e+07,-6.4e+07,3e+06,2e+06,1.12e+08,-1.4e+07,9.8e+07,-4.1e+07,5.7e+07,-1e+06,-1e+06,5.6e+07,5.6e+07,5.6e+07,1.003e+09,1.003e+09,1.611e+09,1.375e+09,2.56e+08,1.63e+08,4.245e+09,3.594e+09,1.027e+09,1.12e+08,9.4e+07,1.08e+08,2.34e+08,4.79e+08,4.621e+09,8.866e+09,1.471e+09,8.17e+08,6.54e+08,3.84e+08,1.857e+09,3.953e+09,1.168e+09,3.36e+08,8.32e+08,5.121e+09,6.978e+09,3.187e+09,-1.096e+09,-2.62e+08,1.829e+09,5.9e+07,1.888e+09,8.866e+09,5.6e+07,5.6e+07,9.9e+07,7.7e+07,-1.4e+08,9.2e+07,-5.4e+07,1.8e+07,-3.6e+07,-2.4e+07,2.04e+08,0,0,-1.4e+07,1.66e+08,2.22e+08,2.22e+08,1.5e+07,2.37e+08,2.7e+08,4.337e+09,1.17e+08,0.17284,0.07122,0.02332,0.02966,0.00632,2.08929,2.28595,3.69597,0.48917,0.23689,0.23237,10.15651,7.73689,0.49492,0.10152,0.01082,0.01583,0.42857,12.34815,19.49708
"4","2011_Q1",12.4298387096774,"Up",2.412e+09,-2.032e+09,3.8e+08,-2.81e+08,-2.33e+08,-4e+07,-8e+06,9.9e+07,-5.8e+07,-6.1e+07,4e+06,-1e+06,4.1e+07,-1.9e+07,2.2e+07,1.7e+07,3.9e+07,-6999999.99999999,-6e+06,3.2e+07,3.2e+07,3.2e+07,9.66e+08,9.66e+08,1.413e+09,1.396e+09,2.33e+08,1.86e+08,4.008e+09,3.605e+09,1.101e+09,1.05e+08,9.4e+07,1.66e+08,2.34e+08,5.02e+08,4.706e+09,8.714e+09,1.515e+09,8.42e+08,6.73e+08,5.19e+08,2.053e+09,3.627e+09,1.184e+09,3.14e+08,8.7e+08,4.811e+09,6.864e+09,3.188e+09,-1.09e+09,-3.08e+08,1.79e+09,6e+07,1.85e+09,8.714e+09,3.2e+07,3.2e+07,1.1e+08,1.7e+07,1.33e+08,2.92e+08,-1.04e+08,3e+07,-9.7e+07,-2.4e+07,-1.99e+08,1e+06,1e+06,-7e+06,-2.29e+08,-33999999.9999999,-33999999.9999999,-3e+06,-37000000.0000001,2.09e+08,4.146e+09,2.21e+08,0.15755,0.04104,0.01327,0.0173,0.00367,6.90625,1.95226,3.71027,0.47579,0.13536,0.14072,10.20305,7.57191,0.93486,0.10152,0.0078,0.03078,0.75,15.21531,32.12121
"5","2011_Q2",13.6469841269841,"Up",2.679e+09,-2.219e+09,4.6e+08,-2.91e+08,-2.18e+08,-3.9e+07,-3.4e+07,1.69e+08,-5.7e+07,-5.9e+07,2e+06,-9820.18420223659,1.12e+08,-1e+07,1.02e+08,-2.2e+07,8e+07,-1.3e+07,-1.4e+07,6.7e+07,6.7e+07,6.7e+07,6.32e+08,6.32e+08,1.759e+09,1.608e+09,3.16e+08,2.72e+08,4.315e+09,3.64e+09,1.085e+09,9.9e+07,9.4e+07,1.82e+08,2.36e+08,4.74e+08,4.725e+09,9.04e+09,1.824e+09,1.074e+09,7.5e+08,2e+08,2.044e+09,3.857e+09,1.131e+09,2.99e+08,8.32e+08,4.988e+09,7.032e+09,3.222e+09,-1.06e+09,-2.2e+08,1.942e+09,6.6e+07,2.008e+09,9.04e+09,6.7e+07,6.7e+07,1.03e+08,-4e+06,-2.9e+08,-1.24e+08,-6e+07,9e+06,-5.7e+07,-2.4e+07,-1.25e+08,2e+06,2e+06,-9e+06,-1.56e+08,-3.37e+08,-3.37e+08,3e+06,-3.34e+08,2.72e+08,4.057e+09,-5.6e+07,0.17171,0.06308,0.02501,0.03337,0.00741,-0.83582,2.11106,3.50199,0.44878,0.28199,0.27583,11.27525,8.1734,-0.23569,0.10101,0.01265,-0.00778,0.35821,12.59191,20.26627
"6","2011_Q3",10.74890625,"Down",2.934e+09,-2.433e+09,5.01e+08,-2.72e+08,-2.56e+08,-4.2e+07,2.6e+07,2.29e+08,-6.2e+07,-6.5e+07,2e+06,1e+06,1.67e+08,-9e+06,1.58e+08,-3.4e+07,1.24e+08,1.86264514923096e-09,-999999.999999998,1.24e+08,1.24e+08,1.24e+08,6.83e+08,6.83e+08,1.836e+09,1.746e+09,3.15e+08,2.79e+08,4.58e+09,3.825e+09,1.071e+09,1.09e+08,1.11e+08,1.88e+08,1.92e+08,4.71e+08,4.896e+09,9.476e+09,1.89e+09,1.11e+09,7.8e+08,2.89e+08,2.199e+09,3.886e+09,1.155e+09,3.07e+08,8.48e+08,5.041e+09,7.24e+09,3.227e+09,-9.7e+08,-1.58e+08,2.099e+09,1.37e+08,2.236e+09,9.476e+09,1.24e+08,1.24e+08,1.11e+08,8e+06,-1.18e+08,1.25e+08,-6.4e+07,3.7e+07,-5.4e+07,-2.4e+07,3e+06,1e+06,1e+06,-2e+06,-2.2e+07,48999999.9999999,48999999.9999999,2e+06,51000000.0000001,3.4e+08,4.175e+09,1.92e+08,0.17076,0.07805,0.04226,0.05546,0.01309,1.54839,2.08276,3.23792,0.44059,0.51796,0.50882,12.25564,8.76775,0.80201,0.10025,0.01956,0.02538,0.19355,10.27059,15.24891
"7","2011_Q4",7.75095238095238,"Down",2.976e+09,-2.486e+09,4.9e+08,-2.58e+08,-2.17e+08,-4.2e+07,1e+06,2.32e+08,-6.2e+07,-6.3e+07,2e+06,-1e+06,1.7e+08,-1.57e+08,1.3e+07,-5.5e+07,-4.2e+07,1e+07,1e+07,-3.2e+07,-3.2e+07,-3.2e+07,4.53e+08,4.53e+08,1.762e+09,1.687e+09,3.72e+08,3.12e+08,4.274e+09,3.659e+09,1.075e+09,9.9e+07,1.1e+08,1.85e+08,2.06e+08,4.75e+08,4.734e+09,9.008e+09,1.709e+09,9.41e+08,7.68e+08,2.3e+08,1.958e+09,3.847e+09,1.269e+09,3.24e+08,9.45e+08,5.116e+09,7.074e+09,3.23e+09,-1.029e+09,-3.51e+08,1.8e+09,1.34e+08,1.934e+09,9.008e+09,-3.2e+07,-3.2e+07,1.13e+08,5.9e+07,-1.16e+08,2.4e+07,-9.3e+07,1.1e+07,-8.9e+07,-2.4e+07,-8e+07,-4.9e+07,1e+06,-4e+06,-1.57e+08,-2.22e+08,-2.22e+08,-8e+06,-2.3e+08,3.45e+08,4.077e+09,1.91e+08,0.16465,0.07796,-0.01075,-0.01655,-0.00355,-5.96875,2.18284,3.6577,0.4526,-0.13468,-0.13468,12.52525,7.57576,0.80387,0.10101,-0.0011,0.02624,-0.75,10.50435,15.62069
"8","2012_Q1",9.62548387096774,"Up",2.632e+09,-2.243e+09,3.89e+08,-2.46e+08,-2.3e+08,-4.3e+07,2.7e+07,1.43e+08,-5.8e+07,-6.2e+07,2e+06,2e+06,8.5e+07,2e+06,8.7e+07,2e+06,8.9e+07,6e+06,4e+06,9.5e+07,9.5e+07,9.5e+07,5.54e+08,5.54e+08,1.529e+09,1.539e+09,3.24e+08,2.58e+08,3.946e+09,3.622e+09,1.089e+09,9.1e+07,1.14e+08,1.95e+08,2.02e+08,4.87e+08,4.711e+09,8.657e+09,1.607e+09,8.62e+08,7.45e+08,2.12e+08,1.826e+09,3.73e+09,1.325e+09,3.09e+08,1.016e+09,5.055e+09,6.881e+09,3.23e+09,-9.47e+08,-5.71e+08,1.662e+09,1.14e+08,1.776e+09,8.657e+09,9.5e+07,9.5e+07,1.12e+08,-5.6e+07,1.89e+08,3.4e+08,-1.13e+08,5.3e+07,-8e+07,-2.4e+07,-1.25e+08,-999999.999999993,-1e+06,-5e+06,-1.55e+08,1.05e+08,1.05e+08,-4e+06,1.01e+08,2.55e+08,3.942e+09,3.29e+08,0.1478,0.05433,0.03609,0.05349,0.01097,3.46316,2.16101,3.87444,0.45535,0.40288,0.39159,11.162,7.04835,1.39525,0.10178,0.0169,0.04671,0.25263,13.28627,23.69231
"9","2012_Q2",10.2411111111111,"Up",2.913e+09,-2.363e+09,5.5e+08,-2.65e+08,-2.21e+08,-3.9e+07,-5e+06,2.85e+08,-5.7e+07,-5.9e+07,2e+06,2231460.10893966,2.28e+08,-1e+06,2.27e+08,-6e+07,1.67e+08,-4e+06,-4e+06,1.63e+08,1.63e+08,1.63e+08,4.63e+08,4.63e+08,1.801e+09,1.638e+09,3.07e+08,2.39e+08,4.209e+09,3.648e+09,1.096e+09,8.7e+07,1.08e+08,2e+08,2.23e+08,4.78e+08,4.744e+09,8.953e+09,1.786e+09,1.089e+09,6.97e+08,1.93e+08,1.986e+09,3.628e+09,1.319e+09,3.28e+08,9.91e+08,4.947e+09,6.933e+09,3.257e+09,-8.15e+08,-4.88e+08,1.904e+09,1.16e+08,2.02e+09,8.953e+09,1.63e+08,1.63e+08,1.09e+08,4.9e+07,-1.31e+08,1.9e+08,-8.1e+07,8e+06,-1.09e+08,-2.4e+07,-1.43e+08,1e+06,1e+06,-1e+07,-1.76e+08,-9.5e+07,-9.5e+07,4e+06,-9.1e+07,3.94e+08,3.821e+09,2.42e+08,0.18881,0.09784,0.05596,0.08069,0.01821,1.48466,2.11934,3.43218,0.42678,0.68922,0.67888,12.31712,8.05074,1.02326,0.10148,0.02612,0.0338,0.14724,8.52284,11.78246
"10","2012_Q3",10.4134920634921,"Up",2.914e+09,-2.387e+09,5.27e+08,-2.72e+08,-2.32e+08,-3.8e+07,-2e+06,2.55e+08,-5.5e+07,-5.7e+07,1e+06,1e+06,2e+08,-5e+06,1.95e+08,-6.5e+07,1.3e+08,-2e+06,-2e+06,1.28e+08,1.28e+08,1.28e+08,4.52e+08,4.52e+08,1.677e+09,1.645e+09,3.35e+08,2.58e+08,4.109e+09,3.536e+09,1.084e+09,7.8e+07,1.06e+08,1.89e+08,2.23e+08,4.88e+08,4.62e+09,8.729e+09,1.678e+09,9.76e+08,7.02e+08,1.43e+08,1.848e+09,3.601e+09,1.274e+09,3.41e+08,9.33e+08,4.875e+09,6.723e+09,3.259e+09,-7.15e+08,-6.06e+08,1.888e+09,1.18e+08,2.006e+09,8.729e+09,1.28e+08,1.28e+08,1.07e+08,2.1e+07,-9.8e+07,1.58e+08,-8.2e+07,3.2e+07,-7.6e+07,-2.4e+07,-6.3e+07,-1.86264514923096e-09,0,-1e+06,-8.8e+07,-6e+06,-6e+06,-5e+06,-1.1e+07,3.62e+08,3.744e+09,2.47e+08,0.18085,0.08751,0.04393,0.06381,0.01466,1.92969,2.22348,3.35145,0.42892,0.53827,0.53222,12.25399,7.93944,1.03869,0.10093,0.02164,0.03517,0.1875,9.09392,12.9098
