"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",23.1493548387097,"Up",1033173000,-617924000,415249000,-321130000,-321030000,-1e+05,94119000,348000,348000,94467000,94467000,-36807000,57660000,57660000,57660000,57660000,289428000,289428000,556590000,556590000,258806000,151835000,1104824000,105184000,196699000,190924000,466000,301883000,1406707000,532525000,141909000,24319000,366297000,117000,532642000,36735000,36735000,38193000,570835000,784468000,8685000,42719000,835872000,835872000,1406707000,57660000,12143000,7919000,-1754000,75968000,-11605000,-2156000,-13802000,-20817000,-21000,-13636000,-34265000,27901000,27901000,2949000,30850000,106262000,1575000,129710000,0.40192,0.0911,0.05581,0.06898,0.04099,2.24957,2.07423,0.68292,0.00112,0.4181,0.41442,7.4917,6.06104,0.94055,0.15095,0.08977,0.14838,0.36103,-2.7089,-3.05839
"12","2013_Q1",29.2298333333333,"Up",1034213000,-617788000,416425000,-319513000,-319302000,-211000,96912000,330000,330000,97242000,97242000,-38623000,58619000,58619000,58619000,58619000,287635000,287635000,512852000,512852000,264198000,161205000,1064685000,107680000,208906000,201339000,2256000,316586000,1381271000,501520000,139879000,26221959.1469933,361641000,117000,501637000,36195000,36195000,37623000,539260000,798232000,0,43779000,842011000,842011000,1381271000,58619000,12214000,9229000,17861000,97923000,-14240000,-2825000,-29933000,-21438000,-31000.0000000001,-54230000,-70328000,-2338000,-2338000,545000,-1793000,109126000,1545000,151370000,0.40265,0.09371,0.05668,0.06962,0.04244,2.58227,2.12242,0.64044,0.00112,0.42812,0.42345,7.55325,6.14952,1.10551,0.15657,0.091,0.17206,0.36572,-2.62165,-2.95206
"13","2013_Q2",28.89984375,"Down",1023684000,-613394000,410290000,-321218000,-320785000,-433000,89072000,304000,304000,89376000,89376000,-33513000,55863000,55863000,55863000,55863000,225351000,225351000,547500000,547500000,303550000,199325000,1076401000,103374000,207970000,200835000,1822000,311344000,1387745000,497270000,127773000,25869000,343628000,1811000,499081000,32743000,32743000,34140000,533221000,816516000,0,38008000,854524000,854524000,1387745000,55863000,12180000,5741000,-45899000,27885000,-8082000,-29669000,-37751000,-22021000,-2643000,-25735000,-49407000,-59273000,-59273000,-3011000,-62284000,101252000,3208000,80784000,0.4008,0.08701,0.05457,0.06537,0.04025,1.44611,2.15677,0.624,0.00231,0.40684,0.40365,7.45522,6.22327,0.58833,0.16037,0.08746,0.09072,0.3942,-2.19396,-2.49397
"14","2013_Q3",31.04796875,"Up",1063228000,-631120000,432108000,-331748000,-331314000,-434000,100360000,236000,236000,100596000,100596000,-37507000,63089000,63089000,63089000,63089000,246971000,246971000,557311000,557311000,314817000,204291000,1119099000,101942000,207283000,200522000,1389000,309225000,1428324000,534773000,127483000,15440000,391850000,122000,534895000,30313000,30313000,31678000,566573000,829174000,59000,32518000,861751000,861751000,1428324000,63089000,12013000,732000,26216000,102050000,-11022000,-3407000,-14429000,-21865000,-1745000,-38250000,-61572000,26049000,26049000,-4429000,21620000,112373000,1487000,165074000,0.40641,0.09439,0.05934,0.07321,0.04417,2.61653,2.09218,0.65747,0.00104,0.4626,0.45832,7.79613,6.3188,1.21041,0.16033,0.09507,0.18474,0.34657,-2.18455,-2.44603
"15","2013_Q4",33.3346875,"Up",1075119000,-637641000,437478000,-333998000,-333565000,-433000,103480000,233000,233000,103713000,103713000,-37355000,66358000,66358000,66358000,66358000,279747000,279747000,566077000,566077000,320390000,207109000,1166214000,102801000,205689000,201022000,956000,308490000,1474704000,551803000,144060000,9817000,397926000,125000,551928000,22659000,22659000,23992000,575920000,847856000,11635000,39293000,898784000,898784000,1474704000,66358000,12102000,3155000,-493000,81122000,-13013000,-5403000,-18416000,-21726000,-42000,-12902000,-34386000,28320000,28320000,4456000,32776000,115582000,1458000,139431000,0.40691,0.09625,0.06172,0.07383,0.045,2.10119,2.11298,0.64078,0.00099,0.48894,0.48356,7.92177,6.62249,1.02737,0.16008,0.09544,0.15108,0.32741,-2.40772,-2.6893
"16","2014_Q1",34.9940983606557,"Up",1083864000,-640648000,443216000,-339551000,-339151000,-4e+05,103665000,229000,229000,103894000,103894000,-37009000,66885000,66885000,66885000,66885000,275764000,275764000,551905000,551905000,344859000,231978000,1172528000,112644000,205099000,200833000,556000,317743000,1490271000,535725000,139683000,7530200.93902577,396042000,128000,535853000,33475000,33475000,34775000,570628000,868257000,13315000,38071000,919643000,919643000,1490271000,66885000,12477000,15344000,3454000,98160000,-21608000,-5573000,-27181000,-23575000,-66000,-57803000,-74905000,-3926000,-3926000,-57000.0000000009,-3983000,116142000,1428000,134997000,0.40892,0.09564,0.06171,0.07273,0.04488,2.01834,2.18815,0.62049,0.00096,0.49469,0.48793,8.01645,6.80184,0.99846,0.17436,0.09477,0.14143,0.35247,-2.36207,-2.64637
"17","2014_Q2",38.2431746031746,"Up",1084342000,-645847000,438495000,-336719000,-336386000,-333000,101776000,238000,238000,102014000,102014000,-40463000,61551000,61551000,61551000,61551000,267737000,267737000,587249000,587249000,332331000,220765000,1187317000,111587000,204427000,200496000,222000,316014000,1503331000,537415000,137936000,7242000,392237000,131000,537546000,32373000,32373000,33639000,571185000,886833000,6837000,38476000,932146000,932146000,1503331000,61551000,12533000,14233000,-29092000,59225000,-12443000,-5283000,-17726000,-24394000,-31000,-26349000,-50067000,-8568000,-8568000,541000,-8027000,114309000,1397000,113237000,0.40439,0.09386,0.05676,0.06603,0.04094,1.83973,2.20877,0.61276,0.00093,0.45481,0.45205,8.0124,6.8878,0.83673,0.18025,0.08898,0.11723,0.39632,-2.33,-2.61692
"18","2014_Q3",42.45421875,"Up",1164914000,-686470000,478444000,-355015000,-354791000,-224000,123429000,224000,224000,123653000,123653000,-48513000,75140000,75140000,75140000,75140000,307778000,307778000,617200000,617200000,348941000,230298000,1273919000,109918000,204608000,200889000,88423.2009348316,314526000,1588445000,580756000,128507000,10674000,441575000,134000,580890000,30763000,30763000,31994000,612884000,899768000,35436000,40357000,975561000,975561000,1588445000,75140000,12087000,5193000,12494000,104914000,-10642000,-4523000,-15165000,-24260000,-32000,-28181000,-51922000,37827000,37827000,2214000,40041000,135516000,1365000,185881000,0.41071,0.10596,0.0645,0.07702,0.0473,2.4738,2.19305,0.62824,0.00086,0.55784,0.55369,8.64828,7.24253,1.37997,0.18011,0.09864,0.18446,0.32286,-2.26108,-2.4825
"19","2014_Q4",46.6715625,"Up",1224308000,-719088000,505220000,-366967000,-366967000,0,138253000,108000,108000,138361000,138361000,-53177000,85184000,85184000,85184000,85184000,290876000,290876000,657105000,657105000,366524000,239630000,1314505000,109708000,202800000,200074000,0,312508000,1627013000,623768000,142661000,13060000,468047000,137000,623905000,29329000,29329000,30525000,654430000,913114000,34393000,25076000,972583000,972583000,1627013000,85184000,12107000,4453000,-8063000,93681000,-13122000,-8414000,-21536000,-24098000,-32000,-57463000,-81207000,-9062000,-9062000,-7840000,-16902000,150360000,1333000,182352000,0.41266,0.11292,0.06958,0.08759,0.05236,2.14068,2.1069,0.67288,0.00082,0.63545,0.62929,9.13295,7.25516,1.36029,0.17976,0.10893,0.18176,0.28289,-1.92567,-2.0943
"20","2015_Q1",51.8786885245902,"Up",1221450000,-720693000,500757000,-367590000,-367590000,0,133167000,154000,154000,133321000,133321000,-49268000,84053000,84053000,84053000,84053000,287119000,287119000,657676000,657676000,378488000,245337000,1323283000,121754000,202230000,199488000,0,323984000,1647267000,623222000,175107000,0,448115000,140000,623362000,42888000,42888000,44047000,667409000,928292000,36836000,14730000,979858000,979858000,1647267000,84053000,12954000,15950000,-30079000,82878000,-26623000,-7591000,-34214000,-24852000,-33000,-27504000,-46859000,1805000,1805000,-5562000,-3757000,146121000,1299000,138687000,0.40997,0.10902,0.06881,0.08578,0.05103,1.64999,2.12282,0.68113,0.00079,0.63034,0.62294,9.16,7.34824,1.04005,0.18637,0.10635,0.13543,0.29567,-1.95605,-2.14633
