"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",49.5109523809524,"Down",1205563000,-711476000,494087000,-365985000,-365985000,0,128102000,72000,72000,128174000,128174000,-50252000,77922000,77922000,77922000,77922000,260885000,260885000,661251000,661251000,394153000,265183000,1316289000,120348000,200649000,198260000,926492.720592262,320997000,1637286000,607562000,141702000,35134000,430726000,143000,607705000,43835000,43835000,44958000,652663000,942496000,47359000,-5232000,984623000,984623000,1637286000,77922000,13006000,15177000,-21625000,84480000,-13346000,-7455000,-20801000,-27375000,-34000,-58083000,-81236000,-17557000,-17557000,-8677000,-26234000,141108000,1266000,156389000,0.40984,0.10626,0.06464,0.07914,0.04759,2.00699,2.166,0.66286,0.00077,0.58554,0.58027,9.05914,7.3989,1.17518,0.20571,0.10226,0.15187,0.35131,-1.83986,-2.02666
"22","2015_Q3",46.746875,"Down",1272058000,-741556000,530502000,-381355000,-381355000,-3.63797880709171e-12,149147000,88000,88000,149235000,149235000,-59529000,89706000,89706000,89706000,89706000,313131000,313131000,687029000,687029000,397274000,260235000,1397434000,124649000,201117000,198713000,2449564.9322171,325766000,1723200000,663653000,152900000,29095000,481658000,146000,663799000,43641000,43641000,44726000,708525000,953936000,59588000,1151000,1014675000,1014675000,1723200000,89706000,13562000,2826000,35821000,141915000,-16177000,-5558000,-21735000,-26506000,-35000,-44803000,-70969000,49211000,49211000,3035000,52246000,162709000,1231000,241882000,0.41704,0.11725,0.07052,0.08841,0.05206,2.69639,2.10521,0.69828,0.00071,0.67703,0.67169,9.60051,7.65798,1.82554,0.20005,0.10968,0.22829,0.29548,-1.91692,-2.09123
"23","2015_Q4",43.975,"Down",1312718000,-762917000,549801000,-390735000,-390735000,0,159066000,240000,240000,159306000,159306000,-62581000,96725000,96725000,96725000,96725000,251818000,251818000,731574000,731574000,399980000,258242000,1383372000,129229000,202671000,197992000,3874854.67773338,331900000,1715272000,664019000,134991000,20113000,508915000,150000,664169000,43581000,43581000,44627000,708796000,964974000,47729000,-6227000,1006476000,1006476000,1715272000,96725000,12919000,8076000,-23874000,93846000,-18753000,-6565000,-25318000,-26288000,-35000,-96812000,-123121000,-54593000,-54593000,-6720000,-61313000,171985000,1196000,191939000,0.41883,0.12117,0.07368,0.0961,0.05639,1.98438,2.08286,0.70424,7e-04,0.73676,0.73007,9.99899,7.66634,1.462,0.20024,0.11702,0.18258,0.27178,-1.45723,-1.57558
"24","2016_Q1",36.6934426229508,"Down",1304594000,-764513000,540081000,-395916000,-395724000,-192000,144165000,150000,150000,144315000,144315000,-50872000,93443000,93443000,93443000,93443000,224577000,224577000,704640000,704640000,268780000,268780000,1197997000,142906000,330141000,208579000,4508000,473047000,1671044000,655396000,148108000,2506000,504782000,153000,655549000,10707000,10707000,11714000,667263000,979608000,34467000,-10294000,1003781000,1003781000,1671044000,93443000,13978000,9877000,696999.999999993,117995000,-26781000,-8647000,-50096000,-27392000,-36000,-69911000,-93222000,-25323000,-25323000,-1918000,-27241000,158143000,1160000,182931000,0.41398,0.11051,0.07163,0.09309,0.05592,1.95767,1.82747,0.66475,0.00069,0.71805,0.71117,10.02493,7.71338,1.4057,0.21049,0.11897,0.18011,0.29314,-1.41275,-1.54973
"25","2016_Q2",36.00203125,"Down",1302625000,-770653000,531972000,-398362000,-398074000,-288000,133610000,181000,181000,133791000,133791000,-50375000,83416000,83416000,83416000,83416000,214119000,214119000,734378000,734378000,431704000,286307000,1380201000,147934000,216729000,209115000,4220000,364663000,1744864000,655161000,139026000,43419000,472716000,156000,655317000,43628000,43628000,44594000,699911000,989556000,57705000,-2308000,1044953000,1044953000,1744864000,83416000,15411000,10344000,-30685000,78486000,-18810000,-5357000,-24167000,-28748000,-38000,-40122000,-68513000,-14194000,-14194000,3736000,-10458000,149021000,1122000,149901000,0.40838,0.10257,0.06404,0.07983,0.04781,1.79703,2.10616,0.6698,0.00064,0.64523,0.64099,10.07592,8.0828,1.1595,0.22237,0.10293,0.13756,0.34463,-1.42931,-1.59417
"26","2016_Q3",33.7634375,"Down",1344160000,-787167000,556993000,-407810000,-407496000,-314000,149183000,231000,231000,149414000,149414000,-57798000,91616000,91616000,91616000,91616000,238714000,238714000,732193000,732193000,437205000,289288000,1408112000,157170000,217726000,210072000,4306000,374896000,1783008000,668019000,151179000,9900000,506940000,160000,668179000,44396000,44396000,45321000,713500000,1001090000,74919000,-6501000,1069508000,1069508000,1783008000,91616000,15901000,12090000,9101000,128708000,-24930000,-5894000,-32224000,-29147000,-37000,-41344000,-70121000,26363000,26363000,-1768000,24595000,165084000,1085000,207053000,0.41438,0.11099,0.06816,0.08566,0.05138,2.26001,2.10739,0.66713,0.00061,0.71249,0.70839,10.45339,8.31745,1.61023,0.22667,0.10831,0.1857,0.31814,-1.43944,-1.59287
"27","2016_Q4",38.1626984126984,"Up",1338541000,-786032000,552509000,-406468000,-406142000,-326000,146041000,283000,283000,146324000,146324000,-55755000,90569000,90569000,90569000,90569000,292451000,292451000,742824000,742824000,458298000,301864000,1493573000,161215000,217193000,209947000,3981000,378408000,1871981000,729513000,156301000,12014000,561198000,163000,729676000,46492000,46492000,47375000,777051000,1011836000,90333000,-7239000,1094930000,1094930000,1871981000,90569000,16387000,4343000,41927000,153226000,-19540000,-6584000,-26624000,-28067000,-39000,-44637000,-72733000,53869000,53869000,-132000,53737000,162428000,1046000,240570000,0.41277,0.1091,0.06766,0.08272,0.04838,2.65621,2.0469,0.70968,0.00056,0.7097,0.70652,10.4889,8.57995,1.88512,0.21993,0.10384,0.21057,0.3099,-1.79406,-1.99536
"28","2017_Q1",43.2587096774194,"Up",1265073000,-745871000,519202000,-394814000,-394505000,-309000,124388000,193000,193000,124581000,124581000,-46793000,77788000,77788000,77788000,77788000,260201000,260201000,703228000,703228000,320805000,320805000,1284234000,161509000,332228000,209793000,3671000,493737000,1777971000,679729000,135540000,5141000,539048000,167000,679896000,10636000,10636000,11476000,691372000,1022539000,84562000,-20502000,1086599000,1086599000,1777971000,77788000,16616000,21424000,-34167000,81661000,-19676000,-9244000,-29220000,-28202000,-40000,-49705000,-76937000,-24496000,-24496000,-7754000,-32250000,141004000,1007000,133954000,0.41041,0.09832,0.06149,0.07159,0.04375,1.72204,1.88887,0.63627,0.00057,0.61501,0.61055,10.002,8.59094,1.05908,0.22297,0.09651,0.12197,0.36255,-1.8382,-2.08375
"29","2017_Q2",42.0673015873016,"Down",1287370000,-761542000,525828000,-400550000,-400249000,-301000,125278000,223000,223000,125501000,125501000,-46980000,78521000,78521000,78521000,78521000,260143000,260143000,700419000,700419000,335360000,335360000,1295922000,157782000,321506000,209925000,3370000,479288000,1775210000,682429000,117308000,18221000,546900000,171000,682600000,10872000,10872000,11667000,694267000,1032394000,64187000,-15638000,1080943000,1080943000,1775210000,78521000,16200000,22110000,6669000,123500000,-10335000,-4939000,-15274000,-30597000,-41000,-80687000,-111325000,-3099000,-3099000,3041000,-58000,141478000,966000,184792000,0.40845,0.09731,0.06099,0.07264,0.04423,2.35341,1.89851,0.64228,0.00054,0.62548,0.62112,10.2549,8.61055,1.47201,0.24373,0.09985,0.1691,0.38967,-1.83192,-2.06881
"30","2017_Q3",41.7934920634921,"Down",1308428000,-769990000,538438000,-408086000,-407721000,-365000,130352000,355000,355000,130707000,130707000,-50391000,80316000,80316000,80316000,80316000,297798000,297798000,708493000,708493000,340815000,340815000,1347106000,153563000,335469000,210393000,6255000,489032000,1836138000,719268000,127664000,39972000,551632000,175000,719443000,11561000,11561000,12311000,731754000,1043263000,66627000,-5506000,1104384000,1104384000,1836138000,80316000,16311000,2056000,35877000,134560000,-10851000,-10306000,-22800000,-30851000,-41000,-48556000,-79448000,32312000,32312000,5343000,37655000,146663000,925000,222080000,0.41152,0.09962,0.06138,0.07272,0.04374,2.76508,1.87243,0.66259,5e-04,0.6445,0.64199,10.49959,8.86223,1.7821,0.24757,0.09953,0.19884,0.38412,-2.02418,-2.27747
"31","2017_Q4",48.3631746031746,"Up",1324709000,-778309000,546400000,-414660000,-414179000,-481000,131740000,530000,530000,132270000,132270000,-47570000,84700000,84700000,84700000,84700000,348336000,348336000,737901000,737901000,351086000,351086000,1437323000,146607000,348922000,210880000,5882000,495529000,1932852000,778169000,132343000,23906000,621920000,179000,778348000,13982000,13982000,14686000,793034000,1053698000,84416000,1704000,1139818000,1139818000,1932852000,84700000,16552000,-985000,30136000,130403000,-7354000,-8592000,-16002000,-29630000,-42000,-38099000,-67771000,46630000,46630000,3908000,50538000,148292000,883000,218644000,0.41247,0.09945,0.06394,0.07431,0.04382,2.58139,1.84663,0.69575,0.00046,0.68545,0.68196,10.7204,9.22414,1.76941,0.23979,0.09901,0.18935,0.34982,-2.34303,-2.63741
"32","2018_Q1",52.1922950819672,"Up",1346282000,-793136000,553146000,-424799000,-424383000,-416000,128347000,691000,691000,129038000,129038000,-81991000,47047000,47047000,47047000,47047000,294753000,294753000,732405000,732405000,404711000,404711000,1431869000,144887000,290698000,210885000,4946000,435585000,1867454000,747713000,126937000,7877000,612899000,183000,747896000,13636000,13636000,14293000,762189000,1064725000,37033000,3507000,1105265000,1105265000,1867454000,47047000,16430000,71123000,-70072000,64528000,-12213000,-12747000,-24421000,-29922000,-43000,-64382000,-94347000,-54240000,-54240000,657000,-53583000,144777000,840000,144483000,0.41087,0.09533,0.03495,0.04257,0.02519,3.07104,1.91453,0.6896,0.00045,0.38285,0.37988,10.95563,8.9943,1.17576,0.2435,0.06874,0.12903,0.636,-2.03011,-2.28999
"33","2018_Q2",58.17828125,"Up",1395333000,-822967000,572366000,-438462000,-437999000,-463000,133904000,735000,735000,134639000,134639000,-38472000,96167000,96167000,96167000,96167000,291987000,291987000,784889000,784889000,391580000,391580000,1468456000,136837000,288567000,210832000,4553000,425404000,1893860000,764253000,146110000,9726000,608417000,187000,764440000,14015000,14015000,14623000,779063000,1075280000,30502000,9015000,1114797000,1114797000,1893860000,96167000,16716000,14029000,-10694000,116218000,-7965000,-10585000,-18550000,-34919000,-44000,-68489000,-103452000,-5784000,-5784000,3018000,-2766000,150620000,795000,170433000,0.4102,0.09597,0.06892,0.08626,0.05078,1.77226,1.92096,0.69884,0.00042,0.78868,0.78256,11.44335,9.14263,1.39775,0.28638,0.11605,0.15088,0.36311,-1.93329,-2.17463
"34","2018_Q3",67.4846031746032,"Up",1457054000,-849936000,607118000,-458049000,-457607000,-442000,149069000,1006000,1006000,150075000,150075000,-40760000,109315000,109315000,109315000,109315000,308656000,308656000,801875000,801875000,393598000,393598000,1504129000,130010000,299444000,210387000,3990000,429454000,1933583000,808685000,160864000,17336000,630485000,191000,808876000,14650000,14650000,15209000,824085000,1086667000,29240000,-6409000,1109498000,1109498000,1933583000,109315000,16592000,1677999.99999999,20161000,147746000,-9296000,-9242000,-18538000,-34066000,-46000,-69513000,-103625000,25583000,25583000,-8914000,16669000,165661000,750000,217286000,0.41668,0.10231,0.07502,0.09853,0.05653,1.98771,1.85953,0.74275,0.00039,0.90114,0.89406,12.01129,9.1462,1.79121,0.28082,0.12746,0.19316,0.31163,-1.85865,-2.06553
"35","2018_Q4",56.7474603174603,"Down",1466226000,-855758000,610468000,-459759000,-459330000,-429000,150709000,1196000,1196000,151905000,151905000,-36663000,115242000,115242000,115242000,115242000,361740000,361740000,834347000,834347000,416313000,416313000,1612400000,125175000,297332000,210481000,3547000,422507000,2034907000,896085000,167197000,9932000,718956000,195000,896280000,18876000,18876000,19385000,915665000,1097721000,31313000,-9792000,1119242000,1119242000,2034907000,115242000,16370000,17076000,36625000,185313000,-9925000,-8157000,-18082000,-33711000,-46000,-78399000,-112156000,55075000,55075000,-1991000,53084000,167079000,704000,230442000,0.41635,0.10279,0.0786,0.10296,0.05663,1.99964,1.79899,0.81811,0.00035,0.95943,0.94894,12.20685,9.31809,1.91851,0.28066,0.1308,0.20235,0.29252,-2.16087,-2.39558
"36","2019_Q1",58.9595081967213,"Up",1481658000,-860598000,621060000,-456036000,-455665000,-371000,165024000,-10041000,1445000,154983000,154983000,-41419000,113564000,113564000,113564000,113564000,276579000,276579000,794446000,794446000,402585000,402585000,1473610000,125176000,304311000,209958000,3149000,429487000,1903097000,819336000,168031000,12536000,638769000,2e+05,819536000,19906000,19906000,20363000,839899000,1079307000,0,-16109000,1063198000,1063198000,1903097000,113564000,16271000,30542000,-37332000,123045000,-15298000,-18041000,-33339000,-33727000,-47000,-137108000,-170882000,-81176000,-81176000,-3985000,-85161000,181295000,657000,170084000,0.41917,0.11138,0.07665,0.10681,0.05967,1.49769,1.7981,0.78997,0.00035,0.95676,0.94787,12.4828,8.95732,1.43294,0.28415,0.13591,0.15694,0.29699,-1.52195,-1.67201
"37","2019_Q2",55.7265079365079,"Down",1468530000,-860942000,607588000,-461701000,-461359000,-342000,145887000,1496000,1496000,147383000,147383000,-37585000,109798000,109798000,109798000,109798000,269645000,269645000,826366000,826366000,436006000,436006000,1532017000,125522000,547068000,210127000,2773000,672590000,2204607000,829461000,131722000,27394000,670345000,204000,900730000,226444000,226444000,226848000,1127578000,1090550000,4485000,-18006000,1077029000,1077029000,2204607000,109798000,15994000,19305000,-18018000,127079000,-12670000,-10410000,-23080000,-37887000,-49000,-72343000,-110279000,-6280000,-6280000,-654000,-6934000,161881000,608000,168778000,0.41374,0.09934,0.07477,0.10195,0.0498,1.53717,1.70086,1.04693,0.00028,0.9379,0.93076,12.54425,9.20003,1.44171,0.32363,0.11325,0.12942,0.34506,-1.66194,-1.84415
"38","2019_Q3",52.954375,"Down",1516385000,-878844000,637541000,-478480000,-478139000,-341000,159061000,1042000,1042000,160103000,160103000,-45491000,114612000,114612000,114612000,114612000,269440000,269440000,842294000,842294000,453185000,453185000,1564919000,127988000,546512000,210249000,2452000,674500000,2239419000,839126000,127482000,15013000,696631000,209000,909510000,220332000,220332000,220682000,1130192000,1102219000,22868000,-15860000,1109227000,1109227000,2239419000,114612000,16429000,5129000,-15422000,120748000,-15955000,-8694000,-24649000,-36073000,-49000,-61274000,-97396000,-1297000,-1297000,1092000,-205000,175490000,559000,189604000,0.42043,0.10489,0.07558,0.10333,0.05118,1.65431,1.72062,1.0189,0.00025,0.98484,0.97972,13.03005,9.53141,1.62924,0.30997,0.11329,0.14255,0.31474,-1.53217,-1.69043
"39","2019_Q4",54.82328125,"Up",1552132000,-908993000,643139000,-515215000,-514876000,-339000,127924000,35858000,1230000,163782000,163782000,-46601000,117181000,117181000,117181000,117181000,312741000,312741000,852843000,852843000,465599000,465599000,1631183000,126220000,554167000,209985000,2058000,680387000,2311570000,906373000,126820000,6122000,773431000,214000,977440000,222005000,222005000,222300000,1199740000,1114106000,23595000,-25871000,1111830000,1111830000,2311570000,117181000,17084000,-22189000,79103000,191179000,-16513000,-9287000,-25800000,-35742000,-50000,-80430000,-116222000,49157000,49157000,-5856000,43301000,145008000,509000,254199000,0.41436,0.08242,0.0755,0.10539,0.05069,2.16929,1.66883,1.07907,0.00022,1.01751,1.01147,13.47746,9.65424,2.20726,0.31035,0.11461,0.1905,0.30502,-2.15321,-2.44076
"40","2020_Q1",51.3909677419355,"Down",1537385000,-900524000,636861000,-504260000,-503921000,-339000,132601000,21646000,1357000,154247000,154247000,-41405000,112842000,112842000,112842000,112842000,270478000,270478000,832797000,832797000,525574000,525574000,1628849000,128385000,554174000,210364000,1752000,682559000,2311408000,447868000,123841000,1623000,322404000,218000,940692000,226794000,226794000,227033000,1167725000,1127602000,36067000,-19986000,1143683000,1143683000,2311408000,112842000,16118000,5582000,-53919000,80623000,-14326000,-14283000,-28609000,-35929000,-52000,-63488000,-99469000,-47455000,-47455000,5192000,-42263000,148719000,457000,121879000,0.41425,0.08625,0.0734,0.09867,0.04882,1.08009,1.73154,1.02102,2e-04,0.98971,0.98258,13.48406,10.03099,1.06897,0.31513,0.10852,0.0889,0.3184,-1.81565,-2.03634
"41","2020_Q2",45.3879365079365,"Down",1506691000,-892303000,614388000,-443206000,-442868000,-338000,171182000,-39419000,957000,131763000,131763000,-41848000,89915000,89915000,89915000,89915000,249914000,249914000,853529000,853529000,503212000,503212000,1606655000,126602000,541595000,209503000,1392000,668197000,2274852000,841832000,137345000,19758000,684729000,223000,913354000,231392000,231392000,231573000,1144927000,1141126000,22485000,-33686000,1129925000,1129925000,2274852000,89915000,16251000,74306000,-55546000,124926000,-14276000,-14074000,-28350000,-40476000,-53000,-69968000,-110497000,-13921000,-13921000,-6643000,-20564000,187433000,404000,159459000,0.40777,0.11361,0.05968,0.07958,0.03953,1.77344,1.75907,1.01328,0.00018,0.79439,0.78971,13.31152,9.98282,1.40881,0.3576,0.09575,0.1171,0.45016,-1.3312,-1.45757
"42","2020_Q3",51.23984375,"Up",1108326000,-691791000,416535000,-407543000,-407213000,-330000,8992000,49032000,105000,58024000,58024000,-11828000,46196000,46196000,46196000,46196000,501485000,501485000,665409000,665409000,553254000,553254000,1720148000,120958000,561271000,209830000,1080000,682229000,2402377000,901843000,142492000,44439000,714912000,228000,977167000,268382000,268382000,268504000,1245671000,1154161000,29697000,-27152000,1156706000,1156706000,2402377000,46196000,15926000,-44844000,283738000,301016000,-7988000,-6677000,-14665000,-38440000,-54000,-9000,-38503000,247848000,247848000,3723000,251571000,24918000,350000,312496000,0.37582,0.00810999999999999,0.04168,0.03994,0.01923,6.76457,1.76034,1.07691,0.00015,0.4093,0.40838,9.81993,10.24858,2.76876,0.34058,0.05938,0.21923,0.83211,-20.11137,-55.73121
"43","2020_Q4",57.74984375,"Up",1189897000,-722536000,467361000,-391132000,-390798000,-334000,76229000,26281000,202000,102510000,102510000,-26761000,75749000,75749000,75749000,75749000,5.87e+08,5.87e+08,690259000,690259000,576422000,576422000,1853681000,117695000,591716000,210203000,783000,709411000,2563092000,975982000,132651000,15583000,827748000,233000,1052785000,316216000,316216000,316278000,1369063000,1167223000,42802000,-15996000,1194029000,1194029000,2563092000,75749000,15922000,-25393000,72421000,138699000,-6614000,6197000,-417000,-38385000,-55000,-21036000,-59476000,78806000,78806000,6709000,85515000,92151000,295000,184719000,0.39277,0.06406,0.06366,0.06344,0.02955,2.43857,1.76074,1.14659,0.00012,0.67149,0.66825,10.54808,10.58471,1.63748,0.34027,0.07556,0.12229,0.50674,-6.36678,-7.69660999999999
"44","2021_Q1",70.5080327868853,"Up",1304086000,-789759000,514327000,-425379000,-425162000,-217000,88948000,40637000,79000,129585000,129585000,-35169000,94416000,94416000,94416000,94416000,574426000,574426000,714163000,714163000,554149000,554149000,1842738000,109817000,604869000,223055000,5594000,714686000,2557424000,532662000,130770000,4015000,397877000,239000,1046626000,305509000,305509000,305509000,1352135000,1180085000,29936000,-4732000,1205289000,1205289000,2557424000,94416000,15401000,-8996000,-68934000,31887000,-4499000,73228000,52893000,-38634000,-56000,-68159000,-106849000,-22069000,-22069000,9495000,-12574000,104349000,239000,66085000,0.3944,0.06821,0.0724,0.07833,0.03692,0.69993,1.76065,1.12183,9e-05,0.84257,0.83598,11.6377,10.75603,0.58974,0.34477,0.08805,0.04373,0.40919,-5.50256,-6.45531
"45","2021_Q2",85.1822222222222,"Up",1398380000,-836669000,561711000,-423638000,-423062000,-576000,138073000,12033000,45000,150106000,150106000,-39508000,110598000,110598000,110598000,110598000,497930000,497930000,799673000,799673000,576317000,576317000,1873920000,103701000,587548000,223046000,4997000,691249000,2565169000,559487000,121686000,29957000,407844000,181000,1076586000,290884000,290884000,290884000,1367470000,1194266000,16962000,-13529000,1197699000,1197699000,2565169000,110598000,14538000,18186000,-75266000,68056000,-9739000,-5710000,-15449000,-44277000,-58000,-79465000,-123800000,-71193000,-71193000,-5303000,-76496000,152611000,181000,107114000,0.40169,0.09874,0.07909,0.09234,0.04312,0.9685,1.74061,1.14175,7e-05,0.99259,0.98313,12.55008,10.74902,0.96132,0.39737,0.10403,0.07195,0.40034,-3.26155,-3.60497
"46","2021_Q3",96.00453125,"Up",1580581000,-915709000,664872000,-488669000,-488093000,-576000,176203000,27659000,-150000,203862000,203862000,-54649000,149213000,149213000,149213000,149213000,542805000,542805000,907947000,907947000,602477000,602477000,2053229000,98368000,589771000,223239000,4428000,688139000,2741368000,635190000,146215000,25203000,463772000,122000,1196312000,285806000,285806000,285806000,1482118000,1208168000,60174000,-9092000,1259250000,1259250000,2741368000,149213000,14329000,-14488000,16362000,165416000,-6375000,-9289000,-15664000,-42202000,-59000,-65849000,-108110000,41642000,41642000,3233000,44875000,190532000,122000,255168000,0.42065,0.11148,0.0944,0.11849,0.05443,1.71009,1.7163,1.17698,4e-05,1.33915,1.32638,14.18528,11.30143,2.29006,0.37875,0.12388,0.16514,0.28283,-2.84825,-3.07987
"47","2021_Q4",109.57921875,"Up",1712566000,-987240000,725326000,-496148000,-495576000,-572000,229178000,-1508000,250000,227670000,227670000,-56799000,170871000,170871000,170871000,170871000,633719000,633719000,1005633000,1005633000,594399000,594399000,2233751000,93016000,604951000,222892000,3852000,697967000,2931718000,769293000,168720000,42660000,557913000,62000,1341602000,274073000,274073000,274073000,1615675000,1222228000,112915000,-19100000,1316043000,1316043000,2931718000,170871000,13393000,3084000,37445000,224793000,-8683000,-10002000,-18685000,-41858000,-60000,-66774000,-108692000,97416000,97416000,-6502000,90914000,242571000,62000,328132000,0.42353,0.13382,0.09977,0.12984,0.05828,1.92035,1.66499,1.22768,2e-05,1.54193,1.52626,15.45414,11.87593,2.96105,0.37773,0.13378,0.20635,0.24497,-2.61225,-2.76491
"48","2022_Q1",113.91064516129,"Up",1769917000,-1025798000,744119000,-545068000,-544551000,-517000,199051000,23091000,51999.9999999999,222142000,222142000,-54198000,167944000,167944000,167944000,167944000,619001000,619001000,984691000,984691000,664855000,664855000,2268547000,93403000,590409000,222855000,3334000,683812000,2952359000,739610000,183796000,15631000,540183000,-4778.23098189985,1358673000,212635000,212635000,212635000,1571308000,1236014000,167659000,-22622000,1381051000,1381051000,2952359000,167944000,12191000,28145000,-63409000,144871000,-11814000,-25997000,-37811000,-42275000,-62000,-75650000,-117987000,-10927000,-10927000,-3791000,-14718000,211242000,0,190217000,0.42043,0.11246,0.09489,0.12161,0.05688,1.13262,1.66968,1.13776,0,1.55136,1.5254,16.34937,12.75727,1.7571,0.39051,0.13191,0.11936,0.25172,-2.93029,-3.10976
"49","2022_Q2",94.03,"Down",1814834000,-1042988000,771846000,-514611000,-514194000,-417000,257235000,-29835000,166000,227400000,227400000,-59161000,168239000,168239000,168239000,168239000,550330000,550330000,1071608000,1071608000,650099000,650099000,2272037000,96423000,582306000,222858000,2917000,678729000,2950766000,707452000,169034000,38608000,499810000,-78334.6929456995,1289031000,208967000,208967000,208967000,1497998000,1251197000,225145000,-23574000,1452768000,1452768000,2950766000,168239000,11497000,60151000,-170725000,69162000,-14987000,-12131000,-27118000,-47498000,-65941.3422037437,-62062000,-109560000,-67516000,-67516000,-1155000,-68671000,268732000,0,142181000,0.4253,0.14174,0.0927,0.11581,0.05702,0.84511,1.76259,1.03113,-1.6940658945086e-21,1.527,1.50901,16.47214,13.18588,1.29049,0.43111,0.12983,0.08556,0.28232,-2.04788,-2.13941
"50","2022_Q3",78.59575,"Down",1862827000,-1047280000,815547000,-509810000,-509394000,-416000,305737000,-64904000,718000,240833000,240833000,-65012000,175821000,175821000,175821000,175821000,590909000,590909000,1091598000,1091598000,578235000,578235000,2260742000,103616000,569477000,222268000,2500000,673093000,2933835000,742160000,174724000,22094000,545342000,-158669.385891399,1266873000,199294000,199294000,199294000,1466167000,1265605000,249670000,-47607000,1467668000,1467668000,2933835000,175821000,12243000,92216000,-47364000,232916000,-20288000,-7790000,-28078000,-48731000,-72824.026611231,-98548000,-147279000,57559000,57559000,-16980000,40579000,317980000,0,315340000,0.4378,0.16413,0.09438,0.1198,0.05993,1.79353,1.78451,0.99898,0,1.60982,1.58983,17.05604,13.43797,2.88725,0.44618,0.13471,0.18917,0.27716,-1.85832,-1.93274
