"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",22.265873015873,"Down",51501000,-20519000,30982000,-44828000,-28561000,-16267000,-13846000,-440000,-138000,-14286000,-14286000,244000,-14042000,-14042000,-14042000,-14042000,220825000,220825000,39580000,39580000,5930000,4750000,266335000,29086000,26513000,3835000,17864000,3839000,55599000,321934000,14224000,6846000,7378000,47217000,6617000,40600000,61441000,2864000,975000,1889000,2864000,64305000,502308000,-182793000,49000,257629000,257629000,321934000,-14042000,3172000,14418000,-2695000,853000,-2914000,-2055000,2922000,2922000,-14000,183057000,181855000,181855000,-2000,181853000,-10674000,0,-16527000,0.60158,-0.26885,-0.27265,-0.0545,-0.04362,1.17697,4.33481,0.2496,0,-0.4066,-0.4066,1.49127,7.45994,-0.47856,-0.05391,-0.06345,20.68812,15.94865
"2","2014_Q3",17.6703125,"Down",51715000,-20884000,30831000,-37459000,-26478000,-10981000,-6628000,-269000,31000,-6897000,-6897000,0,-6897000,-6897000,-6897000,-6897000,222031000,222031000,44060000,44060000,5749000,4252000,271840000,27820000,26105000,3597000,17880000,3728000,53925000,325765000,18193000,7703000,10490000,47526000,7740000,39786000,65719000,2409000,9e+05,1509000,2409000,68128000,509180000,-189690000,82000,257637000,257637000,325765000,-6897000,3650000,6821000,1630000,5204000,-2072000,-2072000,109000,109000,-14000,-1918999.99999997,1213000,1213000,-7000,1206000,-2978000,0,-3420000,0.59617,-0.12816,-0.13337,-0.02677,-0.02117,0.495870000000003,4.1364,0.26443,0,-0.08894,-0.08894,0.66687,3.32225,-0.0441,-0.02652,-0.01315,74.55709,33.49894
"3","2014_Q4",14.92609375,"Down",58544000,-23061000,35483000,-37798000,-26447000,-11351000,-2315000,-222000,19000,-2537000,269000,-1051000,-782000,-782000,-782000,-782000,193197000,193197000,47601000,47601000,4561000,3565000,245359000,25101000,50272000,11645000,28501000,9283000,75373000,320732000,18585000,5894000,12691000,30927000,7090000,23837000,49512000,6861000,1894000,4967000,6861000,56373000,516731000,-190472000,35000,264359000,264359000,320732000,-782000,3956000,4809000,-8701000,-718000,-1672000,-14172000,1052000,1052000,-15000,-13963000,-28853000,-28853000,19000,-28834000,1641000,0,-7681000,0.60609,-0.03954,-0.01336,-0.00296,-0.00244,9.82225,4.95555,0.21324,0,-0.01002,-0.01002,0.74994,3.3864,-0.09839,-0.00288,-0.02832,-117.73126,83.45443
"4","2015_Q1",13.0273770491803,"Down",60001000,-21722000,38279000,-41755000,-30771000,-10984000,-3476000,-63000,16000,-3539000,-604000,-1119000,-1723000,-1723000,-1723000,-1723000,201075000,201075000,51061000,51061000,4169000,3712000,256305000,25399000,50103000,11818000,29277000,9008000,75502000,331807000,21219000,6358000,14861000,30249000,6219000,24030000,51468000,3451000,2624000,827000,3451000,54919000,531019000,-192195000,-1000,276888000,276888000,331807000,-1723000,3959000,6039000,-2156000,6119000,-3033000,-4733000,6502000,6502000,-15000,6487000,7873000,7873000,5000,7878000,483000,0,-3587000,0.63797,-0.05793,-0.02872,-0.00622,-0.00519,2.08183,4.97989,0.19834,0,-0.02123,-0.02123,0.73927,3.41151,-0.0442,-0.00615,-0.0128,-416.30435,57.84666
"5","2015_Q2",12.5236507936508,"Down",55562000,-21867000,33695000,-42517000,-29575000,-12942000,-8822000,-141000,-61000,-8963000,-3809000,-192000,-4001000,-4001000,-4001000,-4001000,202414000,202414000,47926000,47926000,5589000,4562000,255929000,23638000,48971000,11033000,29249000,8689000,72609000,328538000,14362000,6393000,7969000,29451000,6517000,22934000,43813000,3769000,2769000,1e+06,3769000,47582000,541205000,-196196000,-66000,280956000,280956000,328538000,-4001000,3908000,3970000,-4729000,-852000,2995000,2995000,-798000,1254000,-15000,-813000,1330000,1330000,9000,1339000,-4914000,0,-6456000,0.60644,-0.15878,-0.07201,-0.01424,-0.01218,1.6136,5.84139,0.16936,0,-0.04869,-0.04869,0.67622,3.41937,-0.07857,-0.01405,-0.02267,41.19129,22.94423
"6","2015_Q3",9.85859375,"Down",55867000,-22122000,33745000,-41540000,-29701000,-11839000,-7795000,-42000,40000,-7837000,-9913000,571000,-9342000,-9342000,-9342000,-9342000,210035000,210035000,48846000,48846000,5746000,4677000,264627000,25952000,48034000,10352000,29284000,8398000,73986000,338613000,19565000,10098000,9467000,33013000,6992000,26021000,52578000,2932000,2070000,862000,2932000,55510000,552676000,-205538000,-18000,283103000,283103000,338613000,-9342000,3872000,9870000,2502000,6902000,-2191000,-2191000,2934000,2964000,-15000,2919000,7630000,7630000,-9000,7621000,-3923000,-2.8421709430404e-14,-4183000,0.60402,-0.13953,-0.16722,-0.033,-0.02759,0.44776,5.03304,0.19608,-1.05879118406788e-22,-0.11258,-0.11258,0.67326,3.4117,-0.05041,-0.03266,-0.01462,53.53938,26.94484
"7","2015_Q4",7.05234375,"Down",56467000,-22778000,33689000,-43675000,-31785000,-11890000,-9986000,-79000,47000,-10065000,-9827000,9000,-9818000,-9818000,-9818000,-9818000,189988000,189988000,53299000,53299000,6530000,5494000,249817000,26451000,47977000,9839000,29262000,8876000,74428000,324245000,21021000,9461000,11560000,25797000,7392000,18405000,46818000,2822000,2121000,701000,2822000,49640000,561188000,-215356000,-51000,274605000,274605000,324245000,-9818000,4099000,8083000,-2886000,-522000,-5693000,-5693000,-6332000,438000,-16000,-13848000,-20063000,-20063000,16000,-20047000,-5887000,0,-14475000,0.59661,-0.17685,-0.17387,-0.03575,-0.03028,1.47433,5.33592,0.18077,0,-0.11853,-0.11853,0.68171,3.31524,-0.17475,-0.03539,-0.05218,32.27246,19.02544
"8","2016_Q1",7.59229508196721,"Up",69413000,-25436000,43977000,-47922000,-36226000,-11696000,-3945000,-50000,-48000,-3995000,-3742000,173000,-3569000,-3569000,-3569000,-3569000,159947000,134947000,63239000,63239000,5297000,5297000,228483000,25128000,67460000,14880000,43895000,8685000,92588000,321071000,23424000,8187000,15237000,27512000,7342000,20170000,50936000,4645000,2532000,2113000,4645000,55581000,570589000,-218925000,-747000,265490000,265490000,321071000,-3569000,4621000,7253000,-4602000,3703000,-4117000,-45923000,-12819000,1024000,-16000,-12835000,-55055000,-55055000,14000,-55041000,675999.999999999,-4.54747350886464e-13,-8216000,0.63356,-0.05683,-0.05142,-0.01344,-0.01112,2.30205,4.48569,0.20935,-8.470329472543e-22,-0.04287,-0.04287,0.83378,3.18903,-0.09869,-0.01321,-0.03041,-236.60799,40.54423
"9","2016_Q2",11.51796875,"Up",66051000,-25212000,40839000,-49282000,-35750000,-13532000,-8443000,192000,192000,-8251000,-8149000,-46000,-8195000,-8195000,-8195000,-8195000,149259000,124259000,57565000,57565000,8525000,8525000,215349000,22438000,66009000,13853000,43895000,8261000,88447000,303796000,16825000,7951000,8874000,23217000,7828000,15389000,40042000,6082000,2561000,3521000,6082000,46124000,581928000,-227120000,-746000,257672000,257672000,303796000,-8195000,5128000,7483000,-4229000,187000,-1684000,-1684000,-9178000,1785000,-13000,-9191000,-10688000,-10688000,6962.17444211863,-10688000,-3315000,0,-9182000,0.61829,-0.12783,-0.12407,-0.0318,-0.02698,1.12044,5.37808,0.179,0,-0.09931,-0.09931,0.80044,3.12262,-0.11127,-0.03107,-0.03481,45.02534,17.67843
"10","2016_Q3",13.2959375,"Up",67247000,-25162000,42085000,-46317000,-33844000,-12473000,-4232000,-172000,-172000,-4404000,-3438000,-68000.0000000001,-3506000,-3506000,-3506000,-3506000,156484000,131424000,61309000,61309000,7826000,7826000,225619000,20964000,64417000,12791000,43895000,7731000,85381000,3.11e+08,16720000,5789000,10931000,23105000,7162000,15943000,39825000,5474000,2621000,2853000,5474000,45299000,593517000,-230626000,-741000,265701000,265701000,3.11e+08,-3506000,4980000,6849000,-3525000,4798000,-1785000,-1845000,4222000,4281000,-13000,4209000,7162000,7162000,3000,7165000.00000001,748000.000000001,-7.27595761418343e-12,-4494000,0.62583,-0.06293,-0.05214,-0.0132,-0.01127,1.2818,5.66526,0.17049,-1.35525271560688e-20,-0.04215,-0.04215,0.80839,3.19406,-0.05402,-0.01293,-0.01657,-209.20321,36.97637
