"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.04078125,"Up",-91176031828,-72148880863,-103464335957,31315455094,-19027150965,43686081073,-47489950755,72547482208,72547482208,25057531453,25057531453,25057531453,5101627266,30159158719,30159158719,30159158719,33207217140,-320241579141.136,-790996171585.284,-5243515379506.03,-16081761411685.7,395446555817.126,-16477207967502.9,-411014160519.22,-47641622488.0491,-1254035558194.28,-80782515155.2144,-591808017551.972,-24821796415826.9,-19325613251608.6,-15924381581425.7,-3401231670182.96,-1140460829396.07,-571173220432.451,-192161803134.767,-21229409104571.9,-469663961400.496,-2933867712358.87,-101993252787.803,-86862384707.8607,-3592387311255.03,-3592387311255.03,-24821796415826.9,2090974,2789940,4789322,9417181,17196908,36284325,-1523685,-1523685,-61012236,43953929,-18581992,-27720492,21887733,-5832759,11869574,11869574,11869574,25060321393,0,19974367350,-0.27483,-0.36421,0.175153746449115,0.0260285910590963,0.60151,5.81244060238682,0.0970131339122174,1010.64566,988.98811,-2774.89863,-93342.0064868399,607.91025,0.0260285857185036,-0.000317040629514186,-146193.136423303,-208812.955003683
"2","2011_Q1",13.6325806451613,"Up",44722259.9999847,36056249,49079321,-13023072,8666011,-5171527.00000763,39550733,-36451520,-36451520,3099213,3099213,3099213,696576,3795789,3795789,3795789,2248346,40154247,147932166,1121027564,3129864955,-82575235,3212440190,82374228,10705105,244090311,16364573,116490731,4909003880,3833057390,3246540753,586516637,243770379,121393026,33325800,4231546595,90788682,568047801,12996202,5624600,677457285,677457285,4909003880,3795789,2742272,5171527,8265283,16361434,36336305,-1912906,-1912906,-66094558,7372514,-60634950,7459967,-45434205,-37689238,-61987883,-61987883,-61987883,5841485.00000381,365163405,19593437.0000038,0.0693000000000001,0.0502699999999999,0.00332,0.00046,8.7146,6.24622,0.07439,0.0685700000000224,0.0685699999997951,1.36389999999983,17.89176,0.597549999999842,0.00046,0.00399,55.63811,104.86829
"3","2011_Q2",13.9980952380952,"Up",44344690,36020633,47224274,-11203641,8324057,-6139138,38205552,-34700828,-34700828,3504724,3504724,3504724,0,3504724,3504724,3504724,2011250,96428059653.3788,238223659364.845,1579384876342.51,4843595377399,-119107978133.542,4962703355532.54,123793763359.823,14350333147.683,377697453624.678,24331313984.3215,178253208574.741,7476058045450.98,5820665160536.87,4796319718121.72,1024345442415.15,343513103356.272,172041683633.984,57874372661.4224,6394094320188.55,141459863251.999,883635906818.622,30718312469.4344,26149642722.3703,1081963725262.43,1081963725262.43,7476058045450.98,3504724,2795884,6139138,6217677,17208928,35866351,-975525,-975525,31644587,-21304654,9364408,-101153661,8107396,-93046265,-47815506,-47815506,-47815506,6300608,0,22534011,0.07903,0.04535,-0.0342095821497051,-0.00511036368636543,11.20398,6.19638813253773,0.0664256220292609,0.06028,0.05913,1.32904,28113.1898689466,0.67536,-0.00511036190616788,0.0028715135431714,44057.4973061009,62953.1767653943
"4","2011_Q3",11.8378125,"Down",47604793,37795379,47789120,-9993741,9809414.00000024,-6587188.99999952,41017604,-34357343,-34357343,6660261.00000024,6660261.00000024,6660261,-288413.999999881,6371847,6371847,6371847,4843496.00000095,62316425000,153935221000,1020659824000,3130133730000,-76970501999.9999,3207104232000,79999621000.0001,9273297000,244083193000,15723962000,115207506000,4831332779000,3761519503000,3099501751000,662017752000,221989664000,111190714000,37404876000,4132104757000,91422313000,571041907000,19864142000,16899660000,699228022000,699228022000,4831332779000,6371847,2855067,6587189,3681445,10212641,29708189,-354294,-354294,69282196,-10843891,58084011,29649789,-41961018,-12311229,75480971,75480971,75480971,9515328,333180378000,19662088.9999998,0.13991,0.10174,9.9999999999649e-06,1.40946282423116e-18,4.05948,5.90952,0.06896,0.144780000000006,0.14205999999999,1.42297999999998,18168.27729,0.587729999999996,1.40946282423116e-18,8.67361737988404e-19,28466.0658,40668.66944
"5","2011_Q4",13.1333333333333,"Up",48435641,38355728,46887630,-8531902,10079913,-3632440,44803201,-35675221,-35675221,9127980,9127980,9127980,16973019,26100999,26100999,26100999,24537293,58786507,121748876,1031033626,3166278272,-74870538,3241148810,78534670,8557782,244081519,15827730,144056240,4868905222,3712649792,2989955696,722694096,226429750,161105866,44345923,4144531331,91772130,572627209,44427826,15546726,724373891,724373891,4868905222,26100999,2570449,3632440,-13045806,2338866,21596948,-332198,-332198,-13754652,-47781117,-61867967,-48861155,53415911,4554756,-35716263,-35716263,-35716263,11698429,387535616,-3267922,0.18846,0.5066,0.03387,0.00504,-0.13318,5.72154,0.07959,0.73524,0.72181,1.45134,18.95551,-0.09792,0.00504,-0.00067,28.10199,36.01554
"6","2012_Q1",15.4398387096774,"Up",49019497.0000001,39292670.9999999,46445810.9999999,-7153139.99999997,9726826,-5438846.00000003,43580651,-34373936,-34373936,9206715,9206715,9206715,-1446918,7759797,7759797,7759797,5680689,63015997.0000038,109147043,981660418,3217376182.00024,-73974675,3291350857,77127361.0000076,7842267.00000095,244076491.999985,15243366.000001,148461578,4863950704,3654339465.99951,2936960532.99976,717378933.000061,229067412,226068796,44330462,4153806135.99976,69096828.0000076,573930899,49783584,17333257,710144567.999939,710144567.999939,4863950704,7759797,2729034,5438846,1424187,8566403,25918267,-369248,-369248,46291324,-64651816,-18729740,-58295694,66484824,-15560870,-8372343,-8372343,-8372343,11935749,455136208,21579822,0.18782,0.11589,0.008,0.00117,3.7988,5.84924,0.09357,0.16964,0.16641,1.46385,19.1432999999981,0.64443,0.00117,0.00444,32.8525900000012,42.5906800000045
"7","2012_Q2",15.9290476190476,"Up",49453343,39504005,45824088,-6320083,9949338,-1034245,48419098,-35819706,-35819706,12599392,12599392,12599392,-4234438,8364954,8364954,8364954,7205788,60400972,71666356,918777779,3266489685,-71379400,3337869085,76378894,7156200,244071513,16019272,128621909,4789582580,3588119211,2831209968,756909243,215564532,226031695,41201694,4070917132,69355475,575824861,56999267,16485845,718665448,718665448,4789582580,8364954,2660347,1034245,4300189,25994490,42354225,-1271826,-1271826,53984165,-54941031,-2228692,-66220256,-14000989,-80221245,-40095712,-40095712,-40095712,15259739,441596227,44216841,0.25477,0.14571,0.01003,0.0015,6.1363,5.66455,0.0922,0.21311,0.20933,1.4626,19.20361,1.30773,0.0015,0.00923,24.98046,30.25505
"8","2012_Q3",17.7030158730159,"Up",50094909,40185063,45953494,-5768431,9909846,-634071.999999996,49460837,-33915534,-33915534,15545303,15545303,15545303,-5105659,10439644,10439644,10439644,7784770,68291541,142526283,861558242.000008,3375069395,-69614021,3444683416,75525895,6470131.99999994,244065248,15176899,143194101,4931877736.00003,3709820351,2903418820.00002,806401531.000004,250098555.000001,270994562,41677713.0000002,4272591181,0,577486681,64307405,17492469,659286555,659286555,4931877736.00003,10439644,2262681,634072,8214129,-7780283,13770243,-668991,-668991,48260582,-111575901,-63984310,121701139,53513424,128964563,78750496,78750496,78750496,17807984,521093117,14464369,0.31032,0.1554,0.01181,0.00158,1.85803,6.48063,0.10566,0.22974,0.22584,1.47835,19.45614,0.42686,0.00158,0.00293,25.4268899999997,29.1278700000003
"9","2012_Q4",17.1906451612903,"Down",51361942,40932356,46440908,-5508552,10429586,-1412575,49949367,-33578360,-33578360,16371007,16371007,16371007,-5021882,11349125,11349125,11349125,11349125,70730026,77408861,786967899,3456072048,-69092075,3525164123,74536714,5786703,244044967,15774555,140064297,4871386070,3719287139,2874806655,844480484,241570266,190887031,46817163,4198561599,0,577733926,75656530,19434015,672824471,672824471,4871386070,11349125,2625629,1412575,3318607,11149278,29855214,-912101,-912101,72193073,-84036356,-12755384,9466789,-72797848,-79778767,-62678937,-62678937,-62678937,18996636,432457297,34255695,0.31874,0.22096,0.01687,0.00233,3.01836,6.2402,0.08877,0.33439,0.3287,1.51332,19.82399,1.0093,0.00233,0.00703,19.04165,22.0956
"10","2013_Q1",19.7215,"Up",55350900,42243034,47203068,-4960034,13107866,-2487938,52862962,-34851266,-34851266,18011696,18011696,18011696,-6281538,11730158,11730158,11730158,11730158,51946542,113342127,752695656,3642744993,-69417437,3712162430,75804895,5103273,244040421,14856615,140014094,5040548616,4015187983,3029498523,985689460,220825767,75850390,49613117,4361477257,0,578457036,87386689,13227634,679071359,679071359,5040548616,11730158,2658981,2487938,-1856008,13276914,28297983,-3011534,-3011534,21547728,-189955260,-171419066,295900845,-135004980,160270865,17149782,17149782,17149782,20670677,296676157,37217595,0.32541,0.21192,0.01727,0.00233,3.17281,6.42271,0.05886,0.3454,0.33971,1.62983,19.99556,1.09589,0.00233,0.00738,11.83946,13.58726
