"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.70031746031746,"Down",209381000,-171449000,37932000,-8984000,-8984000,28948000,-995000,-3168000,2173000,27953000,374000,28327000,-11471000,16856000,-872000,-872000,15984000,15984000,15984000,5360000,5360000,169507000,169507000,99785000,88697000,274652000,27266000,439769000,396538000,43055000,467035000,741687000,57331000,22496000,8139000,26696000,101214000,100223000,161698000,234340000,55323000,29327000,1611120.65968467,25996000,289663000,451361000,523555000,-269670000,37448000,-1007000,290326000,290326000,741687000,16856000,5125000,1223000,-30117000,-962000,-7875000,-887000,-887000,-73848398.6844725,-25165000,-7000,-26059000,29450000,616000,645000,-29000,7000,30073000,-3861000,-3861000,-3861000,34073000,237493000,14540000,0.18116,0.13826,0.07634,0.05506,0.02155,0.90966,1.69855,1.55467,0.32021,0.25999,0.25792,3.40573,4.72236,0.2365,3,0.02741,0.02493,6.81281,8.01897
"2","2010_Q3",6.1025,"Down",180074000,-158260000,21814000,-6638000,-6638000,15176000,-5458000,-3411000,-2047000,9718000,1999.99999999988,9720000,-2711000,7009000,-1587000,-1587000,5422000,5422000,5422000,408000.000000001,408000.000000001,156160000,156160000,94202000,84054000,250770000,25937000,437617000,393045000,44572000,463554000,714324000,65482000,29017000,2282000,34183000,94215000,93669000,255923000,1.15e+08,52912000,27292000,933000,24687000,167912000,423835000,525347000,-277243000,42871000,-486000,290489000,290489000,714324000,7009000,5088000,3961000,18358000,-847000,33569000,-514000,-514000,-4740000,-2763000,31562000,23545000,-24450000,-7073999.99999999,499000,-7573000,-28767000,-60291000,-3177000,-3177000,-3177000,20264000,211226000,40819000,0.12114,0.08428,0.03011,0.01867,0.00759,7.5284,0.97987,1.45904,0.2957,0.08819,0.08749,2.92903,4.72501,0.66395,5,0.00978,0.0736,10.40357,13.89154
"3","2010_Q4",6.11875,"Up",175884000,-157243000,18641000,-6877000,-6877000,11764000,-2720000,-3735000,1015000,9044000,89000,9133000,-3591000,5542000,-710000,-710000,4832000,4832000,4832000,719000,719000,155781000,155781000,104438000,99499000,260938000,24781000,446953000,397898000,49055000,471734000,732672000,65138000,26310000,1984000,36844000,111084000,110709000,215340000,234987000,56154000,30392000,633000,25129000,291141000,506481000,535154000,-355735000,47702000,-930000,226191000,226191000,732672000,5542000,5044000,5292000,355000,-405000,15828000,-654000,-654000,4880000,-6165000,-21229000,-23168000,7.4e+07,-78454000,38000,-78492000,12185000,7731000,391000,391000,391000,16808000,274105000,20100000,0.10598,0.06688,0.02747,0.02136,0.0066,4.15977,1.21175,2.23917,0.37412,0.08376,0.08303,3.04867,3.92066,0.3484,5,0.00868,0.03612,16.26523,23.2392
"4","2011_Q1",6.95,"Up",165062000,-157383000,7679000,-7085000,-7085000,594000.000000002,-2603000,-4994000,2391000,-2009000,1000.00000000012,-2008000,756000,-1252000,-472000,-472000,-1724000,-1724000,-1724000,724000,724000,138068000,138068000,114676000,106116000,253468000,23895000,478936000,426410000,51689000,502831000,756299000,63844000,30814000,4767948.28929261,33030000,115245000,114683000,229322000,235477000,61828000,33361000,612200.412302918,28467000,297305000,526627000,540485000,-355851000,45978000,-940000,229672000,229672000,756299000,-1253000,5075000,3120000,5148000.00000001,-427000,11663000,-627000,-627000,-5280000,-7249000,8724999.99999999,-4430999.99999999,-254000,-77000.0000000149,38000,-114999.999999985,-6708000,-7039000,193000,193000,193000,5669000,285710000,9434000,0.04652,0.00360000000000001,-0.01044,-0.00751,-0.00228,-5.47216,1.10529,2.29295,0.37777,-0.02988,-0.02963,2.86109,3.981,0.16352,3,-0.00299,0.01634,50.27095,479.77441
"5","2011_Q2",7.31444444444444,"Up",210069000,-169727000,40342000,-9560000,-9560000,30782000,-1834000,-4915000,3081000,28948000,2743000,31691000,-13587000,18104000,-199000,-199000,17905000,17905000,17905000,231000,231000,169672000,169672000,145866000,140932000,315769000,22737000,467889000,420868000,47021000,490626000,806395000,61299000,27499000,7558000,26242000,144025000,143404000,245260000,249968000,61121000,35429000,596000,25096000,311089000,556349000,542553000,-355851000,63883000,-539000,250046000,250046000,806395000,18104000,5030000,1384000,-28018000,-250000,-3750000,-531000,-531000,136000,-10374000,-29766000,-40535000,13900000,628000,628000,24702833.4865976,29264000,43792000,-493000,-493000,-493000,35812000,289904000,20850000,0.19204,0.14653,0.08523,0.07161,0.0222,1.16448,1.28749,2.22499,0.35951,0.36302,0.35986,4.25913,5.06966,0.42273,5,0.02979,0.03469,8.08871,9.41047
"6","2011_Q3",6.93453125,"Down",183464000,-160395000,23069000,-6744000,-6744000,16325000,-4380000,-4407000,27000,11945000,2000,11947000,-5095000,6852000,-301000,-301000,6551000,6551000,6551000,211000,211000,155663000,155663000,140124000,129525000,295998000,21500000,464280000,417270000,47010000,485780000,781778000,66922000,28778000,7238000,30906000,127918000,127485000,195092000,267530000,61549000,35516000,749000,25284000,329079000,524171000,544271000,-356499000,70434000,-599000,257607000,257607000,781778000,6852000,4965000,-1375000,16541000,-349000,26634000,-410000,-410000,-6054000,202000.000000002,17124000,10862000,-23050000,-508000.000000002,140000,-648000,-13958000,-37516000,-20000,-20000,-20000,21290000,267782000,42516000,0.12574,0.08898,0.03571,0.02543,0.00838,6.49,1.51722,2.03477,0.34253,0.13203,0.13101,3.69768,5.19201,0.8569,7,0.01116,0.07244,12.56792,16.3902599999999
"7","2011_Q4",6.19063492063492,"Down",177349000,-154345000,23004000,-8079000,-8079000,14925000,-8559000,-4049000,-4510000,6366000,87000,6453000,-1614000,4839000,-122000,-122000,4717000,4717000,4717000,533000,533000,158312000,158312000,116861000,106465000,275706000,22899000,481467000,443464000,38003000,504366000,780072000,70342000,29853000,4363000,36126000,106634000,106367000,177620000,278743000,64215000,31274000,1984000,30957000,342958000,520578000,549044000,-363843000,75151000,-858000,259494000,259494000,780072000,4839000,5107000,4017000,679000,-18000,14624000,-2788000,-2788000,-3759000,-14717000,29725000,8461000,10600000,-7339000,0,-7339000,-26024000,-22763000,322000,322000,322000,20032000,279387000,19537000,0.12971,0.08416,0.0266,0.01818,0.00605,4.14183,1.55222,2.00613,0.35816,0.09524,0.09427,3.58093,5.23955,0.39448,6,0.00782,0.03239,13.92043,18.68369
"8","2012_Q1",6.4241935483871,"Up",20388000,-34061000,-13673000,-7150000,-7150000,-20823000,1927000,-2676000,4603000,-18896000,88000,-18808000,8152000,-10656000,9490000,9490000,-1166000,-1166000,-1166000,1613000,1613000,137073000,137073000,153643000,141130000,292329000,21802000,498226000,458340000,39886000,520028000,812357000,68618000,34960000,7628643.50768482,33658000,143578000,143379000,226182000,264778000,61239000,33585000,1893000,25761000,326017000,552199000,552316000,-365364000,73985000,-779000,260158000,260158000,812357000,-10656000,224000,4882000,10194000,16022000,20666000,-168000,-168000,1541000,-1518000,-33781000,-34360000,-14600000,-1526000,1.45519152283669e-11,-1526000,30900000,14774000,1080000,1080000,1080000,-20599000,278764000,-18725000,-0.67064,-1.02134,-0.05719,-0.00448,-0.00144,16.05918,1.29245,2.12255,0.34315,-0.02387,-0.02399,0.41738,5.32587,-0.38333,5,-0.00194,-0.0312,-13.45459,-13.30985
"9","2012_Q2",5.95809523809524,"Down",220827000,-180005000,40822000,-10544000,-10544000,30278000,-684000,-4122000,3438000,29594000,2589000,32183000,-13416000,18767000,18000,18000,18785000,18785000,18785000,3189000,3189000,179834000,179834000,144739000,135304000,327762000,20446000,509528000,465916000,43612000,529974000,857736000,72411000,35810000,10233000,26368000,138224000,138037000,211857000,298814000,66593000,37735000,1167000,27691000,365407000,577264000,554366000,-365965000,92770000,-699000,280472000,280472000,857736000,18767000,5228000,-1180000,-34118000,18000,-11285000,-168000,-168000,141000,-17988000,4295000,-13720000,33400000,-601000,703201.803584918,-601000,-6218000,26581000,1576000,1576000,1576000,35506000,300036000,14636000,0.18486,0.13711,0.08507,0.06698,0.0219,0.77913,1.54709,2.05819,0.3498,0.38256,0.37926,4.49722,5.71191,0.29807,3,0.02903,0.02262,8.36047,9.80405
"10","2012_Q3",5.74857142857143,"Down",120935000,-105574000,15361000,-7575000,-7575000,7786000,-4457000,-3500000,-957000,3329000,49999.9999999991,3378999.99999999,-1199000,2180000,3668000,3668000,5848000,5848000,5848000,3069000,3069000,164083000,164083000,126496000,116339000,293648000,20854000,508336000,465463000,42873000,529190000,822838000,84127000,46709000,6623000,30795000,114982000,114797000,200331000,270273000,68846000,37405000,1829000,29612000,339119000,539450000,555371000,-369818000,98618000,-783000,283388000,283388000,822838000,2180000,3033000,4519000,20554000,6598000,36884000,-481000,-481000,-882000,-2039000,23159000,18338000,-29200000,-3853000,1871389.74568631,-3853000,-22289000,-55342000,-120000,-120000,-120000,10819000,271495000,32091000,0.12702,0.0643799999999999,0.04836,0.02064,0.00711,5.48752,1.46581,1.90357,0.32995,0.11924,0.11874,2.4658,5.77812,0.65432,6,0.00938,0.05145,24.81061,34.47547
