"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",86.6853125,"Up",643298000,-201507000,441791000,-396578000,-275518000,-121060000,45213000,-4327000,-4327000,40886000,40886000,-12158000,28728000,28728000,28728000,28728000,88239000,88239000,16402000,16402000,147378000,21057000,13148000,273076000,1034834000,1847067000,-812233000,60625000,60625000,1095459000,1368535000,113657000,71971000,179588000,179588000,311995000,381250000,188087000,57956000,122223000,569337000,881332000,37806000,453944000,487203000,487203000,1368535000,28728000,17300000,2948000,-10684000,38292000,-23576000,11000,-23565000,-17865000,0,24000,-17841000,-3114000,-3114000,-3114000,62513000,4e+08,40411000,0.68676,0.07028,0.04466,0.05897,0.02099,1.40668,0.87526,1.80896,0.29228,1.20603,1.19807,27.00628,20.45326,1.69649,0.74999,0.04333,0.03758,0.62187,4.98714,6.89538
"20","2015_Q1",102.602131147541,"Up",692747000,-222307000,470440000,-410190000,-278158000,-132032000,60250000,-4352000,-4352000,55898000,55898000,-16713000,39185000,39185000,39185000,39185000,119361000,119361000,22704000,22704000,165426000,22158000,11997000,329649000,1043284000,1867121000,-823837000,59315000,59315000,1102599000,1432248000,245559000,98477000,73879000,19350000,344438000,3.75e+08,184169000,57709000,123221000,559169000,903607000,40207000,493167000,528641000,528641000,1432248000,39185000,17788000,3160000,16295000,76428000,-28274000,224000,-28050000,-17865000,-4.65661287307739e-10,609000,-17256000,31122000,31122000,31122000,78038000,4e+08,82772000,0.67909,0.08697,0.05656,0.07412,0.02736,2.11234,0.95706,1.7093,0.27928,1.64501,1.6334,29.08191,22.19265,3.47481,0.74998,0.05127,0.07438,0.45591,3.59618,4.65791
"21","2015_Q2",104.116984126984,"Up",683428000,-222295000,461133000,-405691000,-275519000,-130172000,55442000,-4424000,-4424000,51018000,51018000,-16994000,34024000,34024000,34024000,34024000,105851000,105851000,15672000,15672000,177741000,23216000,16603000,322480000,1041206000,1878980000,-837774000,60341000,60341000,1101547000,1424027000,102659000,92401000,202673000,199461000,330332000,368750000,186784000,57031000,124365000,555534000,885866000,40186000,503184000,538161000,538161000,1424027000,34024000,17511000,2942000,-17748000,36729000,-17430000,18000,-17412000,-23821000,0,-2756000,-32827000,-13510000,-13510000,-13510000,72953000,393750000,54769000,0.67474,0.08112,0.04978,0.06322,0.02389,1.60972,0.97623,1.6461,0.2765,1.42585,1.41758,28.64062,22.55287,2.29522,0.99827,0.05171,0.04896,0.70012,3.94636,5.1928
"22","2015_Q3",111.974375,"Up",755966000,-262155000,493811000,-422590000,-288864000,-133726000,71221000,-4684000,-4684000,66537000,66537000,-19374000,47163000,47163000,47163000,47163000,182609000,182609000,20046000,20046000,140820000,22680000,16676000,366155000,1040475000,1892182000,-851707000,63848000,63848000,1104323000,1470478000,86809000,82902000,227911000,146650000,314720000,4e+08,194128000,53493000,127678000,594128000,908848000,44416000,526178000,561630000,561630000,1470478000,47163000,17995000,5084000,46095000,116337000,-19041000,123000,-18918000,-24009000,0,-2902000,-20661000,76758000,76758000,76758000,89216000,4e+08,135644000,0.65322,0.09421,0.06239,0.08398,0.03207,2.87607,1.16343,1.61823,0.27202,1.97213,1.96248,31.61081,23.48462,5.67197,1.00394,0.06158,0.11736,0.50906,2.43668,3.05234
"23","2015_Q4",102.0221875,"Down",683705000,-216142000,467563000,-412086000,-285375000,-126711000,55477000,-4030000,-4030000,51447000,51447000,-16130000,35317000,35317000,35317000,35317000,202054000,202054000,25858000,25858000,136405000,27059000,13826000,391376000,1042898000,1909628000,-866730000,66793000,66793000,1109691000,1501067000,89327000,89327000,226602000,163077000,315929000,4e+08,201066000,61350000,130083000,601066000,916995000,50794000,537305000,584072000,584072000,1501067000,35317000,18422000,4958000,4917000,63614000,-22205000,43000,-22162000,-23920000,0,1913000,-22007000,19445000,19445000,19445000,73899000,4e+08,72741000,0.68387,0.08114,0.05166,0.06047,0.02353,2.05966,1.23881,1.57,0.26648,1.47536,1.4675,28.56168,24.39953,3.03874,0.99925,0.04998,0.06138,0.67729,2.6786,3.56807
"24","2016_Q1",105.365737704918,"Up",719185000,-223579000,495606000,-422866000,-290168000,-132698000,72740000,-3541000,-3541000,69199000,69199000,-21800000,47399000,47399000,47399000,47399000,265455000,265455000,18050000,18050000,153058000,20261000,14167000,456824000,1052636000,1931060000,-878424000,66748000,66748000,1119384000,1576208000,366112000,133117000,79499000,19402000,445611000,4e+08,192329000,50031000,133594000,592329000,1037940000,56306000,485687000,538268000,538268000,1576208000,47399000,19027000,5393000,45556000,117375000,-30303000,181000,-30122000,-23949000,4.65661287307739e-10,97000,-23852000,63401000,63401000,63401000,91767000,4e+08,128820000,0.68912,0.10114,0.06591,0.08806,0.03007,2.71778,1.02516,1.9283,0.25377,1.97837,1.96711,30.01778,22.46655,5.37677,0.9996,0.06311,0.11394,0.50526,1.46616,1.84967
"25","2016_Q2",120.05078125,"Up",702629000,-222973000,479656000,-414348000,-278641000,-135707000,65308000,-3544000,-3544000,61764000,61764000,-20899000,40865000,40865000,40865000,40865000,127540000,127540000,18070000,18070000,186230000,24067000,18107000,355907000,1049597000,1941759000,-892162000,63686000,63686000,1113283000,1469190000,205608000,113268000,138113000,137337000,343721000,4e+08,191960000,48147000,132607000,591960000,935681000,40282000,499985000,533509000,533509000,1469190000,40865000,18687000,1457000,-65364000,-4355000,-17012000,41000,-16971000,-98613000,-14653000,-3323000,-116589000,-137915000,-137915000,-137915000,83995000,4e+08,22518000,0.68266,0.09295,0.05816,0.0766,0.02781,0.55103,1.03545,1.75382,0.27226,1.7058,1.69754,29.3293,22.26986,0.93995,4.11633,0.12393,0.02001,2.41314,3.24376,4.17192
"26","2016_Q3",121.13453125,"Up",764002000,-264932000,499070000,-428545000,-287442000,-141103000,70525000,-3569000,-3569000,66956000,66956000,-18714000,48242000,48242000,48242000,48242000,171643000,171643000,15900000,15900000,150959000,26531000,18289000,365033000,1048715000,1955336000,-906621000,63051000,63051000,1111766000,1476799000,146179000,91474000,180149000,92604000,326328000,4e+08,195602000,45401000,134552000,595602000,921930000,43213000,521531000,554869000,554869000,1476799000,48242000,19096000,4217000,18413000,89968000,-19488000,134000,-19354000,-26439000,0,-72000,-26511000,44103000,44103000,44103000,89621000,4e+08,107260000,0.65323,0.09231,0.06314,0.08694,0.03267,2.22337,1.11861,1.66153,0.27086,2.01531,2.00615,31.91612,23.1796,4.48078,1.10449,0.06491,0.09323,0.54805,2.54803,3.23796
"27","2016_Q4",120.47,"Down",700136000,-212382000,487754000,-420726000,-285715000,-135011000,67028000,-3436000,-3436000,63592000,63592000,-14423000,49169000,49169000,49169000,49169000,176692000,176692000,18667000,18667000,145882000,31543000,15874000,372784000,1060513000,1982155000,-921642000,62656000,62656000,1123169000,1495953000,115793000,88011000,200388000,200377000,316181000,4e+08,199339000,53773000,128007000,599339000,915520000,47328000,543955000,580433000,580433000,1495953000,49169000,19698000,4968000,-10090000,63745000,-32855000,315000,-32540000,-26333000,0,177000,-26156000,5049000,5049000,5049000,86726000,4e+08,58204000,0.69666,0.09574,0.07023,0.08471,0.03287,1.18375,1.17902,1.57731,0.26739,2.05374,2.04243,29.244,24.24412,2.43112,1.0999,0.064,0.04933,0.53556,2.57487,3.33156
"28","2017_Q1",128.631129032258,"Up",745584000,-227889000,517695000,-440085000,-297372000,-142713000,77610000,-3503000,-3503000,74107000,74107000,-23084000,51023000,51023000,51023000,51023000,150966000,150966000,19389000,19389000,152308000,33077000,14573000,355740000,1080189000,2011845000,-931656000,61735000,61735000,1141924000,1497664000,288875000,132493000,79942000,15914000,368817000,4e+08,202404000,53726000,126608000,602404000,971221000,51702000,488481000,526443000,526443000,1497664000,51023000,20742000,7080000,43175000,122020000,-43822000,172000,-43650000,-104161000,-4.65661287307739e-10,65000.0000000002,-104096000,-25726000,-25726000,-25726000,98352000,4e+08,120789000,0.69435,0.10409,0.06843,0.09692,0.03407,2.36734,0.96454,1.84487,0.26708,2.13088,2.11685,31.13786,21.98587,5.04452,4.35008,0.13747,0.107,2.04145,2.53207,3.20879
