"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",131.84253968254,"Up",709971000,-213109000,496862000,-421118000,-283192000,-137926000,75744000,-3676000,-3676000,72068000,72068000,-23713000,48355000,48355000,48355000,48355000,125108000,125108000,18862000,18862000,187221000,20281000,18006000,351472000,1084721000,2030020000,-945299000,62886000,62886000,1147607000,1499079000,122745000,119014000,230763000,230701000,353508000,4e+08,198466000,56506000,125878000,598466000,951974000,48051000,509023000,547105000,547105000,1499079000,48355000,20534000,1470000,-35421000,34938000,-26145000,74000,-26071000,-29649000,0,-5076000,-34725000,-25858000,-25858000,-25858000,96278000,4e+08,58425000,0.69983,0.10669,0.06811,0.08838,0.03226,1.20825,0.99424,1.74002,0.26683,2.01465,2.00651,29.58002,22.79442,2.4342,1.23529,0.06809,0.051,0.61315,2.85519,3.62922
"30","2017_Q3",127.113015873016,"Down",772682000,-254920000,517762000,-435066000,-294087000,-140979000,82696000,-3638000,-3638000,79058000,79058000,-26331000,52727000,52727000,52727000,52727000,185698000,185698000,19654000,19654000,155879000,20979000,18727000,382210000,1088612000,2050593000,-961981000,64069000,64069000,1152681000,1534891000,129688000,100388000,229947000,133099000,359635000,4e+08,193539000,60394000,126607000,593539000,953174000,50885000,533765000,581717000,581717000,1534891000,52727000,21296000,3810000,36731000,114564000,-26637000,186000,-26451000,-27771000,0,248000,-27523000,60590000,60590000,60590000,103992000,4e+08,140417000,0.67008,0.10702,0.06824,0.09064,0.03435,2.66309,1.06277,1.63855,0.2606,2.19328,2.18703,32.14119,24.19763,5.84091,1.15519,0.06849,0.11948,0.52669,2.06075,2.59144
"31","2017_Q4",131.802222222222,"Up",700410000,-205882000,494528000,-423050000,-286819000,-136231000,71478000,-3389000,-3389000,68089000,68089000,-21165000,46924000,46924000,46924000,46924000,183693000,183693000,18602000,18602000,155532000,20313000,15902000,378140000,1093354000,2072196000,-978842000,63534000,63534000,1156888000,1535028000,98462000,98462000,239808000,239808000,338270000,4e+08,194798000,60045000,128230000,594798000,933068000,53221000,552767000,601960000,601960000,1535028000,46924000,21798000,3624000,-18776000,53570000,-28054000,128000,-27926000,-27649000,0,0,-27649000,-2005000,-2005000,-2005000,93276000,4e+08,67611000,0.70606,0.10205,0.067,0.07795,0.03057,1.44086,1.11786,1.55005,0.26058,1.9517,1.94486,29.13207,25.03725,2.81214,1.15,0.06231,0.0565,0.58923,2.319,3.0262
"32","2018_Q1",140.136557377049,"Up",743226000,-217382000,525844000,-442604000,-294440000,-148164000,83240000,-3568000,-3568000,79672000,79672000,-25779000,53893000,53893000,53893000,53893000,161001000,161001000,18116000,18116000,156367000,23373000,16047000,358857000,1098097000,2093448000,-995351000,64988000,64988000,1163085000,1521942000,118395000,118395000,257433000,257433000,375828000,4e+08,201607000,65421000,136186000,601607000,977435000,55900000,492836000,544507000,544507000,1521942000,53893000,22691000,2503000,38608000,117695000,-29252000,95000,-29157000,-111798000,-9.31322574615479e-10,568000,-111230000,-22692000,-22692000,-22692000,105931000,4e+08,141066000,0.70752,0.112,0.07251,0.09898,0.03541,2.61752,0.95484,1.79508,0.26282,2.24155,2.23271,30.91273,22.64748,5.86731,4.64997,0.14457,0.12308,2.07444,2.25618,2.8712
"33","2018_Q2",137.53546875,"Down",710368000,-210749000,499619000,-428781000,-284961000,-143820000,70838000,-3618000,-3618000,67220000,67220000,-20840000,46380000,46380000,46380000,46380000,120193000,120193000,18078000,18078000,191481000,19479000,19479000,349231000,1105781000,2118446000,-1012665000,66920000,66920000,1172701000,1521932000,145706000,130127000,230080000,230080000,375786000,4e+08,198444000,63117000,131250000,598444000,974230000,39780000,510264000,547702000,547702000,1521932000,46380000,21631000,3239000,-32973000,38277000,-30503000,86000,-30417000,-30513000,-14772000,-3383000,-48668000,-40808000,-40808000,-40808000,92469000,4e+08,49833000,0.70332,0.09972,0.06529,0.08468,0.03047,1.07445,0.92933,1.77876,0.26282,1.92967,1.92407,29.55532,22.78749,2.07333,1.26951,0.06709,0.04348,0.65789,3.02595,3.94996
"34","2018_Q3",128.676825396825,"Down",787771000,-260952000,526819000,-450145000,-299738000,-150407000,76674000,-3680000,-3680000,72994000,72994000,18145000,91139000,91139000,91139000,91139000,168808000,168808000,21259000,21259000,159583000,23328000,20572000,372978000,1114240000,2143787000,-1029547000,69725000,69725000,1183965000,1556943000,133737000,106502000,231368000,128456000,365105000,4e+08,176213000,43574000,130933000,576213000,941318000,42089000,572339000,615625000,615625000,1556943000,91139000,22713000,4111000,-7734999.99999999,110228000,-32885000,189000,-32696000,-28940000,-1.86264514923096e-09,23000,-28917000,48615000,48615000,48615000,99387000,4e+08,40622000,0.66875,0.09733,0.11569,0.14804,0.05854,0.44571,1.02156,1.52904,0.25691,3.79722,3.78853,32.82175,25.64945,1.69248,1.20576,0.10075,0.03408,0.31754,2.32618,3.01526
"35","2018_Q4",142.305396825397,"Up",721413000,-217719000,503694000,-440385000,-292769000,-147616000,63309000,-3594000,-3594000,59715000,59715000,-10968000,48747000,48747000,48747000,48747000,174294000,174294000,18630000,18630000,156991000,20160000,17441000,370075000,1126840000,2173687000,-1046847000,71416000,71416000,1198256000,1568331000,104702000,104702000,246862000,246862000,351564000,4e+08,176386000,47997000,128389000,576386000,927950000,43831000,592099000,640381000,640381000,1568331000,48747000,23953000,3470000,-3700000,72470000,-38204000,25000,-38179000,-28805000,0,0,-28805000,5486000,5486000,5486000,87262000,4e+08,56326000,0.6982,0.08776,0.06757,0.07612,0.03108,1.15548,1.05265,1.44906,0.25505,2.03082,2.02557,30.05435,26.67853,2.34656,1.20003,0.06374,0.04629,0.59091,2.58653,3.56515
"36","2019_Q1",143.361967213115,"Up",810893000,-245977000,564916000,-482145000,-322099000,-160046000,82771000,-4277000,-4277000,78494000,78494000,-17140000,61354000,61354000,61354000,61354000,114656000,114656000,19496000,19496000,156253000,16347000,16347000,306752000,1149135000,2212601000,-1063466000,71468000,71468000,1220603000,1527355000,123145000,122332000,241474000,241474000,364619000,4e+08,180955000,52161000,128794000,580955000,945574000,44289000,532807000,581781000,581781000,1527355000,61354000,25395000,3777000,19119000,109645000,-50246000,316000,-49930000,-118897000,0,-456000,-119353000,-59638000,-59638000,-59638000,108166000,4e+08,94179000,0.69666,0.10207,0.07566,0.10546,0.04017,1.53501,0.84129,1.62531,0.26189,2.55595,2.54846,33.7811,24.23649,3.92342,4.95315,0.15502,0.081,1.93789,2.63802,3.44739
"37","2019_Q2",143.974444444444,"Up",733543000,-222293000,511250000,-449572000,-297094000,-152478000,61678000,-4349000,-4349000,57329000,57329000,-10122000,47207000,47207000,47207000,47207000,101631000,101631000,21545000,21545000,181569000,20989000,20989000,325734000,1157979000,2241679000,-1083700000,75884000,75884000,1233863000,1559597000,142405000,131156000,233899000,233899000,376304000,4e+08,183115000,52359000,130756000,583115000,959419000,44362000,549838000,600178000,600178000,1559597000,47207000,24838000,5145000,-17563000,59627000,-36990000,324000,-36666000,-30948000,0,-5038000,-35986000,-13025000,-13025000,-13025000,86516000,4e+08,42085000,0.69696,0.08408,0.06435,0.07865,0.03027,0.8915,0.86561,1.59856,0.25648,1.96511,1.96093,30.53556,24.9839,1.75189,1.28829,0.06605,0.03557,0.65558,3.44871,4.83753
"38","2019_Q3",149.09015625,"Up",811707000,-265179000,546528000,-469817000,-312998000,-156819000,76711000,-4177000,-4177000,72534000,72534000,-11779000,60755000,60755000,60755000,60755000,169564000,169564000,16977000,16977000,151402000,21200000,21200000,359143000,1162186000,2266061000,-1103875000,66474000,66474000,1228660000,1587803000,121583000,117885000,258547000,154182000,380130000,4e+08,179055000,51336000,127719000,579055000,959185000,46365000,580314000,628618000,628618000,1587803000,60755000,26218000,4748000,39515000,131236000,-33205000,133000,-33072000,-30190000,0,-41000,-30231000,67933000,67933000,67933000,102929000,4e+08,121018000,0.67331,0.09451,0.07485,0.09665,0.03826,1.9919,0.94479,1.52586,0.25192,2.52721,2.52161,33.76432,26.14843,5.03395,1.2558,0.07531,0.10021,0.49691,2.23879,3.00395
"39","2019_Q4",140.54,"Down",739603000,-217073000,522530000,-457445000,-304766000,-152679000,65085000,-4111000,-4111000,60974000,60974000,-10560000,50414000,50414000,50414000,50414000,167585000,167585000,22190000,22190000,152582000,18811000,18811000,361168000,1166425000,2291149000,-1124724000,67477000,67477000,1233902000,1595070000,115317000,115317000,248439000,248439000,363756000,4e+08,183291000,50477000,131130000,583291000,947047000,47741000,600563000,648023000,648023000,1595070000,50414000,27443000,3301000,-19435000,61723000,-33533000,146000,-33387000,-30152000,0,-163000,-30315000,-1979000,-1979000,-1979000,92528000,4e+08,50120000,0.7065,0.088,0.06816,0.0778,0.03161,0.99417,0.99289,1.46144,0.25077,2.09694,2.09148,30.76337,26.95415,2.08471,1.25416,0.06543,0.0407,0.59809,2.51183,3.57095
"40","2020_Q1",123.663709677419,"Down",787098000,-1305283000,-518185000,597555000,762032000,-164477000,79370000,-3851000,-3851000,75519000,75519000,-10494000,65025000,65025000,65025000,65025000,36884000,36884000,22757000,22757000,154958000,27781000,18332000,242380000,1168965000,2312815000,-1143850000,169880000,80780000,1338845000,1581225000,295367000,132221000,97107000,15373000,392474000,4e+08,184041000,44119000,129439000,584041000,976515000,49973000,561650000,604710000,604710000,1581225000,65025000,29038000,5252000,10895000,110210000,-34414000,-14935000,-138449000,-102185000,-4.65661287307739e-10,-277000,-102462000,-130701000,-130701000,-130701000,108408000,4e+08,95383000,-0.65835,0.10084,0.08261,0.10753,0.04112,1.46687,0.61757,1.61485,0.25297,2.70437,2.6966,32.73512,25.14967,3.96694,4.24984,0.14066,0.08024,1.57147,3.34953,4.57498
"41","2020_Q2",90.5495238095238,"Down",749040000,-219814000,529226000,-465853000,-302945000,-162908000,63373000,-3580000,-3580000,59793000,53813000,-10590000,43223000,43223000,43223000,43223000,43209000,43209000,22104000,22104000,188719000,39381000,28015000,293413000,1177969000,2341135000,-1163166000,666505000,577021000,1844474000,2137887000,145945000,145945000,296712000,296712000,442657000,4.85e+08,604446000,56184000,537164000,1089446000,1532103000,35589000,577546000,605784000,605784000,2137887000,43223000,28678000,25512000,-52578000,44835000,-26367000,-15927000,-75265000,-32063000,-14188000,-1994000,36755000,6325000,6325000,6325000,92051000,4.85e+08,23696000,0.70654,0.08461,0.0577,0.07135,0.02022,0.54823,0.66285,2.52912,0.22686,1.79808,1.79319,31.1602,25.20073,0.98576,1.33383,0.04441,0.01398,0.7418,4.79942,6.97128
"42","2020_Q3",107.91890625,"Up",846143000,-272207000,573936000,-494801000,224928000,-719729000,79135000,-3505000,-3505000,75630000,72046000,-10878000,61168000,61168000,61168000,61168000,72840000,72840000,20778000,20778000,157352000,35100000,29193000,286070000,1176747000,2362226000,-1185479000,674099000,588199000,1850846000,2136916000,123318000,123318000,321566000,214464000,444884000,4.6e+08,602102000,55335000,533288000,1062102000,1506986000,31899000,607431000,629930000,629930000,2136916000,61168000,29599000,23486000,24916000,139169000,-30439000,-16991000,-47430000,-31296000,-5812000,2.3283064365387e-10,-62108000,29631000,29631000,29631000,108734000,4.6e+08,114089000,0.6783,0.09352,0.07229,0.0971,0.02862,1.86517,0.64302,2.39231,0.21526,2.5539,2.54805,35.32836,26.30099,4.76347,1.30668,0.05465,0.06743,0.51164,3.56062,4.8924
"43","2020_Q4",119.04515625,"Up",432544000,-137138000,295406000,-356046000,-28008000,-328038000,-60640000,-5298000,-5298000,-65938000,-217152000,55220000,-161932000,-161932000,-161932000,-161932000,363330000,363330000,12476000,12476000,146279000,35323000,27201000,557408000,1151624000,2361489000,-1209865000,526847000,520483000,1678471000,2235879000,134033000,88052000,219393000,219393000,353426000,9.4e+08,550244000,406000,523122000,1490244000,1843670000,237000,411426000,392209000,392209000,2235879000,-161932000,30015000,168743000,-133598000,-96772000,-24998000,-1596000,-26594000,-31126000,-35007000,-11000,413856000,290490000,290490000,290490000,-30625000,9.4e+08,-244441000,0.68295,-0.14019,-0.37437,-0.41287,-0.07242,1.50953,1.57716,4.70073,0.42042,-6.81019,-6.84489,18.191,16.49468,-10.28017,1.30903,-0.06949,-0.12985,-0.19222,-18.83004,-9.50973
"44","2021_Q1",140.853442622951,"Up",495065000,-1075772000,-580707000,554992000,-40950000,595942000,-25715000,-9944000,-9944000,-35659000,172577000,-5069000,167508000,167508000,25066000,25066000,436996000,436996000,20157000,20157000,139091000,46768000,17916000,643012000,1130061000,2363518000,-1233457000,771185000,745535000,1901246000,2544258000,246971000,103504000,164690000,69928000,451056000,9.1e+08,764813000,27718000,713235000,1674813000,2125869000,237000,438498000,418389000,418389000,2544258000,25066000,29886000,-35123000,53941000,73770000,-8271000,334000,-7937000,-59000.0000000037,0,-1503000,7833000,73665999.9999999,73665999.9999999,73665999.9999999,4171000,949395000,54910000,-1.17299,-0.05194,0.0506300000000001,0.05991,0.00985,2.19062,1.42557,5.08108,0.37315,1.05789,1.05789,20.89377,17.65773,2.31743,0.00248999999999988,0.01178,0.02575,0.00235000000000002,122.848,-19.92607
"45","2021_Q2",148.836031746032,"Up",646454000,-426232000,220222000,-200838000,-39564000,-161274000,19384000,-10715000,-10715000,8669000,226391000,-55711000,170680000,170680000,170680000,170680000,597619000,597619000,22338000,22338000,155737000,49169000,22636000,824863000,1006371000,2196537000,-1190166000,1088888000,1063238000,2095259000,2920122000,136051000,136051000,269170000,269170000,444616000,9.1e+08,973894000,82725000,869675000,1883894000,2328510000,237000,609120000,591612000,591612000,2920122000,170680000,26351000,-197875000,57835000,56991000,138398000,217000,137115000,-31491000,22044929.621584,-1992000,-33483000,160623000,160623000,160623000,45735000,949395000,297679000,0.34066,0.02999,0.26402,0.2885,0.05845,1.74408,1.85523,3.93587,0.32512,7.19933,7.18011,27.26762,24.95437,12.55619,1.3283,0.08039,0.11837,0.1845,7.69161,18.14775
"46","2021_Q3",130.32078125,"Down",677169000,-461946000,215223000,-200828000,-33957000,-166871000,14395000,-10815000,-10815000,3580000,3580000,10420000,1.4e+07,1.4e+07,1.4e+07,1.4e+07,568839000,568839000,22361000,22361000,134768000,70817000,22653000,796785000,995845000,2208122000,-1212277000,1079413000,1053624000,2075258000,2872043000,118308000,118308000,320395000,320395000,438703000,835049000,989680000,94284000,874203000,1824729000,2263432000,2204000,623086000,608611000,608611000,2872043000,1.4e+07,27419000,20124000,2782000.00000001,64325000,-17991000,29000.0000000001,-17962000,-87000,13582358.58624,-7000.00000000047,-75143000,-28780000,-28780000,-28780000,41814000,835049000,16185000,0.31783,0.02126,0.02067,0.023,0.00487,1.15607,1.81623,3.71901,0.29075,0.59013,0.5886,28.54435,25.65446,0.682239999999998,0.00367000000000006,0.00579,0.00665,0.00620999999999999,6.36653,18.49323
"47","2021_Q4",125.253125,"Down",713416000,-455747000,257669000,-205179000,-37356000,-167823000,52490000,-9614000,-9614000,42876000,42876000,-9406000,33470000,33470000,33470000,33470000,384587000,384587000,27070000,27070000,132382000,49826000,22328000,593865000,983192000,2218406000,-1235214000,1065867000,1039786000,2049059000,2642924000,113665000,113665000,335285000,335285000,448950000,575349000,970512000,100501000,851623000,1545861000,1994811000,5298000,656536000,648113000,648113000,2642924000,33470000,27162000,21038000,9551000,91221000,-15632000,774000,-14858000,-67000,-10421391.742224,-548000,-260615000,-184252000,-184252000,-184252000,79652000,575349000,82977000,0.36118,0.07358,0.04692,0.05164,0.01266,2.47915,1.32279,3.07788,0.21769,1.41131,1.40759,30.08217,27.32858,3.49884,0.00283,0.01529,0.03782,0.002,2.39494,3.63425
"48","2022_Q1",117.687741935484,"Down",784405000,-504456000,279949000,-217281000,-36948000,-180333000,62668000,-24964000,-24964000,37704000,37704000,-1341000,36363000,36363000,36363000,36363000,144593000,144593000,27372000,27372000,138320000,43311000,22188000,353596000,979850000,2234489000,-1254639000,1058248000,1032273000,2038098000,2391694000,388850000,135176000,76288000,76288000,465262000,327253000,935546000,98626000,836920000,1262799000,1728061000,235000,663398000,663633000,663633000,2391694000,36363000,27672000,28119000,-2788000,89366000,-26224000,259000,-25965000,-22000,-3.5e+07,-62165000,-303395000,-239994000,-239994000,-239994000,90340000,327377000,62669000,0.35689,0.07989,0.04636,0.05479,0.0152,1.72343,0.75999,2.60394,0.13688,1.53482,1.52995,33.10835,28.01077,2.64515,0.000929999999999932,0.01889,0.03253,0.000609999999999998,2.02329,2.9167
"49","2022_Q2",99.6204838709677,"Down",784930000,-517428000,267502000,-224589000,-40910000,-183679000,42913000,-2629000,-2629000,40284000,40284000,-6908000,33376000,33376000,33376000,33376000,125865000,125865000,30197000,30197000,159633000,41528000,26789000,357223000,967099000,2243823000,-1276724000,1048415000,1022458000,2015514000,2372737000,169049000,138199000,280598000,280598000,449647000,376974000,916901000,86189000,830712000,1293875000,1743522000,235000,628980000,629215000,629215000,2372737000,33376000,25788000,22171000,-58312000,23023000,-14083000,44000,-15539000,-23903000,-46213831.717248,-2309000,-26212000,-18728000,-18728000,-18728000,68701000,376974000,3214000,0.3408,0.05467,0.04252,0.05304,0.01407,0.0963,0.79445,2.77095,0.15888,1.40874,1.40428,33.1305,26.55805,0.13566,1.0089,0.02978,0.00167,0.71617,3.6551,5.85158
"50","2022_Q3",97.85640625,"Down",862260000,-579967000,282293000,-235629000,-43463000,-192166000,46664000,-2200000,-2200000,44464000,44464000,-6840000,37624000,37624000,37624000,37624000,79709000,79709000,32112000,32112000,153883000,40932000,28407000,306636000,956682000,2255736000,-1299054000,1039117000,1013179000,1995799000,2302435000,154522000,123939000,324363000,204334000,478885000,327358000,892088000,61748524.3935552,892088000,1219446000,1698331000,232000,603872000,604104000,604104000,2302435000,37624000,25574000,21265000,307000,84770000,-16322000,631000,-15691000,-30719000,-34230000,-237000,-115235000,-46156000,-46156000,-46156000,72238000,327358000,63063000,0.32739,0.05412,0.04363,0.06228,0.01634,1.67614,0.64031,2.81132,0.14218,1.59343,1.58714,36.51799,25.5847,2.67081,1.301,0.03748,0.03458,0.81647,3.42824,5.30707
