"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",15.20734375,"Down",-6421000,-2038000,-4383000,-6421000,-323000,-323000,-6744000,-6744000,-6744000,-6744000,-6744000,-6744000,117382000,117382000,2971000,2971000,120353000,6494000,6494000,126847000,2865000,2285000,580000,2865000,7000,7000,2872000,231935000,-108026000,66000,123975000,123975000,126847000,-6744000,176000,1247000,-3542000,-8863000,-574000,-1639000,74294000,74294000,75331000,64829000,64829000,317000,65146000,-6245000,0,-0.0544,-0.05317,42.00803,0.02317,0,-0.21555,-0.21555,3.9624,-0.05439,18.79616,18.28095
"2","2015_Q4",11.095,"Down",-10813000,-1083000,-9730000,-10813000,77000,77000,-10736000,-10736000,-10736000,-10736000,-10736000,-10736000,105680000,105680000,1907000,1907000,107587000,11460000,11460000,119047000,4958000,3964000,994000,4958000,12000,12000,4970000,232850000,-118762000,-11000,114077000,114077000,119047000,-10736000,169000,886000,2462000,-7219000,-1233000,-4436000,30000,30000,30000.0000000149,-11625000,-11625000,-77000,-11702000,-10644000,0,-0.09411,-0.09018,21.69968,0.04357,0,-0.33497,-0.33497,3.55928,-0.0941,9.9286,9.77342
"3","2016_Q1",7.19459016393443,"Down",-12071000,-1658000,-10413000,-12071000,182000,161000,-11889000,-11889000,-11889000,-11889000,-11889000,-11889000,91051000,91051000,1990000,1990000,93041000,16317000,16317000,109358000,6291000,4825000,1466000,6291000,17000,17000,6308000,233902000,-130651000,-201000,103050000,103050000,109358000,-11889000,189000,895000,110000,-10695000,-363000,-3746000,327000,327000,2000,-14439000,-14439000,-190000,-14629000,-11882000,0,-0.11537,-0.10872,14.78954,0.06121,0,-0.3689,-0.3689,3.19753,-0.11535,7.66294,7.54295
"4","2016_Q2",12.54015625,"Up",-10248000,-2436000,-7812000,-10248000,-9000,-9000,-10257000,-10257000,-10257000,-10257000,-10257000,-10257000,78225000,78225000,1614000,1614000,79839000,21423000,21423000,101262000,6563000,4846000,1717000,6563000,20000,20000,6583000,235751000,-140908000,-164000,94679000,94679000,101262000,-10257000,179000,1817000,-1686000,-9947000,-1543000,-2917000,0,0,9.31322574615479e-10,-12864000,-12864000,38000,-12826000,-10069000,0,-0.10833,-0.10129,12.16502,0.06953,0,-0.31763,-0.31763,2.93195,-0.10831,7.76889,7.6332
"5","2016_Q3",12.74796875,"Up",-13615000,-2399000,-11216000,-13615000,-7000,-7000,-13622000,-13622000,-13622000,-13622000,-13622000,-13622000,64798000,64798000,1530000,1530000,66328000,26873000,26873000,93201000,10376000,8494000,1882000,10376000,21000,21000,10397000,237523000,-154529000,-190000,82804000,82804000,93201000,-13622000,171000,1097000,4103000,-8251000,-2059000,-5857000,707000,707000,707000,-13401000,-13401000,-26000,-13427000,-13444000,0,-0.16451,-0.14616,6.39244,0.12556,0,-0.42071,-0.42071,2.55738,-0.16447,4.81985,4.75931
"6","2016_Q4",11.5606349206349,"Down",-12459000,-2686000,-9773000,-12459000,-25000,-25000,-12484000,-12484000,-12484000,-12484000,-12484000,-12484000,46793000,46793000,2048000,2048000,48841000,29451000,29451000,78292000,6641000,4465000,2176000,6641000,22000,22000,6663000,238808000,-167013000,-166000,71629000,71629000,78292000,-12484000,175000,1126000,-3833000,-15016000,-613000,-3172000,159000,159000,159000,-18029000,-18029000,24000,-18005000,-12284000,0,-0.17429,-0.15945,7.35446,0.09302,0,-0.38488,-0.38488,2.2083,-0.17423,3.80926,3.75576
"7","2017_Q1",11.3754838709677,"Down",-16441000,-2756000,-13685000,-16441000,43000,-6000,-16398000,-16398000,-16398000,-16398000,-16398000,-16398000,34324000,34324000,2606000,2606000,36930000,30120000,30120000,67050000,7963000,4431000,3532000,7963000,23000,23000,7986000,242419000,-183412000,57000,59064000,59064000,67050000,-16398000,173000,1533000,1891000,-12801000,-531000,-1968000,2078000,2078000,2078000,-12691000,-12691000,222000,-12469000,-16268000,0,-0.27763,-0.24456,4.6377,0.13521,0,-0.50445,-0.50445,1.81697,-0.27752,2.10991,2.08771
"8","2017_Q2",8.3231746031746,"Down",-10271000,-2083000,-8188000,-10271000,-292000,-341000,-10563000,-10563000,-10563000,-10563000,-10563000,-10563000,54632000,54632000,2453000,2453000,57085000,30531000,30531000,87616000,5323000,2697000,2626000,5323000,23000,23000,5346000,276079000,-193975000,166000,82270000,82270000,87616000,-10563000,296000,724000,-2365000,-11908000,-607000,-607000,32713000,32713000,32713000,20198000,20198000,110000,20308000,-9975000,0,-0.12839,-0.12056,10.72422,0.06498,0,-0.31729,-0.31729,2.47119,-0.12836,5.47689,5.31905
"9","2017_Q3",4.10365079365079,"Down",-9688000,-2289000,-7399000,-9688000,555000,440000,-9133000,-9133000,-9133000,-9133000,-9133000,-9133000,45949000,45949000,1352000,1352000,47301000,30540000,30540000,77841000,4663000,3385000,1278000,4663000,22000,22000,4685000,276589000,-203107000,-326000,73156000,73156000,77841000,-9133000,296000,172000,197000,-8468000,-283000,-283000,561000,561000,561000,-8190000,-8190000,-493000,-8683000,-9392000,0,-0.12484,-0.11733,10.1439,0.06404,0,-0.25858,-0.25858,2.07121,-0.12481,4.89236,4.74288
"10","2017_Q4",3.65698412698413,"Down",-6594000,-1663000,-4931000,-6594000,389000,266000,-6205000,-6205000,-6205000,-6205000,-6205000,-6205000,38977000,38977000,1312000,1312000,40289000,30382000,30382000,70671000,3502000,2225000,1277000,3502000,20000,20000,3522000,277078000,-209313000,-616000,67149000,67149000,70671000,-6205000,297000,444000,-1002000,-6466000,-261000,-261000,45000,45000,44999.9999999963,-6682000,-6682000,-290000,-6972000,-6297000,0,-0.09241,-0.0878,11.50457,0.05245,0,-0.17517,-0.17517,1.89563,-0.09238,6.18977,5.91098
