"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",19.33703125,"Up",224954000,224954000,-29278000,-29278000,195676000,15707000,-147680000,-39018000,-77798000,-30864000,63703000,-13347000,-37730000,21860000,2523000,50356000,-6408000,43948000,43605000,43756000,-449000,43307000,43307000,15640000,15640000,20004000,20004000,16623000,16623000,52267000,5941591000,7176225000,-1234634000,903102000,903102000,6844693000,6896960000,133437000,30591000,102846000,192346000,192346000,325783000,3381060000,3381060000,3706843000,4968685000,-1803254000,3165431000,24686000,3190117000,6896960000,43756000,62120000,-19148000,-13857000,72871000,-135422000,96050000,-62609000,-62262000,51351000,547999.999999998,547999.999999998,-6792000,-17155000,-6893000,-6893000,-6893000,125823000,3381060000,0.86985,0.28318,0.19251,0.01358,0.00628,0.16044,1.16198,0.49022,0.12529,0.12385,0.65079,9.15751,0.18012,0.01607,1.43769,26.74726,52.82985
"26","2016_Q3",22.8675,"Up",142738000,142738000,-8473999.99999999,-8473999.99999999,134264000,40021000,-97576000,-33812000,-42871000,-20893000,76709000,6274000,-21914000,3534000.00000001,24654000,82983000,22544000,105527000,105684000,110183000,-1116000,109067000,109067000,91700000,91700000,21439000,21439000,13437000,13437000,126576000,6044417000,7334519000,-1290102000,694032000,694032000,6738449000,6865025000,144292000,31837000,112455000,182743000,182743000,327035000,3197781000,3197781000,3524816000,5071720000,-1757331000,3314389000,25820000,3340209000,6865025000,110183000,64474000,-8013000,-41314000,125330000,-121112000,252926000,104096000,-62389000,-182736000,99296000,99296000,-7537000,-153366000,76060000,76060000,76060000,141183000,3197781000,0.94063,0.53741,0.76411,0.03265,0.01589,0.38704,1.05527,0.46581,0.31389,0.30772,0.4108,9.5388,0.17956,0.02622,0.57202,22.00039,40.49174
"27","2016_Q4",21.2646031746032,"Down",181673000,181673000,-16933000,-16933000,164740000,84299000,-118962000,-29716000,-61820000,-27426000,130077000,-12882000,-27611000,12010000,2719000,117195000,-9292000,107903000,108262000,113159000,-1145000,112014000,112014000,110211000,110211000,26180000,26180000,8528000.00000001,8528000.00000001,144919000,6000523000,7282556000,-1282033000,716639000,716639000,6717162000,6862081000,165637000,30601000,135036000,196471000,196471000,362108000,2991051000,2991051000,3353159000,5190920000,-1709277000,3481643000,27279000,3508922000,6862081000,113159000,64960000,57850000,-79740000,156229000,-145287000,171988000,22803000,-63234000,-213702000,117669000,117669000,-1254000,-160521000,18511000,18511000,18511000,195037000,2991051000,0.90679,0.716,0.61657,0.03192,0.01632,0.40021,0.95561,0.43588,0.31835,0.31203,0.51633,9.89508,0.17972,0.02696,0.56452,14.77074,22.14719
"28","2017_Q1",21.6198387096774,"Up",181146000,181146000,-19638000,-19638000,161508000,31931000,-116997000,-33310000,-60068000,-23619000,76442000,-15065000,-25502000,9999000,437999.999999996,61377000,-20923000,40454000,40870000,48180000,-425000,47755000,47755000,12639000,12639000,15838000,15838000,46261000,46261000,74738000,4840748000,5883692000,-1042944000,1856516000,1856516000,6697264000,6772002000,82745000,23633000,59112000,287487000,287487000,370232000,2908477000,2908477000,3278709000,5195559000,-1729741000,3465818000,27475000,3493293000,6772002000,48180000,63865000,23332000,-32790000,102587000,-65496000,34366000,-34191000,-67394000,-95461000,2745000,2745000,-883999.999999999,-160994000,-92598000,-92598000,-92598000,140307000,2908477000,0.89159,0.42199,0.26363,0.01367,0.00705,0.20187,0.93857,0.42949,0.1346,0.13076,0.51058,9.76884,0.18996,0.01799,1.41124,20.6393,37.88281
"29","2017_Q2",23.7947619047619,"Up",181075000,181075000,-16237000,-16237000,164838000,38551000,-116128000,-26856000,-62023000,-27249000,87261000,-18880000,-24162000,4749000,533000,68381000,-834000,67547000,65415000,70781000,-581000,70200000,70200000,13389000,13389000,19089000,19089000,5000999.99999997,5000999.99999997,37479000,6117932000,7443363000,-1325431000,803099000,803099000,6921031000,6958510000,98688000,28865000,69823000,281680000,281680000,380368000,3080262000,3080262000,3460630000,5194945000,-1727744000,3467201000,30679000,3497880000,6958510000,70781000,66172000,10592000,-37837000,109708000,-277532000,88963000,-188866000,-67554000,177960000,786000.000000015,786000.000000015,-9495000,101697000,22539000,22539000,22539000,153433000,3080262000,0.91033,0.48191,0.38768,0.02007,0.01009,0.0985300000000001,0.98935,0.44266,0.19759,0.19462,0.50967,9.75901,0.19014,0.02094,0.96231,19.98835,35.14598
"30","2017_Q3",24.5361904761905,"Up",189412000,189412000,-14506000,-14506000,174906000,35620000,-128865000,-34232000,-67013000,-27620000,81661000,53795000,-20404000,51933000,22266000,135456000,-9561000,125895000,120470000,1227767000,-17224000,1210543000,1210543000,76326000,76326000,23580000,23580000,848402000,848402000,948308000,5169529000,6292056000,-1122527000,1199732000,1199732000,6369261000,7317569000,79495000,13944000,65551000,294490000,294490000,373985000,2280128000,2280128000,2654113000,5199741000,-585592000,4614149000,49307000,4663456000,7317569000,1227767000,58711000,-17480000,-1147370000,121628000,-316696000,1982166000,1663728000,-67577000,-831477000,2904000,2904000,-814000.000000002,-896964000,888392000,888392000,888392000,140372000,2280128000,0.92342,0.43113,6.39106,0.25958,0.16543,2.53568,0.56913,0.3116,3.40378,3.34422,0.53258,12.97396,0.19001,0.18407,0.05582,15.69973,26.9872
"31","2017_Q4",24.6377777777778,"Up",194828000,194828000,-16224000,-16224000,178604000,27617000,-131072000,-34154000,-67992000,-28926000,75149000,-12589000,-20835000,1841000,6405000,62560000,-20190000,42370000,42009000,165627000,-358000,165269000,165269000,27315000,27315000,20605000,20605000,522863000,522863000,570783000,5676390000,6835883000,-1159493000,1050298000,1050298000,6726688000,7297471000,107699000,24547000,83152000,304517000,304517000,412216000,2131880000,2131880000,2544096000,5198712000,-488328000,4710384000,42991000,4753375000,7297471000,165627000,55035000,53047000,-143172000,130537000,-572377000,262788000,-313853000,-67639000,-140884000,3619000,3619000,-13439000,-218343000,-401659000,-401659000,-401659000,130184000,2131880000,0.91673,0.38572,0.84828,0.03477,0.02265,1.38467,0.53522,0.29214,0.46436,0.45642,0.54742,13.23495,0.19005,0.03383,0.40927,16.16608,28.00523
"32","2018_Q1",22.9049180327869,"Down",215619000,215619000,-17615000,-17615000,198004000,21125000,-153415000,-49159000,-76533000,-27723000,65714000,-11291000,-21602000,4787000,5524000,54423000,0,54423000,62698000,190166000,-1747000,188419000,188419000,67562000,67562000,19427000,19427000,129885000,129885000,216874000,6154543000,7348448000,-1193905000,1016779000,1016779000,7171322000,7388196000,85285000,17911000,67374000,305642000,305642000,390927000,2422891000,2422891000,2813818000,5208880000,-676036000,4532844000,41534000,4574378000,7388196000,190166000,62688000,-13211000,-151312000,88331000,-605752000,224675000,-385097000,-374062000,304540000,6074000,6074000,-12468000,-75916000,-372682000,-372682000,-372682000,128402000,2422891000,0.9183,0.30477,0.87385,0.04119,0.0255,0.55477,0.61513,0.32794,0.52895,0.518689999999999,0.60531,12.72506,1.0501,0.08039,1.98527,18.3434,35.84212
"33","2018_Q2",24.7540625,"Up",234557000,234557000,-19913000,-19913000,214644000,47835000,-171376000,-61432000,-77529000,-32415000,91103000,-7250000,-2e+07,8287000,4463000,83853000,0,83853000,73524000,73648000,-685000,72963000,72963000,160861000,160861000,21939000,21939000,75888000,75888000,258688000,6192808000,7431496000,-1238688000,976178000,976178000,7168986000,7427674000,98400000,27166000,71234000,251634000,251634000,350034000,2496456000,2496456000,2846490000,5208425000,-674920000,4533505000,47679000,4581184000,7427674000,73648000,63944000,23904000,-48334000,113162000,-154535000,116199000,-38336000,-71398000,39551000,705999.999999999,705999.999999999,-8949000,-40090000,34736000,34736000,34736000,155047000,2496456000,0.9151,0.3884,0.31107,0.01593,0.00982000000000001,0.73904,0.62134,0.3361,0.20453,0.20245,0.6575,12.70815,0.20014,0.0204,0.97855,15.06379,25.63686
"34","2018_Q3",25.8320634920635,"Up",210558000,210558000,-17252000,-17252000,193306000,150319000,-136394000,-28712000,-75832000,-31850000,207231000,-14266000,-20675000,1682000,4727000,192965000,-150999.999999999,192814000,192751000,195671000,-1826000,193845000,193845000,86339000,86339000,19728000,19728000,159552000,159552000,265619000,6366076000,7617686000,-1251610000,871123000,871123000,7237199000,7502818000,93542000,17774000,75768000,282877000,282877000,376419000,2417429000,2417429000,2793848000,5213177000,-552685000,4660492000,48478000,4708970000,7502818000,195671000,62095000,17653000,-157963000,117456000,-380051000,432967000,50299000,-71409000,-81912000,670000,670000,-824999.999999999,-153476000,14279000,14279000,14279000,269326000,2417429000,0.91807,0.9842,0.92063,0.04117,0.02584,0.70565,0.5933,0.3222,0.5429,0.53439,0.58971,13.05263,0.19999,0.03722,0.36838,8.65527,11.24875
"35","2018_Q4",25.2434920634921,"Down",231898000,231898000,-17704000,-17704000,214194000,3808000,-153727000,-42689000,-78855000,-32183000,64275000,-11781000,-21462000,5552000,4129000,52494000,-89000,52405000,53302000,53523000,-498000,53025000,53025000,133405000,133405000,19494000,19494000,161296000,161296000,314195000,6586469000,7880839000,-1294370000,924146000,924146000,7510615000,7824810000,117134000,27463000,89671000,348576000,348576000,465710000,2634176000,2634176000,3099886000,5244078000,-571617000,4672461000,52463000,4724924000,7824810000,53523000,64421000,26997000,-3910000,141031000,-178099000,-163337000,-341547000,-71656000,281962000,29215000,29215000,-8846000,230675000,30159000,30159000,30159000,128696000,2634176000,0.92366,0.27717,0.22866,0.01122,0.00678,0.67466,0.65607,0.33664,0.14816,0.14672,0.64794,13.05529,0.20021,0.01694,1.35136,19.43161,38.90737
"36","2019_Q1",26.8198360655738,"Up",270857000,270857000,-16567000,-16567000,254290000,13360000,-191347000,-77294000,-80001000,-34052000,76303000,-12923000,-22869000,5923000,4023000,63380000,-148000,63232000,63899000,64426000,-530000,63896000,63896000,17901000,17901000,14254000,14254000,41215000,41215000,73370000,6852943000,8197119000,-1344176000,877711000,877711000,7730654000,7804024000,89511000,16153000,73358000,342769000,342769000,432280000,2658501000,2658501000,3090781000,5247964000,-589763000,4658201000,55042000,4713243000,7804024000,64426000,65790000,-259976000,242518000,112758000,54324000,-268424000,-264846000,-77039000,975000,4322000,4322000,-23454000,-95195999.9999999,-247284000,-247284000,-247284000,142093000,2658501000,0.93883,0.28171,0.2359,0.01356,0.00819,0.16973,0.65577,0.34066,0.17819,0.17333,0.75535,12.99054,0.21484,0.01912,1.20569,18.5836,34.60677
"37","2019_Q2",28.524126984127,"Up",264929000,264929000,-20668000,-20668000,244261000,587000,-187282000,-74569000,-75992000,-36721000,57566000,-14659000,-22132000,4715000,2758000,42907000,2246000,45153000,44768000,44923000,-372000,44551000,44551000,15295000,15295000,14496000,14496000,24095000,24095000,53886000,7026939000,8407252000,-1380313000,881655000,881655000,7908594000,7962480000,94392000,26932000,67460000,360093000,360093000,454485000,2826824000,2826824000,3281309000,5253751000,-632141000,4621610000,59561000,4681171000,7962480000,44923000,62423000,-3745000,10958000,114559000,-180404000,-19428000,-206306000,-77237000,177035000,4492000,4492000,-15892000,88398000,-3349000,-3349000,-3349000,119989000,2826824000,0.92199,0.21729,0.16816,0.00952,0.0056,0.11856,0.70096,0.35502,0.12405,0.12295,0.73768,12.86858,0.21506,0.01622,1.73368,23.43156,48.8401
"38","2019_Q3",30.76953125,"Up",237026000,237026000,-17597000,-17597000,219429000,32542000,-156953000,-36609000,-83004000,-37340000,95018000,-16833000,-23510000,4143000,2534000,78185000,-4.65661287307739e-10,78185000,71569000,71668000,-615000,71053000,71053000,8664000,8664000,21229000,21229000,22450000,22450000,52343000,7148064000,8575983000,-1427919000,813720000,813720000,7961784000,8014127000,98361000,22276000,76085000,374670000,374670000,473031000,2838975000,2838975000,3312006000,5293988000,-653391000,4640597000,61524000,4702121000,8014127000,71668000,69455000,30806000,-28696000,143233000,-203984000,78115000,-125357000,-77313000,17337000,37636000,37636000,-677000,-23017000,-5140999.99999997,-5140999.99999997,-5140999.99999997,164473000,2838975000,0.92576,0.40088,0.29977,0.01511,0.00887,0.11065,0.70436,0.35425,0.19754,0.19581,0.65898,12.90184,0.21495,0.01967,1.0881,17.20836,29.7871
"39","2019_Q4",32.30828125,"Up",241329000,241329000,-19158000,-19158000,222171000,177515000,-155020000,-37360000,-83924000,-33736000,244666000,-16783000,-22604000,3736000,2085000,227883000,0,227883000,234884000,228531000,-1965000,226566000,226566000,121233000,121233000,20449000,20449000,143426000,143426000,285108000,7152469000,8579649000,-1427180000,825377000,825377000,7977846000,8262954000,114364000,28680000,85684000,359736000,359736000,474100000,2767582000,2767582000,3241682000,5476173000,-518240000,4957933000,63339000,5021272000,8262954000,228531000,70383000,26435000,-179054000,146295000,-166616000,254452000,87835000,-77773000,-101046000,180544000,180544000,-2350000,-625000,233505000,233505000,233505000,315049000,2767582000,0.92061,1.01383,0.93883,0.04512,0.02742,0.60137,0.64559,0.33494,0.6251,0.61102,0.66583,13.67902,0.21458,0.03907,0.34327,8.3998,10.81617
"40","2020_Q1",32.2808064516129,"Down",230475000,230475000,-18161000,-18161000,212314000,24009000,-147663000,-23917000,-84303000,-39443000,88660000,-133999.999999998,-21510000,18812000,2564000,88526000,1138000,89664000,80978000,87522000,-720000,86802000,86802000,110891000,110891000,20349000,20349000,27280000,27280000,158520000,7451453000,8931914000,-1480461000,810589000,810589000,8262042000,8420562000,83223000,14181000,69042000,342314000,342314000,425537000,2914765000,2914765000,3340302000,5529143000,-511028000,5018115000,62145000,5080260000,8420562000,87522000,70161000,-261140000,205268000,101811000,100989000,-418198000,-311246000,-86379000,157631000,50089000,50089000,-41007000,80334000,-129101000,-129101000,-129101000,158821000,2914765000,0.9212,0.38468,0.37662,0.01709,0.01031,0.37252,0.65751,0.34615,0.23609,0.23251,0.62686,13.64864,0.23494,0.02166,0.99513,17.6543,31.62502
"41","2020_Q2",32.3771428571429,"Up",226369000,226369000,-18843000,-18843000,207526000,9072000,-154054000,-28331000,-85359000,-40364000,62544000,-19560000,-23494000,2539000,1395000,42984000,-23432000,19552000,19612000,19660000,-204000,19456000,19456000,187563000,187563000,18058000,18058000,30626000,30626000,236247000,7661983000,9200662000,-1538679000,676054000,676054000,8338037000,8574284000,96544000,29123000,67421000,304067000,304067000,400611000,3146611000,3146611000,3547222000,5537490000,-577647000,4959843000,67219000,5027062000,8574284000,19660000,71582000,30046000,-6738000,114550000,-230842000,82619000,-158681000,-86562000,202796000,5465000.00000001,5465000.00000001,-8516000,113183000,69052000,69052000,69052000,134126000,3146611000,0.91676,0.27629,0.08595,0.00387,0.00227,0.58972,0.70563,0.36698,0.05284,0.05232,0.61482,13.47088,0.2351,0.01297,4.44912,22.0617,47.31146
"42","2020_Q3",35.96328125,"Up",238511000,238511000,-17557000,-17557000,220954000,6070000,-153059000,-24012000,-86704000,-42343000,73965000,-20229000,-22841000,2396000,216000,53736000,-13689000,40047000,40197000,40220000,-4e+05,39820000,39820000,29870000,29870000,16869000,16869000,53769000,53769000,100508000,7771520000,9362066000,-1590546000,694981000,694981000,8466501000,8567009000,94654000,15450000,79204000,339753000,339753000,434407000,3075186000,3075186000,3509593000,5611601000,-623781000,4987820000,69596000,5057416000,8567009000,40220000,72340000,15850000,18198000,146608000,-163720000,403000,-175358000,-86569000,-84595000,71213000,71213000,-3186000,-103137000,-131887000,-131887000,-131887000,146305000,3075186000,0.92639,0.31011,0.16695,0.00787,0.00465,0.23137,0.69395,0.35896,0.10796,0.10689,0.64666,13.52314,0.23471,0.01554,2.17401,20.81485,41.17239
"43","2020_Q4",37.486875,"Up",262028000,262028000,-20231000,-20231000,241797000,4763000,-167496000,-36043000,-88596000,-42857000,79064000,-19004000,-23059000,4023000,32000,60060000,11460000,71520000,72476000,72516000,-693000,71823000,71823000,6748000,6748000,15072000,15072000,44824000,44824000,66644000,7936350000,9573540000,-1637190000,740031000,740031000,8676381000,8743025000,128345000,26499000,101846000,379605000,379605000,507950000,3146428000,3146428000,3654378000,5656858000,-638639000,5018219000,70428000,5088647000,8743025000,72516000,75772000,-1459000,30955000,177784000,-90540000,-155426000,-223467000,-87300000,60066000,43087000,43087000,-15368000,485000,-45198000,-45198000,-45198000,154836000,3146428000,0.92279,0.30174,0.2741,0.01411,0.00821,0.1312,0.71814,0.35988,0.19354,0.19159,0.70609,13.52259,0.23525,0.01932,1.21549,20.27745,39.71061
"44","2021_Q1",38.9995081967213,"Up",266290000,266290000,-20008000,-20008000,246282000,107795000,-168580000,-31994000,-92354000,-44232000,185497000,-20984000,-24048000,2986000,78000,164513000,1905000,166418000,170364000,170364000,-1548000,168816000,168816000,6309000,6309000,15204000,15204000,78265000,78265000,99778000,8204578000,9863886000,-1659308000,807038000,807038000,9011616000,9111394000,94864000,18363000,76501000,397031000,397031000,491895000,3385051000,3385051000,3876946000,5727059000,-564087000,5162972000,71476000,5234448000,9111394000,170364000,77464000,-107252000,-13082000,127494000,-274272000,-24443000,-298715000,-94856000,237827000,68091000,68091000,13984000,225046000,53825000,53825000,53825000,262961000,3385051000,0.92486,0.6966,0.63396,0.03225,0.01853,0.20284,0.74066,0.37152,0.45368,0.44737,0.71564,13.87512,0.25492,0.03059,0.56189,12.84883,18.21454
"45","2021_Q2",44.9119047619048,"Up",289292000,289292000,-28130000,-28130000,261162000,21360000,-192526000,-53680000,-93573000,-45273000,89996000,-5776000,-22507000,16268000,463000,84220000,1168000,85388000,80204000,80204000,-842000,79362000,79362000,9009000,9009000,16925000,16925000,27221000,27221000,53155000,8430337000,10135348000,-1705011000,811955000,811955000,9242292000,9295447000,108514000,27605000,80909000,394901000,394901000,503415000,3532891000,3532891000,4036306000,5760481000,-579522000,5180959000,78182000,5259141000,9295447000,80204000,79062000,-15754000,6630000,150142000,-154285000,-55995000,-210280000,-95310000,110401000,30381000,30381000,-30346000,15126000,-45012000,-45012000,-45012000,169058000,3532891000,0.90276,0.31109,0.27433,0.01509,0.00854,0.10559,0.76748,0.38007,0.21239,0.21009,0.7742,13.86518,0.25507,0.01987,1.20095,20.84422,39.15598
"46","2021_Q3",49.2971875,"Up",271692000,271692000,-18515000,-18515000,253177000,95183000,-167407000,-29945000,-91729000,-45733000,180953000,-8809000,-21072000,10590000,1673000,172144000,9184000,181328000,177656000,177656000,-1839000,175817000,175817000,8252000,8252000,12103000,12103000,62087000,62087000,82442000,8452513000,10065003000,-1612490000,1309205000,1309205000,9761718000,9844160000,101360000,20726000,80634000,513739000,513739000,615099000,3714152000,3714152000,4329251000,5924711000,-498865000,5425846000,89063000,5514909000,9844160000,177656000,77408000,-110619000,17363000,161808000,-353901000,-31419000,-385320000,-95772000,176447000,156836000,156836000,16963000,254474000,30962000,30962000,30962000,258361000,3714152000,0.93185,0.66602,0.64712,0.03188,0.01786,0.13403,0.78501,0.37729,0.47052,0.46544,0.7271,14.52054,0.2563,0.02943,0.54473,14.34388,20.4799
"47","2021_Q4",56.76046875,"Up",280365000,280365000,-19766000,-19766000,260599000,439212000,-165821000,-33192000,-88033000,-44596000,533990000,-15604000,-20003000,2966000,1433000,518386000,-12240000,506146000,499765000,499765000,-4948000,494817000,494817000,9874000,9874000,12323000,12323000,369577000,369577000,391774000,8561074000,10220142000,-1659068000,1095529000,1095529000,9656603000,10048377000,125797000,21674000,104123000,522742000,522742000,648539000,3355455000,3355455000,4003994000,6050204000,-99905000.0000001,5950299000,94084000,6044383000,10048377000,499765000,73853000,-419399000,27943000,182162000,468059000,-17576000,450483000,-96537000,-373477000,124021000,124021000,-11456000,-357449000,275196000,275196000,275196000,607843000,3355455000,0.9295,1.90462,1.7649,0.08186,0.04924,0.60409,0.66243,0.33393,1.30483,1.2865,0.73932,15.69089,0.25457,0.06291,0.1951,5.50402,6.26525
"48","2022_Q1",55.9179032258064,"Down",264574000,264574000,-19371000,-19371000,245203000,29929999.9999999,-150555000,-20855000,-88813000,-40887000,124578000,-17399000,-21261000,2980000,882000,107179000,126000,107305000,103993000,103993000,-1094000,102899000,102899000,69752000,69752000,13449000,13449000,518890583.932355,518890583.932355,83201000,9318187000,11002600000,-1684413000,1044267000,1044267000,10362454000,10445655000,98279000,20815000,77464000,519133000,519133000,617412000,3689282000,3689282000,4306694000,6146972000,-103221000,6043751000,95210000,6138961000,10445655000,103993000,74612000,-26549000,-3742000,148314000,-701538000,14240000,-687298000,-106868000,337065000,95338000,95338000,-11756000,313779000,-225205000,-225205000,-225205000,199190000,3689282000,0.92678,0.47086,0.38892,0.01676,0.00985,0.13476,0.70153,0.35319,0.27134,0.26753,0.69768,15.93732,0.28181,0.02134,1.03857,18.17124,29.05433
"49","2022_Q2",54.3348387096774,"Down",278163000,278163000,-25286000,-25286000,252877000,210747000,-169602000,-25382000,-94001000,-50219000,294022000,-15359000,-19999000,3815000,825000,278663000,-20856000,257807000,251477000,251477000,-2556000,248921000,248921000,9160000,9160000,15947000,15947000,37167000,37167000,62274000,9671474000,11417620000,-1746146000,853661000,853661000,10525135000,10587409000,102383000,20891000,81492000,499433000,499433000,601816000,3651069000,3651069000,4252885000,6188954000,38851000,6227805000,106719000,6334524000,10587409000,251477000,79022000,-168542000,-19623000,142334000,-81990000,-21768000,-103758000,-107175000,-61174000,40578000,40578000,7739000,-120032000,-81456000,-81456000,-81456000,373044000,3651069000,0.9091,1.05701,0.89487,0.0393,0.02351,0.10348,0.67138,0.34485,0.6564,0.64718,0.73351,16.42267,0.28262,0.03566,0.43056,9.76268,12.38652
"50","2022_Q3",58.32890625,"Up",285288000,285288000,-21240000,-21240000,264048000,24831999.9999999,-172931000,-31226000,-93944000,-47761000,115949000,-12230000,-18734000,5565000,939000,103719000,462000,104181000,103688000,103688000,-1218000,102470000,102470000,44195000,44195000,13208000,13208000,-1516909251.79707,-1516909251.79707,57403000,9991647000,11800035000,-1808388000,909232000,909232000,10900879000,10958282000,110494000,22925000,87569000,551355000,551355000,661849000,3888680000,3888680000,4550529000,6266482000,34338000,6300820000,106933000,6407753000,10958282000,103688000,79172000,-29034000,31952000,185778000,-334473000,-22766000,-357239000,-107649000,238921000,75529000,75529000,4850000,211651000,40190000,40190000,40190000,195121000,3888680000,0.92555,0.40643,0.35918,0.01599,0.00935,0.08673,0.71016,0.35486,0.26328,0.26328,0.73301,16.1892,0.27659,0.02041,1.05054,19.70308,33.15669
