"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"15","2013_Q4",11.5840625,"Up",284462000,284462000,-41159000,-41159000,243303000,3365000,-200437000,-69765000,-101192000,-29480000,46231000,-59012000,-57022000,-27000,145000,-12781000,-726000,-13507000,-9007000,1337000,-48000,1289000,-6067000,24112000,24112000,20073000,20073000,28650000,28650000,72835000,6885964000,8270183000,-1384219000,928040000,928040000,7814004000,7886839000,181150000,36439000,144711000,257534000,257534000,438684000,4435211000,4435211000,4873895000,4604477000,-2072519000,2979641000,33303000,3012944000,7886839000,1337000,72765000,38928000,6389000,119419000,-142010000,49756000,-117953000,-62613000,34453000,30604000.0000001,30604000.0000001,-1200000,1244000,2710000,2710000,2710000,118996000,4435211000,0.85531,0.16252,-0.02133,-0.00201,-0.00077,0.16603,1.61765,0.56236,-0.01867,-0.01867,0.87555,7.79316,0.19272,0.00759,-10.32026,37.0693,95.41431
"16","2014_Q1",11.9668852459016,"Up",160914000,160914000,-10234000,-10234000,150680000,64253000,-139056000,-50356000,-63948000,-24752000,75877000,-19630000,-30809000,3674000,668000,56247000,-10020000,46227000,46807000,81257000,-4328000,76929000,69574000,19275000,19275000,26173000,26173000,19209000,19209000,64657000,6791221000,8159627000,-1368406000,896736000,896736000,7687957000,7752614000,195015000,52824000,142191000,258594000,258594000,453609000,4254376000,4254376000,4707985000,4624228000,-2058668000,3013243000,31386000,3044629000,7752614000,81257000,74465000,53970000,-91640000,118052000,-225791000,356240000,107688000,-62841000,-176249000,17159000,17159000,-8646000,-230577000,-4836999.99999994,-4836999.99999994,-4836999.99999994,150342000,4254376000,0.9364,0.47154,0.43237,0.02285,0.00897,0.14254,1.54632,0.54877,0.21328,0.20751,0.49328,7.8647,0.19264,0.01814,0.903230000000001,28.16978,55.81535
"17","2014_Q2",13.2620634920635,"Up",264466000,264466000,-42041000,-42041000,222425000,16005000,-181682000,-61965000,-88298000,-31419000,56748000,-46589000,-49261000,2321000,351000,10159000,-14000,10145000,7471000,25571000,-334000,25237000,18683000,19474000,19474000,34763000,34763000,27833000,27833000,82070000,6828050000,8247138000,-1419088000,857243000,857243000,7685293000,7767363000,165755000,36468000,129287000,261736000,261736000,427491000,4323210000,4323210000,4750701000,4653199000,-2096413000,2985712000,30950000,3016662000,7767363000,25571000,71393000,-8132000,-29695000,59137000,-124907000,50421000,-74906000,-62736000,55991000,23783000,23783000,-1070000,15968000,199000,199000,199000,128141000,4323210000,0.84103,0.21458,0.07064,0.00619000000000001,0.00241,0.19198,1.57482,0.55659,0.05712,0.05632,0.8085,7.81638,0.19179,0.01109,3.35792,33.58594,75.83943
"18","2014_Q3",13.83265625,"Up",274292000,274292000,-32221000,-32221000,242071000,74207000,-193361000,-74222000,-88500000,-30639000,122917000,7010000.00000001,-54045000,60826000,229000,129927000,-3409000,126518000,126154000,136527000,-1793000,134734000,127688000,21225000,21225000,33642000,33642000,37708000,37708000,92575000,6884965000,8314971000,-1430006000,884964000,884964000,7769929000,7862504000,203206000,56736000,146470000,273553000,273553000,476759000,4133885000,4133885000,4610644000,4824325000,-2028357000,3224894000,26966000,3251860000,7862504000,136527000,73225000,22819000,-87678000,144893000,-198650000,147519000,-54876000,-63369000,-183915000,167324000,167324000,-8306000,-88266000,1751000,1751000,1751000,196142000,4133885000,0.88253,0.44812,0.46552,0.03927,0.01624,0.19418,1.41785,0.52577,0.38489,0.37956,0.8268,8.42786,0.19101,0.02587,0.49628,20.96777,33.45884
"19","2014_Q4",14.65296875,"Up",261807000,261807000,-29828000,-29828000,231979000,50613000,-180203000,-63102000,-85772000,-31329000,102389000,-22788000,-42322000,19178000,356000,79601000,-6478000,73123000,73566000,71557000,-756000,70801000,61533000,66132000,66132000,32416000,32416000,30446000,30446000,128994000,6896127000,8361095000,-1464968000,859074000,859074000,7755201000,7884195000,183012000,34086000,148926000,263426000,263426000,446438000,4208547000,4208547000,4654985000,4895180000,-2025767000,3202207000,27003000,3229210000,7884195000,71557000,72345000,23780000,-50713000,116969000,-193142000,164420000,-30431000,-64601000,-40915000,64855000,64855000,-970000,-41631000,44907000,44907000,44907000,174734000,4208547000,0.88607,0.39109,0.23503,0.01906,0.0078,0.28894,1.44152,0.5338,0.18036,0.17793,0.76739,8.41063,0.18935,0.01696,1.04986,23.70698,40.45762
"20","2015_Q1",16.7396721311475,"Up",246286000,246286000,-32188000,-32188000,214098000,32331000,-162626000,-50104000,-83705000,-28817000,83803000,-38256000,-50558000,11992000,310000,45547000,-40587000,4960000,8399000,12800000,16000,12816000,-3011000,17922000,17922000,26168000,26168000,36224000,36224000,80314000,6203592000,7438929000,-1235337000,1470933000,1470933000,7674525000,7754839000,194050000,55110000,138940000,268270000,268270000,462320000,4412639000,4412639000,4874959000,4948241000,-2087916000,2860325000,19555000,2879880000,7754839000,12800000,73316000,82437000,-45065000,123488000,-123406000,82287000,-46818000,-64916000,-79418000,33160000,33160000,-13706000,-124880000,-48210000,-48210000,-48210000,157119000,4412639000,0.86931,0.34027,-0.01223,-0.00105,-0.00039,0.17372,1.69276,0.56902,-0.00878000000000004,-0.00866000000000003,0.71786,8.3371,0.18921,0.00849,-21.55961,27.97063,52.44105
"21","2015_Q2",15.5839682539683,"Down",267435000,267435000,-36124000,-36124000,231311000,28909000,-178266000,-64027000,-81903000,-32336000,81954000,-43026000,-49610000,6246000,338000,38928000,-28000,38900000,37416000,65969000,-725000,65244000,65244000,17806000,17806000,28961000,28961000,44860000,44860000,91627000,6033325000,7210044000,-1176719000,1605552000,1605552000,7638877000,7730504000,143530000,34634000,108896000,248423000,248423000,391953000,4444368000,4444368000,4836321000,4955769000,-2082071000,2873698000,20485000,2894183000,7730504000,65969000,66835000,-41602000,-48524000,42678000,-67644000,94721000,-22612000,-58607000,34359000,4882000,4882000,-816000,-20182000,-116000,-116000,-116000,148789000,4444368000,0.86492,0.30644,0.24396,0.02254,0.00844,0.23377,1.67105,0.57491,0.18933,0.18713,0.77608,8.3393,0.17007,0.01688,0.89827,29.7506,54.01276
"22","2015_Q3",15.171875,"Down",225898000,225898000,-30094000,-30094000,195804000,124422000,-148613000,-40977000,-78334000,-29302000,171613000,-26459000,-42957000,15123000,1375000,145154000,-89428000,55726000,58014000,454165000,-4785000,449380000,449380000,20254000,20254000,22649000,22649000,14529000,14529000,57432000,5998691000,7177667000,-1178976000,1058398000,1058398000,7057089000,7114521000,152784000,37289000,115495000,209151000,209151000,361935000,3460743000,3460743000,3822678000,4956675000,-1692234000,3264441000,27402000,3291843000,7114521000,454165000,61789000,134600000,-517580000,132974000,-88481000,1130159000,1041159000,-58667000,-1112204000,-126000,-126000,-688000.000000002,-1171685000,2448000.00000001,2448000.00000001,2448000.00000001,233402000,3460743000,0.86678,0.75969,1.9893,0.13651,0.06316,0.15868,1.16126,0.48643,1.30218,1.28703,0.65459,9.45946,0.17,0.07524,0.130549999999999,14.74061,20.04795
"23","2015_Q4",16.47484375,"Up",234536000,234536000,-30137000,-30137000,204399000,72918000,-150100000,-41033000,-79898000,-29169000,127217000,-45754000,-42009000,-5088000,1343000,81463000,-8022000,73441000,76746000,77208000,-774000,76434000,76434000,175874000,175874000,20985000,20985000,24822000,24822000,221681000,5977284000,7179869000,-1202585000,940944000,940944000,6918228000,7139909000,165071000,31330000,133741000,217375000,217375000,382446000,3446020000,3446020000,3828466000,4962513000,-1675248000,3287265000,24178000,3311443000,7139909000,77208000,63511000,43592000,-81745000,102566000,-133806000,267480000,128862000,-58693000,-16942000,-164000,-164000,-9000,-75808000,155620000,155620000,155620000,190728000,3446020000,0.8715,0.54242,0.32589,0.02308,0.01071,0.57964,1.15613,0.48264,0.22138,0.21705,0.67931,9.52124,0.17,0.02,0.76789,17.1456,25.70526
"24","2016_Q1",16.7688524590164,"Up",64307000,64307000,2933000,2933000,67240000,38507000,-48172000,-31698000,-5629000,-10845000,57575000,-21656000,-3682000,-19585000,1611000,35919000,-19666000,16253000,16072000,24519000,-267000,24252000,24252000,22533000,22533000,18846000,18846000,16459000,16459000,57838000,5912672000,7105097000,-1192425000,925005000,925005000,6837677000,6895515000,167891000,34447000,133444000,202682000,202682000,370573000,3320141000,3320141000,3690714000,4965376000,-1783444000,3181932000,22869000,3204801000,6895515000,24519000,61548000,60131000,-37764999.9999999,108433000,-149265000,140542000,-26110000,-131202000,-95629000.0000002,-62000,-62000,-8771000,-235664000,-153341000,-153341000,-153341000,119123000,3320141000,1.04561,0.89531,0.37713,0.00757,0.00352,0.15608,1.15162,0.48149,0.0702399999999999,0.06759,0.18625,9.21559,0.37999,0.02382,5.40995,27.68238,57.275
