"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",79.2793548387097,"Up",589982000,-465462000,124520000,-32490000,-32095000,-395000,92030000,-13844000,-13224000,-620000,78186000,78186000,-13807000,64379000,63669000,-747000,62922000,62922000,35421000,35421000,296947000,296947000,335092000,117647000,37889000,785107000,1750941000,707156000,615986000,51330000,39840000,2458097000,3243204000,182841000,99628000,69922000,27597000,27597000,217109000,1092117000,463957000,243759000,84437000,1556074000,1773183000,409356000,1098529000,-77480000,1430405000,39616000,1470021000,3243204000,63669000,44250000,7143000,-20687000,94375000,-39690000,3879000,-35811000,-18441000,-48767000,2672000,2672000,0,-64536000,-5972000,-5972000,-5972000,136280000,1098788000,89710000,0.21106,0.15599,0.10665,0.0428,0.0194,1.42573,3.61619,1.20623,0.3388,1.37199,1.3598,12.86429,31.18933,1.95609,0.4021,5,0.02683,0.02958,0.29308,7.80281,11.55457
"12","2013_Q1",90.974,"Up",502258000,-425536000,76722000,-36496000,-3.8e+07,1504000,40226000,-13350000,-13372000,22000.0000000001,26876000,26876000,-4947000,21929000,21724000,-190000,21534000,21534000,25394000,25394000,224050000,224050000,332311000,118646000,40930000,700401000,1753241000,707284000,616204000,50433000,40647000,2460525000,3160926000,131680000,83537000,48143000,35979000,35979000,173335000,1042183000,495109000,225592000,86395000,1537292000,1710627000,415116000,1101598000,-106169000,1410545000,39754000,1450299000,3160926000,21724000,44226000,3070000,31625000,100645000,-45082000,2074000,-45008000,-18465000,-51106000,3451000,3451000,456000,-65664000,-10027000,-10027000,-10027000,84452000,1047859000,75942000,0.15275,0.08009,0.04287,0.01485,0.00681,3.52661,4.04074,1.1795,0.3315,0.46878,0.46719,10.93386,30.70674,1.65321,0.40197,7,0.01336,0.02537,0.85748,12.10705,25.41801
"13","2013_Q2",94.9971875,"Up",383909000,-371088000,12821000,-36141000,-37648000,1814000,-23320000,-14119000,-13496000,-623000,-37439000,-37439000,8398000,-29041000,-29329000,1490000,-27839000,-27839000,37260000,37260000,202150000,202150000,347641000,128682000,49197000,715733000,1732087000,706955000,616350000,49548000,41057000,2439042000,3154775000,135416000,77080000,58336000,27597000,27597000,168690000,1072850000,503178000,230109000,88782000,1576028000,1744718000,421483000,1055256000,-104948000,1371791000,38266000,1410057000,3154775000,-29329000,43043000,4066000,795000,18575000,-21880000,-1049000,-22929000,-18503000,30600000,3494000,3494000,629000,16220000,11866000,11866000,11866000,19723000,1078527000,-9760000,0.0334,-0.06074,-0.07251,-0.01974,-0.00882,0.35059,4.24289,1.23734,0.34187,-0.60483,-0.60483,8.34077,29.8034,-0.21204,0.40199,5,-0.00312,-0.00326,-0.66464,52.79455,-44.65124
"14","2013_Q3",91.2565625,"Down",561325000,-454329000,106996000,-37362000,-37844000,757000,69634000,-13074000,-13619000,545000,56560000,56560000,-15098000,41462000,41567000,-260000,41307000,41307000,43712000,43712000,287521000,287521000,348873000,126379000,47275000,806485000,1717386000,707248000,616303000,48668000,42277000,2424634000,3231119000,154607000,99960000,54647000,31757000,31757000,192533000,1087150000,510769000,235505000,90415000,1597919000,1790452000,430397000,1077998000,-106257000,1402138000,38529000,1440667000,3231119000,41567000,42949000,5992000,-60611000,29897000,-28122000,-323000,-28445000,-18565000,14733000,7718000,7718000,1114000,5e+06,6452000,6452000,6452000,112583000,1093319000,38948000,0.19061,0.12405,0.07359,0.02867,0.01278,0.94289,4.18881,1.24279,0.33837,0.89545,0.89012,12.16833,30.39536,0.84431,0.40245,7,0.01966,0.01279,0.44944,9.32296,15.0732
"15","2013_Q4",90.7109375,"Down",665321000,-522213000,143108000,-34265000,-37140000,2964000,108843000,-13619000,-13518000,-101000,95224000,95224000,-22915000,72309000,72038000,-202000,71836000,71836000,57241000,57241000,331030000,331030000,350438000,106960000,29955000,845669000,1782618000,698724000,616634000,31836000,50254000,2491436000,3337105000,176802000,111266000,65536000,43461000,43461000,226432000,1107192000,504598000,243858000,89045000,1611790000,1838222000,431583000,1131276000,-102710000,1460149000,38734000,1498883000,3337105000,72038000,44105000,10812000,-9782000,117173000,-52340000,-59852000,-115594000,-18558000,30412000,359000,359000,-263000,11950000,13529000,13529000,13529000,152948000,1113361000,113741000,0.2151,0.16359,0.10797,0.04793,0.02153,1.58334,3.73476,1.22639,0.33363,1.55341,1.54989,14.38719,31.57489,2.45958,0.40131,8,0.029,0.03649,0.25834,6.90509,9.70315
"16","2014_Q1",106.484426229508,"Up",544996000,-443964000,101032000,-38201000,-37459000,-742000,62831000,-12950000,-12834000,-116000,49881000,49881000,-14430000,35451000,35156000,877000,36033000,36033000,42437000,42437000,245421000,245421000,347307000,120201000,45380000,755366000,1799241000,705219000,616621000,48591000,40007000,2504460000,3259826000,153373000,103600000,49773000,44773000,44773000,210549000,1018518000,455840000,279999000,97352000,1474358000,1684907000,433253000,1148738000,-44114000,1537877000,37042000,1574919000,3259826000,35156000,43664000,5189000,59297000,143306000,-52891000,5309999.99999999,-47581000,-18571000,-89942000,120000,120000,-2136000,-110529000,-14804000,-14804000,-14804000,106495000,1030921000,127331000,0.18538,0.11529,0.06612,0.02288,0.01105,3.53373,3.5876,1.06984,0.31625,0.77902,0.77729,11.78268,33.24852,2.75286,0.4015,7,0.01783,0.04159,0.51539,9.28198,15.73243
"17","2014_Q2",116.673492063492,"Up",428629000,-402794000,25835000,-41733000,-34247000,2026000,-15898000,-15664000,-12201000,-3463000,-31562000,-31562000,8424000,-23138000,-23153000,1535000,-21618000,-21618000,35801000,35801000,242587000,242587000,354718000,125108000,51788000,758214000,1793536000,703507000,616621000,47743000,39143000,2497043000,3255257000,157021000,98775000,58246000,24334000,24334000,193758000,1055541000,461665000,272346000,108862000,1517206000,1710964000,443013000,1108516000,-42744000,1508785000,35508000,1544293000,3255257000,-23153000,42466000,-4173000,-8528000,6612000,-36913000,1351000,-35562000,-18604000,33794000,6488000,6488000,636000,22314000,-6636000,-6636000,-6636000,26568000,1067944000,-27297000,0.06027,-0.03709,-0.05044,-0.014,-0.00664,1.2627,3.9132,1.10793,0.32807,-0.46676,-0.46676,9.25465,32.5766,-0.58938,0.40168,6,-0.00098,-0.00888,-0.86058,38.8491,-64.92282
"18","2014_Q3",120.136875,"Up",669226000,-533623000,135603000,-39361000,-36566000,2753000,96242000,-12656000,-12948000,292000,83586000,83586000,-23906000,59680000,59625000,-103000,59522000,59522000,34329000,34329000,343784000,343784000,348168000,150420000,78007000,876701000,1775374000,703968000,616621000,46896000,40451000,2479342000,3356043000,197235000,139442000,57793000,35086000,35086000,244725000,1072397000,471922000,275279000,113981000,1544319000,1789044000,457452000,1149388000,-42141000,1564699000,2300000,1566999000,3356043000,59625000,43681000,1668000,-41223000,63751000,-62337000,686000,-46609000,-18650000,16181000,3054000,3054000,-19199000,-18614000,-1472000,-1472000,-1472000,139923000,1084801000,60269000,0.20263,0.14381,0.08894,0.03798,0.01774,1.01255,3.58239,1.1417,0.32324,1.28294,1.27925,14.42453,33.7256,1.29904,0.40198,7,0.02503,0.01929,0.31333,7.5075,10.9149
"19","2014_Q4",110.49609375,"Down",1003723000,-808131000,195592000,-79636000,-48426000,-5092000,115956000,-17964000,-19805000,1841000,97992000,97992000,-44089000,53903000,53833000,-91000,53742000,53742000,73597000,73597000,523928000,523928000,475293000,139980000,49844000,1212798000,3377951000,2748109000,2043320000,51385007.0643017,704789000,6126060000,7338858000,377238000,230206000,147032000,45429000,45429000,436998000,1603944000,922303000,633951000,144275000,2526247000,2963245000,3240380000,1176121000,-43281000,4373220000,2393000,4375613000,7338858000,53833000,67932000,5453000,4047000,131265000,-53833000,110947000,117322000,-27009000,-209998000,28653000,28653000,-965000,-209319000,39268000,39268000,39268000,183888000,1618275000,178191000,0.19487,0.11553,0.05354,0.01228,0.00732,3.31567,2.77529,0.67722,0.22051,0.80109,0.79624,14.96174,65.18827,2.65616,0.4026,4,0.01168,0.02576,0.50257,8.4001,13.32124
"20","2015_Q1",120.493278688525,"Up",856373000,-691043000,165330000,-46757000,-50006000,4962000,118573000,-19411000,-21103000,1692000,99162000,99162000,-35276000,63886000,63989000,-34000,63955000,63955000,108651000,108651000,421001000,421001000,484919000,29607000,29607000,1044178000,3402770000,2772806000,2068799000,58031831.6883268,704007000,6175576000,7219754000,297591000,202476000,95115000,84721000,84721000,396648000,1571059000,899299000,489945000,160021000,2470358000,2867006000,3244290000,1213035000,-106159000,4351166000,1582000,4352748000,7219754000,63989000,68667000,6327000,41047000,180030000,-93613000,8812000,-84476000,-27041000,-33952000,1518999.99999999,1519000,-1026000,-60500000,35054000,35054000,35054000,187240000,1585395000,169950000,0.19306,0.13846,0.07468,0.01469,0.00886,2.65734,2.63251,0.65867,0.21959,0.9458,0.94033,12.66449,64.34732,2.51331,0.3999,5,0.01331,0.02486,0.42281,7.8869,12.4543
"21","2015_Q2",137.085238095238,"Up",691347000,-617086000,74261000,-48690000,-49450000,2364000,25571000,-20224000,-19331000,-893000,5347000,5347000,812000,6159000,6159000,-33000,6126000,6126000,56366000,56366000,381389000,381389000,505047000,103027000,103027000,1045829000,3365106000,2766384000,2071471000,64197240.4681885,694913000,6131490000,7177319000,288859000,184066000,104793000,40290000,40290000,343022000,1562190000,929924000,518360000,158641000,2492114000,2835136000,3256482000,1190807000,-106723000,4340566000,1617000,4342183000,7177319000,6159000,67268000,30188000,-68490000,35125000,-56085000,-9114000,-63391000,-28354000,-5716000,9942000,9942000,109000,-24019000,-52285000,-52285000,-52285000,92839000,1576063000,-32548000,0.10741,0.03699,0.00886,0.00141,0.00085,-5.31309,3.04887,0.65293,0.21959,0.09088,0.09052,10.2557,64.38958,-0.48283,0.42061,6,0.00503,-0.00475,4.62847,16.36917,59.43049
"22","2015_Q3",152.638125,"Up",921418000,-721265000,200153000,-63169000,-56783000,-4294000,136984000,-16076000,-19087000,3011000,120908000,120908000,-38929000,81979000,81979000,-40000,81939000,81939000,44169000,44169000,497468000,497468000,479856000,508629000,82134000,1530122000,3049523000,2680752000,2065882000,67242000,99926000,5730275000,7260397000,302068000,201235000,100833000,45800000,45800000,363301000,1637905000,948758000,521932000,154365000,2586663000,2949964000,3274766000,1146821000,-112814000,4308773000,1660000,4310433000,7260397000,81979000,67690000,9993000.00000001,-67718000,91944000,-97139000,373000,-71532000,-25931000,75558000,-82182000,17818000,-54000,-32609000,-12197000,-12197000,-12197000,204674000,1653338000,78746000,0.21722,0.14867,0.08893,0.01901,0.01129,0.96103,4.21172,0.68438,0.22772,1.2162,1.21152,13.67637,63.954,1.16881,0.38489,6,0.0156,0.01139,0.316470000000001,7.86211,11.74713
"23","2015_Q4",143.36828125,"Down",1082249000,-819745000,262504000,-83007000,-54887000,-26033000,179497000,-14437000,-18926000,4489000,165060000,165060000,-47483000,117577000,117577000,-35000,117542000,117542000,436429000,436429000,577424000,577424000,464525000,37427000,37427000,1515805000,3073534000,2719095000,2065644000,65556000,142040000,5792629000,7308434000,350289000,226837000,123452000,77567000,77567000,574859000,1553768000,927227000,540079000,158106000,2480995000,3055854000,3283860000,1079764000,-112742000,4250882000,1698000,4252580000,7308434000,117577000,64977000,34841000,-24885000,192510000,-84564000,420038000,335474000,-26934000,42807000,-151542000,6132000,-55000,-135724000,392260000,392260000,392260000,244474000,1700771000,182508000,0.24255,0.16586,0.10861,0.02764,0.01608,1.5527,2.63683,0.71859,0.23271,1.75882,1.75153,16.19406,63.60739,2.73093,0.40302,7,0.021,0.02653,0.22914,5.17168,7.04381
"24","2016_Q1",130.248524590164,"Down",844556000,-659707000,184849000,-47485000,-57114000,12310000,137364000,-14878000,-18943000,4065000,122486000,122486000,-39263000,83223000,83223000,-38000,83185000,83185000,168409000,168409000,410921000,410921000,469141000,33164000.0000001,33164000,1081635000,3.156e+09,2719976000,2068235000,65827000,141189000,5875976000,6957611000,268673000,164718000,103955000,79272000,79272000,366658000,1550061000,980715000,583459000,172718000,2530776000,2897434000,3288470000,874436000,-105622000,4057284000,2893000,4060177000,6957611000,83223000,63652000,31913000,74784000,253572000,-105678000,-6389999.99999988,-112005000,-26243000,-123917000,-259102000,3186000,-325000,-409587000,-268020000,-268020000,-268020000,201016000,1568774000,209385000,0.21887,0.16265,0.0985,0.02049,0.01196,2.5171,2.94998,0.71362,0.22548,1.27066,1.26685,12.90068,61.97544,3.19838,0.40086,7,0.01656,0.03168,0.31548,6.96644,10.19456
