"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.27619047619048,"Up",8544500000,-7647900000,896600000,-364300000,-3.24e+08,532300000,-131200000,-157700000,-157900000,26600000,-1e+05,401100000,401100000,-8700000,392400000,392400000,-322500000,69900000,69900000,134900000,134900000,3.056e+09,3.056e+09,990900000,425400000,296800000,128600000,4607200000,17735300000,4158600000,1035200000,2018300000,883500000,221600000,21893900000,26501100000,4411300000,4.19e+08,1.7e+08,3822300000,1.75e+08,354400000,354400000,4940700000,10915700000,232700000,72500000,160200000,11148400000,16089100000,9936700000,-54600000,9882100000,529900000,1.0412e+10,26501100000,392400000,218600000,2e+07,65400000,696400000,-322500000,-9900000,-38100000,-370500000,-311500000,65300000,-246400000,79500000,79500000,79500000,750900000,11090700000,502500000,0.10493,0.0623,0.00818,0.00671,0.00264,7.18884,0.9325,1.54525,0.4185,0.16909,0.16909,20.66884,23.90445,1.21553,0.68042680036574,0.00322,0.02312,14.59023,20.582
"2","2010_Q3",9.12953125,"Up",7543400000,-6676100000,867300000,-338600000,-298100000,528700000,-167800000,-178700000,-179200000,1.1e+07,-1e+05,360900000,360900000,-6500000,354400000,354400000,-300300000,54100000,54100000,494500000,494500000,2913500000,2913500000,1025500000,472100000,423200000,48900000,4905600000,1.8332e+10,5051900000,1896100000,2050600000,873200000,2.32e+08,23383900000,28289500000,3948600000,457900000,232900000,3257800000,2.55e+08,463800000,463800000,4667400000,12416500000,280200000,72900000,207300000,12696700000,17364100000,10429600000,-33200000,10396400000,5.29e+08,10925400000,28289500000,354400000,234900000,41100000,-406400000,2.24e+08,-391500000,-1220500000,90700000,-1521300000,1499100000,162600000,1658900000,361600000,361600000,361600000,763600000,12671500000,-27800000,0.11497,0.07009,0.00717,0.00495,0.00191,-0.51386,1.05103,1.58933,0.44792,0.13005,0.13005,18.13317,24.99135,-0.0668299999999997,4.49622762686173,0.00227,-0.00116,15.94683,23.03197
"3","2010_Q4",10.296875,"Up",8067800000,-7117100000,950700000,-413100000,-3.43e+08,537600000,-185100000,-191100000,-1.92e+08,5600000,4e+05,352500000,352500000,-4900000,347600000,347600000,-310600000,3.7e+07,3.7e+07,42700000,42700000,3036600000,3036600000,1.21e+09,354100000,290600000,63500000,4643400000,1.881e+10,5019300000,1860300000,2052700000,864700000,241600000,23829300000,28472700000,4120200000,511200000,172200000,3436800000,135907540.840239,470500000,470500000,4590700000,12704800000,341600000,7.5e+07,266600000,13046400000,17637100000,10493500000,-185400000,10308100000,527500000,10835600000,28472700000,347600000,255600000,2e+06,-81800000,523400000,-587600000,-8900000,-13200000,-609700000,-61500000,-305900000,-367500000,-453800000,-453800000,-453800000,793200000,12704800000,128700000,0.11784,0.06664,0.00459,0.00341,0.0013,3.47838,1.01148,1.6277,0.44621,0.08894,0.08894,19.39375,24.77909,0.30938,6.43608536007315,0.00155,0.00539,15.96331,23.55301
"4","2011_Q1",10.6690322580645,"Up",9583600000,-8.643e+09,940600000,-4.54e+08,-400100000,486600000,-191300000,-212600000,-212800000,18800000,2500000,295300000,295300000,-6e+06,289300000,289300000,-129500000,159800000,159800000,65500000,65500000,3800100000,3800100000,1.134e+09,507500000,3.72e+08,135500000,5507100000,19332900000,6520800000,1841700000,2107700000,2293100000,278300000,25853700000,31360800000,5092800000,5.42e+08,252900000,4297900000,282300000,505100000,505100000,5880200000,13281200000,298600000,7.8e+07,220600000,13579800000,1.946e+10,11406700000,-32500000,11374200000,526600000,11900800000,31360800000,289300000,2.76e+08,36400000,254500000,856200000,-594600000,-82600000,-72900000,-750100000,-292500000,205500000,-83900000,22200000,22200000,22200000,762600000,13563500000,428500000,0.09815,0.05077,0.01667,0.01343,0.0051,2.68148,0.93655,1.63518,0.4325,0.29107,0.28689,17.45647,20.71803,0.78051,7,0.0062,0.01663,17.69997,27.73942
"5","2011_Q2",10.6014285714286,"Down",10183700000,-9111500000,1072200000,-463500000,-425600000,608700000,-167100000,-183500000,-183800000,16200000,2e+05,441600000,441600000,-7100000,434500000,434500000,-13800000,420700000,420700000,150400000,150400000,3881300000,3881300000,800800000,614300000,391700000,222600000,5446800000,19892900000,6481500000,1.794e+09,2107700000,2269900000,309900000,26374400000,31821200000,5006600000,607600000,181300000,4217700000,782300000,669200000,669200000,6458100000,13273600000,289500000,78600000,210900000,13563100000,20021200000,1.1377e+10,-100100000,11276900000,523100000,1.18e+10,31821200000,434500000,241100000,8700000,118400000,802700000,-626100000,-3800000,-96500000,-726400000,20200000,-11600000,8600000,84900000,84900000,84900000,849800000,14055900000,349200000,0.10529,0.05977,0.04131,0.03565,0.01322,0.83005,0.84341,1.69671,0.44171,0.25845,0.24738,6.25611,6.92769,0.21452,6.68797154664228,0.01609,0.01336,16.36326,22.84459
"6","2011_Q3",10.70625,"Up",11216500000,-10140600000,1075900000,-443100000,-392700000,632800000,-176900000,-1.88e+08,-188300000,11100000,0,455900000,455900000,-7400000,448500000,448500000,-14800000,433700000,433700000,109100000,109100000,4274300000,4274300000,994100000,5.61e+08,407100000,153900000,5938500000,20798900000,6.241e+09,1756600000,2107100000,2085900000,291400000,27039900000,32978400000,6010500000,770300000,2.71e+08,4969200000,782300000,5.66e+08,5.66e+08,7358800000,13544700000,299600000,80900000,218700000,13844300000,21203100000,11360400000,-106200000,11254200000,521100000,11775300000,32978400000,448500000,243700000,27500000,232100000,951800000,-833200000,-8e+06,75400000,-765800000,-234800000,7499999.99999997,-227300000,-41300000,-41300000,-41300000,876500000,1.4327e+10,282800000,0.09592,0.05642,0.03867,0.03683,0.01315,0.65206,0.80699,1.80064,0.43444,0.26607,0.2547,6.88129,6.90442,0.1735,6,0.01643,0.01071,16.22122,22.46824
"7","2011_Q4",11.5846031746032,"Up",11327100000,-10146200000,1180900000,-508400000,-458400000,672500000,-181400000,-188700000,-1.89e+08,8600000,-1300000,491100000,491100000,-11600000,479500000,479500000,-8100000,471400000,471400000,29100000,29100000,4008400000,4008400000,1389300000,921600000,350400000,116100000,6348400000,21388100000,5987900000,1686600000,2092300000,1908500000,300500000,2.7376e+10,33724400000,5932400000,820800000,183900000,4927700000,1e+09,711500000,711500000,7643900000,14108700000,420300000,83800000,336500000,1.4529e+10,22172900000,11775500000,-336800000,11438700000,112800000,11551500000,33724400000,479500000,254400000,35700000,-295900000,473700000,-880100000,-1e+05,33800000,-846400000,307500000,-14800000,292700000,-8e+07,-8e+07,-8e+07,926900000,15108700000,-237500000,0.10425,0.05937,0.04162,0.04081,0.01398,-0.50382,0.83052,1.91948,0.44801,0.28709,0.27464,6.89836,6.96632,-0.14464,6,0.01741,-0.00877,16.26885,22.4232
"8","2012_Q1",13.2188709677419,"Up",11585700000,-10155200000,1430500000,-531800000,-488300000,898700000,-171800000,-182800000,-1.83e+08,10500000,499999.999999998,726900000,726900000,-1100000,725800000,725800000,-4700000,721100000,721100000,19800000,19800000,4501800000,4501800000,1111700000,435400000,353400000,8.2e+07,6068700000,22191600000,5864800000,1656200000,2092300000,1859600000,256700000,28056400000,34125100000,6319800000,7.73e+08,288100000,5258700000,5e+08,612600000,612600000,7432400000,14029400000,4.44e+08,91200000,352800000,14473400000,21905800000,12464800000,-351400000,12113400000,105900000,12219300000,34125100000,725800000,267800000,-77700000,186400000,1102300000,-449400000,-18100000,28500000,-4.39e+08,-1142100000,469500000,-672600000,-9300000,-9300000,-9300000,1166500000,14529400000,904600000,0.12347,0.07757,0.06224,0.05901,0.02113,1.25447,0.81652,1.79272,0.42577,0.42493,0.40986,6.82717,7.13813,0.53306,7,0.02652,0.03327,12.43858,16.1451
"9","2012_Q2",13.3314285714286,"Up",11252500000,-10318800000,933700000,-194700000,-148400000,7.39e+08,-117900000,-186200000,-186500000,9900000,58400000,621100000,621100000,34400000,655500000,655500000,-4200000,651300000,651300000,88300000,88300000,4526700000,4526700000,934100000,548100000,452900000,95200000,6097200000,22910300000,4885200000,1644200000,2092300000,895300000,253400000,27795500000,33892700000,5966200000,8.72e+08,184500000,4909700000,1.05e+09,680400000,680400000,7696600000,13570800000,2.37e+08,2.2e+07,2.15e+08,13807800000,21504400000,12620600000,-341800000,12278800000,109500000,12388300000,33892700000,655500000,266100000,-100500000,-216200000,604900000,30100000,-50600000,-1.5e+07,-35500000,-511400000,10500000,-500900000,68500000,68500000,68500000,1005100000,14620800000,784600000,0.08298,0.06567,0.05788,0.05257,0.01922,1.20467,0.79219,1.73586,0.43138,0.38017,0.36643,6.56812,7.16717,0.45797,4,0.0239,0.0288,14.45876,19.66509
"10","2012_Q3",14.4015873015873,"Up",9789800000,-8.788e+09,1001800000,-2.64e+08,-221500000,737800000,-162100000,-186500000,-186600000,11300000,13100000,575700000,575700000,-8499999.99999999,567200000,567200000,-9e+05,566300000,566300000,14500000,14500000,3724900000,3724900000,892900000,437100000,434800000,2300000,5069400000,23760600000,4837100000,1619200000,2092300000,913200000,212400000,28597700000,33667100000,5161600000,762600000,289100000,4109900000,1.7e+09,756700000,756700000,7618300000,13346700000,2.26e+08,23800000,202200000,13572700000,2.1191e+10,1.2685e+10,-318700000,12366300000,109800000,12476100000,33667100000,567200000,271600000,-20900000,-84499999.9999999,733400000,-676500000,-74900000,37100000,-714300000,-111200000,37400000,-92900000.0000001,-73800000,-73800000,-73800000,1009400000,15046700000,256900000,0.10233,0.07536,0.05785,0.04539,0.01682,0.45365,0.66542,1.69853,0.44693,0.31818,0.31818,5.50051,6.94814,0.14434,6,0.02041,0.00926,14.89221,20.37436
