"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",28.5761904761905,"Down",1.1146e+10,-7.565e+09,3.581e+09,-2.223e+09,-1.551e+09,-6.72e+08,1.358e+09,-2.15e+08,-4.86e+08,-5e+06,2.36e+08,4e+07,1.143e+09,1.143e+09,-1.98e+08,9.45e+08,9.45e+08,-2.24e+08,7.21e+08,-8.3e+07,6.38e+08,-8409638695.35552,-8409638695.35552,23020535525.2575,23020535525.2575,21516971939.8939,2433452446.86681,2433452446.86681,38561321216.6627,138354580983.391,-18413779757.0616,56683433041.8607,4956550858.03089,50889985838.2768,-738865501.761716,1575761847.31463,176624234268.19,215185555484.853,89746281266.9842,84456977792.9645,5289303474.01971,16439806719.9429,106696491440.684,35602806806.3119,-9273173897.16949,749182692.151596,-10022356589.3211,26329632909.1424,133026124349.827,7747000015.79295,37020730255.6579,-19452300507.0891,9052001069.33122,34367430833.693,47792000301.3329,82159431135.0259,215185555484.853,9.45e+08,6.72e+08,-1.81e+08,3.4e+08,1.776e+09,-1.586e+09,-2.552e+09,9e+06,-3.448e+09,-8.51e+08,2.259e+09,4e+06,4e+06,-9.9e+07,1.313e+09,-3.59e+08,-3.59e+08,-9e+06,-3.68e+08,2.03e+09,0,9.82e+08,0.32128,0.12184,0.05724,0.360352474511824,0.158572704274843,1.53918,-1.28512163638093,1.68830444420544,0.193552581679747,0.31631,0.31584,5.52603,13.1980257264623,0.48686,0.42191,0.155643877590874,-0.841856587256395,1.33386,227.883303518012,462.934918158195
"2","2017_Q3",29.207619047619,"Up",1.1116e+10,-6.918e+09,4.198e+09,-2.514e+09,-1.646e+09,-8.68e+08,1.684e+09,-1.5e+08,-5.65e+08,1.12e+08,2.36e+08,6.7e+07,1.534e+09,1.534e+09,-2.93e+08,1.241e+09,1.241e+09,-2.41e+08,1e+09,-8.1e+07,9.19e+08,-3407819347.67776,-3407819347.67776,14555767762.6288,14555767762.6288,10685485969.9469,1111226223.4334,1111226223.4334,22944660608.3313,108984790491.695,1003110121.46922,50310216520.9303,3720775429.01545,40533992919.1384,246567249.119142,5808880923.65732,160298117134.095,183242777742.426,46766640633.4921,44118988896.4823,2647651737.00986,8497903359.97144,55506245720.3422,49665903403.156,4444413051.41526,5157591346.0758,-713178294.660543,54110316454.5712,109616562174.913,7747000007.89648,45823365127.8289,-10452150253.5445,2036500534.66561,45154715416.8465,28471500150.6665,73626215567.5129,183242777742.426,1.241e+09,8.68e+08,-2.95e+08,1.57e+08,1.971e+09,-2.145e+09,-2.26e+08,-1e+07,-2.381e+09,-7.4e+08,7.58e+08,5000000.00000012,5000000.00000012,3.42e+08,3.65e+08,-44999999.9999999,-44999999.9999999,-2.3e+07,-6.8e+07,2.552e+09,3.814697265625e-06,8.57e+08,0.37765,0.15149,0.08267,0.150306237255912,0.0661263521374218,0.93254,-0.172150818190467,1.50446722210272,0.308191290839873,0.45563,0.45495,5.51116,18.5462128632312,0.42489,0.36688,0.067446938795437,-0.408703293628198,0.80522,115.622886759006,225.790874079098
"3","2017_Q4",27.9692063492063,"Down",9.227e+09,-5.302e+09,3.925e+09,-2.435e+09,-1.587e+09,-8.48e+08,1.49e+09,-1.48e+08,-6.53e+08,1.5e+08,2.8e+08,7.5e+07,1.342e+09,1.342e+09,-3.27e+08,1.015e+09,1.015e+09,-1.68e+08,8.47e+08,-8.2e+07,7.65e+08,-651939782.559254,-651939782.559254,9523922587.54292,9523922587.54292,4410828656.64898,411075407.811135,411075407.811135,13693886869.4438,94651263497.2318,11940370040.4897,46825072173.6434,3256591809.67182,35650997639.7128,817189083.039714,7100293641.21911,153416705711.365,167110592580.809,21802213544.4974,20594662965.4941,1207550579.00329,4942634453.32381,26842081906.7807,57554967801.052,12678137683.8051,7874863782.02527,4803273901.77982,70233105484.8571,97075187391.6378,7747000002.63216,51092788375.943,-5041050084.51485,-905499821.778129,52893238472.2822,17142166716.8888,70035405189.171,167110592580.809,1.015e+09,8.48e+08,8.1e+07,-3.76e+08,1.568e+09,-1.971e+09,-2.34e+08,0,-2.205e+09,-7.32e+08,1.374e+09,1.3e+07,1.3e+07,-2.52e+08,4.03e+08,-2.34e+08,-2.34e+08,-4.5e+07,-2.79e+08,2.338e+09,0,3.18e+08,0.42538,0.16148,0.08291,0.0410854124186374,0.0180554507124739,0.41569,0.416233060603178,1.38776240736757,0.373640430279958,0.37928,0.37871,4.57462,22.3828676210771,0.15766,0.36292,0.0218723129318123,-0.152744431209399,0.95686,53.2683589196686,94.6150280263659
"4","2018_Q1",25.8070491803279,"Down",1.2889e+10,-8.852e+09,4.037e+09,-2.433e+09,-1.658e+09,-7.75e+08,1.604e+09,-5.05e+08,-8.52e+08,-2e+07,3.5e+08,1.7e+07,1.099e+09,-3.45e+09,3.515e+09,65000000.0000001,65000000.0000001,2.26e+08,2.91e+08,-8.4e+07,2.07e+08,4.8e+08,4.8e+08,7.053e+09,7.053e+09,1.528e+09,1.54e+08,1.54e+08,9.215e+09,9.0711e+10,1.6644e+10,4.5523e+10,3.267e+09,3.4457e+10,1.09e+09,6.709e+09,1.52878e+11,1.62093e+11,1.0269e+10,9.635e+09,6.34e+08,4.315e+09,1.4624e+10,6.0865e+10,1.6805e+10,9.295e+09,7.51e+09,7.767e+10,9.2294e+10,7.747e+09,5.3931e+10,-2.468e+09,-1.075e+09,5.8135e+10,1.1664e+10,6.9799e+10,1.62093e+11,65000000.0000001,7.75e+08,9.62e+08,-4.59e+08,1.343e+09,-2.746e+09,-5.74e+08,3.16e+08,-3.003e+09,-7.57e+08,-4.9e+08,2.016e+09,2.016e+09,6.26e+08,1.395e+09,-2.65e+08,-2.65e+08,5e+06,-2.6e+08,2.379e+09,6.518e+10,-4.341e+09,0.31321,0.12445,0.01606,0.00297,0.00128,-20.97101,0.63013,1.32228,0.40211,0.10263,0.10248,6.39018,24.98166,-2.15221,0.37531,0.00635,-0.0286,3.657,27.1963,40.33666
"5","2018_Q2",23.74140625,"Down",1.2726e+10,-8.321e+09,4.405e+09,-2.465e+09,-1.641e+09,-8.24e+08,1.94e+09,-4.41e+08,-6.56e+08,-1.85e+08,3.35e+08,6.5e+07,1.499e+09,4.37e+08,7.3e+07,5.1e+08,5.1e+08,2.4e+07,5.34e+08,-8.9e+07,4.45e+08,6.1e+08,6.1e+08,6.271e+09,6.271e+09,8.72e+08,1.61e+08,1.61e+08,7.914e+09,9.2521e+10,1.736e+10,4.5699e+10,3.455e+09,3.5168e+10,1.182e+09,5.894e+09,1.5558e+11,1.63494e+11,7.583e+09,6.991e+09,5.92e+08,5.156e+09,1.2772e+10,6.1191e+10,1.8202e+10,9.812e+09,8.39e+09,7.9393e+10,9.2165e+10,7.747e+09,5.544e+10,-1.982e+09,2.27e+08,6.1432e+10,9.897e+09,7.1329e+10,1.63494e+11,5.1e+08,8.24e+08,1.238e+09,6.22e+08,3.194e+09,-1.893e+09,-2.22e+08,4.7e+07,-2.068e+09,-8.51e+08,1.57e+08,1.3e+07,1.3e+07,-3.28e+08,-1.009e+09,1.17e+08,1.17e+08,1.9e+07,1.36e+08,2.764e+09,6.6347e+10,1.42e+09,0.34614,0.15244,0.03497,0.00624,0.00272,3.19101,0.61964,1.29211,0.40581,0.22062,0.2203,6.30937,26.61626,0.70402,0.42191,0.00831,0.00911,1.91236,23.78329,33.88505
"6","2018_Q3",26.5633333333333,"Up",1.0745e+10,-6.699e+09,4.046e+09,-2.465e+09,-1.636e+09,-8.29e+08,1.581e+09,-3.41e+08,-6.9e+08,-4.3e+07,3.63e+08,2.9e+07,1.24e+09,1.23e+09,97000000.0000005,1.327e+09,1.327e+09,-1.67e+08,1.16e+09,-8.9e+07,1.071e+09,4.57e+08,4.57e+08,6.1e+09,6.1e+09,1.205e+09,2.22e+08,2.22e+08,7.984e+09,9.4058e+10,1.6391e+10,4.7003e+10,3.556e+09,3.5436e+10,1.227e+09,6.784e+09,1.57452e+11,1.65436e+11,8.488e+09,7.792e+09,6.96e+08,5.793e+09,1.4313e+10,5.994e+10,1.8518e+10,9.929e+09,8.589e+09,7.8458e+10,9.2771e+10,7.747e+09,5.5859e+10,-2.649e+09,1.175e+09,6.2132e+10,1.0533e+10,7.2665e+10,1.65436e+11,1.327e+09,8.29e+08,2.1e+08,9.78e+08,3.344e+09,-1.771e+09,-3.89e+08,1.089e+09,-1.071e+09,-8.16e+08,-1.366e+09,1000000.00000024,1000000.00000024,-2.09e+08,-2.39e+09,-1.17e+08,-1.17e+08,1.6e+07,-1.01e+08,2.41e+09,6.5733e+10,1.52e+09,0.37655,0.14714,0.09967,0.01474,0.00647,1.41923,0.55781,1.27669,0.39733,0.53099,0.5302,5.32722,26.96331,0.75359,0.40456,0.01203,0.00969,0.7619,27.08548,41.28779
"7","2018_Q4",24.8196825396825,"Down",1.1345e+10,-7.017e+09,4.328e+09,-2.451e+09,-1.652e+09,-7.99e+08,1.877e+09,-2.94e+08,-6.96e+08,5.7e+07,3.78e+08,-3.3e+07,1.583e+09,5.6e+08,-3.47e+08,2.13e+08,2.13e+08,-2.09e+08,4e+06,-9.4e+07,-9e+07,6.43e+08,6.43e+08,5.668e+09,5.668e+09,1.362e+09,1.58e+08,1.58e+08,7.831e+09,9.0679e+10,1.5983e+10,4.873e+10,3.273e+09,3.3477e+10,1.342e+09,1.0638e+10,1.55392e+11,1.63223e+11,8.4e+09,7.789e+09,6.11e+08,4.767e+09,1.3167e+10,5.8707e+10,1.913e+10,1.004e+10,9.09e+09,7.7837e+10,9.1004e+10,7.747e+09,5.629e+10,-3.718e+09,4.68e+08,6.0787e+10,1.1432e+10,7.2219e+10,1.63223e+11,2.13e+08,7.99e+08,1.106e+09,-6.57e+08,1.461e+09,5.02e+08,-4.8e+08,4.5e+07,6.7e+07,-8.55e+08,-1.565e+09,3e+06,3e+06,1.005e+09,-1.412e+09,1.16e+08,1.16e+08,-1.2e+07,1.04e+08,2.676e+09,6.3474e+10,2.868e+09,0.38149,0.16545,-0.00793,-0.00125,-0.000550000000000001,-31.86667,0.59474,1.26011,0.38888,-0.04462,-0.04455,5.62469,26.29648,1.42191,0.4239,0.00494,0.01852,-9.5,23.47945,33.47416
"8","2019_Q1",28.2631147540984,"Up",1.1562e+10,-7.364e+09,4.198e+09,-2.657e+09,-1.863e+09,-7.94e+08,1.541e+09,-1.24e+08,-6.61e+08,-3.51e+08,4.33e+08,4.55e+08,1.417e+09,1.343e+09,-6e+07,1.283e+09,1.283e+09,-9.9e+07,1.184e+09,-9.5e+07,1.089e+09,5.18e+08,5.18e+08,6.517e+09,6.517e+09,1.339e+09,1.98e+08,1.98e+08,8.572e+09,9.454e+10,1.6707e+10,4.7086e+10,2.372e+09,3.4459e+10,1.374e+09,8.881e+09,1.58333e+11,1.66905e+11,1.0572e+10,9.903e+09,6.69e+08,4.283e+09,1.4855e+10,6.0327e+10,1.8288e+10,9.454e+09,8.834e+09,7.8615e+10,9.347e+10,7.747e+09,6.4677e+10,-5.538e+09,2.584e+09,6.947e+10,3.965e+09,7.3435e+10,1.66905e+11,1.283e+09,7.94e+08,4.54e+08,-2.8e+07,2.503e+09,2.68e+08,-2.21e+08,7999999.99999988,55000000.0000001,-1.322e+09,-8.1e+08,4000000.00000001,4000000.00000001,-5.64e+08,-2.692e+09,-1.34e+08,-1.34e+08,4.5e+07,-88999999.9999999,2.335e+09,6.461e+10,2.635e+09,0.36309,0.13328,0.09419,0.01483,0.00652,2.41965,0.57704,1.27283,0.38711,0.53991,0.53911,5.73228,30.60139,1.3064,0.65543,0.01542,0.01686,1.21396,27.44839,41.59117
"9","2019_Q2",29.0025396825397,"Up",1.2856e+10,-7.772e+09,5.084e+09,-2.465e+09,-1.625e+09,-8.4e+08,2.619e+09,-1.2e+07,-6.85e+08,2.14e+08,4.13e+08,4.6e+07,2.607e+09,2.607e+09,-5.84e+08,2.023e+09,2.023e+09,-3.7e+07,1.986e+09,-9.5e+07,1.891e+09,7.02e+08,7.02e+08,6.486e+09,6.486e+09,1.047e+09,1.47e+08,1.47e+08,8.382e+09,9.3875e+10,1.6902e+10,4.7349e+10,2.301e+09,3.3895e+10,1.292e+09,9.861e+09,1.58126e+11,1.66508e+11,7.934e+09,7.361e+09,5.73e+08,5.191e+09,1.3125e+10,6.068e+10,1.8784e+10,9.74e+09,9.044e+09,7.9464e+10,9.2589e+10,7.747e+09,6.48e+10,-3.64e+09,1.398e+09,7.0305e+10,3.614e+09,7.3919e+10,1.66508e+11,2.023e+09,8.4e+08,-2e+07,-6.67e+08,2.176e+09,-1.638e+09,-5.65e+08,5.5e+07,-2.148e+09,-1.576e+09,2.025e+09,1.8e+07,1.8e+07,-3.68e+08,9.9e+07,1.27e+08,1.27e+08,-7e+06,1.2e+08,3.459e+09,6.5871e+10,1.738e+09,0.39546,0.20372,0.14709,0.02558,0.01136,0.91909,0.63863,1.25257,0.3956,0.93753,0.93614,6.37382,31.01537,0.86168,0.78136,0.02186,0.01096,0.83342,18.84042,24.88316
"10","2019_Q3",27.97796875,"Down",1.3263e+10,-8.441e+09,4.822e+09,-2.537e+09,-1.695e+09,-8.42e+08,2.285e+09,-1.9e+07,-6.37e+08,1.4e+08,4.13e+08,65000000.0000001,2.266e+09,2.266e+09,-4.36e+08,1.83e+09,1.83e+09,2e+06,1.832e+09,-9.6e+07,1.736e+09,7.08e+08,7.08e+08,6.257e+09,6.257e+09,1.284e+09,1.44e+08,1.44e+08,8.393e+09,9.3202e+10,1.6531e+10,4.6702e+10,2.215e+09,3.3342e+10,1.204e+09,9.941e+09,1.56435e+11,1.64828e+11,7.808e+09,7.182e+09,6.26e+08,5.56e+09,1.3368e+10,6.0017e+10,1.8638e+10,9.767e+09,8.871e+09,7.8655e+10,9.2023e+10,7.747e+09,6.4926e+10,-3.392e+09,7.3e+07,6.9354e+10,3.451e+09,7.2805e+10,1.64828e+11,1.83e+09,8.42e+08,-1.66e+08,-1.2e+07,2.494e+09,-1.247e+09,-1.35e+08,7.3e+07,-1.309e+09,-1.591e+09,4.93e+08,0,0,-58999999.9999999,-1.157e+09,2.8e+07,2.8e+07,-1.8e+07,1e+07,3.127e+09,6.5577e+10,2.304e+09,0.36357,0.17228,0.13089,0.02384,0.01053,1.32719,0.62784,1.26397,0.39785,0.86068,0.85941,6.57561,30.54388,1.14229,0.7888,0.02119,0.01467,0.91647,20.7448,28.38906
