"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",10.8663492063492,"Up",75697000,59514000,73398000,-13884000,16183000,314000,3891000,9520000,2458000,-20910000,54787000,-41961000,-41961000,12826000,12826000,12826000,-2756000,10070000,10070000,10070000,10070000,309021176.285636,2937794183.09765,3805236026.23435,-168778009.385917,3974014035.62026,174282613.621801,147501096.677037,69769885.3151878,7736018009.89749,5102279335.68332,4498736565.71906,603542769.964258,223220341.236964,1738734663.33659,-101786213.68827,6962448126.5686,645680933.797001,193269558.941439,-65380609.4095514,773569883.328889,773569883.328889,7736018009.89749,62937000,-2858000,-2858000,-116993000,12856000,-107672000,-9348000,-189802000,64692000,11247000,-33488000,-33488000,-33488000,0,0.16944,0.13303,0.0314326148087777,0.00373026882211797,8.79188334019136,0.266768084729131,0.16044,0.16044,1.20607,10.7582651566605,0.14894,0.0049058949265593,0.9283,171.994163991119
"2","2010_Q3",9.85515625,"Down",81487000,60069000,73818000,-13749000,21418000,242000,6133000,10641000,4402000,-17246000,64241000,-48236000,-48236000,16005000,16005000,16005000,-2783000,13222000,13222000,13222000,13222000,168468000,1743268000,3817297000,-141665000,3958962000,144361000,146259000,239822000,6294836000,4510116000,3657995000,852121000,224397000,655042000,59533000,5449088000,644231000,192724000,8793000,845748000,845748000,6294836000,33513000,-6145000,-6145000,-83560000,-1670000,-90698000,-9349000,-287302000,345272000,48566000,-8618999.99999999,-8618999.99999999,-8618999.99999999,879439000,0.19641,0.16226,0.01563,0.0021,6.44292,0.13971,0.18373,0.18373,1.13234,11.75243,0.12991,0.00359,0.70708,44.42181
"3","2010_Q4",9.4125,"Down",82507000,58522000,72103000,-13581000,23985000,2041000,7367000,11956000,2621000,-19162000,63345000,-52015000,-52015000,11330000,11330000,11330000,-1885000,9445000,9445000,9445000,9445000,115514000,1825159000,3734777000,-134257000,3869034000,143645000,146259000,277337000,6272659000,4417841000,3530204000,887637000,237609000,704280000,59275000,5419005000,644393000,192819000,16442000,853654000,853654000,6272659000,2384000,-1940000,-1940000,-60423000,38877000,-23486000,-9350000,69773000,-92275000,-31852000,-52954000,-52954000,-52954000,941889000,0.13732,0.11448,0.01106,0.00151,6.34801,0.15016,0.13124,0.13124,1.14649,11.86206,0.12992,0.003,0.98994,72.93689
"4","2011_Q1",10.1140322580645,"Up",82623000,56663000,69083000,-12420000,25960000,2225000,9842000,10923000,2970000,-27375000,55248000,-45736000,-45736000,9512000,9512000,9512000,80999.9999999998,9593000,9593000,9593000,9593000,105091000,2395847000,3612182000,-137107000,3749289000,152492000,146259000,242092000,6759287000,4521902000,3666073000,855829000,249403000,1090273000,59505000,5921083000,644613000,193063000,528000,838204000,838204000,6759287000,95109000,-11709000,-11709000,-674483000,85542000,-600650000,-9349000,400406000,104061000,495118000,-10423000,-10423000,-10423000,1339676000,0.11513,0.11611,0.01144,0.00142,7.06401,0.1982,0.13335,0.13334,1.1485,11.65145,0.12996,0.0028,0.97456,129.79237
"5","2011_Q2",9.64746031746032,"Down",74099000,56704000,68373000,-11669000,17395000,124000,4694000,10208000,2369000,-19500000,54599000,-42476000,-42476000,12123000,12123000,12123000,-1838000,10285000,10285000,10285000,10285000,98104000,2706315000,3506157000,-140829000,3646986000,152922000,146259000,197711000,6909864000,4552310000,3663999000,888311000,250932000,1085264000,181469000,6069975000,643595000,1.94e+08,2294000,839889000,839889000,6909864000,226910000,-2961000,-2961000,-310687000,68042000,-245606000,-9348000,-9350000,30408000,11710000,-6986000,-6986000,-6986000,1336196000,0.16361,0.1388,0.01225,0.00149,7.22712,0.19338,0.14302,0.14302,1.03037,11.6789,0.12999,0.00284,0.9089,102.12753
"6","2011_Q3",7.92109375,"Down",78082000,60231000,71562000,-11331000,17851000,-591000,4291000,11330000,2821000,-19150000,58932000,-46220000,-46220000,12712000,12712000,12712000,-826000,11886000,11886000,11886000,11886000,129041000,2784415000,3462016000,-139795000,3601811000,154410000,146259000,227869000,6978320000,4704799000,3787912000,916887000,299303000,1050264000,59182000,6113548000,643597000,196536000,24639000,864772000,864772000,6978320000,-91643000,-4376000,-4376000,-24491000,-5728000,-34595000,-9350000,14034999.9999999,152489000,157174000,30936000,30936000,30936000,1349567000,0.1628,0.15222,0.01374,0.0017,7.06955,0.19339,0.16528,0.16528,1.08575,12.02491,0.13001,0.00304,0.78664,96.01369
"7","2011_Q4",8.00206349206349,"Up",81072000,60136000,71433000,-11297000,20936000,813000,5121000,11563000,3439000,-17175000,63897000,-48139000,-48139000,15758000,15758000,-24401000,5353000,-19048000,-19048000,-19048000,-19048000,133771000,2935011000,3385489000,-138093000,3523582000,157734000,106100000,254321000,7042689000,4770528000,3774263000,996265000,346820000,1014292000,59661000,6191301000,643599000,168139000,39650000,851388000,851388000,7042689000,23228000,-6223000,-6223000,-118382000,38189000,-86416000,-9349000,11538000,65729000,67918000,4730000,4730000,4730000,1361112000,0.19437,-0.23495,-0.02237,-0.0027,7.27201,0.19327,-0.26487,-0.26487,1.12733,11.8388,0.13,-0.00138,-0.49081,77.88685
"8","2012_Q1",9.84661290322581,"Up",80561000,58544000,68741000,-10197000,22017000,4.65661287307739e-10,7026000,11093000,3898000,-8675000,71886000,-55130000,-55130000,16756000,16756000,16756000,-2408000,14348000,14348000,14348000,14348000,128032000,3126743000,3328619000,-137516000,3466135000,158872000,106100000,258765000,7187906000,4821213000,3810314000,1010899000,258643000,1194321000,63502000,6337679000,643601000,173139000,33487000,850227000,850227000,7187906000,28348000,-3932000,-3932000,-190116000,31569000,-162479000,-9348000,87055000,50685000,128392000,-5739000,-5739000,-5739000,1452964000,0.20799,0.1781,0.01688,0.002,7.4541,0.20214,0.19951,0.19951,1.12022,11.82265,0.12999,0.0033,0.65152,79.07209
"9","2012_Q2",10.3239682539683,"Up",78624000,58286000,67884000,-9598000,20338000,-968146.622804273,6813000,10492000,3033000,-8625000,69999000,-49045000,-49045000,20954000,20954000,20954000,-4621000,16333000,16333000,16333000,16333000,131757000,3239019000,3296625000,-136586000,3433211000,158646000,106100000,235488000,7241845000,4927818000,3888750000,1039068000,259290000,1120349000,70391000,6377848000,642366000,180122000,41509000,863997000,863997000,7241845000,95469000,-2245000,-2245000,-106598000,-7194000,-116037000,-9350000,-72962000,106605000,24293000,3725000,3725000,3725000,1379639000,0.26651,0.20774,0.0189,0.00226,7.38179,0.19051,0.22712,0.22711,1.09329,12.01413,0.13001,0.00355,0.57246,59.5534
"10","2012_Q3",11.0871428571429,"Up",76939000,55148000,64192000,-9044000,21791000,-1335362.82545743,7522000,11291000,2978000,-7925000,69014000,-46190000,-46190000,22824000,22824000,22824000,-3843000,18981000,18981000,18981000,18981000,140419000,3404282000,3307737000,-137459000,3445196000,159432000,106100000,242869000,7434102000,4982269000,3915607000,1066662000,466784000,1031376000,77492000,6557921000,642375000,189753000,44053000,876181000,876181000,7434102000,38228000,-3256000,-3256000,-159518000,-30029000,-192803000,-9350000,118136000,54451000,163237000,8662000,8662000,8662000,1498160000,0.29665,0.2467,0.02166,0.00255,7.48466,0.20153,0.26389,0.26389,1.06966,12.18124,0.12999,0.00381,0.4926,59.48743
