"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2015_Q2",3.42539682539683,"Up",9658000,-5532000,4126000,-12148000,-4313000,-7835000,-8022000,156000,2000,-1000,3000,-7866000,-6917000,-6917000,-6917000,-6917000,-6917000,37578000,37578000,3959000,3959000,1711000,1468000,1468000,44716000,2398000,5665000,50381000,5566000,3390000,2176000,6878000,6878000,12444000,153000,12597000,304780000,-305315000,37784000,37784000,50381000,153000,0.42721,-0.83061,-0.71619,-0.18307,-0.13729,3.59338,0.3334,0.00304,-0.67332,-0.67332,0.94013,-0.05889,-0.18233,4.6653
"2","2015_Q3",3.2840625,"Down",13590000,-6901000,6689000,-8954000,-5585000,-3369000,-2265000,1000,7000,-2000,9000,-2264000,-2152000,-2152000,-2152000,-2152000,-2152000,30343000,30343000,8191000,8191000,1920000,1036000,1036000,41490000,2892000,6089000,47579000,10538000,5824000,4714000,1291000,1291000,11829000,109000,11938000,305008000,-307685000,35641000,35641000,47579000,109000,0.4922,-0.16667,-0.15835,-0.06038,-0.04523,3.50748,0.33495,0.00229,-0.0904699999999998,-0.0904699999999998,0.57134,-0.11553,-0.0602,13.34834
"3","2015_Q4",2.23546875,"Down",10849000,-5568000,5281000,-9853000,-5476000,-4377000,-4572000,27000,11000,-2000,13000,-4545000,-4862000,-4862000,-4862000,-4862000,-4862000,25903000,25903000,9166000,9166000,2005000,845000,845000,37919000,3446000,6573000,44492000,11046000,6726000,4320000,1578000,1578000,12624000,166000,12790000,305931000,-312547000,31702000,31702000,44492000,1e+05,0.48677,-0.42142,-0.44815,-0.15337,-0.10928,3.00372,0.40344,0.00225,-0.20441,-0.20441,0.45611,-0.28113,-0.15257,5.6437
"4","2016_Q1",2.80295081967213,"Up",-5301000,708000,-4593000,-4082000,1600000,-5682000,-8675000,-16000,-2000,-1000,-1000,-8691000,-5989000,-5989000,-5989000,-5989000,-5989000,20218000,20218000,8980000,8980000,2078000,2270000,2270000,33546000,4616000,7673000,41219000,9378000,6120000,3258000,1440000,1440000,10818000,157000,10975000,306625000,-314699000,30244000,30244000,41219000,91000,0.86644,1.63648,1.12979,-0.19802,-0.1453,3.10094,0.36288,0.00221,-0.25179,-0.25179,-0.22286,-0.34243,-0.197,2.32012
"5","2016_Q2",2.88171875,"Up",11309000,-6772000,4537000,-9414000,-5674000,-3740000,-4877000,0,5000,-2000,7000,-4877000,-4416000,-4416000,-4416000,-4416000,-4416000,18724000,18724000,7639000,7639000,1639000,514000,514000,28516000,4315000,7302000,35818000,8306000,4995000,3311000,955000,955000,9261000,147000,9408000,307207000,-319115000,26410000,26410000,35818000,81000,0.40118,-0.43125,-0.39049,-0.16721,-0.12329,3.07915,0.35623,0.00226,-0.18564,-0.18564,0.47541,-0.50357,-0.16628,3.82264
"6","2016_Q3",2.30453125,"Down",12823000,-7300000,5523000,-10507000,-6449000,-4058000,-4984000,-2000,-1000,-3000,2000,-4986000,-3044000,-3044000,-3044000,-3044000,-3044000,14581000,14581000,10919000,10919000,1379000,464000,464000,27343000,4049000,6966000,34309000,11191000,7588000,3603000,917000,917000,12108000,71000,12179000,307766000,-324025000,22130000,22130000,34309000,71000,0.43071,-0.38868,-0.23739,-0.13755,-0.08872,2.25826,0.55034,0.00207,-0.13467,-0.13467,0.56729,-0.85865,-0.13711,2.91132
"7","2016_Q4",2.57111111111111,"Up",14108000,-6560000,7548000,-9540000,-6004000,-3536000,-1992000,-18000,2000,-3000,5000,-2010000,-3650000,-3650000,-3650000,-3650000,-3650000,13544000,13544000,9669000,9669000,1942000,662000,662000,25817000,4393000,7240000,33057000,11236000,6293000,4943000,2533000,2533000,13769000,62000,13831000,308512000,-327675000,19226000,19226000,33057000,62000,0.53502,-0.1412,-0.25872,-0.18985,-0.11042,1.87501,0.71939,0.00188,-0.16148,-0.16148,0.62414,-0.98713,-0.18924,6.76807
"8","2017_Q1",2.82596774193548,"Up",12928000,-5838000,7090000,-11908000,-4352000,-7556000,-4818000,27000,21000,-1000,22000,-4791000,-5230000,-5230000,-5230000,-5230000,-5230000,14581000,14581000,10919000,10919000,1379000,464000,464000,27343000,4049000,6966000,34309000,11191000,7588000,3603000,917000,917000,12108000,71000,12179000,307766000,-324025000,22130000,22130000,34309000,71000.0000000001,0.54842,-0.37268,-0.40455,-0.23633,-0.15244,2.25826,0.55034,0.00207,-0.23097,-0.23097,0.57092,-0.85714,-0.23557,3.01162
"9","2017_Q2",2.74095238095238,"Down",10929000,-6856000,4073000,-10453000,-7010000,-3443000,-6380000,-92000,-86000,-86000,17571.2794340767,-6472000,-6675000,-6675000,-6675000,-6675000,-6675000,8880000,8880000,7871000,7871000,3607000,741000,741000,21099000,4215000,6923000,28022000,8865000,5467000,3398000,929000,929000,9794000,6835000,16629000,310208000,-337394000,11393000,11393000,28022000,5608000,0.37268,-0.58377,-0.61076,-0.58589,-0.23821,2.15428,1.45958,0.20013,-0.29348,-0.29348,0.48052,-1.32545,-0.36619,0.51285
"10","2017_Q3",3.83746031746032,"Up",16953000,-7670000,9283000,-11804000,-8833000,-2971000,-2521000,-308000,-296000,-299000,3000,-2829000,-2388000,-2388000,-2388000,-2388000,-2388000,22978000,22978000,17093000,17093000,3488000,1164000,1164000,44723000,3875000,3875000,48598000,11058000,6535000,4523000,1016000,1016000,12074000,11816000,23890000,329720000,-343591000,24708000,24708000,48598000,10129000,0.54757,-0.14871,-0.14086,-0.0966500000000001,-0.04914,3.70407,0.96689,0.20842,-0.07487,-0.07487,0.53151,-0.42893,-0.06538,5.09679
