"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",5.79936507936508,"Down",80262000,-116641000,-36379000,-9962000,-9962000,-46341000,-15375000,-13333000,-2042000,-61716000,-61716000,22226000,-39490000,133551000,133551000,-19583000,112250000,76010000,76010000,39781000,39781000,13249000,153769000,1680000,141206000,282809000,1089845000,12942000,12942000,1102787000,1385596000,85196000,54946000,30250000,111414000,196610000,409090000,121912000,112556000,9356000,531002000,727612000,196644000,-22523000,342880000,657984000,657984000,1385596000,-39490000,16862000,-16165000,13725000,-25068000,-32130000,-104522000,212733000,-37668000,-77372000,-123068000,64597000,53174000,53174000,-29479000,520504000,-70110000,-0.45325,-0.57737,1.39854,0.1706,0.08101,-0.62459,1.43843,1.10582,0.37565,3.18223,3.18223,2.27538,14.6567,-1.98758,0.09249,-0.05391,-15.07833,-9.59181000000002
"12","2017_Q1",6.90709677419355,"Up",85369000,-94261000,-8892000,-8438000,-8438000,-17330000,-8745000,-9816000,1071000,-26075000,-36399000,11209000,-25190000,-21533000,-21533000,-7121000,-28027000,60017000,60017000,51299000,51299000,22939000,46891000,11217000,34481000,181146000,1078958000,10316000,10316000,1089274000,1270420000,98283000,54246000,44037000,21963000,120246000,406475000,106157000,93831000,12326000,512632000,632878000,195300000,-20088000,314301000,637542000,637542000,1270420000,-25190000,19814000,653000,-16491000,-21214000,-5097000,107419000,109563000,-108720000,5800000,-102920000,-14571000,-15993000,-15993000,2484000,428438000,-30313000,-0.10416,-0.203,-0.3283,-0.04396,-0.02206,1.08156,1.50646,0.99268,0.33724,-0.797370000000001,-0.797370000000001,2.42876,13.92673,-0.86241,-0.02391,-0.02586,148.31763,-21.25915
"13","2017_Q2",7.10349206349206,"Up",123344000,-111729000,11615000,-10545000,-10545000,1070000,-8338000,-9358000,1020000,-7268000,-7268000,1282000,-5986000,-5986000,-5986000,-7210000,-13196000,45037000,45037000,75284000,75284000,21021000,44681000,8191000,35412000,186023000,1068892000,9584000,9584000,1078476000,1264499000,106117000,53338000,52779000,17180000,123297000,405520000,101960000,91529000,10431000,507480000,630777000,195561000,-19243000,302240000,633722000,633722000,1264499000,-5986000,17578000,-2032000,-1773000,7787000,-13894000,502000,-13392000,-7942000,-156000,-8098000,-13703000,-14980000,-14980000,18648000,422700000,1699000,0.09417,0.00867,-0.10699,-0.02082,-0.01044,-0.12875,1.50874,0.99535,0.33428,-0.37253,-0.37253,3.48208,13.51001,0.04796,-0.01139,0.00147,20.2522,352.95607
"14","2017_Q3",5.98126984126984,"Down",122853000,-111513000,11340000,-8232000,-8232000,3108000,-12902000,-9292000,-3610000,-9794000,-9794000,2761000,-7033000,-7033000,-7033000,-7482000,-14515000,67213000,67213000,51013000,51013000,17287000,44243000,5057000,36953000,179756000,1036758000,9083000,9083000,1045841000,1225597000,81356000,49200000,32156000,12244000,93600000,401889000,101843000,88768000,13075000,503732000,597332000,197137000,-19243000,287800000,628265000,628265000,1225597000,-7033000,17511000,4129000,547000,15154000,-2468000,450000,16824000,-9323000,89000,-9234000,22744000,22176000,22176000,20619000,414133000,15937000,0.09231,0.0253,-0.11815,-0.0231,-0.01184,-1.09797,1.92047,0.95076,0.3379,-0.40975,-0.40975,3.46806,13.14625,0.44989,-0.01269,0.01393,16.82526,111.62162
"15","2017_Q4",6.28079365079365,"Up",92390000,-99675000,-7285000,-7975000,-7975000,-15260000,-8550000,-9291000,741000,-23810000,-23810000,6698000,-17112000,-17112000,-17112000,-7633000,-24745000,53065000,53065000,44922000,44922000,2.2e+07,42126000,1606000,38318000,162113000,1020638000,12142000,12142000,1032780000,1194893000,78203000,49018000,29185000,9336000,87539000,401077000,93927000,82069000,11858000,495004000,582543000,198334000,-19243000,263130000,612350000,612350000,1194893000,-17112000,16790000,-4521000,1231000,-3612000,-8810000,-537000,-5628000,-4383000,1000.00000000093,-4382000,-13622000,-14148000,-14148000,1530000,410413000,-12747000,-0.07885,-0.16517,-0.26783,-0.04041,-0.02071,0.51513,1.85189,0.95132,0.34347,-0.69854,-0.69854,2.60811,12.48362,-0.35984,-0.02216,-0.01141,233.56078,-23.4173
"16","2018_Q1",6.01918032786885,"Down",88917000,-99121000,-10204000,-8238000,-8238000,-18442000,-11738000,-9326000,-2412000,-30180000,-30180000,30018000,-162000,914000,914000,-7905000,-6991000,33619000,33619000,59570000,59570000,21856000,48695000,10535000,36424000,163740000,1014038000,11404000,11404000,1025442000,1189182000,91565000,55992000,35573000,17731000,109296000,400253000,66478000,54787000,11691000,466731000,576027000,197084000,-18102000,256214000,613155000,613155000,1189182000,-162000,17264000,-25397000,-8758000,-17053000,13588000,324000.000000002,-8649000,6877000,-1295000,5582000,-20120000,-19446000,-19446000,-1178000,417984000,-26366000,-0.11476,-0.20741,-0.07862,-0.0114,-0.00588,3.77142,1.49813,0.93945,0.35149,-0.1973,-0.1973,2.50938,12.28191,-0.74409,-0.00637,-0.02402,-326.28608,-20.84183
"17","2018_Q2",4.27265625,"Down",100450000,-90357000,10093000,-8303000,-8303000,1790000,-8303000,-9306000,1003000,-6513000,-6513000,922000,-5591000,-5591000,-5591000,-8012000,-13603000,28667000,28667000,62634000,62634000,20894000,46630000,7813000,37961000,158825000,998366000,10958000,10958000,1009324000,1168149000,79637000,49047000,30590000,15202000,94839000,399416000,65050000,53877000,11173000,464466000,559305000,198417000,-18155000,242686000,608844000,608844000,1168149000,-5591000,18338000,-283000,-11247000,1217000,-6247000,1626000,-1891000,-4094000,-184000,-4278000,-4952000,-4952000,-4952000,20128000,414618000,1712000,0.10048,0.01782,-0.13542,-0.02234,-0.01164,-0.12585,1.67468,0.91863,0.35494,-0.38024,-0.38024,2.80787,11.82264,0.04786,-0.0125,0.00157,19.1748299999999,215.61508
"18","2018_Q3",5.86444444444444,"Up",103199000,-100126000,3073000,-8397000,-8397000,-5324000,-11907000,-11693000,-214000,-17231000,-23182000,-4324000,-27506000,-27506000,-27506000,-7505000,-35011000,47216000,47216000,39208000,39208000,14879000,42568000,4763000,37013000,143871000,986737000,9728000,9728000,996465000,1140336000,72665000,51278000,21387000,15379000,88044000,403464000,68885000,58229000,10656000,472349000,560393000,199920000,-18148000,207750000,579943000,579943000,1140336000,-27506000,19525000,14080000,26028000,32127000,-9122000,661000,-8461000,-2398000,-2719000,-5117000,18549000,18549000,18549000,14201000,418843000,35431000,0.02978,-0.05159,-0.33926,-0.06037,-0.0307,-1.012,1.63408,0.96629,0.3673,-0.9817,-0.9817,2.89367,10.9221,0.99348,-0.03279,0.03319,26.16907,-69.80222
"19","2018_Q4",5.87126984126984,"Up",79781000,-89523000,-9742000,-9080000,-9080000,-18822000,-9688000,-11009000,1321000,-28510000,-28510000,2426000,-26084000,-26084000,-26084000,-7338000,-33422000,42746000,42746000,58298000,58298000,17935000,39038000,1657000,37381000,158017000,980625000,8952000,8952000,989577000,1147594000,109443000,55647000,53796000,13022000,122465000,402975000,67049000,55802000,11247000,470024000,592489000,201231000,-18113000,174403000,555105000,555105000,1147594000,-26084000,17438000,-1680000,15762000,5436000,-5164000,-644000,-5808000,-4094000,-4000,-4098000,-4470000,-4470000,-4470000,-1384000,415997000,6788000,-0.12211,-0.23592,-0.41892,-0.06021,-0.02912,-0.2031,1.2903,1.06735,0.36249,-0.93487,-0.93487,2.23161,10.00047,0.18987,-0.03219,0.00654000000000001,-269.69003,-19.83057
"20","2019_Q1",5.30622950819672,"Down",94730000,-82319000,12411000,-15031000,-15031000,-2620000,-9661000,-11056000,1395000,-12281000,-12281000,-764000,-13045000,-13045000,-13045000,-7660000,-20705000,26048000,26048000,66692000,66692000,29209000,44464000,10924000,33540000,166413000,974248000,7672000,7672000,981920000,1148333000,104718000,62589000,42129000,21095000,125813000,412681000,65473000,56612000,8861000,478154000,603967000,201610000,-16186000,153773000,544366000,544366000,1148333000,-13045000,17326000,4478000,-29917000,-21158000,-9857000,277000,-9580000,15908000,-1888000,14040000,-16698000,-16698000,-16698000,14706000,433776000,-24304000,0.13101,-0.02766,-0.21857,-0.03804,-0.01803,1.17382,1.3227,1.10949,0.37774,-0.57895,-0.57895,2.64881,9.48451,-0.67958,-0.01984,-0.02329,27.72528,-155.62137
"21","2019_Q2",3.81285714285714,"Down",94152000,-86834000,7318000,-7224000,-7224000,94000,-11234000,-10987000,-247000,-11140000,-11140000,-4e+05,-11540000,-11540000,-11540000,-7827000,-19367000,21705000,21705000,46049000,46049000,32540000,41211000,7933000,33278000,141505000,962538000,22426000,7109000,984964000,1126469000,87569000,49898000,37671000,18138000,105707000,412913000,75101000,57057000,18044000,488014000,593721000,202078000,-16732000,134481000,532748000,532748000,1126469000,-11540000,17139000,2543000,-1081000,7061000,-7115000,9000,-7106000,-3529000,-769000,-4298000,-4343000,-4343000,-4343000,17233000,431051000,9437000,0.07773,0.001,-0.2057,-0.03635,-0.01719,-0.48727,1.33865,1.11445,0.38266,-0.53284,-0.53284,2.59038,8.79933,0.25964,-0.01864,0.00907999999999999,23.75361,4354.74468
"22","2019_Q3",3.565,"Down",121527000,-101850000,19677000,-8366000,-8366000,11311000,-10413000,-11315000,902000,897999.999999998,898000,5733000,6631000,6631000,6631000,-8161000,-1530000,57971000,57971000,52214000,52214000,19586000,39246000,5032000,34214000,169017000,951546000,20711000,6766000,972257000,1141274000,73635000,43849000,29786000,11894000,85529000,448164000,67516000,51322000,16194000,515680000,601209000,202764000,-16732000,133026000,540065000,540065000,1141274000,6631000,17396000,-5344000,-5483000,13200000,-5751000,53000,-5698000,28972000,-208000,28764000,36266000,36266000,36266000,28707000,460058000,11740000,0.16191,0.09307,-0.01259,-0.00283,-0.00134,-7.6732,1.97614,1.11322,0.40311,-0.04196,-0.0419600000000001,3.3326,8.74944,0.32194,-0.00143,0.011,14.00658,35.54832
"23","2019_Q4",3.373125,"Down",75495000,-85228000,-9733000,-9115000,-9115000,-18848000,-12429000,-12007000,-422000,-31277000,-31277000,483000,-30794000,-30794000,-30794000,-8339000,-39133000,66783000,66783000,33001000,33001000,20635000,36761000,1478000,35283000,157180000,950175000,22426000,6357000,972601000,1129781000,93397000,54088000,39309000,9697000,103094000,447663000,69257000,50815000,18442000,516920000,620014000,203173000,-16645000,93968000,509767000,509767000,1129781000,-30794000,17976000,1754000,31775000,20711000,-7589000,35000,-7554000,-4627000,282000,-4345000,8812000,8812000,8812000,-872000,457360000,22831000,-0.12892,-0.24966,-0.51835,-0.07677,-0.03464,-0.58342,1.52463,1.21627,0.40482,-1.07257,-1.07257,2.0692,7.68794,0.62576,-0.03776,0.02203,-447.9094,-20.7224599999998
"24","2020_Q1",2.09645161290323,"Down",73896000,-86173000,-12277000,-9467000,-9467000,-21744000,-21078000,-12080000,-8998000,-42822000,-42822000,15108000,-27714000,-27714000,-27714000,-8697000,-36411000,22791000,22791000,39942000,39942000,23311000,44829000,11837000,32992000,130873000,936474000,21142000,5812000,957616000,1088489000,83961000,58477000,25484000,19339000,103300000,449634000,53335000,35717000,17618000,502969000,606269000,199961000,-13266000,57632000,482220000,482220000,1088489000,-27714000,17063000,-4455000,-23767000,-38873000,-15626000,59000,-15567000,10702000,-254000,10448000,-43992000,-43992000,-43992000,-4681000,468973000,-59182000,-0.16614,-0.29425,-0.49273,-0.07551,-0.03345,1.62539,1.26692,1.25725,0.43085,-0.99734,-0.99734,2.0241,6.69242,-1.62107,-0.03625,-0.05892,-95.31767,-20.51978
"25","2020_Q2",1.0768253968254,"Down",83411000,-80860000,2551000,-10006000,-10006000,-7455000,-12336000,-13479000,1143000,-19791000,-19791000,339000,-19452000,-19452000,-19452000,-8886000,-28338000,37483000,37483000,50732000,50732000,26303000,42717000,8722000,33995000,157235000,928393000,24523000,5374000,952916000,1110151000,94554000,54010000,40544000,16558000,111112000,480837000,55003000,35343000,19660000,535840000,646952000,200100000,-12974000,29369000,463199000,463199000,1110151000,-19452000,17907000,999000,-1632000,-2178000,-10737000,179000,-10558000,27492000,-64000,27428000,14692000,14692000,14692000,10452000,497395000,-2256000,0.03058,-0.08938,-0.33974,-0.06118,-0.02553,0.07961,1.4151,1.3967,0.44804,-0.77365,-0.77365,2.27718,5.91047,-0.06159,-0.0279,-0.00221999999999999,44.0023000000001,-61.69175
"26","2020_Q3",1.25640625,"Up",105033000,-86012000,19021000,-8504000,-8504000,10517000,-12181000,-12476000,294999.999999998,-1664000,-1664000,1299000,-365000,-364999.999999996,-364999.999999996,-9269000,-9634000,56513000,56513000,42172000,42172000,14332000,39758000,5195000,34563000,152775000,913441000,28449000,7554000,941890000,1094665000,73013000,45245000,27768000,15326000,88339000,487552000,55256000,34056000,21200000,542808000,631147000,200694000,-12884000,19810000,463518000,463518000,1094665000,-365000,17296000,532000,4091000,21554000,-7216000,120000,-7096000,4572000,0,4572000,19030000,19030000,19030000,27813000,502878000,23389000,0.1811,0.10013,-0.09172,-0.02078,-0.0088,-2.42776,1.72942,1.36165,0.45939,-0.2628,-0.2628,2.86516,5.6636,0.63802,-0.00943,0.02289,16.04879,42.44224
