"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",42.2820634920635,"Up",422133000,-242429000,179704000,-132010000,-114385000,-17625000,47694000,-456000,-456000,47238000,47238000,-19231000,28007000,27902000,27902000,27902000,223509000,223509000,16260000,16260000,182356000,46410000,44188000,468535000,315567000,90478000,86131000,4347000,406045000,874580000,126687000,45588000,231000,80868000,126687000,117959000,117959000,117959000,244646000,216631000,-5.91419279922213e-08,401918000,11385000,629934000,629934000,874580000,28007000,17625000,12557000,13571000,71760000,-23914000,-43000,-23957000,0,5391000,474948343.266125,5391000,53194000,53194000,55129000,65319000,0,74207000,0.4257,0.11298,0.0661,0.04429,0.0319,2.65956,3.69837,0.38837,0,1.01157,0.999,15.3041,22.83776,2.69032,-487.467004699124,0.03731,0.09922,-3.42181,-4.68631
"2","2010_Q3",41.291875,"Down",345301000,-231727000,113574000,-126702000,-108503000,-18199000,-13128000,-381000,-381000,-13509000,-13509000,5241000,-8268000,-8233000,-8233000,-8233000,196033000,196033000,18905000,18905000,214301000,48306000,46111000,477545000,318255000,96725000,92455000,4270000,414980000,892525000,150442000,68564000,1029000,80849000,150442000,116931000,116931000,116931000,267373000,221353000,-1.97139759974071e-08,393368000,10431000,625152000,625152000,892525000,-8268000,18199000,-5554000,-9209000,-4831999.99999997,-23044000,-118000,-23162000,0,1043999.99999999,-385000,1044000.00000001,-26950000,-26950000,-27476000,5071000.00000003,0,-32423000,0.32891,-0.03802,-0.02384,-0.01317,-0.00921999999999999,3.93818,3.17428,0.42769,0,-0.29663,-0.29663,12.44104,22.52394,-1.16819,-292.97800313275,-0.01109,-0.04369,-38.65766,14.93243
"3","2010_Q4",45.1765625,"Up",453395000,-271052000,182343000,-132302000,-114564000,-17738000,50041000,-390000,-390000,49651000,49651000,-18493000,31158000,31309000,31309000,31309000,170526000,170526000,20945000,20945000,232902000,47643000,45424000,472016000,317564000,85863000,81661000,4202000,403427000,875443000,177479000,79626000,2457000,95396000,177479000,118291000,118291000,118291000,295770000,209785000,0,358349000,11539000,579673000,579673000,875443000,31158000,17738000,7682000,12243000,68821000,-16347000,-104000,-16451000,0,-78532000,-79967000,-78532000,-26162000,-26162000,-25507000,67779000,0,82168000,0.40217,0.11037,0.06905,0.05401,0.03576,2.62442,2.65956,0.51024,0,1.1636,1.14946,16.85045,21.54358,3.05378,-156.58680187965,0.04486,0.11773,-2.51591,-3.40773
"4","2011_Q1",41.796935483871,"Down",453170000,-268670000,184500000,-139897000,-121819000,-18078000,44603000,-303000,-303000,44300000,44300000,-15437000,28863000,28319000,28319000,28319000,183657000,183657000,16121000,16121000,210523000,49118000,46860000,459419000,320601000,74311000,70213000,4098000,394912000,854331000,130396000,50730000,1143000,78523000,130396000,116208000,116208000,116208000,246604000,212573000,0,381997000,13157000,607727000,607727000,854331000,32227000,18078000,8764000,-20307000,38762000,-20640000,-108000,-20748000,2.77555756156289e-17,-6603000,-10271000,-5910999.99999999,12103000,12103000,13131000,62681000,2.77555756156289e-17,37171000,0.40713,0.09842,0.06249,0.0466,0.03315,1.31258,3.52326,0.40578,0,1.08539,1.05585,17.36882,23.29259,1.42467,-68.2934009398249,0.03912,0.05135,-2.93003,-4.11759
"5","2011_Q2",45.9257142857143,"Up",430806000,-247159000,183647000,-134871000,-117120000,-17751000,48776000,-271000,-271000,48505000,48505000,-19421000,29084000,29084000,29084000,29084000,212347000,212347000,21269000,21269000,192714000,41313000,41313000,467643000,327017000,70302000,66134000,4168000,397319000,864962000,107120000,23635000,1061000,82424000,107120000,122241000,122241000,122241000,229361000,221427000,0,394965000,19209000,635601000,635601000,864962000,29084000,17751000,-3969000,14329000,57195000,-24535000,2202000,-22333000,0,-16875000,-19308000,-10006000,24856000,24856000,28690000,66527000,0,75742000,0.42629,0.11322,0.06751,0.04576,0.03362,2.60425,4.3656,0.36086,0,1.11348,1.17792,16.49334,24.33388,2.89977,-18.097800313275,0.03838,0.09994,-3.19189,-4.35351
"6","2011_Q3",40.4084375,"Down",343508000,-227943000,115565000,-131343000,-112865000,-18478000,-15778000,-314000,-314000,-16092000,-16092000,6315000,-9777000,-9777000,-9777000,-9777000,151503000,151503000,22760000,22760000,244061000,50056000,50056000,468380000,331277000,73594000,69578000,4016000,404871000,873251000,152749000,67738000,2108000,82903000,152749000,120623000,120623000,120623000,273372000,219916000,6.61744490042422e-24,362070000,17893000,599879000,599879000,873251000,-9777000,18478000,-2719000,-15643000,-9661000,-22190000,-46999.9999999995,-22237000,0,-27829000,-28129000,-27829000,-59727000,-59727000,-60844000,2700000.00000001,0,-41448000,0.33643,-0.04593,-0.02846,-0.0163,-0.0112,4.23934,3.06634,0.45571,0,-0.37998,-0.40319,13.35049,23.31438,-1.61088,4,-0.01357,-0.05753,-56.11222,9.60217
"7","2011_Q4",46.1503174603175,"Up",484085000,-284034000,200051000,-145603000,-127110000,-18493000,54448000,-70000,-70000,54378000,54378000,-20686000,33692000,33692000,33692000,33692000,152621000,152621000,25867000,25867000,256425000,39462000,39462000,474375000,326623000,73182000,68672000,4510000,399805000,874180000,149121000,54960000,3932000,90229000,149121000,118418000,118418000,118418000,267539000,219376000,0,373518000,13747000,606641000,606641000,874180000,33692000,18493000,-1906000,-3156000,47123000,-17155000,-49000,-17204000,0,-26153000,-27889000,-26355000,3564000,3564000,1118000,72941000,0,73316000,0.41326,0.11248,0.0696,0.05554,0.03854,2.17607,3.18114,0.44102,0,1.34119,1.3869,19.27013,24.14876,2.91851,8,0.04647,0.10112,-2.09239,-2.80306
"8","2012_Q1",46.2890322580645,"Up",457463000,-297077000,160386000,-142389000,-122538000,-19851000,17997000,-35000,-35000,17962000,17962000,3384000,21346000,21346000,21346000,21346000,176655000,176655000,17382000,17382000,237786000,49184000,49184000,481007000,323863000,61382000,56975000,4407000,385245000,866252000,131555000,55516000,1788000,74251000,131555000,109728000,109728000,109728000,241283000,212630000,-5.29395592033938e-23,399459000,12880000,624969000,624969000,866252000,21346000,19851000,8408000,11841000,61446000,-15884000,-999.999999999942,-15885000,1.4210854715202e-14,-14075000,-16431000,-20838000,24723000,24723000,24034000,37848000,7.105427357601e-15,30421000,0.3506,0.03934,0.04666,0.03416,0.02464,1.42514,3.65632,0.38607,0,0.85848,0.72509,18.39787,25.13449,1.22345,5,0.02905,0.04141,-4.66749,-9.8158
"9","2012_Q2",42.7493650793651,"Down",438508000,-259863000,178645000,-140751000,-123533000,-17218000,37894000,-51000,-51000,37843000,37009000,-12275000,24734000,24734000,24734000,24734000,204826000,204826000,18656000,18656000,220486000,40808000,40808000,484776000,329058000,59551000,55212000,4339000,388609000,873385000,126774000,34784000,1749000,90241000,126774000,110606000,110606000,110606000,237380000,212410000,0,408201000,15394000,636005000,636005000,873385000,24734000,17218000,4197000,21785000,67934000,-22012000,-62000,-22074000,0,-19211000,-19258000,-19211000,26649000,26649000,28171000,55112000,0,67160000,0.40739,0.08642,0.0564,0.03889,0.02832,2.71529,3.82394,0.37324,0,1.00811,1.06205,17.87275,25.92236,2.73731,5,0.03313,0.08995,-3.71654,-5.40524
"10","2012_Q3",49.6222222222222,"Up",360826000,-246121000,114705000,-138433000,-120951000,-17482000,-23728000,-30000,-30000,-23758000,-26820000,8896000,-17924000,-17924000,-17924000,-17924000,158621000,158621000,23408000,23408000,265708000,45899000,45899000,493636000,330838000,60886000,56614000,4272000,391724000,885360000,167492000,72809000,3046000,91637000,167492000,113314000,113314000,113314000,280806000,214367000,8.470329472543e-22,377602000,12585000,604554000,604554000,885360000,-17924000,17482000,3210000,-10144000,-7376000,-22225000,34000.0000000001,-22191000,-1.13686837721616e-13,-14680000,-15629000,-14680000,-44247000,-44247000,-46205000,-6246000.00000001,-1.13686837721616e-13,-47511000,0.3179,-0.06576,-0.04967,-0.02965,-0.02024,2.65069,2.94722,0.46448,1.05879118406788e-22,-0.73916,-0.79613,14.88004,24.93109,-1.9593,3,-0.02497,-0.06618,25.39561,6.68497
