"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q2",15.2592063492063,"Up",-36738031.4780959,25934908.4383727,109203477.872166,-300372,-147991,-152381,-300372,-74941,-75580,639,-375313,-375313,-375313,-375313,-375313,-375313,-19065296.7869892,-19065296.7869892,-504721.986138518,-182008.717214025,-206453.721504094,-19435665.5237198,308426.820669083,-3784982.31072902,-3616799.7633367,-3476555.49005994,-22912221.0137797,-1016520.97582993,-1168940.9932269,-2875541.56619501,698008.104104163,721475.178488393,666687.945895037,-2208853.62029997,-24711714.7026871,3751565.11088428,-20703367.3934798,-20703367.3934798,-22912221.0137797,0,-0.498940738993765,-838.583187188454,-1184.51735511651,-2.63836254472485,-1.87373088456464,119.068575094878,0.93172476893272,0.0841983163871885,-0.46541,-0.46541,-22.5666744173061,-26.177870213743,-1.9750121497938,-38.7595003567991
"2","2011_Q3",20.81828125,"Up",1844,0,29915763.290722,-328882,-146867,-182015,-327038,-157730,-158712,982,-484768,-484768,-484768,-484768,-484768,-484768,482077,482077,103085,56906,56906,642068,157683,150357,150357,308040,950108,68610,68610,95298,178578,178578,178578,273876,2548204,-1871972,676232,676232,950108,26688,0.298513087002078,-177.35249,-262.88937,-0.71687,-0.51022,6.73748,0.405,0.02809,-0.56023,-0.56023,0.00213,0.7815,-0.54994,1.39247
"3","2012_Q2",24.2234920634921,"Up",59694,-27151.0000000019,32543,-993142,-725639,-267503,-960599,-698,0,-698,-961297,-961297,-961297,-961297,-961297,-961297,7181744,7181744,460862,105085,105085,7747691,120689,1340411,1340411,1461100,9208791,357461,357461,732461,65375,65375,65375,797836,12073678,-3662723,8410955,8410955,9208791,0,0.54516,-16.09205,-16.1037499999999,-0.11429,-0.10439,10.57762,0.09486,3.46944695195361e-18,-0.8767,-0.8767,0.0544400000000003,7.67076,-0.11341,7.47632
"4","2012_Q3",39.0990476190476,"Up",34392,-18529,15863,-1730270,-1325857,-404413,-1714407,6918.99999999994,-704214.416821881,6919,-1707488,-1707488,-1707488,-1707488,-1707488,-1707488,6455087,6455087,459112,82684,82684,6996883,161897,1327120,1327120,1489017,8485900,177832,177832,177832,97698,97698,97698,275530,13580581,-5370211,8210370,8210370,8485900,0,0.46124,-49.84901,-49.64783,-0.20797,-0.20121,39.34547,0.03356,0,-1.07915,-1.07915,0.02174,5.18906,-0.20552,3.7652
"5","2013_Q2",71.790625,"Up",29533000,-20908000,8625000,-8963000,-8076000,-887000,-338000,-1703000,-1314000,-389000,-2041000,-2041000,-2304000,-2304000,-2304000,-2304000,3822887,3822887,399474,140986,140986,4470016,286040,1350888,1350888,1636928,6106944,327317,327317,363935,104903,104903,218477,582412,15364778,-9840246,5524532,5524532,6106944,150192,0.29205,-0.0114400000000003,-0.0780099999999919,-0.41705,-0.37728,12.28246,0.10542,0.02459,-1.43224,-1.43224,18.35869,3.43423,-0.39864,10.86596
"6","2013_Q3",61.3525,"Down",24520000,-18198000,6322000,-11397000,-10072000,-1325000,-5075000,-1333000,-1249000,-84000,-6408000,-7088000,-3338000,-3338000,-3338000,-3338000,3282863,3282863,464755,121107,121107,4059023,248766,1379864,1379864,1628630,5687653,580424,580424,617474,145764,145764,249911,867385,16552264,-11731996,4820268,4820268,5687653,141197,0.25783,-0.20697,-0.13613,-0.69249,-0.58689,6.57359,0.17995,0.02483,-1.99276,-1.99276,14.63824,2.87766,-0.65358,0.61905
"7","2013_Q4",52.259375,"Down",38299000,-29653000,8646000,-10340000,-9313000,-1027000,-1694000,-1800000,-2017000,217000,-3494000,-5101000,-1402000,-1402000,-1402000,-1402000,1597879,1597879,723420.000000002,95932.0000000002,95932.0000000001,2594684,219369,1451298,1451298,1670667,4265351,862521.999999998,862522,900008.000000004,183716,183716,278327,1178335,17390031,-14303015,3087016,3087016,4265351,132097,0.22575,-0.0442300000000005,-0.03661,-0.45416,-0.3287,2.88296,0.381710000000001,0.03097,-0.22463,-0.22463,6.13641,0.49461,-0.41201,0.865280000000001
"8","2014_Q1",58.0770491803279,"Up",86118000,-59382000,26736000,-14167000,-12533000,-1634000,12569000,-1835000,-2046000,211000,10734000,9157000,881000,881000,881000,881000,6509000,6509000,49643000,8700000,3561000,113394000,7369000,6544000,3972000,13913000,127307000,58636000,44136000,111209000,16549000,15699000,26891000,138100000,-54018000,18775000,-10793000,-10793000,127307000,10342000,0.31046,0.14595,0.01023,-0.08163,0.00692,1.01965,-12.79533,0.08124,0.27748,0.27748,27.12378,-11.06709,0.05473,0.30496
"9","2014_Q2",41.3111111111111,"Down",38288000,-26012000,12276000,-12571000,-10573000,-1998000,-295000,-4215000,-4240000,25000,-4510000,-8738000,-2906000,-2906000,-2906000,-2906000,5552000,5552000,41584000,16801000,4131000,92841000,6229000,127968000,40210000,134197000,227038000,28833000,28833000,84511000,40635000,26310000,40710000,125221000,85716000,15868000,101817000,101817000,227038000,17850000,0.32062,-0.00770000000000007,-0.0759,-0.02854,-0.0128,1.09857,1.22986,0.07862,-0.34477,-0.34477,4.54255000000001,12.07973,-0.01813,-41.68814
"10","2014_Q3",30.860625,"Down",22296000,-17465000,4831000,-14467000,-12396000,-2071000,-9636000,-985000,-1055000,70000,-10621000,-10137000,-9302000,-9302000,-9302000,-9302000,8958000,8958000,37497000,17033000,5168000,78652000,5132000,127980000,40385000,133112000,211764000,10528000,10528000,49027000,30629000,16304000,30629000,79656000,124800000,6567000,132108000,132108000,211764000,7322000,0.21668,-0.43219,-0.4172,-0.07041,-0.04393,1.60426,0.60296,0.03458,-0.91136,-0.91136,2.18444,12.9432,-0.0547,0.16978
