"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",16.2275,"Up",51949000,-20487000,31462000,-27185000,-16578000,-9079000,-1528000,4277000,-104000,-42000,-62000,4173000,4173000,-1664000,2509000,2509000,2509000,-13583000,20883000,20883000,23568000,23568000,8344000,7433000,3371000,60228000,8409000,50585000,7441000,24723000,6426000,11995000,58994000,119222000,29850000,29850000,1808000,1808000,31658000,6700000,12703000,12703000,19403000,51061000,28000,-134281000,68161000,68161000,119222000,2509000,1528000,299000,-83000,4253000,-1986000,-121000,-2181000,0,286000,287000,-20378000,-18306000,-18306000,-18306000,5805000,6700000,5400000,0.60563,0.08233,-0.26147,-0.19928,-0.11393,-0.39756,1.90246,0.74912,0.0562,-5.0189,-5.0189,19.19509,-49.62184,1.99529,0.07328,0.06167,-2.44324,-3.31611
"2","2015_Q4",15.2284375,"Down",54007000,-19969000,34038000,-30177000,-18837000,-9836000,-1504000,3861000,-50999.9999999999,-44000,-7000,3810000,3810000,-867000,2943000,2943000,2943000,2943000,126601000,126601000,21746000,21746000,9625000,8344000,4535000,166316000,12040000,44769000,6879000,24723000,6715000,6452000,56809000,223125000,31131000,31131000,2372000,2372000,33503000,6700000,17118000,17118000,23818000,57321000,296898000,-131052000,165804000,165804000,223125000,2943000,1504000,1915000,7098000,13460000,-4508000,-98000,-4823000,97976000,116000,116000,97081000,105718000,105718000,105718000,5365000,6700000,8822000,0.63025,0.07149,0.05449,0.01775,0.01319,2.99762,4.96421,0.34572,0.03003,0.0655099999999997,0.0627899999999988,1.20223,3.69089999999999,0.19638,0.01552,0.04652,-22.34874,-31.05439
"3","2016_Q1",18.2568852459016,"Up",56921000,-20109000,36812000,-32085000,-17312000,-13335000,-1438000,4727000,-336000,-50000,-286000,4391000,4391000,-1116000,3275000,3275000,3275000,3275000,128358000,128358000,21348000,21348000,6474000,4870000,4870000,161050000,15446000,49599000,6318000,24723000,11915000,6643000,65045000,226095000,26790000,26790000,2289000,2289000,29079000,6700000,20185000,20185000,26885000,55964000,298236000,-128063000,170131000,170131000,226095000,3275000,1438000,531000,1599000,6843000,-3827000,-89000,-3892000,0,49000,49000,-1194000,1757000,1757000,1757000,6165000,6700000,5053000,0.64672,0.08304,0.05754,0.01925,0.01449,1.5429,5.53836,0.32895,0.02963,0.07094,0.07673,1.23291,3.68505,0.10945,0.01662,0.02565,-19.73366,-25.73683
"4","2016_Q2",22.510625,"Up",59043000,-21116000,37927000,-33666000,-22105000,-9970000,-1591000,4261000,70000.0000000001,-41000,111000,4331000,4331000,-1593000,2738000,2738000,2738000,2733000,135845000,135845000,23532000,23532000,7583000,4592000,4592000,171552000,17494000,46822000,5820000,24723000,12168000,4111000,64316000,235868000,30993000,30993000,2350000,2350000,33343000,6700000,21377000,21377000,28077000,61420000,299815000,-125325000,174448000,174448000,235868000,2738000,1591000,1705000,1252000,7286000,-2538000,2368000,-170000,-7.45058059692383e-09,371000,371000,370999.999999993,7487000.00000001,7487000.00000001,7487000.00000001,5852000,6700000,6159000,0.64236,0.07217,0.04629,0.01567,0.01159,2.25357,5.14507,0.35208,0.02841,0.0600299999999999,0.05778,1.29691,3.83183,0.13529,0.01349,0.03041,-22.06852,-30.30861
"5","2016_Q3",27.87203125,"Up",64423000,-25183000,39240000,-36432000,-24042000,-10777000,-1613000,2808000,41000,-47000,88000,2849000,2849000,-976000,1873000,1873000,1873000,1871000,134164000,134164000,27502000,27502000,9453000,6481000,6481000,177600000,17361000,46969000,5385000,24723000,12913000,3948000,64330000,241930000,33395000,33395000,2418000,2418000,35813000,6700000,21835000,21835000,28535000,64348000,301034000,-123452000,177582000,177582000,241930000,1873000,1613000,1092000,-3924000,654000,-2026000,0,-2165000,0,47000,56000,-170000,-1681000,-1681000,-1681000,4421000,6700000,-553000,0.6091,0.04359,0.02904,0.01054,0.00773,-0.29556,4.95909,0.36236,0.02769,0.04103,0.03937,1.41272,3.89417,-0.01213,0.00908,-0.00268,-28.83149,-45.39316
"6","2016_Q4",29.0252380952381,"Up",67846000,-26366000,41480000,-38645000,-25509000,-11477000,-1659000,2835000,90000,-49000,139000,2925000,2925000,-358000,2567000,2567000,2567000,2564000,135050000,135050000,28734000,28734000,11504000,8261000,8261000,183549000,17645000,49154000,4950000,24723000,14255000,5226000,66799000,250348000,35091000,35091000,2122000,2122000,37213000,6700000,22135000,22135000,28835000,66048000,305185000,-120885000,184300000,184300000,250348000,2567000,1659000,2883000,-3518000,3591000,-3146000,0,-3146000,0,772000,775000,441000,886000,886000,886000,4494000,6700000,-1812000,0.61138,0.04179,0.03779,0.01391,0.01024,-0.70671,4.93239,0.35837,0.02676,0.05608,0.05306,1.48404,4.03133,-0.03964,0.01203,-0.0085,-28.5603,-45.27337
"7","2017_Q1",29.045,"Up",69794000,-26715000,43079000,-38925000,-25250000,-12048000,-1627000,4154000,122000,-53000,175000,4276000,4276000,-1300000,2976000,2976000,2976000,2974000,140634000,140634000,29810000,29810000,10543000,9197000,9197000,190184000,20180000,50881000,4568000,24723000,16752000,4838000,71061000,261245000,37114000,37114000,2585000,2585000,39699000,6700000,23597000,23597000,30297000,69996000,309158000,-117909000,191249000,191249000,261245000,2976000,1627000,2043000,4423000,11069000,-2945000,-3e+06,-5945000,0,460000,459000,460000,5584000,5584000,5584000,5781000,6700000,8559000,0.61723,0.05952,0.04261,0.01555,0.01138,2.87794,4.79065,0.36599,0.02565,0.06462,0.0615,1.51654,4.1556,0.18598,0.01342,0.03863,-23.16796,-32.24218
"8","2017_Q2",33.504126984127,"Up",74194000,-26635000,47559000,-43074000,-25689000,-14521000,-2864000,4485000,21000,-216000,237000,4506000,4506000,-543000,3963000,3963000,3963000,3961000,63150000,63150000,38889000,38889000,7289000,9931000,9931000,119259000,20788000,195593000,104664000,64102000,22036000,4791000,216381000,335640000,38059000,38059000,2944000,2944000,41003000,73700000,22530000,22530000,96230000,137233000,312372000,-113965000,198407000,198407000,335640000,3963000,2864000,1137000,5005000,12969000,-2637000,-1e+06,-157926000,6.7e+07,473000,473000,67473000,-77484000,-77484000,-77484000,7349000,73700000,10260000,0.64101,0.06045,0.05339,0.01996,0.0118,2.59025,2.90854,0.69167,0.21958,0.08569,0.08124,1.60505,4.29216,0.22196,0.01344,0.03482,1.43557,2.35229
"9","2017_Q3",41.3809523809524,"Up",85988000,-29835000,56153000,-50257000,-25349000,-20062000,-4846000,5896000,-537000,-674000,137000,5359000,5359000,4506000,9865000,9865000,9865000,9859000,68916000,68916000,41986000,41986000,10263000,16031000,16031000,137196000,22610000,196435000,101144000,64092000,23746000,7453000,219045000,356241000,45338000,45338000,2885000,2885000,48223000,72700000,24032000,24032000,96732000,144955000,315386000,-104100000,211286000,211286000,356241000,9865000,4846000,1163000,-4107000,11767000,-3077000,-3e+06,-6077000,-1e+06,1076000,1078000,76000,5766000,5766000,5766000,10742000,72700000,-948000,0.65303,0.06857,0.11466,0.04666,0.02768,-0.09616,2.84503,0.68606,0.20408,0.21228,0.2012,1.8515,4.54943,-0.02041,0.03201,-0.00308,0.35226,0.64179
"10","2017_Q4",43.165873015873,"Up",89962000,-31833000,58129000,-47728000,-23400000,-19257000,-5071000,10401000,-316000,-658000,342000,10085000,10085000,5018000,15103000,15103000,15103000,15097000,84640000,84640000,41201000,41201000,13617000,15777000,15777000,155235000,23399000,196024000,97863000,63591000,27273000,7297000,219423000,374658000,46014000,46014000,3115000,3115000,49129000,7.2e+07,23615000,23615000,95615000,144744000,318911000,-88997000,229914000,229914000,374658000,15103000,5071000,-1147000,-5218000,13809000,-1938000,3e+06,1020000.00000001,-7e+05,1595000,1602000,895000,15724000,15724000,15724000,15472000,7.2e+07,3298000,0.64615,0.11562,0.16782,0.06566,0.0403,0.218450000000002,3.15974,0.62956,0.19218,0.32199,0.30648,1.91872,4.90365,0.07034,0.04638,0.01013,-0.816960000000001,-1.21527
"11","2018_Q1",37.7170491803279,"Down",88793000,-27885000,60908000,-48316000,-24448000,-18915000,-4953000,12592000,-301000,-651000,350000,12291000,12291000,-11971000,320000,320000,320000,321000,96329000,96329000,40634000,40634000,14177000,12796000,12796000,163936000,23459000,184246000,94286000,63591000,18444000,7925000,207705000,371641000,41211000,41211000,3292000,3292000,44503000,7.1e+07,23311000,23311000,94311000,138814000,321504000,-88677000,232827000,232827000,371641000,320000,4953000,13266000,103000,18642000,-2812000,-3e+06,-5812000,-1e+06,297000,297000,-1141000,11689000,11689000,11689000,17545000,7.1e+07,26807000,0.68595,0.14181,0.00362,0.00138,0.00086,83.5109,3.68371,0.59621,0.19104,0.0068,0.00647,1.88223,4.93545,0.56825,0.00098,0.08194,-1.44366,-2.01152
