"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",46.1838709677419,"Down",336006000,-30680000,-306397000,-97684000,-200857000,-1071000,-4041000,-4054000,13000,-5112000,-5112000,-21355000,-26467000,-26467000,-57543000,-57543000,1298542000,436886000,861656000,139629000,139629000,86275000,110077000,35123000,1634523000,347249000,737051000,30992000,706059000,1084300000,2718823000,357017000,83732000,273285000,45843000,18540000,406731000,4e+08,647346000,264254000,1047346000,1454077000,4473868000,-3445719000,-416000,1027733000,1264746000,2718823000,-26467000,8593000,29866000,93969000,105961000,-21396000,-92314000,-131228000,-8680000,16947000,16947000,-117000,8150000,-17117000,-17117000,-58000,-17175000,7522000,403871000,101450000,-0.00319,-0.17126,-0.0455,-0.02116,-1.76303,4.01868,1.1497,0.14855,-0.26919,-0.26919,1.57183,4.80773,0.47458,-0.02485,0.0438,-118.94057,835.36041
"12","2013_Q1",48.0091666666667,"Up",333994000,-75595000,-291480000,-106337000,-173023000,-33081000,-3314000,-3281000,-33000,-36395000,-36395000,41725000,5329999.99999999,-78076000,-76148000,-76148000,1321215000,489407000,831808000,143250000,143250000,30464000,94656000,24673000,1589585000,433609000,736094000,30992000,705102000,1169703000,2759288000,366176000,101292000,264884000,52026000,24460000,432624000,415170000,677112000,300503000,1092282000,1524906000,4521597000,-3521867000,-550000,999180000,1234382000,2759288000,-78076000,12373000,84624000,21638000,40559000,-28046000,29828000,7155999.99999997,-12808000,16771000,16771000,874000,4837000.00000001,52552000,52552000,-31000,52521000,-20708000,429592000,-68841000,-0.09905,-0.22799,-0.06169,-0.0276,0.90404,3.67429,1.23536,0.15569,-0.35475,-0.35144,1.55596,4.65482,-0.32071,-0.03253,-0.02941,43.05693,26.9527199999998
"13","2013_Q2",73.6428125,"Up",328368000,-30955000,-726552000,-91625000,-210239000,-429139000,-4644000,-3469000,-1175000,-433783000,-433783000,126887000,-306896000,-312627000,-308016000,-308016000,1239354000,379099000,860255000,194054000,194054000,21532000,110843000,47835000,1565783000,504232000,322219000,30992000,291227000,826451000,2392234000,333688000,59627000,274061000,65649000,30116000,407639000,414755000,593008000,351047000,1007763000,1415402000,4577147000,-3829883000,-1149000,746115000,976832000,2392234000,-312627000,10691000,445632000,-209474000,-65778000,-16607000,-28436000,-37596000,-27805000,21670000,21670000,0,-6135000,-109509000,-109509000,-799000,-110308000,-418448000,423057000,-771416000,-1.30688,-0.93802,-0.31532,-0.12876,2.50447,3.8411,1.44897,0.17685,-1.42983,-1.42983,1.52431,3.46352,-3.58097,-0.15456,-0.38708,1.95077,1.90217
"14","2013_Q3",79.575,"Up",310750000,-24695000,-333087000,-105081000,-214770000,-47032000,-6761000,-6727000,-34000.0000000002,-53793000.0000001,-53793000,-558000,-54350999.9999999,-61712000,-57165000,-57165000,1292889662.7805,444553086.863597,848336575.916907,175690864.989121,175690864.989121,18846369.3028016,124327949.158032,55796558.0276801,1611754521.16053,579150667.693078,264192494.83271,30980404.8234668,233212090.010773,843343217.509034,2455097738.66956,325091048.26067,44980357.0721467,280143037.138497,68790634.4200697,30754090.8325794,402569673.504772,225191502.479396,632322209.459265,386658262.919484,857513711.938661,1260083385.44343,4931812556.65951,-4015933967.8302,-1040803.57274128,914837785.256568,1195014353.22613,2455097738.66956,-61712000,10554000,58287999.9999999,-8057000.00000003,-927000,-1801000,-39364000,-4691000,-28714000,186202000,186202000,1.16415321826935e-10,157488000,151870000,151870000,278000,152148000,-36478000,-5.96046447753906e-08,-45778000,-0.15135,-0.18396,-0.304119687246964,-0.137780695512634,0.8008,3.99708989946442,1.1536182899431,0.102450144716679,-0.25744,-0.25744,1.39944,4.06577891589068,-0.20616,-0.164750438657718,-0.282443143554977,38.0459012433057,27.2705432017948
"15","2013_Q4",69.64,"Down",221700000,-20048000,-325208000,-86427000,-231490000,-123556000,4656000,-104000,4760000,-118900000,-118900000,-2555000.00000001,-121455000,-128662000,-124132000,-124132000,1422650000,583181000,839469000,120281000,120281000,13537000,92163000,41104000,1648631000,648924000,285193000,30992000,254201000,934117000,2582748000,332381000,51533000,280848000,62689000,31682000,409499000,39380999.9999999,647188000,419631000,686569000,1096068000,5276618000,-4011180000,-550000,1264888000,1486680000,2582748000,-128662000,9489000,41084000,64369000,-13720000,-18514000,60146000,49536000,-21482000,34488000,34488000,0,13006000,48822000,48822000,3112000,51934000,-114067000,53810000,-65657000,-0.55731,-0.55991,-0.0835000000000001,-0.04806,0.52893,4.02597,0.73726,0.02083,-0.53852,-0.53852,0.9618,5.48746,-0.28484,-0.05674,-0.03001,12.00032,11.0787
"16","2014_Q1",79.1995081967213,"Up",351157000,-13281000,-348157000,-73055000,-266119000,-10281000,-9287000,-12626000,3339000,-19567999.9999999,-19568000,-1352000,-20920000,-184549000,44285000,44285000,1465076000,569299000,895777000,85517000,85517000,14147000,23836000,23836000,1588576000,696911000,33554000,30992000,2562000,730465000,2319041000,320404000,49327000,271077000,60532000,39022000,397829000,48754000,516053000,466594000,564807000,962636000,5323606000,-3966895000,-306000,1356405000,1356405000,2319041000,-184549000,17631000,332715000,-146038000,19759000,-14471000,-56469000,-119810000,61786000,23518000,23518000,-1252000,84052000,-15999000,-15999000,2117000,-13882000,7350000.00000006,65647000,-151807000,-0.0292799999999999,0.12611,0.03265,0.0191,-3.42796,3.99311,0.7097,0.02831,0.19118,0.19118,1.51593,5.85553,-0.65534,0.02285,-0.07833,-190.3985,136.11798
"17","2014_Q2",70.1212698412698,"Down",118451000,-8572000,-325921000,-74212000,-244805000,-216042000,-15266000,-15717000,451000,-231308000,-231308000,-803000,-232111000,-232457000,-232457000,-232457000,1324200000,424045000,900155000,59858000,59858000,11261000,35011000,35011000,1430330000,726204000,40574000,30992000,9582000.00000003,766778000,2197108000,283957000,49571000,234386000,71220000,42384000,373500000,49495000,543235000,499346000,592730000,966230000,5430527000,-4199352000,-297000,1230878000,1230878000,2197108000,-232457000,15788000,46407000,-5500000,-175762000,-15526000,-4405000,-20407000,-7096000,60134000,60134000,-2622000,50416000,-145753000,-145753000,499000,-145254000,-200254000,67818000,-220477000,-1.82389,-1.96247,-0.18885,-0.1058,0.948460000000001,3.82953,0.78499,0.03087,-0.99815,-0.99815,0.50862,5.2853,-0.94671,-0.1262,-0.1197,6.27394000000001,5.81545
"18","2014_Q3",95.20671875,"Up",138421000,-9655000,-309308000,-77446000,-224217000,-180542000,22146000,-15585000,37731000,-158396000,-158396000,-693000,-159089000,-159382000,-159382000,-159382000,1219161000,420558000,798603000,81842000,81842000,11982000,34399000,34399000,1347384000,7.3e+08,40436000,30992000,9444000,770436000,2117820000,293152000,55363000,237789000,50114000,22940000,362973000,45053000,537525000,499420000,582578000,945551000,5531026000,-4358734000,-23000,1172269000,1172269000,2117820000,-159382000,14172000,42639000,-25349000,-127920000,-11701000,101634000,89882000,-15146000,57813000,57813000,-9262000,33405000,-4633000,-4633000,1146000,-3487000,-166370000,64760000,-202727000,-1.3043,-1.15143,-0.13596,-0.07526,1.27196,3.71208,0.8066,0.03058,-0.68168,-0.68168,0.59203,5.01381,-0.86707,-0.08982,-0.11424,6.93876,6.39409
"19","2014_Q4",112.62765625,"Up",178987000,-10208000,-310982000,-75224000,-231782000,-142203000,-24374000,-20384000,-3990000,-166577000,-166577000,-3419000,-169996000,-170060000,-170060000,-170060000,1477737000,718563000,759174000,114308000,114308000,16753000,41298000,41298000,1650096000,720878000,35112000,30992000,4120000,755990000,2406086000,282751000,38472000,244279000,71303000,50093000,372178000,336940000,541063000,506340000,878003000,1250181000,5683538000,-4528794000,1161000,1155905000,1155905000,2406086000,-170060000,16961000,47099000,18353000,-87647000,-9298000,39399000,30545000,279237000,83327000,83327000,-5331000,357233000,300131000,300131000,-2126000,298005000,-125242000,355064000,-112768000,-0.79449,-0.95012,-0.14712,-0.07068,0.66311,4.43362,1.08156,0.14757,-0.72018,-0.72018,0.75798,4.89506,-0.47755,-0.08287,-0.05495,8.96403,7.89486
"20","2015_Q1",119.814590163934,"Up",144556000,-11290000,-286891000,-78527000,-205627000,-153625000,-24969000,-21177000,-3792000,-178594000,-178594000,-2043000,-180637000,-180846000,-176656000,-176656000,1387106000,625259000,761847000,75964000,75964000,30848000,52593000,44175000,1546511000,715812000,72356000,39915000,32441000,788168000,2334679000,280870000,71194000,209676000,55372000,37904000,368254000,319862000,550380000,507528000,870242000,1238496000,5779539000,-4705450000,917000,1075006000,1096183000,2334679000,-180846000,16336000,40926000,-58199000,-181783000,-24676000,-2862000,-18011000,15805000,73341000,73341000,19039000,108185000,-91609000,-91609000,-1695000,-93304000,-137289000,351874000,-218121000,-1.06274,-1.22206,-0.16116,-0.07567,1.23472,4.19958,1.12983,0.15072,-0.74102,-0.74102,0.60637,4.50933,-0.91495,-0.0884,-0.10915,7.54053,6.73869
