"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",125.98126984127,"Up",138509000,-9381000,-301113000,-85860000,-212327000,-171985000,-26420000,-21307000,-5113000,-198405000,-198405000,-299000,-198704000,-198704000,-198606000,-198606000,1181134000,664879000,516255000,80332000,80332000,34089000,62648000,62648000,1358203000,708616000,99008000,39915000,59093000,807624000,2165827000,220505000,43524000,176981000,33734000,17816000,302438000,312737000,553115000,514022000,865852000,1168290000,5879723000,-4904056000,791000,976458000,997537000,2165827000,-198704000,16363000,58013000,-97908000,-222236000,-10558000,245768000,214038000,13295000,41616000,41616000,-4497000,50414000,42216000,42216000,-2596000,39620000,-155622000,360936000,-263789000,-1.24169,-1.43389,-0.1991,-0.0917,1.3282,4.49085,1.17117,0.16665,-0.82928,-0.82928,0.57834,4.07719,-1.10145,-0.1039,-0.13799,5.27045,4.76901
"22","2015_Q3",128.47390625,"Up",166076000,-15409000,-321831000,-94394000,-225986000,-171164000,-19697000,-21111000,1414000,-190861000,-190861000,-30131000,-220992000,-220992000,-188848000,-188848000,1016450000,870543000,145907000,94519000,94519000,42113000,141607000,53289000,1294689000,713378000,366006000,50384000,315622000,1079384000,2374073000,278733000,72703000,206030000,38296000,23366000,373823000,294839000,657195000,523763000,952034000,1325857000,5989575000,-5092904000,-1707000,894964000,1048216000,2374073000,-220992000,14065000,68677000,27984000,-110266000,-93420000,370302000,278443000,-92999.9999999925,46234000,46234000,-9944000,36197000,204374000,204374000,1290000,205664000,-157099000,351633000,-192404000,-1.03064,-1.13712,-0.18016,-0.07955,1.01883,3.46337,1.26487,0.14811,-0.78439,-0.78439,0.68981,3.71729,-0.79916,-0.09181,-0.09353,4.23183,3.88409
"23","2015_Q4",120.7196875,"Down",309816000,-30269000,-349573000,-99772000,-248110000,-70026000,-22460000,-21134000,-1326000,-92486000,-92486000,-1330000.00000001,-93816000,-93816000,-95149000,-95149000,1005830000,756250000,249580000,165272000,165272000,49197000,139153000,63388000,1359452000,706670000,367871000,50384000,317487000,1074541000,2433993000,328597000,78899000,249698000,32209000,18209000,374959000,334105000,648197000,516836000,982302000,1357261000,6108689000,-5188053000,1511000,922147000,1076732000,2433993000,-93816000,16168000,56813000,-41238000,-62073000,-8797000,-103617000,-100935000,-97000,51839000,51839000,-2074000,49668000,-113340000,-113340000,-953000,-114293000,-53858000,348258000,-102563000,-0.22602,-0.30711,-0.08837,-0.03909,1.07792,3.6256,1.26054,0.14308,-0.39323,-0.39323,1.2804,3.81101,-0.42387,-0.0459,-0.04947,12.20937,9.3904
"24","2016_Q1",90.4527868852459,"Down",417935000,-62092000,-409547000,-96549000,-311705000,-53704000,-22344000,-20654000,-1690000,-76048000,-76048000,1379000,-74669000,-74669000,-73731000,-73731000,1042462000,714768000,327694000,173838000,173838000,57207000,133646000,54736000,1407153000,697715000,393719000,50384000,343335000,1091434000,2498587000,380762000,74942000,305820000,38564000,22268000,506167000,266786000,632006000,511853000,898792000,1404959000,6199927000,-5261784000,1824000,939967000,1093628000,2498587000,-74669000,15747000,59570000,28495000,29143000,-12527000,-78050999.9999999,-122690000,-9397000,45903000,45903000,16134000,52640000,-40907000,-40907000,-575000,-41482000,-37957000,353627000,-23368000,-0.1285,-0.17642,-0.06742,-0.02951,0.31694,2.78002,1.28468,0.14153,-0.30338,-0.30338,1.71969,3.86772,-0.09615,-0.03546,-0.01124,18.14777,12.82651
"25","2016_Q2",86.4065625,"Down",398080000,-49789000,-362621000,-105214000,-256547000,-14330000,-16287000,-20698000,4411000,-30617000,-30617000,-5485000,-36102000,-36102000,-41631000,-41631000,1025618000,604245000,421373000,181878000,181878000,63200000,132139000,55866000,1402835000,690521000,364412000,50384000,314028000,1085071000,2487906000,347886000,75221000,272665000,40612000,25907000,552041000,188457000,631210000,510461000,819667000,1371708000,6265393000,-5303415000,-4899000,957079000,1116198000,2487906000,-36102000,16415000,51637000,-47087000,-15137000,-11974000,-93451000,-102708000,-103000,8846000,8846000,-4041000,4702000,-113143000,-113143000,2620000,-110523000,2085000,3.52e+08,-51491000,-0.036,-0.10458,-0.0373,-0.01673,1.23684,2.54118,1.22891,0.14148,-0.17074,-0.17074,1.63261,3.92517,-0.21117,-0.01983,-0.02453,-323.07818,47.00754
"26","2016_Q3",94.5034375,"Up",431608000,-44154000,-384101000,-111652000,-271351000,3353000,-21374000,-20155000,-1219000,-18021000,-18021000,-18130000,-36151000,-36151000,-64525000,-64525000,1071436000,605866000,465570000,189356000,189356000,66589000,126769000,56256000,1454150000,690607000,371012000,50384000,320628000,1094832000,2548982000,326467000,51302000,275165000,57366000,45898000,622855000,109238000,648044000,507823000,757282000,1380137000,6352684000,-5367940000,-3390000,981354000,1168845000,2548982000,-36151000,14963000,69213000,-7165000,40860000,-15918000,-44310000,-57782000,-106000,24856000,24856000,-3497000,21253000,4330999.99999999,4330999.99999999,-2710000,1621000,18316000,348260000,13363000,0.00776999999999999,-0.1495,-0.0552,-0.02531,-0.2071,2.33465,1.18077,0.13663,-0.26393,-0.26393,1.7654,4.01401,0.05466,-0.0298,0.00617,-39.48329,-215.68029
"27","2016_Q4",81.3684126984127,"Down",413783000,-53222000,-379288000,-106055000,-272378000,-18727000,-20307000,-20140000,-167000,-39034000,-39034000,-503000,-39537000,-39537000,-38841000,-38841000,1128441000,719692000,408749000,182229000,182229000,71799000,119432000,61012000,1501901000,687613000,366813000,50384000,316429000,1107740000,2609641000,342929000,50914000,292015000,64389000,55142000,722841000,31719000,646740000,506911000,678459000,1401300000,6432172000,-5406781000,-3845000,1021546000,1208341000,2609641000,-39537000,14569000,56869000,33755000,65656000,-13883000,33440000,34791000,-11447000,17463000,17463000,7538000,13554000,114001000,114001000,-175000,113826000,-4158000,347242000,16217000,-0.04526,-0.09387,-0.03214,-0.01488,-0.41752,2.07778,1.15969,0.13306,-0.15859,-0.15859,1.68946,4.17094,0.06621,-0.01764,0.00736,187.87855,41.71512
"28","2017_Q1",88.0398387096774,"Up",458706000,-59646000,-359420000,-109908000,-248676000,39640000,-19334000,-20439000,1105000,20306000,20306000,7453000,27759000,27759000,32945000,32945000,1434557000,1183945000,250612000,200364000,200364000,77604000,119015000,71253000,1831540000,698362000,346609000,50384000,296225000,1065247000,2896787000,376700000,61451000,315249000,96411000,90406000,492537000,34976000,1031083000,890388000,1066059000,1558596000,6509245000,-5373836000,21173000,1156582000,1338191000,2896787000,27759000,15451000,66126000,35388000,144724000,-14788000,245258000,230168000,2129000,17065000,17065000,74568000,93762000,468654000,468654000,-4401000,464253000,55091000,54402000,68238000,0.08642,0.07182,0.02462,0.01137,2.07127,3.71858,1.1647,0.01878,0.13419,0.13419,1.8684,4.71099,0.27795,0.01359,0.02815,-25.05228,-34.81723
"29","2017_Q2",120.376349206349,"Up",714718000,-46988000,-396888000,-113326000,-283562000,270842000,-17309000,-16765000,-544000,253533000,253533000,-3985000,249548000,249548000,247756000,247756000,1408782000,1003679000,405103000,207955000,207955000,82020000,173057000,128493000,1871814000,708395000,346218000,50384000,295834000,1074889000,2946703000,341107000,63145000,277962000,129419000,123362000,489796000,30355000,743759000,602615000,774114000,1263910000,6619434000,-5135451000,16025000,1500008000,1682793000,2946703000,249548000,14850000,70020000,-68726000,265692000,-11099000,-149880000,-160979000,-304820000,11249000,11249000,4006000,-289565000,-184852000,-184852000,1388000,-183464000,285692000,49625000,209852000,0.37895,0.34665,0.14723,0.08408,0.84701,3.82162,0.75108,0.01684,1.00704,0.9962,2.90507,6.097,0.85297,0.10006,0.08475,-4.75742,-5.01827000000001
"30","2017_Q3",150.514761904762,"Up",544135000,-71205000,-420223000,-127249000,-292974000,52707000,-17201000,-14664000,-2537000,35506000.0000001,35505999.9999999,-4337000,31169000,31169000,17996000,17996000,1668650000,1223130000,445520000,247949000,247949000,92263000,171710000,107082000,2180572000,740103000,344667000,50384000,294283000,1105022000,3285594000,421003000,75941000,345062000,186224000,178947000,625406000,25346000,767611000,626801000,792957000,1418363000,6810481000,-5117455000,-21753000,1671273000,1867231000,3285594000,31169000,14890000,79105000,56489000,181653000,-17378000,-58904999.9999999,-76283000,-6055000,136638000,136638000,1450000,132033000,237403000,237403000,2112000,239515000,67597000,43525000,111045000,0.09686,0.03307,0.00964,0.00548,6.17054,3.48665,0.75961,0.01325,0.0726999999999999,0.0715199999999999,2.19834,6.75205,0.44863,0.00672,0.04146,-24.04138,-30.83319
"31","2017_Q4",148.06746031746,"Down",578165000,-72874000,-831334000,-120710000,-455284000,-326043000,-91127000,-13574000,-77553000,-417170000,-417170000,125903000,-291267000,-291267000,-102952000,-102952000,1812248000,1384966000,427282000,263493000,263493000,98192000,154041000,152238000,2327974000,759978000,89926000,50384000,39542000,870351000,3198325000,455692000,77138000,378554000,235166000,222163000,710739000,20259000,664083000,650484000,684342000,1395081000,7036613000,-5220407000,-25129000,1791077000,1803244000,3198325000,-291267000,15225000,568146000,-122018000,170086000,-187960000,24281000,-225281000,-3313000,150318000,150318000,5700000,152705000,97510000,97510000,1501000,99011000,-310818000,40140000,-746699000,-0.56393,-0.17807,-0.05709,-0.03219,7.25288,3.27543,0.77365,0.01255,-0.41137,-0.41137,2.31018,7.15664,-2.9836,-0.04106,-0.29779,5.70143,5.4352
"32","2018_Q1",163.338196721311,"Up",651634000,-84052000,-441845000,-134794000,-307051000,125737000,-13295000,-12547000,-748000,112442000,112442000,-10257000,102185000,102185000,100684000,100684000,2088666000,1665412000,423254000,281343000,281343000,111830000,167124000,167124000,2648963000,789437000,107614000,50384000,56396000,897051000,3546014000,517955000,73994000,443961000,266774000,266774000,807260000,20496000,675952000,669611000,696448000,1503708000,7159874000,-5119723000,-11572000,2028579000,2042306000,3546014000,102185000,16432000,82388000,26506000,227511000,-42984000,21137000,-20786000,2877000,46635000,46635000,23719000,73231000,279956000,279956000,801000,280757000,142169000,43027000,135948000,0.19296,0.15451,0.0493,0.02839,1.35024,3.28142,0.73628,0.01213,0.40014,0.38385,2.58976,8.06211,0.54029,0.03646,0.04923,-14.38878,-16.26919
"33","2018_Q2",155.01078125,"Down",640799000,-71613000,-440285000,-129808000,-310477000,128901000,85741000,-11097000,96838000,214642000,214642000,12659000,227301000,227301000,210263000,210263000,2477017000,1995893000,481124000,327294000,327294000,117346000,119459000,109886000,3041116000,800670000,111188000,50384000,60804000,911858000,3952974000,485293000,74062000,411231000,325100000,325100000,827312000,16911000,677930000,668294000,694841000,1522153000,7316910000,-4876111000,-39743000,2401056000,2430821000,3952974000,227301000,16343000,-7876000,16889000,252657000,-29279000,34212000,4933000,-10331000,78403000,78403000,10884000,78956000,336546000,336546000,1656000,338202000,145244000,33830000,120195000,0.20116,0.32813,0.0865,0.05319,0.57164,3.6759,0.62619,0.00856,0.83032,0.81331,2.53049,9.48168,0.47465,0.06691,0.0382500000000001,-16.82126,-18.95398
"34","2018_Q3",178.066825396825,"Up",752157000,-104382000,-474897000,-137303000,-337594000,172878000,43713000,-10106000,53819000,216591000,216591000,-10341000,206250000,206250000,207360000,207360000,2767755000,2145359000,622396000,393439000,393439000,115025000,131204000,122694000,3407423000,815928000,112035000,50384000,61651000,927963000,4335386000,562154000,83034000,479120000,350086000,350086000,927300000,15030000,678173000,668838000,693203000,1620503000,7359584000,-4668751000,-4605000,2686228000,2714883000,4335386000,206250000,18059000,36014000,61380000,321703000,-29612000,-86686000,-116298000,-3879000,-48599000,-48599000,1270000,-51208000,154197000,154197000,-5857000,148340000,190937000,30090000,233046000,0.22984,0.27569,0.07638,0.04783,1.12387,3.67456,0.5969,0.00694,0.81594,0.80191,2.95967,10.57008,0.91702,0.06058,0.06808,-14.33805,-15.83582
"35","2018_Q4",173.271428571429,"Down",784535000,-111255000,-467631000,-137295000,-330336000,205649000,-69138000,-8143000,-60995000,136511000,136511000,-8054999.99999994,128456000,128456000,128746000,128746000,3055885000,2478302000,577583000,379755000,379755000,124150000,126821000,118678000,3686611000,808352000,125877000,50384000,75493000,934229000,4620840000,596389000,92149000,504240000,384608000,384608000,992508000,15141000,678710000,669296000,693851000,1686359000,7445814000,-4540005000,307000,2906116000,2934481000,4620840000,128456000,19192000,153539000,80161000,381348000,-20912000,-28977000,-49889000,-3165000,8912000,8912000,-3668000,2079000,333538000,333538000,-555000,332983000,224841000,26652000,292145000,0.26213,0.1641,0.04387,0.02786,2.26916,3.71444,0.57467,0.00577,0.50507,0.49558,3.07775,11.40078,1.14609,0.03537,0.08026,-13.47278,-14.73011
"36","2019_Q1",184.701803278689,"Up",870106000,-122289000,-591279000,-153210000,-438069000,156538000,-95041000,-4773000,-90268000,61497000,32497000,1492599000,1525096000,1525096000,1550527000,1550527000,3168242000,2650134000,518108000,409688000,409688000,124360000,140819000,140819000,3843109000,812005000,1590784000,50384000,40728000,2402789000,6245898000,715482000,110987000,604495000,394993000,394993000,1120292000,19658000,670745000,670745000,690403000,1810695000,7424022000,-2989478000,659000,4435203000,4435203000,6245898000,1525096000,18826000,-1308934000,79590000,314578000,-15646000,-2362000.00000001,-40904000,4827000,-99466000,250577000,-6407000,-101046000,172628000,172628000,-1426000,171202000,175364000,29475000,-1253291000,0.17991,1.782,0.3496,0.24825,-0.8083,3.43045,0.40826,0.00472,6.08296,5.96719,3.41356,17.39998,-4.91685,0.30193,-0.24405,-17.89858,-20.05115
"37","2019_Q2",174.818253968254,"Down",858435000,-95092000,-486535000,-147045000,-339490000,276808000,43357000,747000,42610000,320165000,320165000,-51534000,268631000,268631000,268631000,268631000,3478035000,2893885000,584150000,438297000,438297000,136698000,130009000,130009000,4183039000,742559000,1617516000,50384000,99614000,2360075000,6543114000,615007000,82262000,532745000,491461000,491461000,1106468000,707336000,5997000,5997000,713333000,1819801000,7478470000,-2761157000,6e+06,4723313000,4723313000,6543114000,268631000,27140000,47809000,-18796000,324784000,-18041000,-21097000,-39138000,-9385000,-36219000,-36219000,3615000,-41989000,243657000,243657000,-378000,243279000,303948000,707336000,318645000,0.32246,0.31293,0.05687,0.04106,1.18618,3.78053,0.38528,0.1081,1.05059,1.0325,3.35726,18.47245,1.24619,0.04941,0.0586100000000001,-9.1157,-10.00946
"38","2019_Q3",176.90625,"Up",941293000,-135740000,-535593000,-156502000,-379091000,269960000,57178000,3239000,53939000,327138000,327138000,-59711000,267427000,267427000,267427000,267427000,3951222000,3294684000,656538000,464900000,464900000,143017000,151829000,151829000,4710968000,731131000,1591372000,50384000,115797000,2322503000,7033471000,1146117000,77045000,1069072000,113103000,113103000,1259220000,696272000,8014000,8014000,704286000,1963506000,7566896000,-2493730000,-3201000,5069965000,5069965000,7033471000,267427000,27698000,41597000.0000002,127027000,463749000,-16358000,-33832000,-50190000,-9541000,-5538000,-5537999.99999997,2064000,-13015000,400544000,400544000,-430000,400114000,297658000,696272000,468038000,0.2868,0.28411,0.05275,0.03802,1.75015,3.74118,0.38728,0.09899,1.04387,1.02914,3.67424,19.79009,1.82694,0.04631,0.08106,-10.9352,-12.05716
"39","2019_Q4",202.3840625,"Up",949828000,-131914000,-718581000,-159674000,-555948000,99333000,-28667000,3080000,-31747000,70666000,70666000,-13148000,57518000,57518000,57518000,57518000,3996331000,3397941000,598390000,443315000,443315000,162306000,175142000,175142000,4777094000,733509000,2003950000,447525000,140914000,2737459000,7514553000,1266311000,92528000,1173783000,122583000,122583000,1388894000,864623000,7642000,7642000,872265000,2261159000,7670759000,-2436212000,18847000,5253394000,5253394000,7514553000,57518000,25847000,109565000,141859000,334789000,-24291000,21116000,-248999000,-8951000,36370000,36370000,-7063000,20356000,106146000,106146000,-3201000,102945000,125180000,864623000,255896000,0.10458,0.06056,0.01095,0.00765,4.44897,3.4395,0.43042,0.11506,0.22382,0.22078,3.69604,20.44241,0.99576,0.00939000000000002,0.04177,-25.01764,-31.52737
"40","2020_Q1",229.390806451613,"Up",1413244000,-185054000,-672291000,-195279000,-479971000,555899000,125532000,-1866000,127398000,681431000,676931000,-93707000,583224000,583224000,583224000,583224000,3808294000,3109322000,698972000,633518000,633518000,167502000,213515000,213515000,4822829000,745080000,2750556000,1002158000,557583000,3495636000,8318465000,1204522000,87610000,1116912000,130305000,130305000,1334827000,715076000,183318000,183318000,898394000,2233221000,7940195000,-1852978000,-1973000,6085244000,6085244000,8318465000,583224000,26215000,152729000,-316190000,445978000,-16710000,28113000,-896973000,-1323000,162587000,348587000,184000.000000015,161448000,-289547000,-289547000,5609000,-283938000,582114000,715076000,342921000,0.39335,0.41268,0.09584,0.07011,0.58797,3.61307,0.36699,0.08596,2.26016,2.22481,5.47673,23.5821,1.32892,0.08351,0.0491,-5.31377,-5.56435
"41","2020_Q2",271.118095238095,"Up",1515107000,-162497000,-630786000,-182258000,-448528000,721824000,-62690000,-1560000,-61130000,659134000,657534000,-54781000,602753000,602753000,602753000,602753000,4190396000,3593412000,596984000,845269000,845269000,187087000,223648000,223648000,5446400000,736303000,2710498000,1002158000,560635000,3446801000,8893201000,1358974000,100703000,1258271000,179776000,179776000,1538750000,711052000,181745000,181745000,892797000,2431547000,7698496000,-1250225000,13383000,6461654000,6461654000,8893201000,602753000,26821000,208549000,-22425000,815698000,-19450000,51116000,31666000,5833000,-220429000,79597000,-144834000,-359430000,487934000,487934000,-6651000,481283000,748645000,711052000,761551000,0.47642,0.39783,0.09328,0.06778,1.26345,3.5395,0.3763,0.07995,2.31993,2.28736,5.83148,24.87021,2.93113,0.08196,0.10355,-4.64752,-4.82021
"42","2020_Q3",275.88234375,"Up",1524485000,-184520000,-612732000,-191804000,-420928000,727233000,106737000,-9628000,116365000,833970000,824770000,12500000,837270000,837270000,837270000,837270000,5450769000,4831332000,619437000,791768000,791768000,219218000,232565000,232565000,6694320000,728357000,2793690000,1002158000,576564000,3522047000,10216367000,1646858000,101451000,1545407000,151782000,151782000,1798640000,709367000,189118000,189118000,898485000,2697125000,7946318000,-412955000,-14121000,7519242000,7519242000,10216367000,837270000,26697000,-4700000,179260000,1038527000,-17864000,89776000,71911999.9999999,0,133461000,133461000,-13436000,120025000,1230464000,1230464000,3272000,1233736000,753930000,709367000,902826000,0.47704,0.54921,0.11135,0.08195,1.0783,3.72188,0.3587,0.06943,3.21766,3.17175,5.85865,28.89671,3.46959,0.09947,0.10725,-6.28892,-6.51978
"43","2020_Q4",229.44,"Down",1538271000,-186182000,-678048000,-184551000,-493497000,674041000,73630000,-10756000,84386000,747671000,745871000,-78437000,667434000,667434000,667434000,667434000,6151058000,5358087000,792971000,791917000,791917000,245460000,270021000,270021000,7458456000,920913000,2922264000,1002158000,772290000,3843177000,11301633000,1811485000,107786000,1703699000,192541000,192541000,2004026000,735614000,428520000,428520000,1164134000,3168160000,7919976000,254479000,-40982000,8133473000,8133473000,11301633000,667434000,26642000,117800000,95872000,907748000,-174795000,-73142000,-247937000,-28569000,-86211000,21796000,-25904000,-140684000,519127000,519127000,6158000,525285000,700683000,735614000,700197000,0.43818,0.43389,0.08206,0.05906,1.04909,3.72174,0.38952,0.06509,2.55807,2.52242,5.89572,31.17312,2.68364,0.07179,0.07531,-7.72881,-8.03429
"44","2021_Q1",219.64737704918,"Down",1627837000,-203101000,-678434000,-211887000,-466547000,746302000,142923000,-14056000,156979000,889225000,888725000,-284482000,604243000,604243000,604243000,604243000,6658900000,5988200000,670700000,885400000,885400000,280800000,308300000,308300000,8133400000,958500000,2659900000,1002200000,374900000,3618400000,11751800000,1560100000,155100000,1.405e+09,317400000,269380856.485908,1877500000,5.39e+08,648500000,648500000,1187500000,3.065e+09,7896600000,858700000,-68500000,8686800000,8686800000,11751800000,604243000,29340000,165051000,-307107000,491527000,-47691000,291450000,243759000,-6264000,-101021001,30045999,-17926000,-125211001,610074999,610074999,17821000,627895999,775642000,5.39e+08,705326000,0.45846,0.37119,0.06956,0.05142,1.16729,4.33204,0.35283,0.04587,2.33818,2.31076,6.29907,33.61439,2.72933,0.06119,0.07143,-7.89011,-8.2003
"45","2021_Q2",209.169841269841,"Down",1724300000,-192300000,-648100000,-192100000,-4.56e+08,883900000,-66900000,-14200000,-52700000,8.17e+08,820900000,-167800000,653100000,653100000,653100000,653100000,6923968000,6304330000,619638000,977551000,977551000,298863000,338925000,338925000,8539307000,986123000,2589629000,1002158000,771581000,3575752000,12115059000,1659876000,127839000,1532037000,284174000,284174000,1944050000,530330000,660425000,660425000,1190755000,3134805000,7501749000,1511807000,-33302000,8980254000,8980254000,12115059000,653100000,28800000,222900000,16200000,9.21e+08,-70900000,-3400000,-74300000,-8600000,-409300000,15600000,-100800000,-518700000,3.28e+08,3.28e+08,-4e+06,3.24e+08,912700000,530330000,1025800000,0.51261,0.37876,0.07273,0.05391,1.57066,4.39253,0.34908,0.04377,2.51803,2.49355,6.64806,34.62347,3.95498,0.06421,0.10086,-7.00519,-7.23344
"46","2021_Q3",195.24453125,"Down",1793400000,-2.28e+08,-641600000,-194600000,-4.47e+08,923800000,-6299999.99999997,-14400000,8099999.99999997,917500000,-44200000,111200000,6.7e+07,6.7e+07,6.7e+07,6.7e+07,6707993000,6063678000,644315000,929142000,929142000,321620000,498759000,498759000,8457514000,1021233000,2742939000,1002158000,787973000,3764172000,12221686000,1610090000,127534000,1482556000,226358000,226358000,1836448000,524925000,663917000,663917000,1188842000,3025290000,7642824000,1578731000,-25159000,9196396000,9196396000,12221686000,6.7e+07,31300000,-133400000,-164600000,-199700000,-49900000,-29800000,-79700000,-2300000,37899999.9999999,37900000,-2000000.00000003,33600000,-245800000,-245800000,4e+06,-241800000,955100000,524925000,629400000,0.51511,0.03736,0.00729,0.00548,9.39403,4.60537,0.32896,0.04295,0.258319999999999,0.25581,6.91447,35.4568,2.42666,0.00645,0.06061,-6.47374,-6.69308
"47","2021_Q4",194.45484375,"Down",1984139000,-236513000,-1652049000,-198235000,-1453814000,95577000,28269000,-14097000,42366000,123846000,1082746000,-230856000,851890000,851890000,851890000,851890000,6960885000,6275698000,685187000,1100372000,1100372000,333456000,457827000,457827000,8852540000,1042347000,2723858000,1002158000,787861000,3766205000,12618745000,1712855000,127863000,1584992000,201409000,327313877.120442,1914264000,513255000,660518000,660518000,1173773000,3088037000,7088512000,2430659000,11537000,9530708000,9530708000,12618745000,851890000,31668000,135133000,-91484000,927207000,-52485000,-417000,-52902000,-11045000,-618536000,13789000,-27084000,-656665000,217640000,217640000,-8472000,209168000,127245000,513255000,214132000,0.04817,0.42935,0.08938,0.06751,0.25136,4.62451,0.32401,0.04067,3.29246,3.26549,7.66847,36.83508,0.8276,0.07958,0.02,-50.67099,-67.46006
"48","2022_Q1",237.327580645161,"Up",2072561000,-247387000,-949451000,-255165000,-694286000,875723000,-6769000,-13903000,7134000,868954000,870954000,-100844000,770110000,770110000,770110000,770110000,7524900000,6.795e+09,729900000,1136800000,1136800000,353100000,545800000,545800000,9560600000,1094100000,2777800000,1002200000,441100000,3871900000,13432500000,1873600000,1.95e+08,1678600000,778199999,509800000,2651799999,502954036.495459,680700000,680700000,680700000,3332499999,6883300000,3200800000,15900000,1.01e+10,1.01e+10,13432499999,770110000,33832000,56367000,134684000,994993000,-61715000,-72283000,-133998000,-2455000,-333464000,34711000,-316000,-336235000,524760000,524760000,-4928000,519832000,909555000,5.96046447753906e-08,1083368000,0.42253,0.37157,0.07625,0.05733,1.40677,3.60532,0.32995,0,3.01668,3.00593,8.11865,39.56378,4.24378,0.07143,0.10049,-8.27317,-8.59279
"49","2022_Q2",267.657419354839,"Up",2097500000,-245800000,-818300000,-215200000,-603100000,1033400000,-86100000,-13300000,-72800000,947300000,954800000,-192700000,762100000,762100000,762100000,762100000,8238100000,7600100000,6.38e+08,1292800000,1292800000,338900000,491500000,491500000,10361300000,1107400000,2787400000,1002200000,439700000,3894800000,14256100000,1894100000,173600000,1720500000,286100000,606348211.439779,2180200000,495500000,673400000,673400000,1168900000,3349100000,6932800000,3962900000,11300000,1.0907e+10,1.0907e+10,14256100000,762100000,35900000,1.91e+08,-32800000,956200000,-63600000,12599999,-51000001,-12900000,33700000,33700000,-116200000,-95400000,809799999,809799999,-5900000,803899999,1069300000,495500000,1165600000,0.49268,0.36334,0.06987,0.05346,1.52946,4.75245,0.30706,0.03476,2.99332,2.96537,8.23841,42.83975,4.57816,0.06311,0.09652,-7.24081,-7.49236
"50","2022_Q3",288.9585,"Up",2196200000,-261800000,-813400000,-215300000,-598100000,1.121e+09,-81900000,-3800000,-78100000,1039100000,1024400000,-213900000,810500000,810500000,810500000,810500000,9253400000,8702200000,551200000,1332900000,1332900000,367700000,549500000,549500000,11503500000,1100100000,2978600000,1002200000,445600000,4078700000,15582200000,2317500000,1.98e+08,2119500000,7.21e+08,482300000,3038500000,496987890.513624,610200000,610200000,610200000,3648700000,7102600000,4773400000,57500000,11933500000,11933500000,15582200000,810500000,37300000,-91699999.9999999,383700000,1139800000,-53300000,-8199999,-61499999,-12700000,64400000,64400000,-4e+06,47700000,1126000001,1126000001,-25900000,1100100001,1158300000,0,1702600000,0.51043,0.36905,0.06792,0.05201,2.10068,3.78591,0.30575,0,3.16725,3.13297,8.58226,46.63345,6.65338,0.06461,0.13573,-7.98878,-8.25459
