"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1806.6796875,"Up",-7218484,-2017872,-5200612,-7000879,-6779841,-5552256,-5552256,-5552256,-5552256,-5552256,7768936.38754004,31973150.6592401,-795895.451190823,-999757.158937748,7171107.43923349,3506695.67942062,10868202.1673538,18039309.6065873,7348508.80173133,1584077.45914605,5764431.34258529,9207372.49281271,606065.67729097,488471.278440584,1434960.46995275,10642332.9627655,309116560.621286,-301260590.821021,7396976.64382184,7396976.64382184,18039309.6065873,-5552256,379143,-553023,-182948,-5909084,-257843,-257843,-6230563,-6230563,-6230563,-6621736,0,-1.37396565812745,-0.536039319854945,-1.25478484390827,1.51830042041699,0.0573646427619845,-81.04478,-81.04478,160.739848958616,-0.720184569854327,1.67824748538866,1.5250428103248
"2","2011_Q1",1681.79225806452,"Down",-8341252,-2487482,-5922947,-7706089,-7755526,-8956873,-8956873,-8956873,-8956873,-8956873,19898625,19707821,1151163,540183,21168678,2626821,9432895,30601573,3927130,1098962,2828168,5527683,8776343,8662956,9593261,15120944,326632393,-311271486,15480629,15480629,30601573,-8956873,351718,3140166,600333,-4864656,-157057,-157056.999999998,-4815366,-4815366,-4815366,-7354371,1061015,-0.57859,-0.29269,3.82958,0.97677,0.03467,-130.74105,-130.74105,225.96655,-0.35378,2.56142,2.44451
"3","2011_Q2",1264.74857142857,"Down",-7676543,-2075729,-5525677,-7509600,-7530190,-5747235,-5747235,-5747235,-5747235,-5747235,20566079.12082,11138382.44692,1749632.98373027,1057380.88631258,22402361.3535888,2286997.60685979,9021231.11088206,31423592.4644709,2791010.23275622,1120465.09695132,1670545.1358049,4369688.91906243,8146377.19090301,8037196.90718647,8923657.34334908,13293346.2624115,334906865.626238,-317057099.05966,18130246.2020594,18130246.2020594,31423592.4644709,-5747235,305041,-848522,-1127614,-7418330,18790,-8364071,-6639108,-6639108,-6639108,-7204559,0,-0.167593947290852,-0.169974393381685,4.84568994796942,0.525779026527672,0.0308142857460052,-83.89083,-83.89083,242.447472847128,-0.188963476715224,2.55959750487045,2.46117906322507
"4","2011_Q3",543.0515625,"Down",-7272014,-2103262,-5053834,-7090282,-7139171,-4035193,-4035193,-4035193,-4035193,-4035193,15656833,6533645,1514328,922938,17252999,2248319,9068431,26321430,3017223,1350309,1666914,4686364,4051739,3946765,4773546,9459910,337714170,-321053914,16861520,16861520,26321430,-4035193,307192,-2057591,72954.9999999998,-5712637,-92945,-677210,-6518170,-6518170,-6518170,-6783090,958306,-0.23931,-0.1533,3.68153,0.56104,0.03641,-52.85182,-52.85182,220.84743,-0.18449,2.16694,2.07305
"5","2011_Q4",305.76746031746,"Down",-6326257,-1733229,-4524334,-6163172,-6031546,-4334352,-4334352,-4334352,-4334352,-4334352,12534474,7294074,1012704,527466,13623896,2247801,8836011,22459907,3747269,1424436,2322833,5467296,2354250,2253482,3017474,8484770,339301145,-325388266,13975137,13975137,22459907,-4334352,304914,-1009424,1324265,-3714597,-214158,3663217,785710,785710,785710,-5858258,896138,-0.31015,-0.19298,2.49189,0.60713,0.0399,-55.67297,-55.67297,179.50489,-0.25162,1.98665,1.88837
"6","2012_Q1",177.587580645161,"Down",-7152447,-2290155,-4833919,-6658348,-6668512,-7211758,-7211758,-7211758,-7211758,-7211758,16591852,13311261,742027,235563,17388406,2054563,7817093,25205499,4036746,1066495,2970251,5653254,8214064,8117502,8827121,14480375,343284433,-332600022,10725124,10725124,25205499,-7211758,290764,1167738,540535,-5212721,-8620,1956052,6020755,6020755,6020755,-6367584,822286,-0.67242,-0.28612,3.07582,1.35014,0.03262,-85.07879,-85.07879,126.52678,-0.36494,2.47654,2.36839
"7","2012_Q2",148.694603174603,"Down",-5897871,-1924325,-3938391,-5325794,-5288262,-10229439,-10229439,-10229439,-10229439,-10229439,11602452,9454753,632478,259303,12336580,1854962,7607321,19943901,2882549,930527,1952022,4547144,12827559,12735204,13390616,17937760,344696250,-342829461,2006141,2006141,19943901,-10229439,271397,5677722,-1350359,-5630679,-4300,1131344,-3848477,-3848477,-3848477,-5054397,758057,-5.09906,-0.51291,2.71304,8.94143,0.03801,-80.19319,-80.19319,15.72705,-0.65608,2.14554,2.0362
"8","2012_Q3",302.495238095238,"Up",-5534310,-1775342,-3749066,-5349753,-5372435,833522,833522,833522,833522,833522,8903242,7203428,1385140,981467,10409240,1683142,6544260,16953500,2552792,758968,1793824,4277206,6833934,6745785,7311621,11588827,347290128,-341995939,5364673,5364673,16953500,833521.999999998,249745,-5482512,-685128,-5084373,-13181,434575,-2246798,-2246798,-2246798,-5100008,676437,0.15537,0.04917,2.43365,2.16021,0.0399,6.0475,6.0475,38.92263,0.0647399999999999,1.6131,1.53779
"9","2012_Q4",343.554193548387,"Up",-5269322,-1636438,-3478142,-5077218,-5097325,-16336790,-16336790,-16336790,-16336790,-16336790,21744423,15712688,1400208,1011916,23244110,1535590,6413342,29657452,2470538,960501,1510037,4053434,15940857,15856915,16380461,20433895,367386509,-358332729,9223557,9223557,29657452,-16336790,238385,12006620,-142973,-4234758,-2248,-4333581,8509113,8509113,8509113,-4838833,648869,-1.7712,-0.55085,5.73442,2.2154,0.02188,-97.31991,-97.31991,54.94566,-0.63288,4.35964,4.15494
"10","2013_Q1",317.775666666667,"Down",-5696672,-2023535,-3516557,-6155693,-6268666,-2238552,-2238552,-2238552,-2238552,-2238552,22371953,8471275,1559205,1021615,24041317,1375329,6128960,30170277,3706806,999365,2707441,5097132,10734443,10654707,11088528,16185660,374882615,-361091175,13984617,13984617,30170277,-2758446,232194,-3330742,937460,-4919534,-53354,-7924169,-7237903,-7237903,-7237903,-5923499,567223,-0.16007,-0.0742000000000001,4.71664,1.15739,0.0188,-10.79598,-10.79598,67.44432,-0.08853,3.68106,3.54221
