"","YQ","p","d","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",16.2846031746032,"Up",-3359822,-3359822,-117236,-117236,-3477058,-3478025,-3478025,-3478025,-3478025,-3478025,8404332,8404332,836756,9241088,7770928,17012016,2250740,539440,1711300,2250740,2250740,36098867,-21337591,14761276,14761276,17012016,-3478025,901,226339,-1880686,-5131471,5896129,5896129,5896129,-3358921,0,-0.23562,-0.20445,4.1058,0.15248,0,-1.08416,-1.08416,4.60135,-0.23562,2.50209,2.50142
"2","2018_Q1",18.3273770491803,"Up",-4206887,-4206887,-8140.99999999997,7949.99999999999,-4215028,-4214061,-4214061,-4214061,-4214061,-4214061,15644355,15644355,881887,16526242,7842499,24368741,2033204,95873,1937331,2033204,2033204,47887189,-25551652,22335537,22335537,24368741,-4214061,1286,282587,-276312,-4206500,7240023,7240023,7240023,-4205601,0,-0.18867,-0.17293,8.12818,0.09103,0,-0.63184,-0.63184,3.3489,-0.18867,3.71989,3.71875
"3","2018_Q2",18.97296875,"Up",-3991001,-3991001,7397,30690,-3983604,-3983604,-3983604,-3983604,-3983604,-3983604,12368625,12368625,826429,13195054,7848527,21043581,2478021,325535,2152486,2478021,2478021,48100816,-29535256,18565560,18565560,21043581,-3983604,6224,252374,497775,-3227231,-3275730,-3275730,-3275730,-3984777,0,-0.21457,-0.1893,5.32484,0.13347,0,-0.53133,-0.53133,2.47626,-0.21457,3.10397,3.09913
"4","2018_Q3",26.7868253968254,"Up",-4916106,-4916106,80616,36555,-4835490,-4835490,-4835490,-4835490,-4835490,-4835490,8343773,8343773,571173,8914946,7873470,16788416,2731918,861071,1870847,2731918,2731918,48427244,-34370746,14056498,14056498,16788416,-4835490,4817,326428,484773,-4019472,-4024852,-4024852,-4024852,-4911289,0,-0.344,-0.28803,3.26326,0.19435,0,-0.64495,-0.64495,1.87484,-0.344,1.6989,1.69723
"5","2018_Q4",23.0222222222222,"Down",-4107362,-4107362,141851,138671,-3965511,-3965511,-3965511,-3965511,-3965511,-3965511,46185410,46185410,1144094,47329504,7931183,55260687,2154957,595438,1559519,2154957,2154957,91441987,-38336257,53105730,53105730,55260687,-3965511,5583,352715,-1143382,-4750595,37841637,37841637,37841637,-4101779,0,-0.07467,-0.07176,21.96309,0.04058,0,-0.43318,-0.43318,5.80116,-0.07467,11.25985,11.24454
"6","2019_Q1",23.6004918032787,"Up",-8699525,-8699525,203239,206637,-8496286,-8496286,-8496286,-8496286,-8496286,-8496286,41671284,41671284,1075021,42746305,7917114,50663419,5580261,1033829,4546432,5580261,5580261,91915701,-46832543,45083158,45083158,50663419,-8496286,11120,386636,3508025,-4590505,-4514126,-4514126,-4514126,-8688405,0,-0.18846,-0.1677,7.66027,0.12378,1.65436122510606e-24,-0.84364,-0.84364,4.47655,-0.18846,4.79619,4.79006
"7","2019_Q2",19.0595238095238,"Down",-8176918,-8176918,208213,185143,-7968705,-7968705,-7968705,-7968705,-7968705,-7968705,31831427,31831427,778738,32610165,8406375,41016540,2820289,61167,2759122,2984918,3230160,92587628,-54801248,37786380,37786380,41016540,-7968705,9548,671927,-2463689,-9750919,-9839857,-9839857,-9839857,-8167370,0,-0.21089,-0.19428,10.92498,0.08548,0,-0.78997,-0.78997,3.74591,-0.20953,3.89739,3.89284
"8","2019_Q3",2.9321875,"Down",-11165720,-11165720,124212.999999999,-185143,-11041507,-11041507,-11041507,-11041507,-11041507,-11041507,23488195,23488195,792230,24280425,8520866,32801291,4710815,1538832,3171983,4937236,5248780,93395266,-65842755,27552511,27552511,32801291,-11041507,17527,768084,1866414,-8389482,-8343232,-8343232,-8343232,-11148193,-8.88178419700125e-16,-0.40074,-0.33662,4.91782,0.1905,2.64697796016969e-23,-1.0942,-1.0942,2.73043,-0.39626,2.10691,2.1036
"9","2019_Q4",3.398125,"Up",-5362465,-5362465,110992,-69096615.6010259,-5251473,-5251473,-5251473,-5251473,-5251473,-5251473,16121903,16121903,972064,17093967,8447865,25541832,2184568,29569,2154999,2412440,2676770,93959290,-71094228,22865062,22865062,25541832,-5251473,13498,568884,-2706081,-7375172,-7366292,-7366292,-7366292,-5348967,0,-0.22967,-0.2056,7.08576,0.11707,0,-0.52019,-0.52019,2.26493,-0.22705,3.01402,3.00644
"10","2020_Q1",3.66370967741935,"Up",-5192338.00000001,-5192337.99999999,36053.9999999925,471267.00000003,-5156284,-5156284.00000003,-5156284.00000003,-5156284.00000003,-5156284.00000003,-5156284.00000003,12077640,12077640,807356,12884996,8580515,21465511,2505521,561090,1944431,2768913,3095195,94620828.0000001,-76250511.9999999,18370316,18370316,21465511,-5156284.00000003,17709,661538,485661,-3991376,-4044263.00000001,-4044263.00000001,-4044263.00000001,-5174628.99999999,7.105427357601e-15,-0.28069,-0.24021,4.65345,0.16849,4.2351647362715e-22,-0.510769999999998,-0.510769999999998,1.81971,-0.27579,2.33401,2.32605
