"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",4.25828125,"Down",3530000,-310000,3220000,-1938000,-1781000,-157000,1282000,1000,1000,1283000,-106000,1177000,-66000,1111000,1111000,1111000,1111000,-1713219.09397611,-1713219.09397611,2256958.81410292,2256958.81410292,802064.458346512,-359161.455635999,1161225.91398016,1345804.17847332,2661137.58028726,2680524.08515313,2988604.96790436,-308080.882775964,5341675.20689077,6687479.38536409,3463538.41180358,306841.531488993,3156696.88031459,170433.734896446,217840.73665332,3633972.14670003,1.06296104253509,3633972.20661223,8229238.37452199,-5674700.3116962,498970.431561226,3053507.17875185,3053507.17875185,6687479.38536409,1111000,157000,3000,-316000,955000,-161000,-161000,0,0,794000,794000,-34000,760000,1439000,0,0.91218,0.36317,0.31473,0.718654314384037,0.603408855516327,-2.42979674998555,0.531790048347639,3.21302248207762e-10,0.13614,0.12397,0.43255,0.507926075287407,0.718654315857392,-271.179726030572,-377.787579903988
"2","2016_Q4",3.21920634920635,"Down",2572000,-327000,2245000,-2003000,-1850000,-153000,242000,0,0,242000,130000,372000,-46000,326000,326000,326000,326000,3976000,3976000,1780000,1780000,277000,87000,190000,6033000,1931000,2606000,2478000,128000,4537000,10570000,1677000,59000,1618000,461000,458000,2138000,0.354320347511698,2138000,17926000,-8946000,-548000,8432000,8432000,10570000,326000,153000,1000,562000,1042000,-336000,-336000,9000,9000,715000,715000,68000,783000,395000,0,0.87286,0.09409,0.12675,0.03866,0.03084,2.8218,0.25356,0,0.03976,0.03549,0.3137,1.02842,0.03866,-10.06582,-16.42975
"3","2017_Q1",3.31177419354839,"Up",2452000,-367000,2085000,-2574000,-2439000,-135000,-489000,0,0,-489000,-299000,-788000,9000,-779000,-779000,-779000,-779000,5978000,5978000,1668000,1668000,317000,210000,107000,7963000,1843000,2627000,2361000,266000,4470000,12433000,1523000,36000,1487000,314000,299000,1837000,0,1837000,21138000,-9725000,-817000,10596000,10596000,12433000,-779000,135000,411000,-395000,-628000,-326000,-326000,0,3e+06,2046000,2046000,-44000,2002000,-354000,0,0.85033,-0.19943,-0.3177,-0.07352,-0.06266,4.33478,0.17337,0,-0.08789,-0.07764,0.27666,1.19553,-0.07352,16.88701,12.22495
"4","2017_Q2",2.81253968253968,"Down",2383000,-367000,2016000,-1894000,-1756000,-138000,122000,1000,1000,123000,41000.0000000001,164000,-1000,163000,163000,163000,163000,5983000,5983000,1679000,1679000,524000,192000,332000,8186000,2058000,2673000,2411000,262000,4731000,12917000,1909000,74000,1835000,81000,73000,1990000,0,1990000,21233000,-9562000,-744000,10927000,10927000,12917000,163000,138000,32000.0000000001,-118000,215000,-349000,-349000,124000,124000,-10000,-10000,15000,5000,260000,-2.16840434497101e-19,0.84599,0.0512,0.0684000000000001,0.01492,0.01262,4.11357,0.18212,0,0.0176,0.01559,0.25732,1.17989,0.01492,-23.01154,-49.04098
"5","2017_Q3",1.94730158730159,"Down",2572000,-413000,2159000,-2498000,-2314000,-184000,-339000,7000,7000,-332000,-17000,-349000,22000,-327000,-327000,-327000,-327000,5604000,5604000,1617000,1617000,518000,192000,326000,7739000,2271000,2665000,2403000,262000,4936000,12675000,1854000,30000,1824000,78000,77000,1932000,0,1932000,21390000,-9889000,-758000,10743000,10743000,12675000,-327000,184000,125000,8000,-10000,-408000,-408000,42000,42000,-376000,-376000,-3000,-379000,-155000,0,0.83942,-0.1318,-0.12714,-0.03044,-0.0258,4.00569,0.17984,0,-0.03474,-0.03474,0.27324,1.14129,-0.03044,36.15484,16.53097
"6","2017_Q4",2.53,"Up",2530000,-406000,2124000,-2317000,-2152000,-165000,-193000,6000,6000,-187000,-52000,-239000,-7.27595761418343e-12,-239000,-239000,-239000,-239000,5082000,5082000,1790000,1790000,444000,131000,313000,7316000,2586000,2585000,2325000,260000,5171000,12487000,1961000,45000,1916000,57000,56000,2018000,-1.11022302462516e-16,2018000,21476000,-10128000,-879000,10469000,10469000,12487000,-239000,165000,65000.0000000001,-9000.00000000001,-17999.9999999999,-483000,-483000,999.999999999993,999.999999999884,-5e+05,-5e+05,-22000,-522000,-28000.0000000001,0,0.83953,-0.07628,-0.09447,-0.02283,-0.01914,3.62537,0.19276,0,-0.02491,-0.02491,0.26368,1.09109,-0.02283,181.5,26.33161
"7","2018_Q1",3.1583606557377,"Up",2546000,-381000,2165000,-2402000,-2246000,-156000,-237000,5000,5000,-232000,29000,-203000,-5000,-208000,-208000,-208000,-208000,4580000,4580000,1712000,1712000,742000,315000,427000,7034000,2678000,2819000,2518000,301000,5497000,12531000,1873000,33000,1840000,36000,36000,1909000,0,1909000,21542000,-10336000,-584000,10622000,10622000,12531000,-208000,156000,61000,-293000,-284000,-266000,-266000,-1000,-1000,-551000,-551000,49000,-502000,-81000,0,0.85035,-0.09309,-0.0817,-0.01958,-0.0166,3.68465,0.17972,0,-0.02167,-0.02476,0.26524,1.10657,-0.01958,56.54321,19.32489
"8","2018_Q2",3.75234375,"Up",2659000,-372000,2287000,-3129000,-2972000,-157000,-842000,9000,9000,-833000,-1000,-834000,14000,-820000,-820000,-820000,-820000,4163000,4163000,1898000,1898000,572000,3e+05,272000,6633000,3005000,2733000,2437000,296000,5738000,12371000,2328000,155000,2173000,63000,63000,2391000,-1.77635683940025e-15,2391000,21857000,-11156000,-721000,9980000,9980000,12371000,-820000,157000,316000,453000,106000,-488000,-488000,1.81898940354586e-12,7.27595761418343e-12,-382000,-382000,-35000,-417000,-685000,5.55111512312578e-17,0.8601,-0.31666,-0.30839,-0.08216,-0.06628,2.77415,0.23958,0,-0.0849,-0.0849,0.27532,1.03334,-0.08216,6.07737,4.94418
"9","2018_Q3",2.84365079365079,"Down",3045000,-356000,2689000,-2811000,-2586000,-225000,-122000,5000,5000,-117000,-44000,-161000,-12000,-173000,-173000,-173000,-173000,4160000,4160000,1819000,1819000,604000,284000,320000,6583000,3098000,2885000,2586000,299000,5983000,12566000,2221000,277000,1944000,9000,9000,2230000,0,2230000,22148000,-11330000,-482000,10336000,10336000,12566000,-173000,225000,204000,-109000,147000,-310000,-310000,91000,91000,-72000,-72000,69000,-3000,103000,0,0.88309,-0.04007,-0.05681,-0.01674,-0.01377,2.95202,0.21575,0,-0.01775,-0.01775,0.31234,1.06021,-0.01674,-40.38835,34.09836
"10","2018_Q4",2.2715873015873,"Down",2551000,-378000,2173000,-2512000,-2195000,-317000,-339000,7000,7000,-332000,26000,-306000,-999.999999999985,-307000,-307000,-307000,-307000,4272000,4272000,1680000,1680000,550000,236000,314000,6502000,3272000,2784000,2491000,293000,6056000,12558000,2398000,285000,2113000,3000,3000,2401000,0,2401000,22429000,-11638000,-634000,10157000,10157000,12558000,-309000,317000,158000,365000,531000,-497000,-497000,125000,125000,159000,159000,-47000,112000,-22000.0000000001,-8.88178419700125e-16,0.85182,-0.13289,-0.12034,-0.03023,-0.02445,2.70804,0.23639,0,-0.03111,-0.03111,0.25854,1.02939,-0.03023,194.18182,12.60177
