"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.10984126984127,"Up",20628000,-15270000,5358000,-4907000,-4907000,451000,-7000,444000,444000,-166000,278000,278000,278000,278000,613531.397489536,613531.397489536,2539300.93699044,2539300.93699044,-90097128.7259912,24085324.2787406,10876591.7889927,13208732.3890097,-62858972.1127706,5643387.19745021,86265304.2215039,29172820.3612281,54577425.6745727,2864.95197699673,91908691.4189541,29049719.3061835,-35168909.7260089,-65427721.9220886,35111050.8271332,-35168909.7261962,36312391.1508394,918323.966489696,794276.564770784,37230715.1173292,2061805.39113297,14908154.6557621,14175179.9154362,-10514.7869251496,26987913.9150505,26987913.9150505,29049719.3061835,278000,496000,146000,-1131000,-211000,-215000,-215000,399000,42000,42000,-5668544.01284802,389000,-37000,-37000,-1000,-38000,947000,0,-233000,0.25974,0.02186,0.01348,1.0293503598684,0.586436707716795,-0.83813,2.22052899348794,0.025585023433058,0.812922753464657,0.03815,0.03693,2.83079,3.69335082213912,-0.03197,0.782356059824995,3.49681628131809,-75.7885317478518,-269.578766463404
"2","2010_Q3",7.20703125,"Up",20920000,-15962000,4958000,-4051000,-4051000,907000,-33000,874000,874000,-347000,527000,527000,527000,527000,267765.698744768,267765.698744768,8321150.46849522,8321150.46849522,-34758064.3629956,10673162.1393703,5035795.89449635,5637366.19450486,-15495986.0563853,5200193.59872511,45286152.1107519,13561410.180614,29891212.8372864,237932.475988498,50486345.709477,34990359.6530917,-7211454.86300446,-23125860.9610443,17772525.4135666,-7211454.86309809,16872695.5754197,807661.983244848,745638.282385392,17680357.5586646,10468902.6955665,14059077.3278811,12328089.9577181,273742.606537425,24521456.9575252,24521456.9575252,34990359.6530917,527000,529000,269000,-273000,1052000,-450000,-450000,-780000,134000,134000,-2265848.00428267,-637000,-35000,-35000,1000,-34000,1436000,0,1060000,0.237,0.04336,0.02519,0.498310179934202,0.283708353858397,2.01139,1.74709949674397,0.434997511716529,0.385366376732328,0.07211,0.06988,2.86262,3.37385041106956,0.14505,0.381568029912498,1.55496814065904,-34.3285958739259,-121.739253231702
"3","2010_Q4",7.255625,"Up",23881000,-17829000,6052000,-4612000,-4612000,1440000,-14000,1426000,1426000,-529000,897000,897000,897000,897000,90588.5662482559,90588.5662482559,11169716.8228317,11169716.8228317,-4536354.7876652,3762720.71312344,1954598.63149878,1808122.06483495,10486671.3145382,5118064.53290837,23293050.703584,5175136.72687134,16651070.9457621,360310.825329499,28411115.2364924,38897786.5510306,7131515.04566518,-444286.987014759,7893175.13785553,7131515.04563397,7607898.52513991,754220.661081616,733546.094128464,8362119.18622153,15493634.2318555,13805359.1092937,11348029.985906,426580.868845808,23404152.3191751,23404152.3191751,38897786.5510306,897000,597000,17000,340000,1851000,-416000,-907000,-477000,-499000,60000,-559000,-975000,-31000,-31000,-2000,-33000,2037000,0,2490000,0.25342,0.0603,0.03756,0.189423393311401,0.107646117952799,2.77592,1.64417316558132,0.66916250390551,0.180715458910776,0.12276,0.11876,3.26824,3.22708347035652,0.34077,0.146936009970833,0.470202713553015,-9.71319195797529,-36.184991077234
"4","2011_Q1",8.0491935483871,"Up",25757000,-18827000,6930000,-5141000,-5141000,1789000,-51000,1738000,1738000,-652000,1086000,1086000,1086000,1086000,32000,32000,12064000,12064000,7571000,1457000,840000,617000,21124000,5253000,14983000,1982000,11666000,408000,20236000,41360000,12028000,8241000,3579000,12028000,5253000,750000,750000,6003000,18031000,13946000,11092000,485000,23329000,23329000,41360000,1086000,671000,195000,-2071000,-119000,-566000,-3502000,3579000,64000,64000,0,3645000,24000,24000,-10000,14000,2460000,5253000,475000,0.26905,0.06946,0.04216,0.04655,0.02626,0.43738,1.75624,0.7729,0.12701,0.14963,0.14552,3.54877,3.21425,0.06545,0.03702,0.01619,2.12236,2.91839
"5","2011_Q2",9.75746031746032,"Up",25605000,-19307000,6298000,-5728000,-5728000,570000,-45000,525000,525000,-2e+05,325000,325000,325000,325000,42000,42000,11983000,11983000,8567000,1859000,899000,960000,22451000,5461000,15053000,1950000,11745000,419000,20514000,42965000,11646000,8554000,2936000,11646000,6543000,787000,787000,7330000,18976000,14280000,11417000,486000,23989000,23989000,42965000,325000,670000,316000,-1876000,-565000,-610000,-735000,1290000,70000,227314.752819599,70000,1308000,8000,8000,2000,10000,1240000,6543000,-1046000,0.24597,0.02226,0.01269,0.01355,0.00756,-3.21846,1.92779,0.79103,0.15229,0.04466,0.04272,3.51862,3.29655,-0.14374,0.01038,-0.0334,5.24274,11.40526
"6","2011_Q3",11.1734375,"Up",25183000,-19030000,6153000,-4912000,-4912000,1241000,-38000,1203000,1203000,-457000,746000,746000,746000,746000,67000,67000,11988000,11988000,6647000,3006000,1235000,1771000,21708000,5580000,17673000,2845000,13381000,420000,23253000,44961000,10936000,7136000,3791000,10936000,8163000,830000,830000,8993000,19929000,14592000,12163000,471000,25032000,25032000,44961000,746000,738000,56000,-83000.0000000002,1457000,-290000,-3287000,1620000,199000,392576.170559527,199000,1850000,20000,20000,5000,25000,1979000,8163000,2063000,0.24433,0.04928,0.02962,0.0298,0.01659,2.76542,1.985,0.79614,0.18156,0.10216,0.09764,3.44878,3.4281,0.28253,0.02193,0.06063,4.09096,6.52377
"7","2011_Q4",11.7834920634921,"Up",28460000,-21672000,6788000,-5135000,-5135000,1653000,-44000,1609000,1609000,-585000,1024000,1024000,1024000,1024000,57000,57000,13058000,13058000,8814000,3001000,1055000,1946000,24930000,5466000,17540000,2635000,13383000,449000,23006000,47936000,14066000,9611000,4250000,14066000,6848000,871000,871000,7719000,21785000,14681000,13187000,477000,26151000,26151000,47936000,1024000,833000,87000,-301000,1643000,-333000,-333000,-1315000,20000,350000,-330000,-1323000,-13000,-13000,3000,-10000,2486000,6848000,2437000,0.23851,0.05808,0.03598,0.03916,0.02136,2.37988,1.77236,0.83305,0.14286,0.1398,0.13333,3.88532,3.5701,0.3327,0.03023,0.07195,2.7317,4.10829
"8","2012_Q1",11.7170967741935,"Down",30772000,-22887000,7885000,-5921000,-5921000,1964000,-55000,1909000,1909000,-702000,1207000,1207000,1207000,1207000,32000,32000,13800000,13800000,6396000,1909000,1064000,845000,22137000,5306000,17534000,2449000,13390000,654000,22840000,44977000,13053000,7516000,5171000,13053000,3365000,1181000,1042000,4546000,17599000,14730000,14394000,448000,27378000,27378000,44977000,1207000,655000,211000,1651000,3724000,-158000,-158000,-3483000,-1e+05,86000,-186000,-3586000,-20000,-20000,-5000,-25000,2619000,3365000,4814000,0.25624,0.06382,0.03922,0.04409,0.02684,3.9884,1.69593,0.64282,0.07482,0.16462,0.15724,4.19694,3.73404,0.65657,0.03781,0.1508,1.27262,1.69705
"9","2012_Q2",9.79412698412698,"Down",25097000,-18890000,6207000,-5613000,-5613000,594000,-47000,547000,547000,-186000,361000,361000,361000,361000,44000,44000,11905000,11905000,7224000,2108000,1067000,1041000,21281000,5426000,17670000,2265000,13384000,849000,23096000,44377000,9340000,6248000,2873000,9340000,5852000,1382000,1382000,7234000,16574000,14885000,14755000,357000,27803000,27803000,44377000,361000,6e+05,-73000,-2982000,-2094000,-453000,-453000,2487000,80000,80000,29169.404549441,2553000,6000,6000,6000,12000,1194000,5852000,-2055000,0.24732,0.02367,0.01438,0.01298,0.00813,-5.69252,2.27848,0.59612,0.13187,0.04895,0.047,3.40298,3.7699,-0.27864,0.0103,-0.05865,4.86432,9.77778
"10","2012_Q3",6.12619047619048,"Down",26788000,-20710000,6078000,-4898000,-4898000,1180000,-51000,1129000,1129000,-384000,745000,745000,745000,745000,194000,194000,12466000,12466000,7082000,2959000,1538000,1421000,22701000,6132000,20047000,2651000,15298000,927000,26179000,48880000,11481000,7573000,3785000,11481000,7242000,1462000,1462000,8704000,20185000,14234000,14074000,387000,28695000,28695000,48880000,745000,621000,94000,1288000,2748000,-893000,-4022000,1390000,44000,44000,51031.471959678,1434000,160000,160000,-10000,150000,1801000,7242000,2580000,0.22689,0.04405,0.02781,0.02596,0.01524,3.46309,1.97727,0.70343,0.14816,0.10053,0.09845,3.61463,3.87195,0.34813,0.01992,0.06899,3.91338,5.97288
