"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",37.5815873015873,"Down",1.85e+09,-1.707e+09,1.43e+08,-9.6e+07,-9.6e+07,4.7e+07,3.5e+07,-9e+06,4.4e+07,8.2e+07,-2e+06,8e+07,-2.8e+07,5.2e+07,5.6e+07,-1.7e+07,3.9e+07,3.9e+07,998584741.314438,998584741.526108,968341302.221873,968341302.221873,377831627.203379,539761483.589967,539759704.522419,2884519154.32966,1633184278.05915,1076652618.84715,456930840.736781,29944703.870504,2717790930.09925,5602310084.42891,1468138029.16093,1155406931.44317,312731095.197581,123636089.786379,123636089.786379,1725466128.71957,1259071909.08202,526327264.139233,253183963.58304,273143300.556194,1785399173.22126,3510865301.94083,1010135702.04281,8577756.13718746,-13352398.8155357,331706036.165371,1337067095.52983,754377686.958241,2091444782.48808,5602310084.42891,5.6e+07,7.7e+07,-3.3e+07,-1.49e+08,-4.9e+07,-5.5e+07,5e+06,-5e+07,0,4e+06,4e+06,-9.5e+07,-9.5e+07,2.1e+07,-7.4e+07,1.24e+08,0,-5.2e+07,0.0773,0.02541,0.02108,-0.108726042852376,-0.0434247823907976,-1.33333,1.69848676442898,1.662088934839,0.25517514279538,0.76923,0.75,36.48915,26.952209910736,-1.02564,-0.0621739291770744,0.232929192818814,1.3874670375773,-9.18973666294468
"2","2011_Q3",32.02515625,"Down",2.046e+09,-1.854e+09,1.92e+08,-1e+08,-1e+08,9.2e+07,3.6e+07,-7e+06,4.3e+07,1.28e+08,-5e+07,7.8e+07,-3.4e+07,4.4e+07,4.4e+07,-1.8e+07,2.6e+07,2.6e+07,8.39e+08,8.39e+08,1.341e+09,1.341e+09,4.19e+08,3.79e+08,3.79e+08,2.978e+09,1.64e+09,9.76e+08,3.95e+08,8.8e+07,2.616e+09,5.594e+09,1.546e+09,1.343e+09,2.03e+08,2.89e+08,2.89e+08,1.926e+09,1.057e+09,4.55e+08,2.06e+08,2.49e+08,1.512e+09,3.438e+09,1.137e+09,1.2e+07,1.51e+08,1.43e+08,1.443e+09,7.13e+08,2.156e+09,5.594e+09,4.4e+07,8.5e+07,-1.5e+07,-5e+07,6.4e+07,-7.1e+07,-5e+06,-6.6e+07,5e+06,-9e+06,-4e+06,-6e+06,-6e+06,1.4e+07,8e+06,1.77e+08,1.148e+09,9e+07,0.09384,0.04497,0.01271,0.01206,0.00465,3.46154,1.54621,1.59462,0.20522,0.50881,0.49808,40.03914,28.23875,1.76125,0.00692,0.02394,1.74576,3.3587
"3","2011_Q4",30.4434920634921,"Down",1.909e+09,-1.77e+09,1.39e+08,-9.5e+07,-9.5e+07,4.4e+07,9e+06,-5e+06,4.3e+07,5.3e+07,2.8e+07,8.1e+07,-2.5e+07,5.6e+07,6e+07,-1.9e+07,4.1e+07,4.1e+07,7.58e+08,7.58e+08,1.239e+09,1.239e+09,4.06e+08,3.01e+08,3.01e+08,2.704e+09,1.528e+09,1.002e+09,3.66e+08,8.9e+07,2.53e+09,5.234e+09,1.357e+09,1.173e+09,1.84e+08,2.97e+08,2.97e+08,1.735e+09,1.016e+09,4.16e+08,1.87e+08,2.29e+08,1.432e+09,3.167e+09,1.157e+09,6e+06,1.92e+08,1.8e+07,1.373e+09,6.94e+08,2.067e+09,5.234e+09,6e+07,8.6e+07,-3e+06,-1.16e+08,2.7e+07,-5.9e+07,3e+06,-5.5e+07,-4e+06,-5e+06,-9e+06,-3.7e+07,-3.7e+07,-4.4e+07,-8.1e+07,1.3e+08,1.097e+09,-2e+07,0.07281,0.02305,0.02148,0.01984,0.00783,-0.4878,1.5585,1.53217,0.20959,0.79612,0.79151,37.06796,26.66019,-0.38835,0.01145,-0.00559,2.60769,7.70455
"4","2012_Q1",30.6537096774194,"Up",1.727e+09,-1.583e+09,1.44e+08,-9.6e+07,-9.6e+07,4.8e+07,5e+07,-6e+06,3.8e+07,9.8e+07,0,9.8e+07,-4e+07,5.8e+07,-6e+06,-2e+07,-2.6e+07,-2.6e+07,7.23e+08,7.23e+08,1.071e+09,1.071e+09,3.81e+08,3.14e+08,3.14e+08,2.489e+09,1.412e+09,1.068e+09,3.53e+08,7.1e+07,2.48e+09,4.969e+09,1.199e+09,1.01e+09,1.89e+08,2.67e+08,2.67e+08,1.553e+09,1.007e+09,4.12e+08,1.87e+08,2.25e+08,1.419e+09,2.972e+09,1.166e+09,0,1.66e+08,-2.5e+07,1.307e+09,6.9e+08,1.997e+09,4.969e+09,-6e+06,6.8e+07,-4e+06,1.7e+07,7.5e+07,-7.3e+07,0,-9.9e+07,6e+06,-3e+06,3e+06,-2.1e+07,-2.1e+07,-1.4e+07,-3.5e+07,1.16e+08,1.094e+09,1e+08,0.08338,0.02779,-0.01506,-0.01302,-0.00523,-3.84615,1.6027,1.48823,0.22017,-0.50485,-0.5,33.53398,25.37864,1.94175,-0.00742,0.02855,3.19828,7.72917
"5","2012_Q2",25.6407936507937,"Down",1.717e+09,-1.583e+09,1.34e+08,-9.1e+07,-9.1e+07,4.3e+07,3.3e+07,-9e+06,4.2e+07,7.6e+07,-6.3e+07,1.3e+07,-2.7e+07,-1.4e+07,-1.1e+07,-1.8e+07,-2.9e+07,-2.9e+07,6.96e+08,6.96e+08,1.191e+09,1.191e+09,3.81e+08,4.19e+08,4.19e+08,2.687e+09,1.384e+09,1.087e+09,3.4e+08,6.8e+07,2.471e+09,5.158e+09,1.316e+09,1.155e+09,1.61e+08,2.97e+08,2.97e+08,1.706e+09,9.2e+08,4.41e+08,1.96e+08,2.45e+08,1.361e+09,3.067e+09,1.244e+09,2e+06,1.37e+08,1.5e+07,1.398e+09,6.93e+08,2.091e+09,5.158e+09,-1.1e+07,6.5e+07,-1.7e+07,-1.8e+07,1.9e+07,-5.3e+07,-1121201.65619978,-5.3e+07,-2e+06,-17922258.9590837,-2e+06,-3.6e+07,-3.6e+07,9e+06,-2.7e+07,1.08e+08,1.013e+09,6.4e+07,0.07804,0.02504,-0.01689,-0.01387,-0.00562,-2.2069,1.57503,1.46676,0.19639,-0.55877,-0.55877,33.08285,26.93642,1.23314,-0.00818,0.01805,2.93519,7.37209
"6","2012_Q3",23.0173015873016,"Down",1.693e+09,-1.565e+09,1.28e+08,-8.7e+07,-8.7e+07,4.1e+07,9.7e+07,-6e+06,1.03e+08,1.38e+08,-1.1e+07,1.27e+08,-4.2e+07,8.5e+07,8.4e+07,-9e+06,7.5e+07,7.5e+07,6.81e+08,6.81e+08,1.166e+09,1.166e+09,3.8e+08,4.51e+08,4.51e+08,2.678e+09,1.264e+09,1.102e+09,3.28e+08,6e+07,2.366e+09,5.044e+09,1.238e+09,1.067e+09,1.71e+08,2.27e+08,2.27e+08,1.559e+09,9.11e+08,4.46e+08,1.99e+08,2.47e+08,1.357e+09,2.916e+09,1.251e+09,1e+06,2.12e+08,-3.1e+07,1.433e+09,6.95e+08,2.128e+09,5.044e+09,8.4e+07,6.7e+07,-7.7e+07,-8.8e+07,-1.4e+07,-4.9e+07,0,3.1e+07,4e+06,-2.2e+07,-1.8e+07,-1e+06,-1e+06,-1.4e+07,-1.5e+07,1.08e+08,1.005e+09,1.3e+07,0.07561,0.02422,0.0443,0.03524,0.01487,0.17333,1.71777,1.3703,0.19925,1.38122,1.36116,31.17864,26.39042,0.23941,0.02096,0.00363,3,7.90244
"7","2012_Q4",28.4908064516129,"Up",1.624e+09,-1.495e+09,1.29e+08,-8.9e+07,-8.9e+07,4e+07,2e+06,-1.3e+07,3.8e+07,4.2e+07,3e+07,7.2e+07,-3.3e+07,3.9e+07,3.4e+07,-1.9e+07,1.5e+07,1.5e+07,9.01e+08,9.01e+08,1.168e+09,1.168e+09,4.08e+08,2.84e+08,2.84e+08,2.761e+09,1.278e+09,1.131e+09,3.24e+08,7.3e+07,2.409e+09,5.17e+09,1.239e+09,1.077e+09,1.62e+08,2.48e+08,2.48e+08,1.576e+09,9.19e+08,4.53e+08,2.02e+08,2.51e+08,1.372e+09,2.948e+09,1.259e+09,-4e+06,2.27e+08,1.7e+07,1.499e+09,7.23e+08,2.222e+09,5.17e+09,3.4e+07,6.4e+07,2.6e+07,3.2e+07,1.56e+08,-4.4e+07,0,6.4e+07,-1.2e+07,-1e+06,-1.3e+07,2.07e+08,2.07e+08,1.3e+07,2.2e+08,1.04e+08,1.008e+09,1.25e+08,0.07943,0.02463,0.00924,0.00675,0.0029,8.33333,1.7519,1.32673,0.19497,0.28249,0.28037,30.5838,28.22976,2.35405,0.00406999999999999,0.03394,1.02885,2.675
"8","2013_Q1",33.4655,"Up",6.81e+08,-5.35e+08,1.46e+08,-4.8e+07,-4.8e+07,9.8e+07,3.3e+07,-6e+06,4.3e+07,1.31e+08,-6999999.99999999,1.24e+08,-5e+06,1.19e+08,6e+07,-2.1e+07,3.9e+07,3.9e+07,8.25e+08,8.25e+08,1.162e+09,1.162e+09,3.85e+08,2.91e+08,2.91e+08,2.663e+09,1.326e+09,4.11e+08,3.32e+08,7.9e+07,2.493e+09,5.156e+09,1.202e+09,1.027e+09,1.75e+08,2.54e+08,2.54e+08,1.552e+09,1.044e+09,4.19e+08,1.81e+08,2.38e+08,1.463e+09,3.015e+09,1.27e+09,-6.1e+07,2.66e+08,-9e+07,1.385e+09,7.56e+08,2.141e+09,5.156e+09,6e+07,6.3e+07,0,-4.7e+07,7.6e+07,-8.3e+07,2e+06,-7.8e+07,-3e+07,-4e+06,-8.4e+07,-8.6e+07,-8.6e+07,1e+07,-7.6e+07,1.61e+08,1.14e+09,3.6e+07,0.21439,0.14391,0.05727,0.01822,0.00756,0.923079999999999,1.71585,1.40822,0.2211,0.7457,0.74004,13.02103,26.48184,0.68834,0.01054,0.00973,1.95652,3.21429
"9","2013_Q2",35.57984375,"Up",1.856e+09,-1.702e+09,1.54e+08,-8.6e+07,-8.6e+07,6.8e+07,-2e+06,-1e+07,4.4e+07,6.6e+07,13229735.1833573,6.6e+07,1.8e+07,8.4e+07,8.4e+07,-1.5e+07,6.9e+07,6.9e+07,9.8e+08,9.8e+08,1.181e+09,1.181e+09,4.27e+08,2.82e+08,2.82e+08,2.87e+09,1.297e+09,1.2e+09,3.14e+08,1.05e+08,2.497e+09,5.367e+09,1.354e+09,1.192e+09,1.62e+08,2.9e+08,2.9e+08,1.743e+09,1.233e+09,3.52e+08,1.79e+08,1.73e+08,1.585e+09,3.328e+09,1.251e+09,-1.62e+08,3.35e+08,-1.18e+08,1.306e+09,7.33e+08,2.039e+09,5.367e+09,8.4e+07,6.7e+07,-3.5e+07,6e+06,1.22e+08,-6.3e+07,-1e+06,-4.7e+07,2.16e+08,0,9.1e+07,1.66e+08,1.66e+08,-1.1e+07,1.55e+08,1.35e+08,1.332e+09,6e+07,0.08297,0.03664,0.03718,0.03384,0.01286,0.86957,1.64659,1.63217,0.24818,1.33721,1.32948,35.96899,25.31008,1.16279,0.01853,0.01612,2.60741,5.17647
"10","2013_Q3",40.93125,"Up",1.34e+09,-1.181e+09,1.59e+08,-6.4e+07,-6.4e+07,9.5e+07,6.2e+07,-8e+06,4.2e+07,1.57e+08,-2.1e+07,1.36e+08,-5.4e+07,8.2e+07,8.6e+07,-2.1e+07,6.5e+07,6.5e+07,9.83e+08,9.83e+08,1.206e+09,1.206e+09,4.15e+08,3.38e+08,3.38e+08,2.942e+09,1.274e+09,1.206e+09,2.98e+08,1.18e+08,2.48e+09,5.422e+09,1.363e+09,1.174e+09,1.89e+08,2.58e+08,2.58e+08,1.75e+09,1.229e+09,3.46e+08,1.8e+08,1.66e+08,1.575e+09,3.325e+09,1.288e+09,-1.91e+08,4e+08,-1.45e+08,1.352e+09,7.45e+08,2.097e+09,5.422e+09,8.6e+07,6.5e+07,-4.1e+07,-7.4e+07,3.6e+07,-5.1e+07,-3e+06,-3.2e+07,3.1e+07,-2.2e+07,9e+06,1.3e+07,1.3e+07,-1e+07,3e+06,1.6e+08,1.358e+09,8.9e+07,0.11866,0.0709,0.04851,0.031,0.01199,1.36923,1.68114,1.5856,0.25046,1.3,1.28205,26.8,27.04,1.78,0.0171,0.02341,2.34375,3.94737
