"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",80.8427868852459,"Down",829700000,-562800000,266900000,-1.55e+08,-1.55e+08,111900000,-21200000,-8300000,-13400000,90700000,90700000,-2.8e+07,62700000,62700000,-1200000,61500000,61500000,355700000,343500000,12200000,466600000,466600000,5.4e+08,25500000,25500000,1387800000,419700000,49500000,1351700000,928500000,5.1e+07,1820900000,3208700000,554900000,289500000,265400000,48200000,603100000,595900000,260700000,260700000,856600000,1459700000,1740600000,8400000,1.749e+09,3208700000,62700000,21600000,19400000,42600000,146300000,-24100000,-4600000,-1e+05,-1200000,-3e+07,-36500000,47800000,-3100000,-3100000,-212500000,-204300000,-8.8e+07,-8.8e+07,-2300000,-90300000,133500000,644100000,1.8e+08,0.32168,0.13487,0.07412,0.03516,0.01917,2.92683,2.30111,0.83459,0.20074,1.07143,1.06401,14.4547,30.32404,3.13589,0.63589,0.03693,0.06783,0.5935,2.1603,2.5773
"2","2016_Q2",89.57734375,"Up",834800000,-574900000,259900000,-1.58e+08,-1.58e+08,101900000,-10300000,-9e+06,-1300000,91600000,91600000,-29600000,6.2e+07,6.2e+07,-1100000,60900000,60900000,332700000,320800000,11900000,503700000,503700000,559500000,29500000,29500000,1425400000,430800000,54400000,1490300000,992400000,47100000,1975500000,3400900000,565500000,292300000,273200000,2.98023223876953e-08,565500000,989500000,270200000,270200000,1259700000,1825200000,1566900000,8800000,1575700000,3400900000,6.2e+07,22700000,5700000,-28100000,62300000,-15300000,-1e+06,-172200000,5e+05,-1.88e+08,-35500000,348800000,-201800000,-201800000,-7e+06,104500000,-21200000,-21200000,-1500000,-22700000,124600000,989500000,110800000,0.31133,0.12207,0.07295,0.03865,0.01791,1.81938,2.5206,1.15834,0.29095,1.08171,1.07788,14.82771,27.83126,1.96803,0.63055,0.034,0.03908,0.58292,5.27127,6.44553
"3","2016_Q3",90.9415625,"Up",908800000,-615300000,293500000,-161400000,-161400000,132100000,-15300000,-11300000,-4e+06,116800000,116800000,-34800000,8.2e+07,8.2e+07,-1e+06,8.1e+07,8.1e+07,348400000,338500000,9900000,516800000,516800000,546800000,4e+07,4e+07,1.452e+09,431300000,55600000,1478800000,989200000,47300000,1965700000,3417700000,519700000,279400000,240300000,58300000,5.78e+08,989700000,270600000,270600000,1260300000,1838300000,1570200000,9200000,1579400000,3417700000,8.2e+07,23200000,7200000,-48100000,64300000,-14600000,1e+06,6e+05,5e+05,-12500000,-34800000,58300000,-4.5e+07,-4.5e+07,-1100000,-22600000,29200000,29200000,-11500000,17700000,155300000,1.048e+09,127400000,0.32295,0.14536,0.08913,0.05129,0.0237,1.57284,2.51211,1.16392,0.30664,1.46474,1.45683,16.434,28.39421,2.3038,0.62929,0.03996,0.04396,0.42963,4.50483,5.29599
"4","2016_Q4",94.6812698412698,"Up",907400000,-618700000,288700000,-152700000,-152700000,1.36e+08,-11900000,-11600000,-300000.000000001,124100000,124100000,-3.6e+07,88100000,88100000,-1400000,86700000,86700000,378200000,364500000,13700000,565900000,565900000,545700000,31900000,31900000,1521700000,436300000,52400000,1480700000,9.92e+08,4.8e+07,1969400000,3491100000,571700000,291500000,280200000,5800000,577500000,990100000,288900000,288900000,1.279e+09,1856500000,1625500000,9100000,1634600000,3491100000,88100000,22700000,11200000,20600000,142600000,-15900000,-4300000,-9e+05,2300000,-18800000,-34800000,-57799999.9999999,0,-1.49011611938477e-08,-3600000,-96200000,27600000,27600000,-1600000,2.6e+07,158700000,995900000,199400000,0.31816,0.14988,0.09555,0.05304,0.02483,2.29988,2.63498,1.13575,0.28527,1.56781,1.56216,16.40868,29.39421,3.60579,0.62929,0.04162,0.0683,0.40138,3.89225,4.54191
"5","2017_Q1",104.115483870968,"Up",854200000,-591200000,2.63e+08,-143200000,-143200000,119800000,-21900000,-11500000,-10900000,97900000,97900000,-32200000,65700000,65700000,-1300000,64400000,64400000,448800000,437600000,11200000,5.3e+08,5.3e+08,532400000,40100000,40100000,1551300000,439800000,56400000,1477500000,9.91e+08,5.5e+07,1973700000,3.525e+09,586400000,291600000,294800000,3200000,589600000,990500000,341700000,341700000,1332200000,1921800000,1592800000,10400000,1603200000,3.525e+09,65700000,22300000,-1e+05,53900000,141800000,-10600000,-2400000,-9e+05,3e+06,-10900000,-38900000,-2600000,0,0,-3600000,-45100000,85800000,85800000,-12700000,73100000,142100000,993700000,217600000,0.30789,0.14025,0.07539,0.04017,0.01827,3.37888,2.63111,1.19873,0.2819,1.16878,1.16667,15.50272,28.90744,3.94918,0.70599,0.03515,0.07405,0.60404,3.83462,4.54841
"6","2017_Q2",100.949047619048,"Down",852300000,-589700000,262600000,-154800000,-154800000,107800000,-16900000,-11100000,-5800000,90900000,90900000,-2.7e+07,63900000,63900000,-1100000,62800000,62800000,390800000,3.81e+08,9800000,5.45e+08,5.45e+08,547800000,3.4e+07,3.4e+07,1517600000,437800000,59200000,1.48e+09,1000500000,52200000,1.977e+09,3494600000,570900000,300100000,270800000,5099999.99999999,5.76e+08,990900000,338900000,338900000,1329800000,1905800000,1578700000,10100000,1588800000,3494600000,63900000,24200000,1600000,-26800000,62900000,-13600000,-9e+05,-19200000,9e+05,-32800000,-38800000,1999999.99999999,-52600000,-52600000,-4700000,-94100000,-6.4e+07,-6.4e+07,7400000.00000001,-56600000,1.32e+08,9.96e+08,118600000,0.30811,0.12648,0.07368,0.03953,0.01797,1.88854,2.63472,1.19952,0.28501,1.13768,1.1295,15.44022,28.59964,2.14855,0.7029,0.03475,0.04057,0.61783,4.58485,5.6141
"7","2017_Q3",100.512380952381,"Down",948300000,-652800000,295500000,-161100000,-161100000,134400000,-17700000,-11600000,-6100000,116700000,116700000,-35900000,80800000,80800000,-1700000,79100000,79100000,381500000,367700000,13800000,600800000,600800000,585300000,4.2e+07,4.2e+07,1609600000,441600000,57100000,1558400000,1058700000,52900000,2057100000,3666700000,621900000,3.53e+08,268900000,403400000,1025300000,691800000,346400000,346400000,1038200000,2063500000,1592300000,10900000,1603200000,3666700000,80800000,25400000,7500000,-45400000,68300000,-19400000,7e+05,-89300000,1800000,-106200000,-38400000,98800000,-4e+07,-4e+07,-1e+06,19400000,-18500000,-18500000,5200000,-13300000,159800000,1095200000,130900000,0.31161,0.14173,0.08341,0.04934,0.02157,1.65487,1.56988,1.28711,0.29869,1.44343,1.43557,17.30474,29.05657,2.38869,0.70073,0.03859,0.04299,0.48546,4.46621,5.31027
"8","2017_Q4",110.065555555556,"Up",950500000,-642900000,307600000,-157500000,-157500000,150100000,-16400000,-11600000,-4800000,133700000,123600000,-40800000,82800000,82800000,-2e+06,80800000,80800000,4e+08,386400000,13600000,615100000,615100000,623600000,46300000,46300000,1.685e+09,449100000,56500000,1552600000,1063500000,5.2e+07,2058200000,3743200000,646800000,349400000,297400000,93800000,740600000,986700000,348200000,348200000,1334900000,2075500000,1.656e+09,11700000,1667700000,3743200000,82800000,25100000,16200000,-26700000,97400000,-20200000,-8e+05,-1800000.00000001,2e+05,-22600000,-38300000,-12500000,0,0,-14400000,-65200000,9600000,9600000.00000001,9100000,18700000,175200000,1080500000,169100000,0.32362,0.15792,0.08501,0.04845,0.02159,2.09282,2.27518,1.24453,0.28866,1.47985,1.47177,17.40842,30.32967,3.09707,0.70147,0.03846,0.05461,0.47401,3.88413,4.53364
"9","2018_Q1",116.772950819672,"Up",917700000,-628300000,289400000,-162900000,-162900000,126500000,-14600000,-10600000,-4900000,111900000,111900000,-89500000,22400000,22400000,-2e+06,20400000,20400000,389500000,3.75e+08,14500000,540300000,540300000,634700000,39600000,39600000,1604100000,458300000,57700000,1600500000,1.089e+09,51100000,2116500000,3720600000,6.38e+08,326500000,311500000,68100000,706100000,987100000,379500000,379500000,1366600000,2072700000,1634200000,13700000,1647900000,3720600000,22400000,23500000,-16100000,120600000,150400000,-8100000,-2500000,-73800000,4e+05,-8.4e+07,-42100000,-26100000,1e+05,1e+05,-6300000,-74400000,-8e+06,-8e+06,-3400000,-11400000,1.5e+08,1055200000,3.52e+08,0.31535,0.13784,0.02223,0.01238,0.00548,17.2549,2.27177,1.25778,0.28361,0.37363,0.37226,16.80769,29.9304,6.44689,0.77106,0.02028,0.11419,2.06373,4.438,5.26245
"10","2018_Q2",98.82546875,"Down",991200000,-708300000,282900000,-183300000,-183300000,99600000,-23800000,-17300000,-6500000,75800000,75800000,-1.6e+07,59800000,59800000,-1500000,58300000,58300000,231800000,216300000,15500000,7.04e+08,7.04e+08,714300000,70700000,70700000,1720800000,494900000,56500000,2703200000,1760100000,53600000,3254600000,4975400000,7.21e+08,374500000,346500000,177500000,898500000,1903200000,495200000,495200000,2398400000,3296900000,1.662e+09,16500000,1678500000,4975400000,59800000,4e+07,2700000,-102900000,-399999.99999997,-2.2e+07,7e+05,-1119400000,9e+05,-1139800000,-42200000,1.032e+09,9.31322574615479e-10,9.31322574615479e-10,-14800000,9.75e+08,-165200000,-165200000,6500000,-158700000,139600000,2080700000,30700000,0.28541,0.10048,0.05882,0.03473,0.01172,0.526590000000002,1.91519,1.96419,0.4182,1.06581,1.05808,18.12066,30.38391,0.561239999999999,0.77148,0.02362,0.00722,0.72384,13.24427,18.56325
