"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",10.5055737704918,"Up",1744000,-5454000,-1311000,-4143000,-3710000,7000,6000,1000,-3703000,-3703000,-3703000,-3703000,-3703000,-3703000,77975000,77975000,59000,59000,60000,60000,78094000,307000,8914000,8814000,1e+05,9221000,87315000,4026000,2633000,1393000,3444000,7479000,6302000,0,6303000,13782000,301104000,-227571000,73533000,73533000,87315000,-3703000,278000,108000,-831000,-4148000,-11000,-11000,80530000,80530000,72513000,68354000,68354000,68354000,-3432000,10000,-2.12729,-2.12328,-0.05036,-0.04241,10.44177,0.18743,0.00011,-0.3828,-0.17466,0.18029,7.60155,-0.04638,22.71707,21.01482
"2","2014_Q2",9.81650793650794,"Down",2184000,-5951000,-1723000,-4228000,-3767000,16000,16000,-162.110230965862,-3751000,-3751000,-3751000,-3751000,-3751000,-3751000,72536000,72536000,511000,511000,159000,159000,73206000,340000,8949000,8899000,50000,9289000,82495000,3569000,2104000,1465000,3251000,6827000,5603000,0,5603000,12430000,301387000,-231322000,70065000,70065000,82495000,-3751000,320000,288000,-1850000,-4993000,-448000,-448000,4000,4000,2000,-5439000,-5439000,-5439000,-3447000,7000,-1.72482,-1.71749,-0.05354,-0.04547,10.72301,0.17741,8e-05,-0.11961,-0.11961,0.06964,2.23415,-0.04957,21.0412,19.25378
"3","2014_Q3",10.11671875,"Up",824000,-5877000,-1594000,-4283000,-5053000,9000,8000,999.999999999996,-5044000,-5044000,-5044000,-5044000,-5044000,-5044000,66218000,66218000,60000,60000,402000,402000,66680000,571000,9116000,9058000,58000,9687000,76367000,2705000,1374000,1331000,3236000,5946000,4905000,0,4905000,10851000,301882000,-236366000,65516000,65516000,76367000,-5044000,166000,481000,-1377000,-5774000,-675000,-675000,133000,133000,131000,-6318000,-6318000,-6318000,-4887000,5000,-6.13228,-6.12136,-0.07699,-0.06605,11.21426,0.16562,7e-05,-0.16078,-0.16078,0.02626,2.08831,-0.07162,13.5488,13.1037
"4","2014_Q4",11.59765625,"Up",848000,-7135000,-2182000,-4953000,-6287000,9000,-1.81898940354586e-12,9000,-6278000,-6278000,-6278000,-6278000,-6278000,-6278000,54649000,54649000,2966000,2966000,134000,134000,57749000,899000,9175000,9116000,59000,10074000,67823000,3942000,1691000,2251000,2254000,6196000,2337000,-3.63797880709171e-12,2337000,8533000,303283000,-243993000,59290000,59290000,67823000,-6278000,135000,836000,587000,-4720000,-573000,-573000,1000,1000,-2000,-5295000,-5295000,-5295000,-6152000,0,-7.41392,-7.4033,-0.10589,-0.09256,9.32037,0.14392,0,-0.19996,-0.19996,0.02701,1.88846,-0.10187,8.88313,8.69238
"5","2015_Q1",15.7819672131148,"Up",5664000,-7014000,-1962000,-5052000,-1350000,1000,0,1000.00000000001,-1349000,-1349000,-1349000,-1349000,-1349000,-1349000,54649000,54649000,2966000,2966000,134000,134000,57749000,899000,9175000,9116000,59000,10074000,67823000,3942000,1691000,2251000,2254000,6196000,2337000,0,2337000,8533000,303283000,-243993000,59290000,59290000,67823000,-1349000,261000,763000,-5539000,-5864000,-587000,-587000,178000,178000,177000,-6274000,-6274000,-6274000,-1089000,0,-0.23835,-0.23817,-0.02275,-0.01989,9.32037,0.14392,0,-0.04292,-0.04292,0.18019,1.88623,-0.02189,50.18274,40.48074
"6","2015_Q2",17.0431746031746,"Up",1491000,-7969000,-2764000,-5205000,-6478000,34000,34000,-250298.80330199,-6444000,-6444000,-6444000,-6444000,-6444000,-6444000,45140595.3107946,19215110.9808385,2386861.95202128,2386861.95202128,710515.980491511,416240.20384204,48237973.2433074,1210250.05086602,9502386.08542597,9441168.31450023,61217.7709257365,63499055.5072181,111737028.750525,4028849.1497656,1991824.21126486,2037024.93850074,-8916901.68871103,-4887753.36574104,2501843.50333028,352597.385764214,2501845.7801431,-2385907.58559794,362129562.179695,-247897110.958998,114122936.336123,114122936.336123,111737028.750525,-6444000,240000,1206000,2905000,-2093000,-1145000,-49058000,123086000,123086000,115550000,64399000,64399000,64399000,-6238000,0,-4.34474,-4.32193,-0.00346851209084702,-0.00941951598349788,10.3976516981244,0.0239080817706961,4.4716603761512e-06,-0.18788,-0.18788,0.04347,3.02556841791909,-0.00349069854392739,35.8707365380938,28.5930389402642
"7","2015_Q3",19.57,"Up",1014000,-1e+07,-2524000,-7476000,-8986000,118000,349000,-231000,-8868000,-8868000,-8868000,-8868000,-8868000,-8868000,67885000,11171000,454000,454000,1381000,711000,69720000,1804000,9755000,9691000,64000,102843000,172563000,5614000,3077000,2537000,2794000,8408000,2087000,703000,2087000,10495000,421463000,-259305000,162068000,162068000,172563000,-8868000,254000,1379000,319000,-6916000,-876000,-101291000,496000,496000,330000,-107877000,-107877000,-107877000,-8732000,0,-8.86193,-8.74556,-0.05472,-0.05139,8.2921,0.06476,-3.3881317890172e-21,-0.21768,-0.21768,0.02489,3.97823,-0.05402,7.77428,7.55452999999997
"8","2015_Q4",13.44703125,"Down",3503000,-13815000,-3233000,-10582000,-10312000,275000,30999.9999999999,244000,-10037000,-10037000,-10037000,-10037000,-10037000,-10037000,127944000,57738000,408000,408000,1524000,865000,129876000,2293000,9680000,9617000,63000,81605000,211481000,8924000,5107000,3817000,47652000,56576000,1590000,659000,1590000,58166000,422663000,-269342000,153315000,153315000,211481000,-10037000,274000,1710000,47573000,39520000,-914000,6933000,113999.999999985,113999.999999985,114000.000000015,46567000,46567000,46567000,-10038000,0,-2.94376,-2.86526,-0.06547,-0.04746,2.2956,0.37939,0,-0.24779,-0.24779,0.08648,3.785,-0.06479,12.74597,12.40729
"9","2016_Q1",11.8311475409836,"Down",21754000,-14316000,-3439000,-10877000,7438000,319000,317000,2000,7757000,7757000,7757000,7757000,7757000,7757000,96430000,12590000,44000,44000,1201000,1201000,97675000,2310000,10034000,9971000,63000,109235000,206910000,10034000,6400000,3634000,33395000,43429000,1049000,507000,1049000,44478000,424533000,-261585000,162432000,162432000,206910000,7757000,345000,1952000,-13899000,-3845000,-731000,-41690000,387000,387000,387000,-45148000,-45148000,-45148000,7783000,0,0.34191,0.35658,0.04776,0.03749,2.24907,0.27383,-1.05879118406788e-22,0.19145,0.19145,0.5369,4.00889,0.04745,-12.38982,-12.96451
"10","2016_Q2",13.7115625,"Up",7252000,-13985000,-3950000,-10035000,-6733000,335000,332000,3000,-6398000.00000001,-6398000,-6398000,-6398000,-6398000,-6398000,92359000,8150000,649000,649000,1843000,1843000,94851000,2510000,10243000,10140000,103000,99110000,193961000,6682000,4291000,2391000,27573000,34255000,893000,476000,893000,35148000,426693000,-267983000,158813000,158813000,193961000,-6398000,282000,2392000,-10576000,-14300000,-660000,9659999.99999999,200000.000000002,200000.000000002,200000.000000001,-4440000,-4440000,-4440000,-6451000,0,-0.92843,-0.88224,-0.04029,-0.03299,2.76897,0.22132,0,-0.15748,-0.15748,0.1785,3.90908,-0.04006,14.31701,13.71736
