"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.78265625,"Up",31241000,31241000,-21944000,-21944000,9297000,-47130000,-20432000,-26698000,-37833000,2982000,-198000,-298000,1e+05,3180000,-34851000,-34851000,-83000,-34934000,-34934000,-34934000,-34934000,-389350764.214881,-693818472.854178,-21609536.9241332,-21609536.9241332,12114530.0418742,404312589.265332,20518120.5439846,5466818.16819167,134239853.657865,31161224.3822308,31161224.3872886,165401078.03936,170867896.207552,13633471.6371798,-30184628.844643,43818100.4818228,-14608954.8757887,-1791640.05612002,1382958.52644329,3973009.21673498,-2590050.69029169,407475.287834376,21955080.2692243,3899073.55870372,18056006.7105206,21954954.8163112,22362430.1041456,266072396.118612,81477.4681954749,265990918.650416,-357685554.326662,-91736245.7837498,240241711.887156,148505466.103406,170867896.207552,-34934000,3109000,1040000,3811000,-2771000,-15172000,-1597000,-13837000,-4116000,-45957000,-7768000,-7768000,-7768000,-154679000,11060000,11060000,-78000,11138000,239003000,239003000,249895000,49259000,49259000,49259000,-34724000,0,-57581000,0.29759,-1.211,-1.11821,-0.223287425409434,-0.166857846501373,1.64828,2.31794284743304,0.329509561515284,-0.018676069972212,-0.02223,-0.02223,0.01988,-0.058304045532502,-0.03663,-0.207146530520957,-0.319099999542948,-6.58585325020443,-5.9006500469992
"2","2011_Q1",1.61467741935484,"Down",36286000,36286000,-24965000,-24965000,11321000,-62966000,-25349000,-37617000,-51645000,250000,63000,0,63000,187000,-51395000,-51395000,37000,-51358000,-51358000,-51358000,-51358000,99558000,99558000,6710000,6710000,45182000,84436000,10839000,235886000,114636000,35560000,35560000,150196000,386082000,49896000,28951000,20945000,775000,496000,35390000,4635000,30755000,86061000,21145000,2783000,18362000,21145000,107206000,622030000,95000,621935000,-414982000,207048000,71828000,278876000,386082000,-51358000,2890000,7488000,7769000,-281000,6696000,1353000,-5644000,3716000,-34284000,-17148000,-17148000,-17148000,-8550000,15189000,15189000,-82000,15271000,30609000,30609000,45829000,2994999.99999999,2994999.99999999,2995000,-48755000,775000,-59244000,0.31199,-1.42328,-1.41537,-0.18416,-0.13302,1.15355,2.74092,0.38442,0.00201,-0.03268,-0.03268,0.02309,0.13173,-0.03769,-0.17074,-0.19696,2.02611,1.91273
"3","2011_Q2",1.81698412698413,"Up",49030000,49030000,-31002000,-31002000,18028000,-65374000,-24212000,-41162000,-47346000,-1445000,40000,0,40000,-1485000,-48791000,-48791000,-150000,-48941000,-48941000,-48941000,-48941000,299918338.071627,364299490.951393,20369595.6413777,20369595.6413777,56147156.6527086,-10802696.4217772,8272876.48533846,365632393.943936,138645715.447378,37800258.5392564,37800258.5375705,176445973.98688,542078367.930816,71289676.1209401,53608042.9482143,17681633.1727257,3347651.62526291,807880.018706674,49962847.1578522,4109663.59442167,45853183.5634306,124600174.904055,22318806.5769252,2748558.81376543,19570247.7631598,22318848.3945629,146919023.298618,804632034.627129,101757.510601508,804530277.116528,-467784981.891113,336872831.927917,58286512.7042812,395159344.632198,542078367.930816,-48941000,3517000,7741000,5926000,1815000,-5614000,-13550000,-6963000,7157000,-43297000,-20476000,-20476000,-20476000,10111000,30577000,30577000,-79000,30656000,3706000,3706000,34283000,1097000,1097000,1097000,-43829000,0,-69769000,0.36769,-0.96565,-0.99818,-0.146934191530189,-0.106697384499542,1.42557,2.99044655085565,0.370516812828239,0.00509618999073734,-0.03114,-0.03114,0.03119,0.214312181844167,-0.04439,-0.137616156493014,-0.156784166819017,5.60377108340148,5.1727525156664
"4","2011_Q3",1.725,"Down",58171000,58171000,-39663000,-39663000,18508000,-77247000,-24716000,-52531000,-58739000,-25000,46000,-3.63797880709171e-12,46000,-71000,-58764000,-58764000,-139000,-58903000,-58903000,-58903000,-58903000,319380000,319380000,23308000,23308000,54312000,20758000,9507000,417758000,189647000,38750000,38750000,228397000,646155000,82192000,57199000,24993000,646000,359000,56257000,3070000,53187000,139095000,24431000,3225000,21206000,24431000,163526000,871278000,104000,871174000,-522826000,348452000,134177000,482629000,646155000,-58903000,4318000,7753000,6926000,827000,24344000,-3048000,-6001000,15017000,-22488000,-54314000,-54314000,-54314000,-23122000,31643000,31643000,-50000,31693000,232692000,232692000,264335000,218725000,218725000,218725000,-54421000,646000,-84252000,0.31817,-1.00976,-1.01258,-0.12205,-0.09116,1.43035,3.0034,0.33882,0.001,-0.03748,-0.03748,0.03701,0.22169,-0.0536,-0.11602,-0.16595,5.85682,5.42628
"5","2011_Q4",1.98984126984127,"Up",57666000,57666000,-40442000,-40442000,17224000,-81700000,-27617000,-54083000,-64476000,-514000,80000,-22563.5499835685,80000,-594000,-64990000,-64990000,-88000,-65078000,-65078000,-65078000,-65078000,278388000,213328000,18250000,18250000,49216000,66267000,10962000,412121000,248122000,40007000,40007000,288129000,700250000,86312000,53627000,32685000,1049000,661000,67481000,2266000,65215000,154842000,26290000,3536000,22754000,26290000,181132000,882045000,104000,881941000,-587903000,294118000,2.25e+08,519118000,700250000,-65078000,4280000,8794000,7885000,909000,30513000,5058000,2133000,11441000,-21491000,-68844000,-68844000,-68844000,-178170000,90727000,90727000,-96000,90823000,2882000,2882000,93609000,-106052000,-106052000,-106052000,-60196000,1049000,-98439000,0.29869,-1.11809,-1.12853,-0.12536,-0.09294,1.51263,2.66156,0.34892,0.0015,-0.0414,-0.0414,0.03669,0.18713,-0.06263,-0.11909,-0.18014,4.60727,4.30143
"6","2012_Q1",2.12870967741936,"Up",39375000,39375000,-31540000,-31540000,7835000,-88762000,-27557000,-61205000,-80927000,-450000,46000,-43000,89000,-496000,-81377000,-81377000,-112000,-81489000,-81489000,-81489000,-81489000,280327000,255266000,9539000,9539000,50082000,32890000,9414000,372838000,298414000,42196000,42196000,340610000,713448000,88250000,56141000,32109000,11813000,2830000,94106000,2345000,91761000,194169000,26899000,3146000,23753000,26899000,221068000,893440000,104000,893336000,-669392000,224045000,268335000,492380000,713448000,-81489000,4804000,9942000,8682000,1260000,25985000,8711000,-2807000,27569000,-40758000,-40592000,-40592000,-40592000,28923000,51060000,51060000,-191000,51251000,2713000,2713000,53773000,41938000,41938000,41937999.9999999,-76123000,11813000,-90618000,0.19898,-2.05529,-2.06956,-0.1655,-0.11422,1.11203,1.92017,0.44898,0.01656,-0.05185,-0.05185,0.02505,0.14254,-0.05765,-0.15344,-0.17063,3.52737,3.31798
"7","2012_Q2",2.10555555555556,"Down",30167000,30167000,-19957000,-19957000,10210000,-98973000,-30582000,-68391000,-88763000,-1051000,25000,-65000,90000,-1076000,-89814000,-89814000,-59000,-89873000,-89873000,-89873000,-89873000,243579000,218570000,13589000,13589000,55427000,46302000,7103000,358897000,364128000,38075000,38075000,402203000,761100000,97946000,64333000,33613000,25585000,3721000,115912000,2594000,113318000,239443000,27460000,3072000,24388000,27460000,266903000,913145000,105000,913040000,-759265000,153874000,340323000,494197000,761100000,-89873000,4163000,13391000,10711000,2680000,9019000,-4050000,-5600000,24992000,-63300000,-54774000,-54774000,-54774000,-66227000,83838000,83838000,-429000,84267000,8993000,8993000,92831000,-36696000,-36696000,-36696000,-84600000,25585000,-130296000,0.33845,-2.94239,-2.97918,-0.18186,-0.11808,1.44978,1.49888,0.54007,0.03362,-0.05718,-0.05718,0.01919,0.0979,-0.0829,-0.16423,-0.2381,2.57676,2.45591
"8","2012_Q3",1.98587301587302,"Down",26653000,26653000,-21891000,-21891000,4762000,-110937000,-36083000,-74854000,-106175000,681000,-10000,-84000,74000,691000,-105494000,-105494000,-109000,-105603000,-105603000,-105603000,-105603000,210554000,210554000,11023000,11023000,66669000,28880000,6920000,317126000,421859000,37884000,37884000,459743000,776869000,112214000,78601000,33613000,42818000,4720000,136214000,2767000,133447000,291246000,27253000,2610000,24643000,27253000,318499000,927086000,105000,926981000,-864871000,62215000,396155000,458370000,776869000,-105603000,4348000,14308000,12543000,1765000,22683000,2567000,-12838000,20280000,-64264000,-58003000,-58003000,-58003000,-15932000,70782000,70782000,-492000,71274000,1398000,1398000,72180000,-8016000,-8016000,-8016000,-101827000,42818000,-137038000,0.17867,-3.9836,-3.96214,-0.23039,-0.13593,1.29767,1.08886,0.69485,0.05512,-0.06719,-0.06719,0.01696,0.03958,-0.08719,-0.19984,-0.25933,1.64726,1.57981
"9","2012_Q4",2.09145161290323,"Up",50104000,50104000,-58866000,-58866000,-8762000,-99700000,-37799000,-61901000,-108462000,-2228000,-40000,-79000,39000,-2188000,-110690000,-110690000,-116000,-110806000,-110806000,-110806000,-110806000,85693000,85693000,9164000,9164000,159048000,30636000,7775000,284541000,486248000,38388000,38388000,524636000,809177000,190535000,162025000,28510000,60307000,6278000,141242000,2904000,138338000,392084000,30761000,2477000,28284000,30761000,422845000,947799000,106000,947693000,-975674000,-27875000,414207000,386332000,809177000,-110806000,7522000,14392000,12475000,1917000,-12134000,1858000,-85594000,6436000,-101026000,-62398000,-62398000,-62398000,-64014000,32492000,32492000,-763000,33255000,7687000,7687000,40179000,-124861000,-124861000,-124861000,-100940000,60307000,-175356000,-0.17488,-2.16474,-2.21152,-0.28682,-0.13694,1.58255,0.72571,1.09451,0.07453,-0.06881,-0.06881,0.03112,-0.01731,-0.1089,-0.2321,-0.36731,0.2515,0.23405
"10","2013_Q1",2.43316666666667,"Up",306332000,306332000,-282475000,-282475000,23857000,-114740000,-45908000,-68832000,-90883000,804000.000000001,58999.9999999998,-26000.0000000002,85000,744999.999999999,-90079000,-90079000,148000,-89931000,-89931000,-89931000,-89931000,201890000,201890000,26842000,26842000,268504000,27532000,8438000,524768000,552229000,37193000,37193000,589422000,1114190000,343180000,303382000,39798000,65171000,9965000,140722000,1905000,138817000,549073000,38922000,3060000,35862000,38922000,587995000,1190306000,115000,1190191000,-1065606000,124700000,401495000,526195000,1114190000,-89931000,12792000,16540000,14416000,2124000,25374000,-17678000,-90694000,5716000,-35225000,-64053000,-64053000,-64053000,-60757000,-13858000,-13858000,-13858000,1.49011611938477e-08,228303000,228303000,214445000,118463000,118463000,116197000,-78091000,65171000,-116918000,0.07788,-0.29668,-0.29357,-0.17091,-0.08071,1.30009,0.95573,1.11745,0.05849,-0.05585,-0.05585,0.19024,0.07744,-0.07261,-0.14268,-0.1855,1.75077,1.50434
