"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",7.0159375,"Down",133000,-9575000,-2415000,-7160000,-9442000,-381000,-324000,-57000,-9823000,-9823000,-9823000,-9823000,5719000,-4104000,-4104000,97010000,97010000,799000,799000,97809000,669000,1717000,1717000,2386000,100195000,5756000,5756000,320000,6076000,53000,53000,53000,6129000,-94185000,-94185000,188251000,94066000,100195000,-9823000,114000,72000,-185000,-687000,502000,-9822000,0,104444000,94613000,94613000,94613000,-9328000,0,-70.99248,-30.85714,-0.04363,-0.04096,16.0976,0.06516,0,-0.49414,-0.49414,0.01601,-11.34026,-0.0436,10.39987,10.27431
"2","2016_Q1",6.22426229508197,"Down",226000,-11316000,-2370000,-8946000,-11090000,31000,18000,13000,-11059000,-11059000,-11059000,-11059000,7890000,-3169000,-3169000,88003000,88003000,1114000,1114000,89186000,624000,1722000,1722000,2346000,91532000,7507000,7507000,219000,7726000,245000,245000,245000,7971000,-77970000,-77970000,161531000,83561000,91532000,-11059000,140000,547000,1402000,1750000,-279000,-8970000,1.16415321826935e-10,0,-9007000.00000001,-9007000.00000001,-9007000.00000001,-10950000,0,-49.0708,-14.02212,-0.03792,-0.03462,11.54362,0.09539,0,-0.34537,-0.34537,0.02463,-8.49743,-0.03781,8.0368,7.93535
"3","2016_Q2",5.75078125,"Down",376000,-13916000,-2581000,-11335000,-13540000,20000,21000,-1000,-13520000,-13520000,-13520000,-13520000,9668000,-3852000,-3852000,75501000,75501000,1346000,1346000,77053000,545000,1961000,1961000,2506000,79559000,8577000,8577000,97000,8674000,237000,237000,237000,8911000,-63022000,-63022000,133670000,70648000,79559000,-13520000,79000,607000,332000,1070000,-601000,-12502000,920090.982594837,-13954894.7409717,-12502000,-12502000,-12502000,-13461000,0,-36.01064,-10.24468,-0.05452,-0.04842,8.88321,0.12613,0,-0.41735,-0.41735,0.04074,-6.82821,-0.05434,5.60887,5.57614
"4","2016_Q3",6.019375,"Up",182000,-14821000,-2672000,-12149000,-14639000,22000,21000,1000,-14617000,-14617000,-14617000,-14617000,10160000,-4457000,-4457000,63841000,63841000,423000,423000,64264000,561000,1958000,1958000,2519000,66783000,9802000,9802000,21000,9823000,230000,230000,230000,10053000,-79520000,-79520000,136250000,56730000,66783000,-14617000,69000,697000,2298000,1225000,867000,-11553000,-23999.9999999998,-24000,-11660000,-11660000,-11660000,-14570000,0,-80.43407,-24.48901,-0.07857,-0.06674,6.5422,0.17721,0,-0.46599,-0.46599,0.01903,-8.31397,-0.07825,4.38167,4.36102
"5","2016_Q4",5.74571428571429,"Down",38000,-13566000,-2401000,-11165000,-13528000,23000,21000,2000,-13505000,-13505000,-13505000,-13505000,9512000,-3993000,-3993000,51058000,51058000,1058000,1058000,52116000,493000,2106000,2106000,2599000,54715000,10562000,10562000,21000,10583000,225000,225000,225000,10808000,-111240000,-111240000,155147000,43907000,54715000,-13505000,68000,682000,27000,648000,-621000,-12728000,-5000,-55000,-12783000,-12783000,-12783000,-13460000,0,-356,-105.07895,-0.09094,-0.07298,4.9245,0.24616,0,-0.41202,-0.41202,0.00392,-11.47826,-0.09048,3.79331,3.77425
"6","2017_Q1",5.70161290322581,"Down",38000,-13351000,-2252000,-11099000,-13313000,-398000,-374000,-24000,-13711000,-13711000,-13711000,-13711000,9661000,-4050000,-4050000,51505000,51505000,612000,612000,52117000,444000,1934000,1934000,2378000,54495000,11413000,11413000,21000,11434000,433000,433000,11491000,22925000,-90945000,-90945000,122515000,31570000,54495000,-13711000,49000,807000,1429000,963000,466000,-11426000,12496000,11873000,446999.999999998,446999.999999998,446999.999999998,-13264000,11058000,-350.34211,-106.57895,-0.12829,-0.07432,4.55807,0.72616,0.20292,-0.41768,-0.41768,0.00392,-9.37918,-0.09405,3.04938,3.03816
"7","2017_Q2",5.21222222222222,"Down",30000,-13784000,-2824000,-10960000,-13754000,-532000,-532000,-110145.018645812,-14286000,-14286000,-14286000,-14286000,10066000,-4220000,-4220000,45150000,45150000,782000,782000,45932000,426000,1971000,1971000,2397000,48329000,11105000,11105000,4000,11109000,269000,269000,19030000,30139000,-123469000,-123469000,141659000,18190000,48329000,-14286000,52000,947000,-529000,-308000,-221000,-13816000,7500000,7500000,-6355000,-6355000,-6355000,-13702000,18761000,-458.46667,-140.66667,-0.232,-0.08732,4.13467,1.6569,0.38819,-0.43535,-0.43535,0.00309,-12.73762,-0.11338,1.92592,1.91864
"8","2017_Q3",4.98269841269841,"Down",13000,-12628000,-3005000,-9623000,-12615000,-799000,-799000,-211257.217640896,-13414000,-13414000,-13414000,-13414000,9451000,-3963000,-3963000,32513000,32513000,639000,639000,33152000,374000,2253000,2253000,2627000,35779000,10734000,10734000,2640096.92250556,11255000,273000,273000,18789000,30044000,-106410000,-106410000,112145000,5735000,35779000,-13414000,52000,1235000,-510000,-371000,-139000,-12637000,0,0,-12637000,-12637000,-12637000,-12563000,19037000,-970.38462,-304.84615,-0.69102,-0.11076,2.94554,5.23871,0.53207,-0.40884,-0.40884,0.00134,-10.97774,-0.15824,1.07267,1.06825
"9","2017_Q4",5.60507936507936,"Up",15000,-11556000,-2567000,-8989000,-11541000,-814000,-814000,-260240.807815532,-12355000,-12355000,-12355000,-12355000,8705000,-3650000,-3650000,20488000,20488000,1006000,725000,21494000,310000,2251000,2251000,2561000,24055000,10120000,10120000,6474765.79417915,12203000,285000,285000,17513000,29716000,-136303000,-136303000,130642000,-5661000,24055000,-12355000,48000,1217000,-686000,-614000,-72000,-11776000,0,0,-11744000,-11744000,-11744000,-11493000,19311000,-769.4,-243.33333,0.64476,-0.15174,1.76137,-5.24925,0.80279,-0.37655,-0.37655,0.00155,-14.06164,-0.26193,0.10241,0.10198
"10","2018_Q1",6.11967213114754,"Up",233000,-13005000,-2937000,-10068000,-12772000,-1020000,-830000,-190000,-13792000,-13792000,-14592000,-14592000,10281000,-4311000,-4311000,11758000,11758000,604000,442000,20362000,283000,4792000,4792000,7555000,27917000,13901000,13901000,8757000,26929000,5279000,782000,20595000,47524000,-151047000,-151047000,131440000,-19607000,27917000,-14592000,45000,1454000,6762000,3741000,11021000,-6331000,0,-1.16415321826935e-10,-6349000,-6349000,-6349000,-12727000,19587000,-54.8154499999999,-18.50215,0.21987,-0.15442,0.75614,-2.42383,0.70162,-0.44474,-0.44474,0.02404,-15.58269,-0.81974,-0.61515,-0.61298
