"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",39.9681967213115,"Up",1008800000,1008800000,-692900000,315900000,-147100000,-100500000,-46600000,168800000,-32900000,-35900000,1800000,1200000,135900000,135900000,-34400000,101500000,-2e+05,-2e+05,101300000,-25900000,75400000,75400000,54400000,54400000,472100000,472100000,175700000,175700000,702200000,1517100000,2645200000,403100000,1972600000,235100000,4162300000,4864500000,275200000,78400000,2.1e+08,2.1e+08,517500000,2545400000,185300000,185300000,2730700000,3248200000,1152500000,463800000,1616300000,4864500000,101500000,46600000,21800000,-18600000,1e+05,151400000,-57800000,-23700000,-83700000,-24500000,-62800000,-2e+06,-89300000,-21600000,-21600000,-21600000,215400000,2577700000,173400000,0.31314,0.16733,0.07474,0.04665,0.0155,2.29973,1.35691,2.00965,0.5299,0.77017,0.75174,10.30439,11.77222,1.7712,0.25026,0.02281,0.0396,0.32493,11.71448,14.94846
"2","2018_Q2",46.79796875,"Up",1.046e+09,1.046e+09,-711400000,334600000,-165500000,-119600000,-45900000,169100000,-33400000,-35600000,2300000,-1e+05,135700000,135700000,-3e+07,105700000,-5e+05,-5e+05,105200000,-21400000,83800000,83800000,86400000,86400000,463100000,463100000,1.59e+08,1.59e+08,708500000,1554300000,2676800000,396100000,1973100000,239100000,4231100000,4939600000,83100000,83100000,456200000,456200000,5.72e+08,2544400000,183800000,183800000,2728200000,3300200000,1.197e+09,442400000,1639400000,4939600000,105700000,45900000,24700000,40700000,-7e+05,216300000,-59900000,-100000.000000007,-60600000,-25400000,0,-91300000,-116700000,3.9e+07,3.9e+07,3.9e+07,2.15e+08,2577100000,225800000,0.31989,0.16166,0.08011,0.05112,0.01696,2.69451,1.23864,2.01305,0.52172,0.85685,0.84306,10.6953,12.23926,2.30879,0.25971,0.02482,0.05131,0.3031,11.58465,14.72915
"3","2018_Q3",57.1514285714286,"Up",1067700000,1067700000,-727600000,340100000,-163400000,-113700000,-49700000,176700000,-34400000,-37700000,2e+06,1300000,142300000,142300000,-29300000,1.13e+08,2e+05,2e+05,113200000,-21400000,91800000,91800000,5.9e+07,5.9e+07,456600000,456600000,1.56e+08,1.56e+08,671600000,1565800000,2.852e+09,443400000,2074700000,258500000,4417800000,5089400000,85600000,85600000,452300000,452300000,573900000,2600500000,189800000,189800000,2790300000,3364200000,1254900000,470300000,1725200000,5089400000,1.13e+08,49700000,24800000,-18400000,1e+05,169200000,-48900000,-16300000,-200400000,-24500000,45900000,-21200000,2e+05,-3.1e+07,-3.1e+07,-3.1e+07,226400000,2636500000,188400000,0.31854,0.1655,0.08598,0.05321,0.01804,2.05229,1.17024,1.95003,0.51804,0.93769,0.92169,10.90603,12.81818,1.92441,0.25026,0.02555,0.04139,0.26688,11.38472,14.58687
"4","2018_Q4",53.6430158730159,"Down",1067600000,1067600000,-735200000,332400000,-159300000,-108100000,-51200000,173100000,-33500000,-37300000,2100000,1700000,139600000,139600000,-30200000,109400000,-1e+05,-1e+05,109300000,-20700000,88600000,88600000,56900000,56900000,4.58e+08,4.58e+08,123100000,123100000,6.38e+08,1.591e+09,2902900000,443200000,2081100000,2.96e+08,4493900000,5131900000,8.6e+07,8.6e+07,486500000,486500000,609600000,2503900000,198200000,198200000,2702100000,3311700000,1318500000,501700000,1820200000,5131900000,109400000,51200000,13200000,24800000,-1e+05,198500000,-62700000,-2600000,-65300000,-24500000,-9.2e+07,-20500000,-1.37e+08,-3800000,-3800000,-3800000,224300000,2.541e+09,216600000,0.31135,0.16214,0.08299,0.04868,0.01726,2.4447,1.04659,1.81942,0.49514,0.90408,0.886,10.89388,13.45408,2.2102,0.25,0.02481,0.04751,0.27652,11.0749,14.35066
"5","2019_Q1",47.986393442623,"Down",1.096e+09,1.096e+09,-764900000,331100000,-168400000,-115500000,-52900000,162700000,-35100000,-36700000,2300000,-7e+05,127600000,75600000,-29400000,46200000,1500000,1500000,47700000,-19600000,28100000,28100000,69200000,69200000,467700000,467700000,125200000,125200000,662100000,1634800000,2878100000,443400000,2100800000,2.91e+08,4512900000,5.175e+09,302800000,9e+07,333900000,333900000,672500000,2478600000,205200000,205200000,2683800000,3356300000,1276700000,5.42e+08,1818700000,5.175e+09,46200000,52900000,78900000,-1100000,1500000,178400000,-88700000,-1400000,-98200000,-26400000,-57400000,16100001,-67699999,12500001,12500001,12500001,215600000,2514400000,155200000,0.3021,0.14845,0.02564,0.01545,0.00543,5.52313,0.98454,1.84544,0.48587,0.28703,0.28044,11.1951,13.04086,1.58529,0.26966,0.01201,0.0342,0.9395,11.34137,15.02889
"6","2019_Q2",46.1892063492064,"Down",1.124e+09,1.124e+09,-770900000,353100000,-165600000,-113100000,-52500000,187500000,-3.1e+07,-37200000,2500000,3700000,156500000,156500000,-30800000,125700000,-5e+05,-5e+05,125200000,-22900000,102300000,102300000,56100000,56100000,500600000,500600000,1.26e+08,1.26e+08,682700000,1736200000,3164900000,435400000,2111600000,577400000,4901100000,5583800000,682600000,94700000,48300000,48300000,768200000,2521800000,404300000,404300000,2926100000,3694300000,1314300000,575200000,1889500000,5583800000,125700000,52500000,21200000,-36500000,-3e+06,159900000,-72300000,-5500000,-91500000,-28300000,-5e+06,-48400000,-81700000,-13300000,-13300000,-13300000,2.4e+08,2559100000,1.62e+08,0.31415,0.16681,0.09101,0.05414,0.01832,1.58358,0.8887,1.95517,0.45831,1.03963,1.02608,11.42276,13.35671,1.64634,0.2876,0.02691,0.03338,0.27664,10.42917,13.34933
"7","2019_Q3",48.0115625,"Up",1.135e+09,1.135e+09,-772700000,362300000,-191800000,-139100000,-52700000,170500000,-33700000,-37700000,1800000,2200000,136800000,134500000,-23500000,1.11e+08,-1e+05,-1e+05,110900000,-19700000,91200000,91200000,221700000,221700000,4.96e+08,4.96e+08,127200000,127200000,844900000,1788100000,3179100000,443600000,2111600000,581300000,4967200000,5812100000,669600000,95600000,45200000,45200000,752900000,2719600000,4.03e+08,4.03e+08,3122600000,3875500000,1275900000,660700000,1936600000,5812100000,1.11e+08,52700000,48400000,-65200000,-1500000,145400000,-83500000,-16600000,-100100000,-26600000,188600000,4e+06,122200000,167500000,167500000,167500000,223200000,2757700000,9.8e+07,0.31921,0.15022,0.08035,0.04709,0.01569,1.07456,1.12219,2.00119,0.47448,0.93061,0.91843,11.58163,13.01939,1,0.27143,0.02311,0.01923,0.29167,11.36201,14.8739
"8","2019_Q4",52.09046875,"Up",1161600000,1161600000,-817400000,344200000,-172300000,-117200000,-55100000,171900000,-18100000,-40300000,1200000,2.1e+07,153800000,153800000,-34300000,119500000,0,0,119500000,42600000,162100000,162100000,4.22e+08,4.22e+08,516900000,516900000,138500000,138500000,1077400000,1874800000,3434600000,486800000,2305200000,620200000,5309400000,6386800000,626500000,101400000,44900000,44900000,1108600000,2961900000,4.35e+08,4.35e+08,3396900000,4505500000,1333100000,548200000,1881300000,6386800000,119500000,55100000,23600000,-83700000,-1e+05,114400000,-104099999,1500000,-320099999,-26400000,656400000,-196100000,431800000,226100001,226100001,226100001,2.27e+08,3399100000,73500001,0.29632,0.14799,0.13955,0.08616,0.02538,0.45342,0.97186,2.39489,0.53221,1.65577,1.62915,11.86517,13.61696,0.75077,0.26966,0.03298,0.01286,0.16286,13.11498,17.31879
"9","2020_Q1",55.5701612903226,"Up",1184400000,1184400000,-2.12e+08,972400000,-809800000,122400000,-58400000,162600000,-39700000,-44500000,1200000,3600000,122900000,117500000,-27300000,90200000,1200000,1200000,91400000,-87100000,4300000,4300000,94800000,94800000,506100000,506100000,154900000,154900000,755800000,1959300000,3365600000,476300000,2305200000,581200000,5324900000,6080700000,337500000,94600000,344200000,344200000,7.21e+08,3023300000,403700000,403700000,3.427e+09,4.148e+09,1352200000,580500000,1932700000,6080700000,90200000,58400000,61500000,5300000,2e+05,215600000,-131200001,18700000,-145700001,-27400000,-3.64e+08,-32700000,-424100000,-354200001,-354200001,-354200001,2.21e+08,3062600000,122399999,0.82101,0.13728,0.00363,0.00222,0.00071,28.46512,1.04827,2.14622,0.50366,0.04401,0.04339,12.12282,13.84033,1.25281,0.28045,0.00587,0.02267,6.37209,13.42896,18.25215
"10","2020_Q2",52.2347619047619,"Down",1.182e+09,1.182e+09,-679100000,502900000,-299700000,-35600000,-58800000,203200000,-44300000,-43200000,8e+05,-1900000,158900000,135900000,-27100000,108800000,-99999.9999999995,-99999.9999999995,108700000,-21700000,8.7e+07,8.7e+07,104900000,104900000,543400000,543400000,136200000,136200000,784500000,2003300000,3349900000,464700000,2312100000,571600000,5353200000,6137700000,505200000,9.8e+07,40800000.0000001,40800000,586200000,3321900000,398400000,398400000,3720300000,4306500000,1443900000,387300000,1831200000,6137700000,108800000,58800000,16200000,-154400000,-99999.9999999999,29300000,-83500000,1600000,-8.3e+07,-2.9e+07,3.05e+08,-204900000,71100000,17400000,17400000,17400000,2.62e+08,3362100000,51200000,0.42547,0.17191,0.0736,0.04751,0.01417,0.588509999999999,1.33828,2.35174,0.54778,0.88595,0.87349,12.03666,14.70367,0.52138,0.29532,0.02075,0.00916,0.33333,12.43206,16.02953
