"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.7033333333333,"Up",1.0095e+10,-7.538e+09,2.557e+09,-2.209e+09,-2.209e+09,3.48e+08,-1.4e+07,-2.3e+07,3.34e+08,-5.2e+07,2.82e+08,-1.26e+08,1.56e+08,1.56e+08,1.53e+08,1.53e+08,5.43e+08,5.35e+08,1.427e+09,1.427e+09,5.486e+09,9.54e+08,9.54e+08,8.41e+09,4.184e+09,3.199e+09,2.296e+09,4.31e+08,7.804e+09,1.6214e+10,6.857e+09,4.996e+09,1.769e+09,1.071e+09,4.28e+08,4.28e+08,8.356e+09,1.121e+09,1.236e+09,1.236e+09,2.357e+09,1.0713e+10,3.36e+08,4.2e+07,4.808e+09,-1.54e+08,4.99e+09,5.501e+09,1.6214e+10,1.56e+08,1.96e+08,1.23e+08,2.7e+07,7.2e+07,-5.28e+08,4.21e+08,-6.68e+08,-3.3e+07,-2.48e+08,-5.3e+07,-1.86e+08,-1.86e+08,-1.86e+08,1.9e+07,-3e+06,-4e+06,-1.71e+08,-5.8e+07,2.48e+08,7.1e+07,7.1e+07,0,2.61e+08,3.7e+07,3.7e+07,0,3.7e+07,5.44e+08,2.192e+09,-4.4e+07,0.25329,0.03447,0.01516,0.02781,0.00944,-0.28758,1.00646,1.94746,0.13519,0.3685,0.35941,24.31358,12.0183,-0.10597,0.13969,-87.7769406437271,0.02363,-0.00493,0.37908,3.03125,4.73851
"2","2010_Q3",23.954375,"Down",1.1022e+10,-8.338e+09,2.684e+09,-2.404e+09,-2.404e+09,2.8e+08,-4e+06,-2.2e+07,2.76e+08,-7.45058059692383e-09,2.76e+08,-1.19e+08,1.57e+08,1.57e+08,1.58e+08,1.58e+08,7.61e+08,6.68e+08,1.77e+09,1.77e+09,5.738e+09,1.035e+09,1.035e+09,9.304e+09,4.162e+09,3.391e+09,2.442e+09,4.63e+08,7.887e+09,1.7191e+10,7.428e+09,5.407e+09,1.97e+09,1.136e+09,4e+08,4e+08,8.964e+09,1.111e+09,1.217e+09,1.217e+09,2.328e+09,1.1292e+10,3.71e+08,4.2e+07,4.908e+09,2.7e+07,5.306e+09,5.899e+09,1.7191e+10,1.57e+08,2.11e+08,2.7e+07,3e+07,1.5e+07,-1.04e+08,-2.56e+08,-2.15e+08,348999999.999999,18000000.0000001,2.91e+08,-1.24e+08,-1.24e+08,-1.24e+08,1.1e+07,-4e+06,4.6e+07,-6.7e+07,-5.9e+07,3.9e+07,6000000.00000001,6e+06,-2.9e+07,-4.3e+07,1.81e+08,1.81e+08,-4.8e+07,1.33e+08,4.91e+08,2.247e+09,3.82e+08,0.24351,0.0254,0.01433,0.02678,0.00919,2.41772,1.03793,1.91422,0.13071,0.37935,0.37002,26.46339,12.7395,0.91717,0.14166,-49.5179604291514,0.02318,0.0408,0.37342,3.02648,5.30714
"3","2010_Q4",28.2134375,"Up",1.2024e+10,-9.082e+09,2.942e+09,-2.566e+09,-2.566e+09,3.76e+08,-1.2e+07,-2.3e+07,3.64e+08,0,3.64e+08,-9.3e+07,2.71e+08,2.71e+08,2.27e+08,2.27e+08,6.57e+08,5.64e+08,2.63e+09,2.63e+09,8.978e+09,1.002e+09,1.002e+09,1.3267e+10,4.123e+09,3.378e+09,2.421e+09,5.02e+08,7.833e+09,2.11e+10,1.1476e+10,9.083e+09,2.338e+09,7.77e+08,4.25e+08,4.25e+08,1.2678e+10,1.104e+09,1.194e+09,1.194e+09,2.298e+09,1.4976e+10,4.46e+08,4.2e+07,5.076e+09,7e+06,5.529e+09,6.124e+09,2.11e+10,2.71e+08,2.07e+08,8e+06,3.1e+07,2.4e+07,-4.5e+07,-8.56e+08,-3.204e+09,3.62e+09,3.95e+08,4.41e+08,-1.59e+08,-1.59e+08,-1.59e+08,6e+06,-3e+06,-1.4e+07,-1.67e+08,-5.8e+07,-3.97e+08,4.3e+07,4.3e+07,-1.4e+07,-4.26e+08,-1.52e+08,-1.52e+08,4.8e+07,-1.04e+08,5.83e+08,1.881e+09,4.72e+08,0.24468,0.03127,0.01888,0.03707,0.01076,2.0793,1.04646,2.44546,0.08915,0.54423,0.52963,28.82762,13.25581,1.13162,0.13906,-22.9107762574908,0.03098,0.05131,0.25551,2.09949,3.25532
"4","2011_Q1",22.9364516129032,"Down",1.6102e+10,-1.2243e+10,3.859e+09,-2.443e+09,-2.443e+09,1.416e+09,-9e+06,-2.4e+07,1.407e+09,9.31322574615479e-10,1.407e+09,-4.97e+08,9.11e+08,8.1e+08,7.79e+08,7.79e+08,1.916e+09,1.826e+09,2.02e+09,2.02e+09,5.486e+09,1.144e+09,1.144e+09,1.0566e+10,4.07e+09,3.342e+09,2.452e+09,4.52e+08,7.736e+09,1.8302e+10,7.817e+09,5.276e+09,2.225e+09,6.98e+08,4.63e+08,4.63e+08,8.978e+09,1.104e+09,1.256e+09,1.256e+09,2.36e+09,1.1338e+10,4.83e+08,4.2e+07,5.797e+09,4e+07,6.32e+09,6.964e+09,1.8302e+10,8.1e+08,2.24e+08,6.3e+07,3e+07,2.2e+07,4.3e+08,6.28e+08,3.478e+09,-3.795e+09,1.19e+08,1.527e+09,-1.46e+08,-1.46e+08,-1.46e+08,4000000.00000001,-6e+06,1.4e+07,-1.35e+08,-5.9e+07,-1e+08,1.8e+07,1.8e+07,1e+06,-1.4e+08,1.252e+09,1.252e+09,1e+07,1.262e+09,1.64e+09,1.802e+09,2.421e+09,0.23966,0.08794,0.04838,0.11186,0.04256,3.10783,1.17688,1.62809,0.09846,1.86185,1.81712,38.4847,15.10516,5.78633,0.14101,-5.95538812874542,0.08362,0.24157,0.07574,-0.0695100000000002,-0.0805099999999994
"5","2011_Q2",21.3033333333333,"Down",1.0787e+10,-7.994e+09,2.793e+09,-2.48e+09,-2.48e+09,3.13e+08,-1.1e+07,-2.3e+07,3.02e+08,-10979421.3955886,3.02e+08,-1.21e+08,1.81e+08,1.81e+08,1.55e+08,1.55e+08,1.444e+09,1.239e+09,1.579e+09,1.579e+09,6.335e+09,1.03e+09,1.03e+09,1.0388e+10,3.982e+09,3.263e+09,2.386e+09,4.77e+08,7.568e+09,1.7956e+10,7.948e+09,5.86e+09,2.037e+09,2.31e+08,4.24e+08,4.24e+08,8.603e+09,1.093e+09,1.253e+09,1.253e+09,2.346e+09,1.0949e+10,5.16e+08,4.2e+07,5.892e+09,-4e+07,6.368e+09,7.007e+09,1.7956e+10,1.81e+08,2.21e+08,4.8e+07,2.9e+07,1.6e+07,-2.81e+08,3.88e+08,-8.73e+08,6.2e+08,-4.16e+08,1.69e+08,-1.61e+08,-1.61e+08,-1.61e+08,-1.15e+08,-1.5e+08,2.2e+07,-2.54e+08,-5.9e+07,-4.44e+08,-1e+06,1.1e+08,1e+07,-4.94e+08,-5.79e+08,-5.79e+08,-8e+06,-5.87e+08,5.34e+08,1.324e+09,2.13e+08,0.25892,0.02902,0.01437,0.02212,0.00863,1.37419,1.20749,1.56258,0.07374,0.36878,0.35905,25.665,15.15108,0.50678,0.14038,3.34820395708486,0.02233,0.02222,0.38065,-0.22472,-0.38339
"6","2011_Q3",18.450625,"Down",1.1339e+10,-8.421e+09,2.918e+09,-2.507e+09,-2.507e+09,4.11e+08,-8e+06,-2.1e+07,4.03e+08,0,4.03e+08,-1.46e+08,2.57e+08,2.57e+08,2.54e+08,2.54e+08,8.45e+08,8.43e+08,1.72e+09,1.72e+09,6.346e+09,1.048e+09,1.048e+09,9.959e+09,3.915e+09,3.195e+09,2.365e+09,4.56e+08,7.403e+09,1.7362e+10,7.656e+09,5.573e+09,2.056e+09,4.15e+08,4e+08,4e+08,8.471e+09,1.088e+09,1.181e+09,1.181e+09,2.269e+09,1.074e+10,39999999.9999999,4e+07,6e+09,-2.5e+07,6.015e+09,6.622e+09,1.7362e+10,2.57e+08,2.17e+08,9.8e+07,2.9e+07,2.2e+07,-6.57e+08,-1.91e+08,-3.6e+07,-2.59e+08,-1.71e+08,-85000000.0000002,-1.81e+08,-1.81e+08,-1.81e+08,2.53e+08,-9.1e+07,1e+06,9.4e+07,-5.9e+07,1.92e+08,-5.53e+08,2999999.99999999,9e+06,-4.11e+08,-4.02e+08,-4.02e+08,6e+06,-3.96e+08,6.28e+08,1.503e+09,-63999999.9999998,0.25734,0.03625,0.0224,0.03836,0.01463,-0.25197,1.17566,1.62187,0.08657,0.61427,0.59948,27.42201,14.54655,-0.154780000000001,0.14268,7,0.03363,-0.00687999999999999,0.23228,1.04777,1.60097
"7","2011_Q4",18.1214285714286,"Down",1.189e+10,-8.907e+09,2.983e+09,-2.598e+09,-2.598e+09,3.85e+08,-1.2e+07,-2e+07,3.73e+08,0,3.73e+08,-1.33e+08,2.4e+08,2.4e+08,2.17e+08,2.17e+08,9.27e+08,9.25e+08,2.793e+09,2.793e+09,1.0064e+10,1.045e+09,1.045e+09,1.4829e+10,3.994e+09,3.186e+09,2.441e+09,3.8e+08,7.523e+09,2.2352e+10,1.2273e+10,9.858e+09,2.384e+09,7.23e+08,4.24e+08,4.24e+08,1.342e+10,1.101e+09,1.166e+09,1.166e+09,2.267e+09,1.5687e+10,3.9e+07,3.9e+07,5.824e+09,1.38e+08,6.001e+09,6.665e+09,2.2352e+10,2.4e+08,2.3e+08,1e+06,2.9e+07,2.8e+07,-1e+07,-1.002e+09,-3.652e+09,4.131e+09,5.13e+08,4.61e+08,-1.87e+08,-1.87e+08,-1.87e+08,0,-4e+06,-1.4e+07,-2.01e+08,-6e+07,2.93e+08,-4.03e+08,5.8e+07,-1.8e+07,-1.88e+08,7.2e+07,7.2e+07,1e+07,8.2e+07,6.15e+08,1.824e+09,5.51e+08,0.25088,0.03238,0.01825,0.03256,0.00971,2.53917,1.10499,2.35364,0.0816,0.54646,0.53212,29.94208,15.11206,1.38756,0.1511,7,0.02869,0.05707,0.2765,1.45854,2.32987
"8","2012_Q1",17.768064516129,"Down",1.5731e+10,-1.1884e+10,3.847e+09,-2.444e+09,-2.444e+09,1.403e+09,-1.2e+07,-2.2e+07,1.391e+09,-1.38e+08,1.253e+09,-3.79e+08,8.76e+08,6.88e+08,6.51e+08,6.51e+08,1.125e+09,1.103e+09,2.348e+09,2.348e+09,5.897e+09,1.103e+09,1.103e+09,1.0473e+10,3.823e+09,3.225e+09,2.454e+09,4.35e+08,7.376e+09,1.7849e+10,7.191e+09,4.894e+09,2.041e+09,9.98e+08,4.74e+08,4.74e+08,8.663e+09,7.11e+08,1.183e+09,1.183e+09,1.894e+09,1.0557e+10,5.7e+07,3.9e+07,6.372e+09,1.73e+08,6.602e+09,7.292e+09,1.7849e+10,6.88e+08,2.28e+08,1.44e+08,3.4e+07,2.38e+08,-4.15e+08,4.34e+08,4.161e+09,-4.935e+09,-7.5e+07,6.45e+08,-2.15e+08,-2.15e+08,-2.15e+08,1e+07,-2.2e+07,-3e+06,-2.08e+08,-5.9e+07,-1.4e+08,-5.7e+07,7999999.99999999,-8e+06,-2.64e+08,1.73e+08,1.73e+08,5e+06,1.78e+08,1.631e+09,1.709e+09,1.38e+09,0.24455,0.08919,0.04138,0.08928,0.03647,2.11982,1.20893,1.44775,0.09575,1.65438,1.61619,39.97713,16.77764,3.50699,0.14994,6,0.06972,0.13551,0.09063,0.35806,0.41625
"9","2012_Q2",14.604126984127,"Down",1.1369e+10,-8.448e+09,2.921e+09,-2.457e+09,-2.457e+09,4.64e+08,-1.1e+07,-2.8e+07,4.53e+08,-4e+06,4.49e+08,-1.55e+08,2.93e+08,2.39e+08,2.12e+08,2.12e+08,2.813e+09,2.793e+09,1.713e+09,1.713e+09,6.508e+09,1.135e+09,1.135e+09,1.2169e+10,3.797e+09,3.29e+09,2.506e+09,4.54e+08,7.403e+09,1.9572e+10,8.533e+09,6.102e+09,2.123e+09,4.81e+08,4.53e+08,4.53e+08,9.467e+09,1.704e+09,1.179e+09,1.179e+09,2.883e+09,1.235e+10,3.8e+07,3.8e+07,6.175e+09,2.74e+08,6.487e+09,7.222e+09,1.9572e+10,2.39e+08,2.22e+08,-4.5e+07,3.7e+07,4.7e+07,9.27e+08,6.16e+08,9.26e+08,-5.61e+08,-5.4e+07,1.343e+09,-1.72e+08,-1.72e+08,-1.72e+08,2.3e+07,-2.1e+07,6e+06,-1.43e+08,-102461697.866399,4.61e+08,-2.12e+08,4.8e+07,-1.2e+07,2.37e+08,1.437e+09,1.437e+09,1.8e+07,1.455e+09,6.86e+08,2.185e+09,1.596e+09,0.25693,0.04081,0.01865,0.02935,0.01083,7.5283,1.28541,1.71005,0.11164,0.54206,0.52907,29.06929,16.58655,4.0808,0.26811225001502,6,0.02003,0.15077,0.609954719241267,-0.91545,-1.35345
"10","2012_Q3",13.4526984126984,"Down",1.0856e+10,-8.094e+09,2.762e+09,-2.502e+09,-2.502e+09,2.6e+08,-2.5e+07,-3.3e+07,2.35e+08,-1.49011611938477e-08,2.35e+08,-8.7e+07,1.48e+08,1.11e+08,1.28e+08,1.28e+08,2.159e+09,2.079e+09,1.868e+09,1.868e+09,6.784e+09,1.08e+09,1.08e+09,1.1891e+10,3.781e+09,3.308e+09,2.507e+09,4.86e+08,7.405e+09,1.9296e+10,8.278e+09,6.178e+09,2.063e+09,8.36e+08,4.26e+08,4.26e+08,9.54e+09,1.701e+09,1.168e+09,1.168e+09,2.869e+09,1.2409e+10,3.7e+07,3.7e+07,5.846e+09,2.81e+08,6.164e+09,6.887e+09,1.9296e+10,1.11e+08,2.26e+08,1.25e+08,3e+07,2e+07,-6.36e+08,-1.4e+08,-2.67e+08,6e+07,-2.89e+08,-1.74e+08,-2.05e+08,-2.05e+08,-2.05e+08,-5.7e+07,-8.6e+07,-3.7e+07,-2.99e+08,-1.15e+08,3.48e+08,-4.74e+08,3e+06,0,-2.41e+08,-7.14e+08,-7.14e+08,0,-7.14e+08,4.86e+08,2.537e+09,-2.68e+08,0.25442,0.02395,0.01179,0.01859,0.00663,-2.09375,1.24644,1.8018,0.13148,0.34034,0.33169,28.86466,16.38926,-0.71258,0.30577,3,0.02294,-0.0253,0.89844,0.77778,1.45385
