"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.94,"Down",102897545,-75252872,27644673,-10918206,-10918206,16726467,-1530358,-1787161,256803,15196109,15189604,-5472062,9717542,9717542,9717542,9717542,191896335.930103,191896335.930103,46176548.2240218,46176548.2240218,58848568.0221174,18769014.26894,-6013382.71956015,20737810.2350814,315690466.445182,113095994.929093,127393245.900511,96512101.1617918,240489240.829604,556179707.274787,24317577.8977316,13331418.9455507,8387069.84164284,28303232.292208,28303232.292208,31008704.9196757,245230747.870045,35919005.3231407,36159183.9127439,281149753.193185,312158458.112861,36244759.7670723,211217865.066236,-2698371.03856789,244021249.161926,244021249.161926,556179707.274787,9717542,5893135,1336754,567611,17515042,-5479415,-5479415,-3124513,-1.2e+07,-14144517,-2108890,-2108890,-74535,-2183425,22619602,0,23179860,0.26866,0.16255,0.09444,0.0329825489658153,0.0143800188333541,2.38536,7.03607019300107,1.27379439540807,0.401722090865628,0.38991,0.3856,4.12867,9.80059023567998,0.93007,0.12537,0.0220942584606585,0.0538890957794362,0.32153,1.85781297884472,3.03904692613633
"2","2011_Q1",17.2511290322581,"Up",100686247,-73304384,27381863,-11222128,-11222128,16159735,-1885424,-2484151,598727,14274311,14298752,-5073897,9224855,9224855,9224855,9224855,138389837,138389837,61945377,61945377,59552392,24131529,1248270,15880092,284019135,125361635,157144071,113463436,282505706,566524841,31591796,21713896,7038999,26594434,26594434,58186230,2.25e+08,27320738,27320738,252320738,310506968,36750182,218889963,920063,256017873,256017873,566524841,9224855,6002302,-2274734,3604409,16556832,-5384264,-5384264,-3124839,1.25e+08,120641773,131814341,131814341,-77477,131736864,22162037,2.25e+08,25456079,0.27195,0.1605,0.09162,0.03603,0.01628,2.75951,4.88121,1.21283,0.39716,0.37014,0.36605,4.03994,10.27248,1.0214,0.12538,0.02429,0.05008,0.33874,3.90804,5.35963
"3","2011_Q2",18.1552380952381,"Up",114332931,-83264145,31068786,-13049354,-13049354,18019432,-2823110,-3470539,647429,15196322,14965313,-5500112,9465201,9465201,9465201,9465201,132013595.773299,132013595.773299,65936065.925326,65936065.925326,62148846.3259609,25002500.6603533,3690281.90652005,13863062.5049729,285101008.684939,127880201.356969,162236612.033163,116769301.029403,290116813.390132,575217822.075071,33194950.5340895,24981987.8514831,6116972.30278572,26787160.819264,26787160.819264,70757574.9434414,214684988.876652,25529650.1422864,25449590.6124187,240214639.018938,310972213.96238,37580458.4943092,225386736.727921,1650900.92952263,264245608.112691,264245608.112691,575217822.075071,9465201,5800067,2091533,-7686967,9669834,-4557578,-4557578,-3135902,121690403.621159,-3096296,2015960,2015960,-5526,2010434,23819499,0,17075066,0.27174,0.1576,0.08279,0.0360466503447282,0.016554160388882,1.80398,4.08030410233298,1.17706103486398,0.392018469711457,0.37978,0.37558,4.5875,10.5688682547733,0.68512,0.12583,0.0245502471797805,0.0484303014068546,0.33131,4.00969234038509,5.29159852462122
"4","2011_Q3",19.38609375,"Up",114661270,-84281092,30380178,-11740423,-11740423,18639755,-3078710,-3463639,384929,15561045,15621176,-6015155,9606021,9606021,9606021,9606021,149099907,149099907,64521060,64521060,64724611,23764990,3371514,13702321,302110568,125999479,155136069,113406239,281135548,583246116,32088777,25154000,5688609,27808823,27808823,74183314,210714286,27542048,27542048,238256334,312439648,38524404,231686446,835553,270806468,270806468,583246116,9606021,5497427,1232425,967333.999999998,17303207,-5717025,-5717025,-3138837,54042062.83325,-2913716,8672466,8672466,27170,8699636,24137182,2.25e+08,25402646,0.26496,0.16256,0.08378,0.03547,0.01647,2.64445,4.07249,1.15374,0.38577,0.38272,0.37935,4.56833,10.78946,1.01209,0.12506,0.02435,0.04854,0.32676,3.14453,4.07195
"5","2011_Q4",18.148253968254,"Down",116492703,-85685729,30806974,-11320064,-11320064,19486910,-3326409,-3518978,192569,16160501,16167602,-6146684,10020918,10020918,10020918,10020918,160098553,160098553,65454139,65454139,64661493,22805071,2397618,14048240,313019256,127090526,153555929,112902427,280646455,593665711,31157347,24292558,6348495,29432825,29432825,74875886,210714286,30170642,30170642,240884928,315760814,39187297,238561936,329942,277904897,277904897,593665711,10020918,5572431,3397978,867252,19858579,-5795959,-5795959,-3145428,8.94069671630859e-08,-3210680,10851940,10851940,146706,10998646,25059341,2.25e+08,26277318,0.26445,0.16728,0.08602,0.03606,0.01688,2.62225,4.18051,1.13622,0.379,0.39823,0.39492,4.62944,11.04399,1.04427,0.125,0.0247,0.04929,0.31389,2.58991,3.33052
"6","2012_Q1",21.1738709677419,"Up",123625506,-91294550,32330956,-12755045,-12755045,19575911,-2686691,-3485993,799302,16889220,16886814,-5243158,11643656,11643656,11643656,11643656,143302666,143302666,74647303,74647303,60281130,24504800,2811858,14038161,302735899,135826703,168211963,121383863,304038666,606774565,33388284,24401194,7988594,30304579,30304579,77978577,210714286,30472937,30472937,241187223,319165800,39419131,247059938,1303974,287608765,287608765,606774565,11643656,5724762,-442266,307056,17233208,-3412334,-30775168,-3145654,0,-3145654,-16687614,-16687614,-108273,-16795887,25300673,2.25e+08,27438553,0.26152,0.15835,0.09418,0.04048,0.01919,2.35652,3.8823,1.10972,0.37081,0.46269,0.45788,4.91255,11.42882,1.09034,0.125,0.02723,0.05052,0.27016,3.22906,4.17336
"7","2012_Q2",22.225873015873,"Up",127142864,-89277551,37865313,-15356217,-15356217,22509096,-3388475,-3340166,-48309,19120621,25089702,-9103762,15985940,15985940,15985940,15985940,139317814,139317814,80053625,80053625,63326378,27267625,4888161,15015326,309965442,131585146,165696020,120431145,297281166,607246608,38203780,25910523,5185736,26182089,26182089,78671583,196428571,31812214,31812214,228240785,306912368,41113737,259889619,-669116,300334240,300334240,607246608,15985940,5814927,-2383624,-3192765,16224478,-3479904,-3479904,-3156259,-14285714,-16837470,-4092896,-4092896,108044,-3984852,28324023,210714285,30755116,0.29782,0.17704,0.12573,0.05323,0.02633,1.92389,3.93999,1.0219,0.347,0.63326,0.62804,5.03657,11.89728,1.21832,0.12503,0.03526,0.05665,0.19744,2.5207,3.17189
"8","2012_Q3",28.0984126984127,"Up",153385291,-110073078,43312213,-15768242,-15768242,27543971,-2933376,-3227906,294530,24610595,24593202,-8720265,15872937,15872937,15872937,15872937,68716426,68716426,91966192,91966192,78436608,22605302,5783941,9323629,261724528,137967157,247091772,153412564,385058929,646783457,35556823,27936086,6511325,44307068,44307068,94149605,196428571,40402513,31864845,236831084,330980689,41896203,272599929,1306636,315802768,315802768,646783457,15872937,7348203,901239,-10181195,13941184,-585102,-77629395,-3162627,-3850152,-6826604,-70514815,-70514815,-86573,-70601388,34892174,210714285,32846142,0.28238,0.17957,0.10348,0.05026,0.02454,2.06932,2.77988,1.04806,0.32579,0.62746,0.62226,6.06333,12.48369,1.29841,0.12502,0.03358,0.05794,0.19925,4.06962,5.15532
"9","2012_Q4",31.6964516129032,"Up",149674616,-104671793,45002823,-17894549,-17894549,27108274,-2780487,-3234340,453853,24327787,24170722,-8807042,15363680,15363680,15363680,15363680,49505820,49505820,94398244,94398244,84141962,24085605,4780366,12256456,252131631,152005729,270327172,166607181,422332901,674464532,39866316,30576637,8912650,55340795,55340795,109492825,196428571,41174496,32426015,237603067,347095892,42672656,284412072,283912,327368640,327368640,674464532,15363680,7909447,1734964,11412904,36420995,-6904988,-52492875,-3551537,3.72529029846191e-09,-3143194,-19215074,-19215074,4468,-19210606,35017721,210714285,48332679,0.30067,0.18111,0.10265,0.04693,0.02278,3.14591,2.30272,1.06026,0.31242,0.60576,0.59899,5.90143,12.90761,1.90568,0.14003,0.03265,0.08344,0.23116,4.60363,5.94684
"10","2013_Q1",38.058,"Up",140391229,-102398578,37992651,-17169992,-17169992,20822659,-2815662,-3270588,454926,18006997,20515374,-7281931,13233443,13233443,13233443,13233443,55597751,55597751,97857193,97857193,82330926,26646069,6152476,12878068,262431939,154476220,277296655,171886270,431772875,694204814,40504040,28921539,11013779,64109454,64109454,118899208,196428571,44942561,36403283,241371132,360270340,43030879,294092945,-3189350,333934474,333934474,694204814,13233443,8290423,-1281579,5909056,26151343,-2114006,-16539826,-3552577,-134,-3552731.99999999,6058785,6058785,33061,6091846,29113082,210714285,40190063,0.27062,0.14832,0.09426,0.03963,0.01906,3.03701,2.20718,1.07887,0.30353,0.52147,0.51631,5.53223,13.15896,1.58372,0.13999,0.02847,0.06817,0.26845,5.32807,7.44941
"11","2013_Q2",37.22359375,"Down",183174619,-132459556,50715063,-26686938,-26686938,24028125,-649650,-4477687,3828037,23378475,23401816,-8855033,14546783,14546783,14546783,14546783,41635118,41635118,128752259,128752259,106426299,40617580,10261734,20601463,317431256,187766434,476997940,281428273,664764374,982195630,57306894,43045426,9141518,74139252,74139252,149481860,435392857,50992368,42082682,486385225,635867085,45004473,305073463,-3749391,346328545,346328545,982195630,14546783,10065220,4028937,11237600,39878540,-11578878,-288178868,-3566265,242714286,234382210,-13918118,-13918118,-44515,-13962633,34093345,453428571,42607100,0.27687,0.13118,0.07941,0.042,0.01481,2.92897,2.12354,1.83602,0.46165,0.57127,0.56679,7.19349,13.60074,1.67323,0.14005,0.02129,0.05008,0.24516,12.07841,17.13798
"12","2013_Q3",33.61328125,"Down",189782229,-133877304,55904925,-26178490,-26178490,29726435,-4768851,-4651412,-117439,24957584,25817160,-9454391,16362769,16362769,16362769,16362769,41983858,41983858,131855452,131855452,101596360,43247464,9815546,24090827,318683134,193265390,471867491,281874766,665132881,983816015,55496182,42890094,10504398,65471997,65471997,139003893,434455357,52031147,43042992,486486504,625490397,45939699,317868225,-5482306,358325618,358325618,983816015,16362769,10983693,1860979,-13902504,15304937,-11380222,-10482262,-3568007,-937500,-4432000.99999997,390673.999999996,390673.999999996,-41934,348740.000000004,40710128,452491071,24881793,0.29457,0.15663,0.08622,0.04566,0.01663,1.52063,2.29262,1.74559,0.45993,0.64198,0.63757,7.446,14.05871,0.97622,0.13999,0.0231,0.02884,0.21806,10.08366,13.8095
"13","2013_Q4",39.71578125,"Up",197755332,-144394673,53360659,-28112999,-28112999,25247660,-4708589,-4614787,-93802,20539071,27911998,-9466843,18445155,18445155,18445155,18445155,50947249,50947249,129340830,129340830,105900182,38240568,7345904,21420393,324428829,198103382,466643250,281711232,664746632,989175461,59088479,40912686,14169463,67553262,67553262,146552455,416642857,51483629,42446611,468126486,614678941,47294173,332738023,-5535676,374496520,374496520,989175461,18445155,10936756,-7180921,17229926,39430916,-11079192,-11079192,-3575357,-15937500,-19484663,8867061,8867061,96330,8963391,36184416,436553571,51801993,0.26983,0.12767,0.09327,0.04925,0.01865,2.80843,2.21374,1.64135,0.44133,0.72229,0.71716,7.7439,14.66491,2.02851,0.14001,0.02553,0.06006,0.19384,10.6567,15.27295
"14","2014_Q1",37.8972131147541,"Down",181010820,-135286467,45724353,-24612573,-24612573,21111780,-4114910,-4663114,548204,16996870,16780026,-6537733,10242293,10242293,10242293,10242293,27565000,27565000,116128000,116128000,107581000,44907000,9884000,27222000,296181000,197639000,459433000,278556000,657072000,953253000,61952000,38833000,17760000,61216000,61216000,144016000,384768000,48556000,39435000,433324000,577340000,47531000,339400000,-11018000,375913000,375913000,953253000,10242293,11319331,-897994.999999998,-8003022,12660607,-1228708,-1228678,-3580371,-30937286,-34132546,-22700617,-22700617,-681881,-23382498,32431111,405616000,29737114,0.25261,0.11663,0.05658,0.02725,0.01074,2.90336,2.05658,1.53583,0.42551,0.40058,0.39815,7.07934,14.70197,1.16302,0.14003,0.01665,0.03582,0.34957,11.65705,17.90711
"15","2014_Q2",38.8328571428571,"Up",216126000,-160738000,55388000,-27541000,-27541000,27847000,-4178000,-4209000,31000,23669000,23696000,-8771000,14925000,14925000,14925000,14925000,25647673,25647673,131226689,131226689,114250875,58804154,12597611,31618788,329929391,197416406,456193697,279735091,653610103,983539494,72119113,52986174,11697417,64100946,64100946,158005773,378607143,54985544,45864821,433592687,591598460,49230758,350735426,-8025150,391941034,391941034,983539494,14925000,11538000,819000,-15188000,12094000,-5820000,-5820000,-3590000,-5223000,-8447000,-2173000,-2173000,256000,-1917000,39385000,400392857,27148000,0.25628,0.12885,0.06906,0.03808,0.01517,1.81896,2.08808,1.50941,0.40709,0.58248,0.57986,8.43484,15.29645,1.05952,0.14011,0.02185,0.03204,0.24054,9.51492,13.45729
"16","2014_Q3",40.2584375,"Up",193416000,-151315000,42101000,-19144000,-19144000,22957000,-4240000,-4223000,-17000,18717000,18713000,-4944000,13769000,13769000,13769000,13769000,41626655,41626655,113353807,113353807,115149713,45751308,8951962,28689457,315881483,196170466,457735836,282563853,653906302,969787785,70854887,49733186,10306151,62757549,62757549,156291196,371732143,38797797,38797797,410529940,566821136,50719369,360912825,-8665545,402966649,402966649,969787785,13769000,11833000,4058000,12072000,41732000,-5576000,-16076000,-3591000,-5984000,-9560000,16096000,16096000,-117000,15979000,34790000,394410903,46230000,0.21767,0.11869,0.07119,0.03417,0.0142,3.35754,2.02111,1.40662,0.4067,0.53666,0.53455,7.53853,15.70591,1.80185,0.13996,0.02076,0.05529,0.2608,10.14039,15.36718
"17","2014_Q4",39.965625,"Down",224834000,-164059000,60775000,-27847000,-27847000,32928000,-5422000,-4099000,-1323000,27506000,28678000,-8713000,19965000,19965000,19965000,19965000,43950753,43950753,130699962,130699962,112275064,48307457,6579823,34942863,335233236,196157668,449948453,281230194,646106121,981339357,81663331,58873096,15247795,63573851,63573851,167999992,355857143,42000379,42000379,397857522,565857514,52474078,377020915,-14013150,415481843,415481843,981339357,19965000,11741000,4938000,-7542000,29102000,-7142000,-7142000,-3857000,-15789000,-19813000,2147000,2147000,177000,2324000,44669000,378619953,38698000,0.27031,0.14645,0.0888,0.04805,0.02034,1.93829,1.99544,1.36193,0.38582,0.77685,0.77402,8.7484,16.16661,1.50576,0.15008,0.02849,0.04628,0.19319,7.4922,10.16367
"18","2015_Q1",39.164262295082,"Down",185316000,-136807000,48509000,-24339000,-24339000,24170000,-5380000,-4030000,-1350000,18790000,20120000,-3163000,16957000,16957000,16957000,16957000,22527000,22527000,125638000,125638000,107697000,42772000,4570000,33676000,298634000,196583000,441697000,279074000,638280000,936914000,69514000,49580000,17046000,57762000,57762000,149142000,315982000,51738000,51738000,367720000,516862000,53438000,389446000,-22832000,420052000,420052000,936914000,16957000,10977000,12502000,-5207000,35229000,-9509000,-10527000,-3859000,-40780000,-44594000,-19892000,-19892000,-1532000,-21424000,35147000,337848000,23594000,0.26176,0.13043,0.0915,0.04037,0.0181,1.3914,2.00235,1.23047,0.3606,0.65923,0.65672,7.20441,16.33009,0.91725,0.15002,0.02571,0.02914,0.22758,8.97149,13.04597
"19","2015_Q2",43.388253968254,"Up",228888000,-169584000,59304000,-26419000,-26419000,32885000,-4154000,-3847000,-307000,28731000,29155000,-9231000,19924000,19924000,19924000,19924000,45764000,45764000,130040000,130040000,113881000,68249000,9421000,55329000,357934000,195830000,437396000,279095000,633226000,991160000,76876000,52173000,17976000,62493000,62493000,161639000,344821000,47443000,47443000,392264000,553903000,54961000,405505000,-23209000,437257000,437257000,991160000,19924000,11063000,-2479000,-23786000,4722000,-6208000,-6208000,-3865000,29240000,25237000,23751000,23751000,-514000,23237000,43948000,367091000,23185000,0.2591,0.14367,0.08705,0.04557,0.0201,1.16367,2.2144,1.26677,0.37037,0.77357,0.7704,8.88678,16.9769,0.90018,0.15006,0.02793,0.02722,0.19399,7.31153,9.77123
"20","2015_Q3",45.9671875,"Up",214246000,-160741000,53505000,-27086000,-27086000,26419000,-4570000,-4022000,-548000,21849000,21874000,-4631000,17243000,17243000,17243000,17243000,20226000,20226000,133091000,133091000,113078000,44228000,8209000,35310000,310623000,223573000,449851000,287789000,673424000,984047000,77284000,51774000,21725000,52790000,52790000,152798000,337478000,46162000,46162000,383640000,536438000,56746000,418882000,-28019000,447609000,447609000,984047000,17243000,12062000,3601000,17229000,50135000,-14870000,-64688000,-3866000,-6875000,-10648000,-25201000,-25201000,-337000,-25538000,38481000,360202000,45471000,0.24974,0.12331,0.08048,0.03852,0.01752,2.63707,2.0329,1.19845,0.36604,0.6688,0.66519,8.30991,17.3613,1.76367,0.14995,0.02472,0.05325,0.22421,8.83491,12.86862
"21","2015_Q4",50.07390625,"Up",242447000,-179999000,62448000,-26040000,-26040000,36408000,-3716000,-3743000,27000,32692000,32708000,-9161000,23547000,23547000,23547000,23547000,17598000,17598000,131866000,131866000,120220000,50601000,5280000,45231000,320285000,225428000,445239000,287762000,670667000,990952000,94943000,64726000,26118000,58444000,58444000,176110000,299134000,47138000,47138000,346272000,522382000,59541000,438554000,-29525000,468570000,468570000,990952000,23547000,11952000,2308000,11494000,49301000,-9972000,-9972000,-3875000,-38356000,-41690000,-2361000,-2361000,-267000,-2628000,48360000,321857000,59043000,0.25757,0.15017,0.09712,0.05025,0.02376,2.50745,1.81866,1.11484,0.3248,0.91186,0.90646,9.3888,18.14545,2.28645,0.15006,0.03274,0.07049,0.16456,6.29154,8.35693
"22","2016_Q1",46.71,"Down",203819000,-150958000,52861000,-28278000,-28278000,24583000,-5807000,-3543000,-2264000,18776000,18638000,-3808000,14830000,14830000,14830000,14830000,40191000,40191000,131416000,131416000,77131000,66787000,3105000,63482000,315525000,226333000,446343000,292527000,672676000,988201000,79918000,46748000,30473000,46439000,46439000,149549000,302429000,51853000,51853000,354282000,503831000,61022000,453908000,-30560000,484370000,484370000,988201000,14830000,12340000,3302000,8959000,39431000,-7674000,-18440000,-3876000,5125000,1778000,22769000,22769000,-176000,22593000,36923000,325621000,42016000,0.25935,0.12061,0.07276,0.03062,0.01501,2.83318,2.10984,1.04018,0.32951,0.5739,0.57065,7.88755,18.74453,1.62597,0.15,0.0217,0.04875,0.26136,7.73041,11.61087
"23","2016_Q2",51.63609375,"Up",250366000,-185238000,65128000,-28819000,-28819000,36309000,-3803000,-3925000,122000,32506000,32616000,-10427000,22189000,22189000,22189000,22189000,12075000,12075000,154789000,154789000,110995000,38774000,7974000,30583000,316633000,230165000,463810000,306072000,693975000,1010608000,77167000,56332000,16845000,53758000,53758000,154586000,300932000,52200000,52200000,353132000,507718000,63056000,467929000,-28095000,502890000,502890000,1010608000,22189000,12634000,4068000,-29023000,9868000,-10376000,-33055000,-3888000,-1160000,-5048000,-28235000,-28235000,119000,-28116000,48943000,324593000,19971000,0.26013,0.14502,0.08863,0.04412,0.02196,0.90004,2.04826,1.0096,0.32119,0.85629,0.85201,9.66179,19.40686,0.77069,0.15004,0.02964,0.0227,0.17522,6.38535,8.60718
"24","2016_Q3",57.80921875,"Up",200790000,-158686000,42104000,-26997000,-26997000,15107000,-3512000,-3580000,68000.0000000005,11595000,11403000,-1244000,10159000,10159000,10159000,10159000,15914000,15914000,137017000,137017000,121325000,34157000,6182000,27727000,308413000,224001000,459320000,306031000,683321000,991734000,72400000,50300000,18030000,55538000,55538000,149255000,280058000,51566000,51566000,331624000,480879000,64706000,474053000,-27904000,510855000,510855000,991734000,10159000,12736000,8834000,8431000,40160000,-9064000,-9064000,-3899000,-23345000,-27244000,3851999.99999999,3852000.00000001,-13000,3839000,27843000,301375000,28454000,0.20969,0.07524,0.0506,0.01989,0.01024,2.80087,2.06635,0.94132,0.30389,0.39093,0.38895,7.72656,19.6581,1.09493,0.15004,0.01627,0.03294,0.3838,10.25252,18.89594
