"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",42.0374603174603,"Up",289123000,-223016000,66107000,-35133000,-35133000,30974000,-4008000,-3584000,-424000,26966000,26966000,-5682000,21284000,21284000,21284000,21284000,13586000,13586000,159234000,159234000,118222000,105903000,10359000,95544000,396945000,206305000,532429000,360059000,738734000,1135679000,83603000,60436000,17895000,55163000,55163000,138766000,296779000,80877000,37236000,377656000,516422000,72915000,577068000,-30726000,619257000,619257000,1135679000,21284000,12326000,4570000,-56767000,-18587000,-4476000,-43469000,-4440000,5.6e+07,51560000,-10496000,-10496000,77000,-10419000,43300000,296779000,-12261000,0.22865,0.10713,0.07362,0.03437,0.01874,-0.57607,2.86054,0.83394,0.26132,0.81473,0.81258,11.06733,23.70452,-0.46934,0.16996,0.0258,-0.0123,0.20861,6.54025,9.14293
"36","2019_Q3",41.2028125,"Down",236190000,-183504000,52686000,-30479000,-30479000,22207000,-4234000,-3548000,-686000,17973000,17973000,-2415000,15558000,15558000,15558000,15558000,13583000,13583000,154460000,154460000,110314000,101684000,10925000,90759000,380041000,214098000,525978000,353516000,740076000,1120117000,95556000,65746000,23401000,53692000,53692000,149248000,255812000,80451000,34126000,336263000,485511000,76432000,588172000,-29998000,634606000,634606000,1120117000,15558000,12258000,-3211000,32217000,56822000,-11688000,-12619000,-4454000,-41691000,-44364000,-161000,-161000,158000,-3000,34465000,255812000,57409000,0.22307,0.09402,0.06587,0.02452,0.01389,3.69,2.54637,0.76506,0.22838,0.59386,0.59217,9.01557,24.22345,2.19135,0.17001,0.02061,0.05913,0.28628,7.02826,10.90778
"37","2019_Q4",38.6796875,"Down",291139000,-223808000,67331000,-33903000,-33903000,33428000,-2558000,-3301000,743000,30870000,30870000,-8835000,22035000,22035000,22035000,22035000,14289000,14289000,174647000,174647000,119438000,106247000,7474000,98773000,414621000,211691000,546256000,361326000,757947000,1172568000,116244000,71842000,31965000,66129000,66129000,182373000,254845000,82107000,35298000,336952000,519325000,77724000,605746000,-30227000,653243000,653243000,1172568000,22035000,12624000,1474000,-2314000,33819000,-6042000,-26746000,-4461000,-1526000.00000001,-5987000,1086000,1086000,-380000,706000,46052000,254845000,46531000,0.23127,0.11482,0.07569,0.03373,0.01879,2.11169,2.27348,0.795,0.21734,0.83997,0.83873,11.0982,24.90157,1.77376,0.17005,0.02676,0.04699,0.20245,5.22357,7.19624
"38","2020_Q1",36.3509677419355,"Down",245365000,-194261000,51104000,-39738000,-39738000,11366000,-3653000,-3030000,-623000,7713000,-10919000,275999.999999998,-10643000,-10643000,-10643000,-10643000,36687000,36687000,139214000,139214000,99841000,78820000,8727000,70093000,354562000,213104000,506165000,356225000,719269000,1073831000,130613000,61987000,65750000,2.5e+07,2.5e+07,280613000,77878000,80974000,37926000,158852000,439465000,92851000,572414000,-30899000,634366000,634366000,1073831000,-10643000,12986000,31830000,36083000,70256000,-10049000,13535000,-4467000,-50783000,-60948000,22843000,22843000,-445000,22398000,24352000,202878000,50110000,0.20828,0.04632,-0.04338,-0.01678,-0.00991,-4.70826,1.26353,0.69276,0.18893,-0.40608,-0.40336,9.36186,24.20413,1.91194,0.17044,-0.00673,0.05457,-0.41971,6.82453,14.62177
"39","2020_Q2",29.2084126984127,"Down",213293000,-171085000,42208000,-27890000,-27890000,14318000,-4090000,-2634000,-1456000,10228000,10228000,-4687000,5541000,5541000,5541000,5541000,26414000,26414000,130047000,130047000,103983000,74585000,9541000,65044000,335029000,214965000,500779000,355808000,715744000,1050773000,64510000,45895000,12376000,50107000,50107000,239617000,93911000,81589000,35695000,175500000,415117000,94078000,573530000,-31952000,635656000,635656000,1050773000,5541000,11668000,-77000,-28316000,-11184000,-10847000,-10847000,-4425000,1.6e+07,11036000,-10995000,-10995000,722000,-10273000,25986000,218911000,-8490000,0.19789,0.06713,0.02598,0.00872,0.00527,-1.53221,1.39819,0.65305,0.20833,0.21184,0.21155,8.15434,24.30156,-0.32458,0.16917,0.01065,-0.00907,0.79859,7.40772,13.44441
"40","2020_Q3",31.9871875,"Up",203371000,-157278000,46093000,-26749000,-26749000,19344000,-2561000,-2470000,-91000,16783000,-1910000,120000.000000002,-1790000,-1790000,-1790000,-1790000,14028000,14028000,114295000,114295000,94378000,88232000,7117000,64199000,310933000,200420000,488599000,351755000,689019000,999952000,65040000,46443000,18597000,50796000,50796000,240836000,46945000,80630000,32510000,127575000,368411000,97873000,561094000,-27426000,631541000,631541000,999952000,-1790000,11481000,17672000,15987000,43350000,-8025000,315999.999999993,-4467000,-4.7e+07,-56167000,-12501000,-12501000,115000,-12386000,30825000,171945000,38667000,0.22664,0.09512,-0.00880000000000001,-0.00283000000000001,-0.00179,-21.60168,1.29106,0.58335,0.17195,-0.0683899999999999,-0.0683099999999998,7.76967,24.12764,1.47725,0.17066,0.00303,0.04374,-2.49553,5.12302,8.16362
"41","2020_Q4",39.119375,"Up",226623000,-171948000,54675000,-25228000,-25228000,29447000,-1548000,-2272000,724000,27899000,26323000,-6620000,19703000,19703000,19703000,19703000,19195000,19195000,127501000,127501000,93758000,84256000,6366000,74712000,324710000,201178000,483981000,351830000,685159000,1009869000,105237000,53715000,51522000,18218000,18218000,123455000,181978000,80358000,33073000,262336000,385791000,98820000,552443000,-27185000,624078000,624078000,1009869000,19703000,11027000,3767000,-7269000,27228000,-8559000,-4456000,-4432000,1e+07,-19098000,3674000,3674000,1493000,5167000,40474000,181978000,31266000,0.24126,0.12994,0.08694,0.03157,0.01951,1.58686,2.63019,0.61818,0.1802,0.75962,0.75389,8.7371,24.06037,1.20541,0.17087,0.02723,0.03527,0.22494,4.02192,5.528
"42","2021_Q1",49.0827868852459,"Up",195630000,-149859000,45771000,-27267000,-27267000,18504000,-2418000,-2272000,-146000,16086000,16356000,-196000.000000002,16160000,16160000,16160000,16160000,14837000,14837000,128765000,128765000,93819000,67634000,6029000,61370000,305055000,207089000,487083000,353881000,694172000,999227000,91793000,41542000,50251000,24840000,24840000,116633000,178419000,80883000,39283000,259302000,375935000,101087000,547289000,-25084000,623292000,623292000,999227000,16160000,10427000,5477000,576999.999999996,32641000,-9187000,-13606000,-4318000,-3e+06,-24196000,-5161000,-5161000,803000,-4358000,28931000,178419000,20517000,0.23397,0.09459,0.0826,0.02593,0.01617,1.26962,2.61551,0.60314,0.17856,0.63828,0.63004,7.72691,24.61853,0.81037,0.17055,0.0232,0.02325,0.2672,5.65421,8.84036
"43","2021_Q2",51.1404761904762,"Up",229826000,-171899000,57927000,-27215000,-27215000,30712000,-728000,-1697000,969000,29984000,29984000,-7647000,22337000,22337000,22337000,22337000,12403000,12403000,134531000,134531000,99950000,88024000,11211000,71185000,334908000,207689000,496642000,354839000,704331000,1039239000,106501000,48831000,52892000,24693000,24693000,131194000,185435000,85199000,38467000,270634000,401828000,100671000,559173000,-22433000,637411000,637411000,1039239000,22337000,11084000,825000,-23186000,11060000,-7466000,-7466000,-4245000,7e+06,-5610000,-2016000,-2016000,-418000,-2434000,41796000,185435000,18791000,0.25205,0.13363,0.09719,0.03504,0.02149,0.84125,2.55277,0.63041,0.17843,0.86253,0.85763,8.87462,24.61331,0.72561,0.16392,0.02927,0.02069,0.19004,4.13992,5.63402
"44","2021_Q3",51.3378125,"Up",131434000,-94991000,36443000,-16481000,-16481000,19962000,-1776000,-1731000,-45000,18186000,18186000,-3918000,14268000,18978000,18978000,18978000,15488000,15488000,133430000,133430000,104439000,75682000,8569000,61355000,329039000,202220000,491979000,353637000,694199000,1023238000,97234000,43877000,51658000,21757000,21757000,118991000,182451000,83370000,38569000,265821000,384812000,104748000,559207000,-25529000,638426000,638426000,1023238000,3544000,4828000,3375000,8450999.99999999,20198000,-697000,-697000.000000004,-4265000,-3e+06,-20738000,-1237000,2863000,221000,3084000,24790000,182451000,36462000,0.27727,0.15188,0.14439,0.02973,0.01855,1.92128,2.76524,0.60275,0.17831,0.75915,0.75262,5.25757,25.53806,1.45854,0.17061,0.0257,0.04032,0.22473,6.73509,8.36404
"45","2021_Q4",53.16796875,"Up",135083000,-97510000,37573000,-16283000,-16283000,21290000,-1536000,-1627000,91000,19754000,19754000,-6647000,13107000,21085000,21085000,21085000,20355000,20355000,144764000,144764000,106970000,77446000,5153000,67884000,349535000,199886000,488155000,353434000,688041000,1037576000,95926000,42457000,50269000,22731000,22731000,118657000,191468000,79407000,36121000,270875000,389532000,106440000,568641000,-27037000,648044000,648044000,1037576000,-49293000,12121000,-1358000,-9190000,-47720000,-5243000,-5243000,-4163000,8999999.99999999,-2819000,-55782000,-58460000,1639000,-56821000,18133008.6568683,191468000,37428707.2930148,0.27815,0.15761,0.15609,0.03254,0.02032,2.63771488919646,2.94576,0.60109,0.18453,0.81436,0.80956,5.21727,25.02922,1.57456730644009,0.175584701018202,0.02295,0.0393789185717177,0.246718414127766,15.7352822092223,8.03725
"46","2022_Q1",48.6598387096774,"Down",406321000,-313041000,93280000,-53701000,-53701000,39579000,-2955000,-1340000,-1615000,36624000,38421000,-4111000,34310000,21622000,21622000,21622000,12082000,12082000,85106000,85106000,82997000,206348000,1583000,2866000.00000001,386533000,193358000,553136000,190391000,746494000,1133027000,58664000,24840000,29996000,91866000,3583000,150530000,226484000,88648000,47672000,315132000,465662000,110535000,584154000,-27324000,667365000,667365000,1133027000,107434000,16632000,9514000,-31108000,102472000,-12210000,-73429000,-4201000,3.5e+07,30079000,59122000,57700000,-1284000,56416000,30979969.1452798,226484000,30019113.7319185,0.22957,0.09741,0.05321,0.0324,0.01908,2.74989202039774,2.56781,0.69776,0.19989,0.8351,0.83018,15.69322,25.77544,1.30566292228006,0.17318126428431,0.02201,0.023411130000184,0.255794990808578,25.1431804967779,5.41706
"47","2022_Q2",44.26,"Down",314398000,-229942000,84456000,-44546000,-44546000,39910000,-8271000,-7473000,-798000,31639000,31639000,-7562000,24077000,24077000,24077000,24077000,100998000,100998000,255749000,255749000,189415000,174234000,18136000,155863000,720396000,491722000,1570174000,918877000,2061896000,2782292000,272044000,185645000,84738000,49369000,49369000,334413000,1594777000,165543000,48137000,1760320000,2094733000,110220000,604039000,-26700000,687559000,687559000,2782292000,24077000,15119000,523000,-16405000,23314000,-7776000,-1306289000,-4192000,1.463e+09,1368940000,85965000,85965000,-49000,85916000,55029000,1607777000,38410000,0.26863,0.12694,0.07658,0.03502,0.00865,1.5953,2.15421,3.04662,0.57786,0.93776,0.93776,12.2453,26.77932,1.49601,0.16327,0.01149,0.01561,0.17411,27.38154,37.75442
"48","2022_Q3",41.28265625,"Down",406710000,-305155000,101555000,-37414000,-37414000,64141000,-28199000,-28144000,-55000,35942000,35942000,-10822000,25120000,-57570000,-57570000,-58610000,11340000,11340000,193647000,193647000,142444000,311009000,13044000,82897000,658440000,496125000,1430182000,736218000,1926307000,2584747000,250066000,158085000,80846000,87194000,7262000,350260000,1238170000,136696000,29044000,1374866000,1725126000,348248000,541203000,-30070000,859621000,859621000,2584747000,16408000,18756000,-15523000,-943999.999999998,18697000,-6831000,-6831000.00000024,-4226000,-126250000,-123844000,-111978000,-89208000,2550000,-86658000,82897000,1251170000,85944000,0.2497,0.15771,-0.14411,-0.06818,-0.02268,-1.46637,1.87986,2.00684,0.48406,-2.01693,-2.01693,13.99601,29.57366,2.95757,0.14543,-0.0242,0.03824,-0.0721,14.95627,19.32976
