"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",42.6939682539683,"Down",243941038,-226713025,17228013,-14166008,-13778739,-387269,3062005,-391865,-405245,13380,2670140,2670140,-941000,1729140,1729140,1729140,1654273,517964,517964,23681183,23681183,32948314,6111343,4407930,63258804,11642259,12134563,4959519,6149168,1025876,23776822,87035626,22717713,13914745,7898869,1122394,23840107,31334914,1709082,1268662,440420,33043996,56884103,7960049,17691474,30151523,30151523,87035626,1729140,1729140,387269,142614,-971192,1287831,-562306,-596612,-596612,-3662142,-178048,2586950,2582361,208050,208050,208050,3449274,32457308,2856776,0.07062,0.01255,0.00678,0.05487,0.01901,1.72691,2.65346,1.88661,0.37292,2.93568,2.21445,432.89951,45.52138,5.06966,0.31597,0.02849,0.04442,0.10763,9.25973,10.43086
"2","2010_Q3",47.0778125,"Up",230499129,-213558955,16940174,-13781374,-13365802,-415572,3158800,-345379,-368425,23046,2813421,2813421,-1022000,1791421,1791421,1791421,1718182,529408,529408,27723560,27723560,35325691,3949992,2243351,67528651,11863643,12131544,4908894,6149168,1073482,23995187,91523838,25478432,16453293,8148220,1042172,26520604,31419819,1687556,1227590,459966,33107375,59627979,8089781,19306078,31895859,31895859,91523838,1791421,1791421,415572,138353,-1689682,655664,-497718,-506317,-506317,-497718,-176817,4682.99999999814,-146502,11444,11444,11444,3574372,32461991,2408972,0.07349,0.0137,0.00745,0.05387,0.01877,1.40205,2.54627,1.86946,0.35468,3.0491,2.3,409.0454,48.61689,4.27498,0.31378,0.02869,0.03647,0.10291,8.93376,10.10909
"3","2010_Q4",57.77453125,"Up",267062440,-247932676,19129764,-14510949,-14070483,-440466,4618815,-338115,-370873,32758,4280700,4280700,-1532000,2748700,2748700,2748700,2674648,356735,356735,27903689,27903689,35005957,4919459,3013485,68185840,11855669,12025862,4807644,6149168,1069050,23881531,92067371,28192641,16656257,9169717,893291,29085932,24043295,1663340,1075861,587479,25706635,54792567,8382414,24392390,37274804,37274804,92067371,2748700,2748700,440466,386178,-5690542,-2115198,-301482,-320983,-320983,-301482,-177651,2372277,2252634,-164046,-164046,-164046,5059281,24936586,599257,0.07163,0.01729,0.01002,0.07175,0.02905,0.22405,2.34429,1.46996,0.27085,4.74645,3.58035,473.93091,58.1624,1.06345,0.31526,0.04465,0.00938,0.06642,4.85837,5.32168
"4","2011_Q1",63.8188709677419,"Up",269035428,-250625548,18409880,-13723675,-13230165,-493510,4686205,-343654,-360356,16702,4342551,4342551,-1646000,2696551,2696551,2696551,2621684,356735,356735,27903689,27903689,35005957,4919459,3013485,68185840,11855669,12025862,4807644,6149168,1069050,23881531,92067371,28192641,16656257,9169717,893291,29085932,24043295,1663340,1075861,587479,25706635,54792567,8382414,24392390,37274804,37274804,92067371,2696551,2696551,493510,-127903,7494902,10557060,-487543,-496743,-496743,-487543,-181288,-9912651,-10078144,-8627,-8627,-8627,5179715,24936586,13833074,0.06843,0.01742,0.00974,0.07033,0.02848,5.27641,2.34429,1.46996,0.27085,4.62456,3.49398,474.5688,57.81357,24.40104,0.31979,0.04388,0.21657,0.06915,4.74541,5.24515
"5","2011_Q2",58.0211111111111,"Down",244957161,-227349439,17607722,-14184954,-13687371,-497583,3422768,-361702,-384583,22881,3061066,3061066,-1229000,1832066,1832066,1832066,1757199,300920,300920,22245824,22245824,36060248,6314634,4772035,64921626,11712178,11981750,4757019,6149168,1075563,23693928,88615554,24391534,14698370,8592385,851153,25242687,22187720,1208383,1135311,73072,23396103,48638790,9431110,26045654,39976764,39976764,88615554,1832066,1832066,497583,963896,-1071246,2222299,-281462,-293037,-293037,-281462,-178802,-1897713,-1996652,-55815,-55815,-55815,3920351,23038873,3796643,0.07188,0.01397,0.00717,0.04396,0.01983,2.16062,2.5719,1.21668,0.25999,3.0368,2.31609,423.3355,61.31102,6.56137,0.30901,0.03014,0.05912,0.10175,5.79998,6.64315
"6","2011_Q3",49.8484375,"Down",216603039,-200233927,16369112,-13416775,-12909642,-507133,2952337,-218661,-263872,45211,2733676,2733676,-1149000,1584676,1584676,1584676,1511437,398982,398982,24800880,24800880,33939682,5673234,4154742,64812778,11919797,12033176,4706394,6149168,1177614,23952973,88765751,25488734,16307547,8649303,745177,26233911,19883229,1216311,1145250,71061,21099540,47333451,9488219,27444081,41432300,41432300,88765751,1584676,1584676,507133,56454,1148791,3297054,-648317,-664217,-664217,-648317,-186249,-2410467,-2550675,98062,98062,98062,3459470,20628406,5108944,0.07557,0.01363,0.00698,0.03648,0.01703,3.38019,2.47057,1.14243,0.23239,2.56464,1.95924,367.53743,62.66765,8.66898,0.31603,0.02683,0.08074,0.12323,5.84755,6.852
"7","2011_Q4",48.1215873015873,"Down",263828199,-245610146,18218053,-14300655,-13781556,-519099,3917398,-298647,-372525,73878,3618751,3618751,-1791000,1827751,1827751,1827751,1757102,1330474,1330474,34508718,34508718,59663739,8077925,6492944,103580856,14087436,13152151,5747387,6149168,1255596,27239587,130820443,29664739,19249594,9904200,1466525,31131264,53871365,2708075,2276551,431524,56579440,87710704,9966988,29092751,43109739,43109739,130820443,1827751,1827751,519099,1416092,-20817216,-17054274,-646881,-683781,-683781,-14014938,-179081,32157394,32000704,931492,931492,931492,4436497,55337890,-15236600,0.06905,0.01485,0.00666,0.04076,0.01343,-8.67144,3.32723,2.03459,0.42301,2.93202,2.25421,440.24196,65.17778,-25.42484,0.29883,0.01914,-0.15063,0.10192,12.17344,13.78655
"8","2012_Q1",52.5296774193548,"Up",316243493,-294274340,21969153,-16707042,-15996043,-710999,5262111,-329568,-412810,83242,4932543,4932543,-2113000,2819543,2819543,2819543,2751901,1389665,1389665,32963693,32963693,38447982,7781425,6073536,80582765,13713238,13139630,5550978,6349827,1238825,26852868,107435633,30153856,18439446,9614230,1384625,31538481,26965808,3172751,2743238,429513,30138559,61677040,9987148,31721445,45758593,45758593,107435633,2819543,2819543,710999,771186,23238941,27540669,-316954,-347104,-347104,-316954,-190849,-26987457,-27164524,59190.9999999999,59190.9999999999,59190.9999999999,5973110,28350433,31008097,0.06947,0.01664,0.0087,0.06014,0.02561,11.26788,2.55506,1.34788,0.26388,4.5151,3.52471,518.86746,68.43218,50.87565,0.31313,0.03808,0.40123,0.06935,4.51369,5.12357
"9","2012_Q2",50.6131746031746,"Down",283563050,-264925373,18637677,-15963496,-15350002,-613494,2674181,-272846,-424110,151264,2401335,2401335,-963000,1438335,1438335,1438335,1370694,974815,974815,29223872,29223872,47940028,6406494,4951373,84545209,13454969,13052554,5459727,6349827,1243000,26507523,111052732,23827779,15845825,7249341,1915309,25743088,34020858,3367130,2939629,427501,37387988,63131076,10898830,32972826,47921656,47921656,111052732,1438335,1438335,613494,898751,-10455821,-7505241,-258117,-261717,-261717,-258117,-186954,7585734,7348508,-414850,-414850,-414850,3287675,35936167,-6463263,0.06573,0.00943,0.00483,0.0286,0.01234,-4.71532,3.28419,1.31738,0.3236,2.21112,1.74835,457.42616,70.77101,-10.42613,0.30158,0.01786,-0.0741,0.13639,10.63407,13.07367
"10","2012_Q3",53.7334920634921,"Up",275829266,-256612867,19216399,-16515682,-15901755,-613927,2700717,-225967,-319841,93874,2474750,2474750,-1010000,1464750,1464750,1464750,1397844,851114,851114,31985614,31985614,34794458,8985535,7382190,76616721,13361627,13005552,5368476,6349827,1287249,26367179,102983900,25022732,16371894,7819053,1917753,26940485,24235594,3518173,3092683,425490,27753767,54694252,10906293,34251355,48289648,48289648,102983900,1464750,1464750,613927,379786,8713664,11172127,-408787,-446007,-446007,-408787,-186221,-9782819.99999999,-10887041,-123701,-123701,-123701,3314644,26153347,12629521,0.06967,0.00979,0.00507,0.02895,0.01357,9.035,2.84393,1.13263,0.25396,2.25641,1.77714,445.24498,71.41186,20.38664,0.3006,0.02032,0.162,0.13322,7.63347,9.36871
