"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.0560317460317,"Up",2.453e+09,-9.95e+08,1.458e+09,-9.85e+08,-6.52e+08,-2.51e+08,-8.2e+07,4.73e+08,-1.26e+08,-1.37e+08,1.1e+07,3.47e+08,-1e+06,3.46e+08,-1.16e+08,2.3e+08,2.3e+08,-1e+06,2.29e+08,2.29e+08,1.93e+08,1.93e+08,1.403e+09,1.403e+09,2.1e+08,9.27e+08,2.65e+08,4.99e+08,2.733e+09,1.2654e+10,2.0924e+10,-8.27e+09,8.816e+09,5.4e+07,2.024e+09,1.5e+08,6.588e+09,2.147e+10,2.4203e+10,8.73e+08,6.37e+08,8.8e+07,1.48e+08,6.77e+08,0,6.77e+08,9.32e+08,2.39e+08,6.93e+08,2.482e+09,6.578e+09,6.531e+09,8.548e+09,2.037e+09,6.99e+08,2.273e+09,1.84e+08,4.054e+09,1.5126e+10,1.7608e+10,3.388e+09,3.309e+09,-1.46e+08,6.551e+09,4.4e+07,6.595e+09,2.4203e+10,2.3e+08,2.51e+08,3.7e+07,2.99e+08,8.17e+08,-1.84e+08,-1.71e+08,-8.8e+07,-4.17e+08,9e+06,-9e+06,-5.05e+08,1.41e+08,1.41e+08,1.41e+08,7.24e+08,7.255e+09,0.59437,0.19283,0.09336,0.03472,0.00946,1.10113,2.6699,0.29976,1.17406,1.17406,12.57626,33.58626,0.45117,23.8236101595133,0.01415,0.38428,9.75414,14.93023
"2","2010_Q3",25.5496875,"Up",1.792e+09,-6.08e+08,1.184e+09,-9.3e+08,-5.97e+08,-2.53e+08,-8e+07,2.54e+08,-1.25e+08,-1.33e+08,8e+06,1.29e+08,2e+06,1.31e+08,-4.4e+07,8.7e+07,8.7e+07,-1e+06,8.6e+07,8.6e+07,1.24e+08,1.24e+08,1.219e+09,1.219e+09,2.12e+08,1.026e+09,1.75e+08,7e+08,2.581e+09,1.2771e+10,2.1137e+10,-8.366e+09,8.681e+09,5.8e+07,2.024e+09,1.08e+08,6.491e+09,2.1452e+10,2.4033e+10,8.87e+08,6.84e+08,8.9e+07,1.14e+08,1.335e+09,0,1.335e+09,7.09e+08,1.7e+08,5.39e+08,2.931e+09,5.916e+09,5.873e+09,8.586e+09,2.016e+09,7e+08,2.289e+09,1.45e+08,4.136e+09,1.4502e+10,1.7433e+10,3.405e+09,3.305e+09,-1.53e+08,6.557e+09,4.3e+07,6.6e+09,2.4033e+10,8.7e+07,2.53e+08,3.6e+07,-42000000.0000001,3.34e+08,-3.32e+08,-3.21e+08,-8.8e+07,-1e+06,1.4e+07,-7e+06,-8.2e+07,-6.9e+07,-6.9e+07,-6.9e+07,5.07e+08,7.251e+09,0.66071,0.14174,0.04799,0.01303,0.00358,0.88059,2.64136,0.30171,0.43566,0.43054,9.07801,33.21682,0.4458,16.1725920850737,0.00776,1.02326,14.0572,28.05906
"3","2010_Q4",25.37796875,"Down",2.139e+09,-7.63e+08,1.376e+09,-9.89e+08,-6.49e+08,-2.71e+08,-6.9e+07,3.87e+08,-1.28e+08,-1.39e+08,1.1e+07,2.59e+08,-1e+06,2.58e+08,-9.2e+07,1.66e+08,1.66e+08,-3e+06,1.63e+08,1.63e+08,8.4e+07,8.4e+07,1.14e+09,1.14e+09,2.15e+08,1.302e+09,1.77e+08,9.75e+08,2.741e+09,1.2822e+10,2.137e+10,-8.548e+09,8.703e+09,6.3e+07,2.024e+09,1.08e+08,6.508e+09,2.1525e+10,2.4266e+10,8.71e+08,6.41e+08,9.5e+07,1.35e+08,9.43e+08,2e+07,9.23e+08,6.99e+08,1.67e+08,5.32e+08,2.513e+09,6.431e+09,6.388e+09,8.633e+09,2.018e+09,7e+08,2.385e+09,1.54e+08,4.076e+09,1.5064e+10,1.7577e+10,3.422e+09,3.374e+09,-1.5e+08,6.646e+09,4.3e+07,6.689e+09,2.4266e+10,1.66e+08,2.71e+08,1.05e+08,-1.84e+08,3.58e+08,-2.97e+08,-3.42e+08,-8.9e+07,4.6e+07,3e+06,-1.6e+07,-5.6e+07,-4e+07,-4e+07,-4e+07,6.58e+08,7.374e+09,0.64329,0.18093,0.0762,0.02437,0.00672,1.09073,2.62775,0.30388,0.82085,0.82573,10.77175,33.46846,0.44819,11.0647220319027,0.0111,0.54601,11.07903,18.83721
"4","2011_Q1",26.2701612903226,"Up",2.141e+09,-8.24e+08,1.317e+09,-9.81e+08,-6.69e+08,-2.37e+08,-7.5e+07,3.36e+08,-1.29e+08,-1.22e+08,-7e+06,2.07e+08,2e+07,2.27e+08,-6.3e+07,1.64e+08,1.56e+08,-4e+06,1.52e+08,1.52e+08,6.5e+07,6.5e+07,1.351e+09,1.351e+09,2.02e+08,1.549e+09,1.31e+08,1.279e+09,3.167e+09,1.2992e+10,2.1574e+10,-8.582e+09,8.737e+09,6.7e+07,2.02e+09,7.7e+07,6.573e+09,2.1729e+10,2.4896e+10,9.35e+08,7.29e+08,9.5e+07,1.11e+08,1.075e+09,1.5e+08,9.25e+08,7.39e+08,1.42e+08,5.97e+08,2.749e+09,6.446e+09,6.403e+09,8.934e+09,2.141e+09,8.66e+08,2.707e+09,1.1e+08,3.976e+09,1.538e+10,1.8129e+10,3.44e+09,3.431e+09,-1.49e+08,6.722e+09,4.5e+07,6.767e+09,2.4896e+10,1.56e+08,2.52e+08,2.74e+08,-3.66e+08,3.16e+08,-4.2e+08,-3.92e+08,-9.5e+07,1.46e+08,1e+07,-4e+06,5.7e+07,-1.9e+07,-1.9e+07,-1.9e+07,5.88e+08,7.521e+09,0.61513,0.15694,0.07099,0.02246,0.00611,1.15206,2.67903,0.3021,0.76545,0.7521,10.78182,33.85119,0.47841,8,0.01064,0.625,12.68027,22.19048
"5","2011_Q2",28.3346031746032,"Up",2.431e+09,-1.071e+09,1.36e+09,-9.59e+08,-6.31e+08,-2.45e+08,-8.3e+07,4.01e+08,-1.09e+08,-1.23e+08,1.4e+07,2.92e+08,-1.1e+07,2.81e+08,-1.03e+08,1.78e+08,1.78e+08,-2e+06,1.76e+08,1.76e+08,1.97e+08,1.97e+08,1.401e+09,1.401e+09,2.08e+08,9.94e+08,1.22e+08,7.4e+08,2.8e+09,1.3053e+10,2.1729e+10,-8.676e+09,8.636e+09,6.9e+07,2.02e+09,5.9e+07,6.488e+09,2.1689e+10,2.4489e+10,8.6e+08,6.31e+08,9.5e+07,1.34e+08,8.99e+08,0,8.99e+08,7.96e+08,1.27e+08,6.69e+08,2.555e+09,6.456e+09,6.418e+09,8.641e+09,1.895e+09,6.73e+08,2.704e+09,9e+07,3.952e+09,1.5097e+10,1.7652e+10,3.428e+09,3.513e+09,-1.48e+08,6.793e+09,4.4e+07,6.837e+09,2.4489e+10,1.78e+08,2.45e+08,5.9e+07,2.4e+08,7.22e+08,-2.48e+08,-2.44e+08,-9.5e+07,-2.44e+08,-9e+06,2e+06,-3.46e+08,1.32e+08,1.32e+08,1.32e+08,6.46e+08,7.355e+09,0.55944,0.16495,0.0724,0.02574,0.00719,1.09589,2.58183,0.30034,0.88631,0.8811,12.24223,34.20874,0.47841,6.47842598936578,0.01187,0.53977,11.0805,17.85037
"6","2011_Q3",28.1625,"Down",2.028e+09,-7.71e+08,1.257e+09,-9.72e+08,-6.47e+08,-2.48e+08,-7.7e+07,2.85e+08,-1.12e+08,-1.22e+08,1e+07,1.73e+08,3e+06,1.76e+08,2.4e+07,2e+08,2e+08,2e+06,2.02e+08,2.02e+08,6.1e+07,6.1e+07,1.297e+09,1.297e+09,2.12e+08,1.201e+09,1.09e+08,9.65e+08,2.771e+09,1.3284e+10,2.2123e+10,-8.839e+09,8.524e+09,7.1e+07,2.02e+09,4.9e+07,6.384e+09,2.1808e+10,2.4579e+10,1.033e+09,7.33e+08,1.99e+08,1.01e+08,4.77e+08,1.51e+08,3.26e+08,7.36e+08,1.1e+08,6.26e+08,2.246e+09,6.948e+09,6.911e+09,8.561e+09,1.9e+09,6.8e+08,3.034e+09,7.4e+07,3.553e+09,1.5509e+10,1.7755e+10,3.415e+09,3.516e+09,-1.46e+08,6.785e+09,3.9e+07,6.824e+09,2.4579e+10,2e+08,2.48e+08,-3.7e+07,2.6e+07,4.37e+08,-5.28e+08,-5.23e+08,-9.5e+07,71000000.0000001,-9e+06,-1.7e+07,-5e+07,-1.36e+08,-1.36e+08,-1.36e+08,5.33e+08,7.425e+09,0.61982,0.14053,0.09961,0.0296,0.00822,1.23375,2.60185,0.30209,1.01725,1.01126,10.21277,34.16845,0.47841,6,0.01302,0.4703,13.81614,25.8386
"7","2011_Q4",29.8455555555556,"Up",2.265e+09,-8.66e+08,1.399e+09,-1.008e+09,-6.7e+08,-2.59e+08,-7.9e+07,3.91e+08,-1.13e+08,-1.17e+08,4e+06,2.78e+08,8e+06,2.86e+08,-1.01e+08,1.85e+08,1.85e+08,-2e+06,1.83e+08,1.83e+08,4.6e+07,4.6e+07,1.206e+09,1.206e+09,2.09e+08,1.45e+09,1.09e+08,1.211e+09,2.911e+09,1.3422e+10,2.2312e+10,-8.89e+09,8.447e+09,7.4e+07,2.02e+09,5.9e+07,6.294e+09,2.1869e+10,2.478e+10,9.28e+08,7.08e+08,9.9e+07,1.21e+08,5.22e+08,2.75e+08,2.47e+08,6.5e+08,1.14e+08,5.36e+08,2.1e+09,7.018e+09,6.991e+09,8.653e+09,1.896e+09,6.8e+08,3.144e+09,6.2e+07,3.551e+09,1.5671e+10,1.7771e+10,3.418e+09,3.698e+09,-1.46e+08,6.97e+09,3.9e+07,7.009e+09,2.478e+10,1.85e+08,2.59e+08,1.01e+08,-2.18e+08,3.27e+08,-2.89e+08,-2.85e+08,-9.9e+07,4.6e+07,0,-4e+06,-5.7e+07,-1.5e+07,-1.5e+07,-1.5e+07,6.5e+08,7.54e+09,0.61766,0.17263,0.08079,0.02611,0.00738,1.38619,2.53545,0.30428,0.92157,0.91615,11.40627,35.10009,0.49855,6,0.01215,0.54098,11.52923,19.16624
"8","2012_Q1",31.6808064516129,"Up",2.134e+09,-8.29e+08,1.305e+09,-9.6e+08,-6.64e+08,-2.25e+08,-7.1e+07,3.45e+08,-9.6e+07,-1.16e+08,2e+07,2.49e+08,-1e+06,2.48e+08,-8.8e+07,1.6e+08,1.57e+08,-7e+06,1.5e+08,1.5e+08,6.8e+07,6.8e+07,1.317e+09,1.317e+09,2.19e+08,1.592e+09,2.22e+08,1.319e+09,3.196e+09,1.3746e+10,2.2541e+10,-8.795e+09,9.067e+09,7.3e+07,2.02e+09,7.4e+07,6.9e+09,2.2813e+10,2.6009e+10,9.76e+08,7.82e+08,9.9e+07,9.5e+07,9.45e+08,4.19e+08,5.26e+08,7.07e+08,1.58e+08,5.49e+08,2.628e+09,6.708e+09,6.685e+09,9.62e+09,2.782e+09,1.298e+09,3.181e+09,8.9e+07,3.568e+09,1.6328e+10,1.8956e+10,3.417e+09,3.75e+09,-1.58e+08,7.009e+09,4.4e+07,7.053e+09,2.6009e+10,1.57e+08,2.43e+08,1.16e+08,6e+06,5.22e+08,-5.13e+08,-5.08e+08,-1e+08,1.2e+08,0,-1.2e+07,7999999.99999997,2.2e+07,2.2e+07,2.2e+07,5.88e+08,7.653e+09,0.61153,0.16167,0.07029,0.02127,0.00577,1.21613,2.68765,0.29424,0.75538,0.76903,10.74657,35.29649,0.50359,6,0.01028,0.66667,12.89966,21.98551
"9","2012_Q2",33.4296825396825,"Up",2.249e+09,-8.89e+08,1.36e+09,-1.053e+09,-7.26e+08,-2.32e+08,-9.5e+07,3.07e+08,-8.1e+07,-1.11e+08,3e+07,2.26e+08,5e+06,2.31e+08,-7.3e+07,1.58e+08,1.58e+08,-2e+06,1.56e+08,1.56e+08,5.7e+07,5.7e+07,1.262e+09,1.262e+09,2.19e+08,1.413e+09,2.77e+08,1.074e+09,2.951e+09,1.3924e+10,2.278e+10,-8.856e+09,8.971e+09,7e+07,2.02e+09,7.8e+07,6.803e+09,2.2895e+10,2.5846e+10,9.11e+08,6.9e+08,1e+08,1.21e+08,8.43e+08,3.13e+08,5.3e+08,7.76e+08,2.38e+08,5.38e+08,2.53e+09,6.702e+09,6.684e+09,9.467e+09,2.642e+09,1.3e+09,3.251e+09,9.9e+07,3.475e+09,1.6169e+10,1.8699e+10,3.453e+09,3.804e+09,-1.53e+08,7.104e+09,4.3e+07,7.147e+09,2.5846e+10,1.58e+08,2.32e+08,3.9e+07,1.91e+08,6.2e+08,-3.54e+08,-3.43e+08,-9.9e+07,-1.92e+08,1e+07,-7e+06,-2.88e+08,-1.1e+07,-1.1e+07,-1.1e+07,5.39e+08,7.545e+09,0.60471,0.13651,0.06936,0.02183,0.00604,1.1664,2.61634,0.29192,0.78098,0.78098,11.25907,35.56446,0.49562,6,0.01056,0.63462,13.89239,24.39088
"10","2012_Q3",35.6755555555556,"Up",2.025e+09,-6.97e+08,1.328e+09,-1.037e+09,-7.08e+08,-2.5e+08,-7.9e+07,2.91e+08,-7.7e+07,-1.06e+08,2.9e+07,2.14e+08,3e+06,2.17e+08,-7e+07,1.47e+08,1.47e+08,-1e+06,1.46e+08,1.46e+08,1.85e+08,1.85e+08,1.239e+09,1.239e+09,2.23e+08,1.403e+09,2.21e+08,1.117e+09,3.05e+09,1.4152e+10,2.3081e+10,-8.929e+09,8.873e+09,6.7e+07,2.02e+09,7.5e+07,6.711e+09,2.3025e+10,2.6075e+10,1.029e+09,7.28e+08,2.07e+08,9.4e+07,8.87e+08,3.9e+07,8.48e+08,7.19e+08,2.11e+08,5.08e+08,2.635e+09,6.821e+09,6.808e+09,9.435e+09,2.565e+09,1.224e+09,3.323e+09,6.2e+07,3.485e+09,1.6256e+10,1.8891e+10,3.549e+09,3.744e+09,-1.51e+08,7.142e+09,4.2e+07,7.184e+09,2.6075e+10,1.47e+08,2.5e+08,3.5e+07,1.09e+08,5.41e+08,-4.93e+08,-4.89e+08,-1e+08,1.68e+08,1e+07,-2e+06,7.6e+07,1.28e+08,1.28e+08,1.28e+08,5.41e+08,7.708e+09,0.6558,0.1437,0.0721,0.02032,0.0056,1.1575,2.62959,0.29561,0.73091,0.72664,10.13767,35.75469,0.50063,5,0.01011,0.68493,13.90573,25.85223
